cmc,price,color
3,0.26,#d78f42
3,0.41,#ff1a1a
5,3.04,#000000
7,0.6,#d78f42
4,0.67,#d78f42
4,0.28,#ffffff
0,0.35,#8c8d8b
5,2.21,#000000
4,0.14,#d78f42
4,0.15,#ffffff
5,0.37,#d78f42
5,0.16,#ff1a1a
3,0.48,#ff1a1a
4,0.53,#087500
7,0.4,#000000
3,0.11,#341aff
5,0.48,#d78f42
3,0.25,#000000
2,0.2,#ffffff
6,1.09,#ff1a1a
3,13.06,#ffffff
3,0.65,#341aff
7,0.31,#d78f42
4,0.43,#ff1a1a
5,1.27,#000000
2,0.67,#ffffff
6,0.13,#341aff
7,0.12,#087500
2,0.2,#8c8d8b
5,1.18,#087500
4,0.62,#d78f42
3,0.29,#d78f42
6,0.39,#d78f42
2,1.83,#d78f42
6,0.25,#000000
6,0.25,#341aff
6,0.27,#d78f42
11,6.03,#341aff
6,0.22,#087500
5,0.59,#d78f42
8,24.49,#8c8d8b
1,0.47,#d78f42
5,0.79,#087500
2,0.11,#087500
3,0.24,#d78f42
