cmc,price,color
2,1.56,#d78f42
2,0.23,#000000
3,0.35,#ffffff
2,0.28,#8c8d8b
6,0.77,#ff1a1a
0,0.23,#8c8d8b
6,1.23,#341aff
7,0.38,#8c8d8b
6,0.23,#341aff
2,0.17,#341aff
4,0.13,#000000
7,0.14,#000000
3,4.32,#ffffff
2,0.89,#8c8d8b
3,0.22,#ff1a1a
6,0.65,#8c8d8b
1,0.27,#ff1a1a
5,0.51,#d78f42
7,0.14,#087500
5,0.19,#ff1a1a
3,0.14,#341aff
0,1.21,#d78f42
4,1.11,#000000
3,0.32,#d78f42
4,13.73,#000000
3,4.49,#ff1a1a
10,18.71,#8c8d8b
6,0.98,#ffffff
3,1.95,#8c8d8b
4,0.64,#d78f42
0,4.1,#8c8d8b
5,0.14,#ffffff
0,0.27,#d78f42
3,2.43,#087500
2,0.26,#ff1a1a
3,0.36,#ffffff
3,0.3,#341aff
1,2.64,#087500
4,0.28,#341aff
5,2.93,#8c8d8b
5,0.14,#000000
0,0.33,#8c8d8b
0,0.37,#8c8d8b
4,1.34,#000000
7,0.99,#341aff
1,2.43,#8c8d8b
2,0.32,#ffffff
2,0.25,#087500
4,6.11,#8c8d8b
7,0.17,#ff1a1a
3,0.18,#087500
0,0.91,#d78f42
7,3.16,#087500
7,5.22,#087500
