name,cmc,release_year,price,color,image,type_line,artist
Abhorrent Overlord,7,2013,0.47,#000000,https://cards.scryfall.io/normal/front/4/4/4415d050-7a76-4f8b-bf78-e33dd21fe4f1.jpg?1562817335,Creature — Demon,Slawomir Maniak
Abyssal Horror,6,2001,0.25,#000000,https://cards.scryfall.io/normal/front/c/c/ccb42943-f599-4068-a364-a023e70c4ed2.jpg?1562248139,Creature — Horror,Daren Bader
Abyssal Hunter,4,1999,0.25,#000000,https://cards.scryfall.io/normal/front/3/c/3c3f6ad7-4782-40db-8eb3-e71d71ec3388.jpg?1562816627,Creature — Human Assassin,Steve Luke
Abyssal Nocturnus,3,2006,0.97,#000000,https://cards.scryfall.io/normal/front/f/e/fe094903-45a6-4b11-b80e-aabe915c4b7c.jpg?1593272142,Creature — Horror,Jon Foster
Abyssal Persecutor,4,2017,1.36,#000000,https://cards.scryfall.io/normal/front/9/f/9f2b9f27-459c-4585-9051-b83ffe053a74.jpg?1562852094,Creature — Demon,Chippy
Acererak the Archlich,3,2021,5.44,#000000,https://cards.scryfall.io/normal/front/d/d/dd52d0bd-3abd-401c-9f56-ee911613da3b.jpg?1627704283,Legendary Creature — Zombie Wizard,Andrey Kuzinskiy
Acornelia- Fashionable Filcher,4,2020,0.16,#d78f42,https://cards.scryfall.io/normal/front/e/9/e9c37a83-3d5e-4019-b180-88e2bc106dd0.jpg?1623834274,Legendary Creature — Squirrel,Bram Sels
Activated Sleeper,3,2022,0.74,#000000,https://cards.scryfall.io/normal/front/3/4/343d01cf-9806-4c2d-a993-ddc9ed248d7f.jpg?1673304862,Creature — Phyrexian Shapeshifter,Mathias Kollros
Ad Nauseam,5,2020,14.94,#000000,https://cards.scryfall.io/normal/front/a/9/a9f2c53e-ff58-4aa8-89a6-4f45628cc571.jpg?1598306470,Instant,Jeremy Jarvis
Aesthetic Consultation,1,2004,0.41,#000000,https://cards.scryfall.io/normal/front/0/4/0464a507-20e5-42d5-8aca-12504a869f21.jpg?1562487441,Instant,David “Help Me” Martin
Aether Snap,5,2022,0.31,#000000,https://cards.scryfall.io/normal/front/d/d/dd9cade1-b077-4fb0-b55a-01b9916647e7.jpg?1673484092,Sorcery,Kev Walker
Agadeem Occultist,3,2010,0.27,#000000,https://cards.scryfall.io/normal/front/c/5/c592ef76-d612-4cfe-b906-0e63c44d36f8.jpg?1562295659,Creature — Human Shaman Ally,Vance Kovacs
Agadeem's Awakening // Agadeem- the Undercrypt,3,2020,13.43,#000000,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Sorcery // Land,Dmitry Burmak
Agent of the Fates,3,2013,0.24,#000000,https://cards.scryfall.io/normal/front/e/c/ecd59977-8788-417d-ba50-e21b8a636bd3.jpg?1562836708,Creature — Human Assassin,Matt Stewart
Aku Djinn,5,1997,1.44,#000000,https://cards.scryfall.io/normal/front/3/6/369a5df5-fc36-476c-84f4-ec4bdeb4f9d2.jpg?1562277439,Creature — Djinn,Terese Nielsen
Akuta- Born of Ash,4,2005,0.28,#000000,https://cards.scryfall.io/normal/front/0/8/08730b49-e51e-4868-9cc8-4ddc4a1dce4c.jpg?1562492453,Legendary Creature — Spirit,Ben Thompson
Altar of Bhaal // Bone Offering,2,2022,0.21,#000000,https://cards.scryfall.io/normal/front/3/7/37bd2e21-b292-4c86-bd01-010d4a1af7b2.jpg?1674135928,Artifact // Sorcery — Adventure,Jonas De Ro
Ambition's Cost,4,1999,35.98,#000000,https://cards.scryfall.io/normal/front/0/e/0e0b1613-e879-4c28-b27e-f3997b9ebccd.jpg?1562255832,Sorcery,Junko Taguchi
Ammit Eternal,3,2017,0.21,#000000,https://cards.scryfall.io/normal/front/1/b/1b04934f-87d1-4768-b7b5-5f7249a09771.jpg?1562791269,Creature — Zombie Crocodile Demon,Mike Bierek
Ancient Brass Dragon,7,2022,14.56,#000000,https://cards.scryfall.io/normal/front/6/4/6430c61b-407d-471d-9012-07f1ddef28aa.jpg?1674135945,Creature — Elder Dragon,Johan Grenier
Ancient Craving,4,2015,0.37,#000000,https://cards.scryfall.io/normal/front/c/7/c72cf3e0-6049-45e1-8226-e29f847bfeab.jpg?1562709484,Sorcery,Rob Alexander
Andradite Leech,3,2000,0.21,#000000,https://cards.scryfall.io/normal/front/6/d/6da0d4f3-9216-406c-8f3e-b9bb0a11dc75.jpg?1562916972,Creature — Leech,Wayne England
Angel of Suffering,5,2022,1.14,#000000,https://cards.scryfall.io/normal/front/c/d/cd4aee25-496d-453e-95b7-d773fe21cacc.jpg?1664410701,Creature — Nightmare Angel,Martina Fačková
Animate Graveyard,5,2022,0.07,#000000,https://cards.scryfall.io/normal/front/8/3/83f7b63b-44b1-4119-a4bf-c10fe3429d91.jpg?1673913770,Enchantment — Aura,Mike Burns
Anowon- the Ruin Sage,5,2021,0.24,#000000,https://cards.scryfall.io/normal/front/b/8/b8630ae1-8fe9-4d6e-899b-a28d86d4d729.jpg?1641602275,Legendary Creature — Vampire Shaman,Dan Scott
Anrakyr the Traveller,5,2022,0.41,#000000,https://cards.scryfall.io/normal/front/6/e/6ea09406-c65e-4ee4-9c74-0553e5110837.jpg?1673308606,Legendary Artifact Creature — Necron,L J Koh
Aphemia- the Cacophony,2,2020,0.12,#000000,https://cards.scryfall.io/normal/front/5/b/5b359607-d699-4ba9-a438-48f0dd8f1bf5.jpg?1581479686,Legendary Enchantment Creature — Harpy,Lucas Graciano
Apocalypse Demon,6,2017,0.16,#000000,https://cards.scryfall.io/normal/front/3/9/39dfbf99-55e8-468b-bcd9-9179cad7cab6.jpg?1562795456,Creature — Demon,Piotr Jabłoński
Apprentice Necromancer,2,2017,1.48,#000000,https://cards.scryfall.io/normal/front/d/4/d4a7670c-173e-40c4-9896-f4f08dc970fb.jpg?1562624807,Creature — Zombie Wizard,Randy Vargas
Archdemon of Paliano,4,2016,0.23,#000000,https://cards.scryfall.io/normal/front/6/3/632122b0-6525-4b41-840f-4fd5bea2f0ea.jpg?1576381797,Creature — Demon,Evan Shipard
Archdemon of Unx,7,2008,0.18,#000000,https://cards.scryfall.io/normal/front/b/2/b260fbe1-21cb-4a66-aca3-e504b67ed712.jpg?1562707978,Creature — Demon,Dave Allsop
Archfiend of Depravity,5,2017,2.69,#000000,https://cards.scryfall.io/normal/front/0/e/0ec85db7-c8ec-4730-b692-c140977436aa.jpg?1592765539,Creature — Demon,Daarken
Archfiend of Despair,8,2018,48.71,#000000,https://cards.scryfall.io/normal/front/1/1/11d8b7ac-fb65-4496-9d9f-184fa8ad8012.jpg?1562898584,Creature — Demon,Josh Hass
Archfiend of Ifnir,5,2017,1.76,#000000,https://cards.scryfall.io/normal/front/3/3/33176679-d571-47a1-ae05-bed9b748491d.jpg?1543675179,Creature — Demon,Seb McKinnon
Archfiend of Spite,7,2019,0.36,#000000,https://cards.scryfall.io/normal/front/1/d/1df2ca13-4062-4827-ae2f-c61cf88ba3b3.jpg?1568003461,Creature — Demon,Tomasz Jedruszek
