name,cmc,release_year,price,color,image,type_line,artist
Aboleth Spawn,3,2022,0.59,#341aff,https://cards.scryfall.io/normal/front/5/1/51889b3f-082a-40e9-8be7-11f8c1a7a9a8.jpg?1674140817,Creature — Fish Horror,Sam Burley
Aboshan- Cephalid Emperor,6,2001,1.15,#341aff,https://cards.scryfall.io/normal/front/8/2/82db4a41-03e8-4f0c-946c-a98fc5c9f7c8.jpg?1562919289,Legendary Creature — Cephalid Noble,Christopher Moeller
Academy Elite,4,2016,0.14,#341aff,https://cards.scryfall.io/normal/front/f/3/f3728fbb-3a99-443a-b514-40f9990669c5.jpg?1562425779,Creature — Human Wizard,Volkan Baǵa
Academy Loremaster,2,2022,0.13,#341aff,https://cards.scryfall.io/normal/front/9/f/9fca4c4f-a77b-483e-9da4-574ba2e3d179.jpg?1673306639,Creature — Human Wizard,Marcela Medeiros
Access Denied,5,2022,0.53,#341aff,https://cards.scryfall.io/normal/front/1/6/1642df77-6fe8-47cf-b750-ca4dd9b331ba.jpg?1651655225,Instant,Johan Grenier
Acquire,5,2004,3.43,#341aff,https://cards.scryfall.io/normal/front/9/9/993957c7-5d61-4c98-826d-b657aed667e1.jpg?1562878704,Sorcery,Daren Bader
Admiral's Order,3,2018,0.36,#341aff,https://cards.scryfall.io/normal/front/8/0/80dc0310-afd9-49b4-b58f-a0e91120c38c.jpg?1555039852,Instant,Slawomir Maniak
Aeon Chronicler,5,2021,0.19,#341aff,https://cards.scryfall.io/normal/front/5/c/5cec8dcc-8ebb-4640-a5f3-90e6e62c27e5.jpg?1619393737,Creature — Avatar,Dan Dos Santos
Aerial Caravan,6,1999,0.35,#341aff,https://cards.scryfall.io/normal/front/a/d/adac91af-5165-4779-99f7-e75c83fa5d5d.jpg?1562382540,Creature — Human Soldier,DiTerlizzi
Aether Barrier,3,2000,2.18,#341aff,https://cards.scryfall.io/normal/front/3/6/36298f9f-12cc-43bd-adda-ccabd67a9568.jpg?1562629370,Enchantment,David Martin
Aether Channeler,3,2022,0.84,#341aff,https://cards.scryfall.io/normal/front/6/0/60afeb75-2c1e-4634-8c83-88b1dddb77c2.jpg?1673306655,Creature — Human Wizard,Caio Monteiro
