cmc,price,color
6,0.69,#341aff
4,0.16,#341aff
5,2.76,#341aff
3,0.31,#341aff
5,0.15,#341aff
6,0.2,#341aff
3,1.58,#341aff
5,1.5,#341aff
6,0.28,#341aff
6,1.27,#341aff
5,1.03,#341aff
7,0.19,#341aff
6,0.12,#341aff
7,8.29,#341aff
3,0.38,#d78f42
5,0.42,#341aff
7,0.2,#341aff
5,2.28,#341aff
7,8.36,#341aff
2,0.71,#341aff
3,1.49,#341aff
4,1.03,#341aff
8,2.86,#341aff
4,2.25,#341aff
7,0.23,#341aff
2,13.43,#341aff
5,0.25,#341aff
0,4.84,#341aff
6,0.3,#341aff
4,0.3,#341aff
3,9.01,#341aff
6,0.21,#341aff
3,3.7,#341aff
3,0.61,#341aff
5,0.32,#341aff
5,0.17,#341aff
6,1.33,#341aff
5,21.11,#341aff
4,0.31,#341aff
3,1.88,#341aff
3,3.71,#341aff
4,4.86,#341aff
4,0.15,#341aff
2,2.35,#341aff
1,2.1,#341aff
2,0.21,#341aff
1,0.54,#341aff
3,8.47,#341aff
4,0.16,#341aff
6,0.18,#341aff
3,3.49,#341aff
4,8.2,#341aff
4,0.17,#341aff
8,0.43,#341aff
4,1.6,#341aff
5,0.9,#341aff
6,0.2,#341aff
3,9.48,#341aff
4,2.55,#341aff
5,0.25,#341aff
2,7.73,#341aff
5,0.39,#341aff
3,43.79,#341aff
3,0.31,#341aff
2,0.2,#341aff
5,0.16,#341aff
5,7.69,#341aff
3,0.15,#341aff
8,3.33,#341aff
5,2.14,#341aff
8,0.77,#341aff
1,0.45,#341aff
4,2.27,#341aff
7,2.82,#341aff
4,0.12,#341aff
4,0.45,#341aff
14,1.16,#341aff
7,0.2,#341aff
3,2.55,#341aff
5,0.53,#341aff
5,1.59,#341aff
5,0.35,#341aff
4,1.03,#341aff
1,4.84,#341aff
3,12.98,#341aff
9,6.9,#341aff
4,0.95,#341aff
5,25.6,#341aff
9,4.57,#d78f42
10,0.71,#341aff
3,37.84,#341aff
5,0.71,#341aff
3,1.02,#341aff
3,0.97,#341aff
4,1.08,#341aff
3,1.8,#341aff
3,0.83,#341aff
3,0.12,#341aff
7,2.18,#341aff
5,1.92,#341aff
3,10.23,#341aff
4,0.26,#341aff
3,0.25,#341aff
2,0.21,#341aff
6,0.19,#341aff
2,0.26,#d78f42
1,5.21,#341aff
3,0.49,#341aff
7,0.55,#341aff
3,3.5,#341aff
4,0.27,#341aff
3,3.9,#341aff
3,0.15,#341aff
2,1.2,#341aff
4,0.83,#341aff
9,0.26,#341aff
5,0.13,#341aff
2,4.56,#341aff
4,1.13,#341aff
4,2.01,#341aff
5,0.22,#341aff
4,0.35,#341aff
9,2.33,#341aff
5,0.42,#341aff
1,10.62,#341aff
7,5.6,#341aff
4,5.37,#341aff
4,3.82,#341aff
3,0.12,#341aff
8,0.32,#341aff
4,11.38,#341aff
7,0.25,#341aff
7,15.42,#341aff
6,0.21,#341aff
10,1.5,#341aff
5,0.21,#341aff
5,0.12,#341aff
2,0.25,#341aff
6,0.21,#341aff
6,34.03,#341aff
4,1.13,#341aff
4,0.15,#341aff
3,10.13,#341aff
3,0.11,#341aff
2,3.82,#341aff
3,5.62,#341aff
3,1.08,#341aff
1,0.46,#341aff
4,0.2,#341aff
5,0.34,#341aff
6,0.21,#341aff
2,3.47,#341aff
3,1.35,#341aff
5,0.14,#341aff
5,0.49,#341aff
4,0.33,#341aff
5,0.57,#341aff
