name,cmc,release_year,price,color,image,type_line,artist
Academy Ruins,0,2020,16.35,#341aff,https://cards.scryfall.io/normal/front/a/9/a95b7645-154f-4904-bf71-db7eb24d4df2.jpg?1599710297,Legendary Land,Zoltan Boros & Gabor Szikszai
Adaptive Automaton,3,2020,1.07,#8c8d8b,https://cards.scryfall.io/normal/front/b/a/ba16bfb3-dbd3-4b3a-b155-08b613268d57.jpg?1599708675,Artifact Creature — Construct,Igor Kieryluk
Ad Nauseam,5,2020,14.53,#000000,https://cards.scryfall.io/normal/front/a/9/a9f2c53e-ff58-4aa8-89a6-4f45628cc571.jpg?1598306470,Instant,Jeremy Jarvis
Archangel of Thune,5,2020,31.53,#ffffff,https://cards.scryfall.io/normal/front/1/5/15c34447-b0f4-4fcc-b557-23c92850b31b.jpg?1598303082,Creature — Angel,James Ryman
Arcum Dagsson,4,2020,14.61,#341aff,https://cards.scryfall.io/normal/front/f/5/f5ecf811-2efc-4fa6-9af8-ef09f559ec1a.jpg?1598303734,Legendary Creature — Human Artificer,Pete Venters
Arixmethes- Slumbering Isle,4,2020,6.4,#d78f42,https://cards.scryfall.io/normal/front/8/8/881607c8-bfe7-4903-861f-b51a5a332c17.jpg?1599707758,Legendary Creature — Kraken,Dimitar Marinski
Atraxa- Praetors' Voice,4,2020,64.41,#d78f42,https://cards.scryfall.io/normal/front/d/0/d0d33d52-3d28-4635-b985-51e126289259.jpg?1599707796,Legendary Creature — Phyrexian Angel Horror,Victor Adame Minguez
Austere Command,6,2020,1.28,#ffffff,https://cards.scryfall.io/normal/front/d/3/d36e87ca-71e1-43d2-841f-b01a58fe27f0.jpg?1598303136,Sorcery,Anna Steinbauer
Avacyn- Angel of Hope,8,2020,52.03,#ffffff,https://cards.scryfall.io/normal/front/a/0/a0519776-3d86-4f7d-9c3b-71c1dfbf7e12.jpg?1598303166,Legendary Creature — Angel,Jason Chan
Avenger of Zendikar,7,2020,3.83,#087500,https://cards.scryfall.io/normal/front/e/6/e609d255-a15a-482a-95f2-1b9ef1076652.jpg?1599706871,Creature — Elemental,Zoltan Boros & Gabor Szikszai
Awakening Zone,3,2020,0.72,#087500,https://cards.scryfall.io/normal/front/b/e/be0c3878-3097-4451-9ec0-7f45a0f72323.jpg?1599706905,Enchantment,Johann Bodin
Baleful Strix,2,2020,2.17,#d78f42,https://cards.scryfall.io/normal/front/a/1/a1b799b2-bb4e-482f-9afd-5aab90090710.jpg?1599707817,Artifact Creature — Bird,Nils Hamm
Basilisk Collar,1,2020,2.64,#8c8d8b,https://cards.scryfall.io/normal/front/4/5/455f3f0d-0609-46f0-a7b6-d933c4131f5c.jpg?1599708706,Artifact — Equipment,Howard Lyon
Batterskull,5,2020,4.79,#8c8d8b,https://cards.scryfall.io/normal/front/b/7/b7f16fdf-a3f5-462d-a64a-789d893b6ef5.jpg?1599708720,Artifact — Equipment,Mark Zug
Beacon of Unrest,5,2020,0.26,#000000,https://cards.scryfall.io/normal/front/0/6/06bd199b-1855-4208-8bf7-8930e91ab139.jpg?1598304450,Sorcery,Joseph Meehan
Blade Splicer,3,2020,0.83,#ffffff,https://cards.scryfall.io/normal/front/2/7/277bc4e5-f43a-4f1e-a7e9-11796e78fcdf.jpg?1599254148,Creature — Phyrexian Human Artificer,Greg Staples
Blasphemous Act,9,2020,2.16,#ff1a1a,https://cards.scryfall.io/normal/front/f/f/fff02fcd-241e-4a3e-a0d0-5adc90e7d0db.jpg?1599706202,Sorcery,Daarken
Blightsteel Colossus,12,2020,36.17,#8c8d8b,https://cards.scryfall.io/normal/front/1/8/18adbda4-8d36-47cd-afbc-c785aaa8ed80.jpg?1599708735,Artifact Creature — Phyrexian Golem,Chris Rahn
Blinkmoth Nexus,0,2020,3.4,#8c8d8b,https://cards.scryfall.io/normal/front/3/a/3ac535c1-9ef3-45b5-8959-7e79589d47ad.jpg?1599710351,Land,Sam Burley
Blood Moon,3,2020,10.77,#ff1a1a,https://cards.scryfall.io/normal/front/d/0/d072e9ca-aae7-45dc-8025-3ce590bae63f.jpg?1599706217,Enchantment,Franz Vohwinkel
Bloodspore Thrinax,4,2020,0.69,#087500,https://cards.scryfall.io/normal/front/f/8/f8bc8355-3a02-44a5-b06f-8be24d7cbcbe.jpg?1599706940,Creature — Lizard,Ralph Horsley
Boon Reflection,5,2020,4.64,#ffffff,https://cards.scryfall.io/normal/front/0/d/0d4032a7-600c-4b30-a012-fe3cde1be9c9.jpg?1599705804,Enchantment,Chris Seaman
Bosh- Iron Golem,8,2020,0.16,#ff1a1a,https://cards.scryfall.io/normal/front/9/0/90055174-ad09-4a0b-b65a-10ad80727d8e.jpg?1599708766,Legendary Artifact Creature — Golem,Brom
Braids- Conjurer Adept,4,2020,0.85,#341aff,https://cards.scryfall.io/normal/front/5/9/593dfb2f-ede0-413a-b037-46ae5c3769e4.jpg?1598303769,Legendary Creature — Human Wizard,Zoltan Boros & Gabor Szikszai
Brainstorm,1,2020,7.03,#341aff,https://cards.scryfall.io/normal/front/d/d/dd595e2f-65e4-46e8-9d28-f94ac308b275.jpg?1599710838,Instant,Ron Spencer
Breya- Etherium Shaper,4,2020,7.04,#d78f42,https://cards.scryfall.io/normal/front/2/1/2143f700-7311-46a4-ad9b-4e743a345785.jpg?1599707856,Legendary Artifact Creature — Human,Clint Cearley
Brudiclad- Telchor Engineer,6,2020,1.7,#d78f42,https://cards.scryfall.io/normal/front/2/5/25eff27a-eb58-4a95-b2df-4a341cf9bef6.jpg?1599707883,Legendary Artifact Creature — Phyrexian Artificer,Daarken
Cascade Bluffs,0,2020,3.93,#d78f42,https://cards.scryfall.io/normal/front/5/2/52e912b4-492f-415b-b0ad-d9f90c6139c6.jpg?1599710382,Land,Brandon Kitkouski
Champion of Lambholt,3,2020,0.69,#087500,https://cards.scryfall.io/normal/front/d/c/dcb2e0d6-3181-4d3d-a3b4-3896288b2e0e.jpg?1599706956,Creature — Human Warrior,Christopher Moeller
Chord of Calling,3,2020,7.17,#087500,https://cards.scryfall.io/normal/front/d/a/dac257a9-39bf-4185-9d2e-f80f0848a96a.jpg?1599707002,Instant,Karl Kopinski
Chrome Mox,0,2020,77.26,#8c8d8b,https://cards.scryfall.io/normal/front/f/3/f340cbf7-5bbe-45b9-a4bf-d1caa500ff93.jpg?1599708839,Artifact,Volkan Baǵa
Conjurer's Closet,5,2020,9.72,#8c8d8b,https://cards.scryfall.io/normal/front/3/4/3435fd09-a7a2-475e-a690-3c2011b70024.jpg?1599708903,Artifact,Jason Felix
Council's Judgment,3,2020,2.49,#ffffff,https://cards.scryfall.io/normal/front/a/a/aaa187c9-90b3-4770-963a-8a9f932430ef.jpg?1599706018,Sorcery,Kev Walker
Cragganwick Cremator,4,2020,0.1,#ff1a1a,https://cards.scryfall.io/normal/front/4/b/4b13d612-f5d4-4423-99bc-359c47a8aa99.jpg?1599706278,Creature — Giant Shaman,Jeremy Enecio
Crop Rotation,1,2020,14.73,#087500,https://cards.scryfall.io/normal/front/1/8/187abedf-c2eb-453b-bea0-a10afa399e03.jpg?1599711097,Instant,Mark Poole
Cyclonic Rift,2,2020,41.58,#341aff,https://cards.scryfall.io/normal/front/f/f/ff08e5ed-f47b-4d8e-8b8b-41675dccef8b.jpg?1598303834,Instant,Chris Rahn
Dark Confidant,2,2020,17.08,#000000,https://cards.scryfall.io/normal/front/b/0/b0d88239-43dc-46b8-8d46-626e2f8f1070.jpg?1598304507,Creature — Human Wizard,Scott M. Fischer
Dark Depths,0,2020,9.44,#8c8d8b,https://cards.scryfall.io/normal/front/0/0/00cb17a0-5a13-4d02-b7fb-f99531bc8ca5.jpg?1599710396,Legendary Snow Land,Mathias Kollros
Darksteel Forge,9,2020,41.72,#8c8d8b,https://cards.scryfall.io/normal/front/4/2/421089c4-c8d3-48c5-b313-fb1741546271.jpg?1599709037,Artifact,Martina Pilcerova
Death's Shadow,1,2020,2.99,#000000,https://cards.scryfall.io/normal/front/5/5/5526ff6e-c079-4ad4-ac8d-5e26ecacf50d.jpg?1598304517,Creature — Avatar,Howard Lyon
Deepglow Skate,5,2020,4.17,#341aff,https://cards.scryfall.io/normal/front/4/a/4a8b26dc-de39-4510-9fcf-6cb43372f543.jpg?1598303851,Creature — Fish,Jason Kang
Disciple of Bolas,4,2020,0.31,#000000,https://cards.scryfall.io/normal/front/8/b/8b70c101-d8b0-4acb-ad65-59bf9860708a.jpg?1598304590,Creature — Human Wizard,Slawomir Maniak
Doomed Necromancer,3,2020,0.34,#000000,https://cards.scryfall.io/normal/front/a/1/a1a21acd-100a-4a25-932b-f36943728ac9.jpg?1598304636,Creature — Human Cleric Mercenary,Volkan Baǵa
Doubling Season,5,2020,88.58,#087500,https://cards.scryfall.io/normal/front/8/6/8676d164-c76e-402b-a649-6ded3f549b6e.jpg?1599707144,Enchantment,Chuck Lukacs
Dualcaster Mage,3,2020,0.47,#ff1a1a,https://cards.scryfall.io/normal/front/e/a/ea4814b8-9aea-4e44-aec1-d585473f5d1c.jpg?1599706312,Creature — Human Wizard,Matt Stewart
Duplicant,6,2020,0.53,#8c8d8b,https://cards.scryfall.io/normal/front/2/b/2b39497c-79fc-437b-9d63-86d906c0455a.jpg?1599709057,Artifact Creature — Shapeshifter,Thomas M. Baxa
Endless Atlas,2,2020,1.94,#8c8d8b,https://cards.scryfall.io/normal/front/2/a/2a39fc25-f9f0-44ab-a94c-9720f8722620.jpg?1599709096,Artifact,Titus Lunter
Engineered Explosives,0,2020,12.28,#8c8d8b,https://cards.scryfall.io/normal/front/4/2/420bf1e9-f2ec-4dff-b540-e64de71e58be.jpg?1599709112,Artifact,Lars Grant-West
Ensnaring Bridge,3,2020,17.72,#8c8d8b,https://cards.scryfall.io/normal/front/c/f/cf825a56-4870-463a-a2ef-eec86be891db.jpg?1599709144,Artifact,Titus Lunter
Ethersworn Canonist,2,2020,9.07,#ffffff,https://cards.scryfall.io/normal/front/a/b/abc8e0f8-fdb9-4f24-a3e3-439f6cc3ebdc.jpg?1599706625,Artifact Creature — Human Cleric,Izzy
Expedition Map,1,2020,22.07,#8c8d8b,https://cards.scryfall.io/normal/front/8/b/8bc6178b-16e7-4089-974f-7048b9632fc2.jpg?1599711310,Artifact,Scott Murphy
Exploration,1,2020,11.21,#087500,https://cards.scryfall.io/normal/front/c/e/ce4c6535-afea-4704-b35c-badeb04c4f4c.jpg?1599707192,Enchantment,Florian de Gesincourt
Falkenrath Aristocrat,4,2020,0.32,#d78f42,https://cards.scryfall.io/normal/front/5/7/57ac7f19-bf6f-4a87-ad39-6eb2553d2202.jpg?1599707911,Creature — Vampire Noble,Igor Kieryluk
