name,cmc,release_year,price,color,image,type_line,artist
Ancestral Recall,1,2022,613.22,#341aff,https://cards.scryfall.io/normal/front/7/1/71283e4c-efd9-4a96-991c-6bbb169b99e7.jpg?1664924695,Instant,Mark Poole
Ankh of Mishra,2,2022,29.99,#8c8d8b,https://cards.scryfall.io/normal/front/8/4/84baed73-7efd-4688-9658-480b1cebc6c4.jpg?1664926285,Artifact,Amy Weber
Aspect of Wolf,2,2022,8.71,#087500,https://cards.scryfall.io/normal/front/7/7/77a1d72d-b2a6-42da-a34c-2cf58baf1f8f.jpg?1664925875,Enchantment — Aura,Jeff A. Menges
Badlands,0,2022,285.74,#d78f42,https://cards.scryfall.io/normal/front/c/5/c5335e87-57e3-4da6-aba0-619628120f47.jpg?1664926711,Land — Swamp Mountain,Rob Alexander
Bad Moon,2,2022,47.0,#000000,https://cards.scryfall.io/normal/front/e/c/ecdddb5a-e8b4-4c16-a431-6104b4ad899e.jpg?1664925084,Enchantment,Jesper Myrfors
Balance,2,2022,21.99,#ffffff,https://cards.scryfall.io/normal/front/5/0/5086b4dc-8066-4487-bd09-a04432291a54.jpg?1664924376,Sorcery,Mark Poole
Bayou,0,2022,163.49,#d78f42,https://cards.scryfall.io/normal/front/5/3/538dfd90-5215-4aa0-8e10-1e6fd9f717c8.jpg?1664926720,Land — Swamp Forest,Jesper Myrfors
Birds of Paradise,1,2022,72.41,#087500,https://cards.scryfall.io/normal/front/6/f/6fb762b1-95df-472f-84a9-5ec223e98c08.jpg?1664925893,Creature — Bird,Mark Poole
Blaze of Glory,1,2022,23.18,#ffffff,https://cards.scryfall.io/normal/front/5/f/5f56a2c7-40d3-4c9a-a742-0ad4e574c28c.jpg?1664924396,Instant,Richard Thomas
Blessing,2,2022,7.0,#ffffff,https://cards.scryfall.io/normal/front/e/5/e5e1bb26-2d76-42c5-8fda-59cadd150d57.jpg?1664924404,Enchantment — Aura,Julie Baroh
Braingeyser,2,2022,27.99,#341aff,https://cards.scryfall.io/normal/front/9/b/9b2b7122-4326-4459-8291-1e13a6999061.jpg?1664924716,Sorcery,Mark Tedin
Chaoslace,1,2022,29.32,#ff1a1a,https://cards.scryfall.io/normal/front/2/7/277f8400-c257-4794-9384-4bf5b01da7e3.jpg?1664925473,Instant,Dameon Willich
Chaos Orb,2,2022,287.5,#8c8d8b,https://cards.scryfall.io/normal/front/3/b/3b5ffcc9-9ebc-4506-acad-c47ece5b525f.jpg?1664926337,Artifact,Mark Tedin
Cockatrice,5,2022,14.99,#087500,https://cards.scryfall.io/normal/front/f/9/f961698c-e900-4655-a21e-ddafe0ca7e99.jpg?1664925919,Creature — Cockatrice,Dan Frazier
Copy Artifact,2,2022,59.83,#341aff,https://cards.scryfall.io/normal/front/1/e/1e346604-ce68-4216-aa62-022f459f35ef.jpg?1664924738,Enchantment,Amy Weber
Demonic Hordes,6,2022,17.81,#000000,https://cards.scryfall.io/normal/front/a/f/afd544ac-3d2f-48c0-8d17-9bb66af6603a.jpg?1664925176,Creature — Demon,Jesper Myrfors
Dingus Egg,4,2022,15.5,#8c8d8b,https://cards.scryfall.io/normal/front/9/6/96c1dbff-d105-41ce-b707-ac1d0cb9aa99.jpg?1664926389,Artifact,Dan Frazier
Disrupting Scepter,3,2022,10.09,#8c8d8b,https://cards.scryfall.io/normal/front/e/c/ec0fddc2-8c43-42f3-b690-11c7a4cc77d5.jpg?1664926401,Artifact,Dan Frazier
Drain Power,2,2022,15.38,#341aff,https://cards.scryfall.io/normal/front/6/a/6af0eb80-9c82-41c1-ba6d-176f6d70a8a9.jpg?1664924758,Sorcery,Douglas Shuler
Earthquake,1,2022,18.99,#ff1a1a,https://cards.scryfall.io/normal/front/c/0/c004131e-ed0e-4515-bada-54c53c0ebe4d.jpg?1664925522,Sorcery,Dan Frazier
Elvish Archers,2,2022,9.86,#087500,https://cards.scryfall.io/normal/front/4/6/46b0d590-1ed6-4966-bf84-dddb0f0538d9.jpg?1664925936,Creature — Elf Archer,Anson Maddocks
Farmstead,3,2022,11.98,#ffffff,https://cards.scryfall.io/normal/front/0/b/0b4a1194-ce5d-4491-9700-1a1abc6ee8e4.jpg?1664924492,Enchantment — Aura,Mark Poole
Fastbond,1,2022,49.74,#087500,https://cards.scryfall.io/normal/front/3/6/368bcae1-1750-4a1a-9d9e-14eb3ed8e50b.jpg?1664925945,Enchantment,Mark Poole
Forcefield,3,2022,79.67,#8c8d8b,https://cards.scryfall.io/normal/front/1/9/19fdb4a9-16ae-47b5-86b6-ac35f93c1d32.jpg?1664926414,Artifact,Dan Frazier
