name,cmc,release_year,price,color,image,type_line,artist
Ankh of Mishra,2,2022,68.67,#8c8d8b,https://cards.scryfall.io/normal/front/8/4/84baed73-7efd-4688-9658-480b1cebc6c4.jpg?1783919448,Artifact,Amy Weber
Aspect of Wolf,2,2022,8.0,#087500,https://cards.scryfall.io/normal/front/7/7/77a1d72d-b2a6-42da-a34c-2cf58baf1f8f.jpg?1783919481,Enchantment — Aura,Jeff A. Menges
Badlands,0,2022,235.61,#d78f42,https://cards.scryfall.io/normal/front/c/5/c5335e87-57e3-4da6-aba0-619628120f47.jpg?1783919416,Land — Swamp Mountain,Rob Alexander
Bayou,0,2022,226.24,#d78f42,https://cards.scryfall.io/normal/front/5/3/538dfd90-5215-4aa0-8e10-1e6fd9f717c8.jpg?1783919414,Land — Swamp Forest,Jesper Myrfors
Black Lotus,0,2022,3299.99,#8c8d8b,https://cards.scryfall.io/normal/front/3/a/3a10650e-58f7-4a99-a77d-3f42d61ecf93.jpg?1783919447,Artifact,Christopher Rush
Blaze of Glory,1,2022,0.25,#ffffff,https://cards.scryfall.io/normal/front/5/f/5f56a2c7-40d3-4c9a-a742-0ad4e574c28c.jpg?1783919592,Instant,Richard Thomas
Blessing,2,2022,29.0,#ffffff,https://cards.scryfall.io/normal/front/e/5/e5e1bb26-2d76-42c5-8fda-59cadd150d57.jpg?1783919590,Enchantment — Aura,Julie Baroh
Cockatrice,5,2022,19.99,#087500,https://cards.scryfall.io/normal/front/f/9/f961698c-e900-4655-a21e-ddafe0ca7e99.jpg?1783919480,Creature — Cockatrice,Dan Frazier
Cyclopean Tomb,4,2022,3.4,#8c8d8b,https://cards.scryfall.io/normal/front/f/c/fc95d5ce-d346-45a2-9ab2-2a5c4fef224a.jpg?1783919440,Artifact,Anson Maddocks
Dingus Egg,4,2022,16.99,#8c8d8b,https://cards.scryfall.io/normal/front/9/6/96c1dbff-d105-41ce-b707-ac1d0cb9aa99.jpg?1783919443,Artifact,Dan Frazier
Drain Power,2,2022,27.94,#341aff,https://cards.scryfall.io/normal/front/6/a/6af0eb80-9c82-41c1-ba6d-176f6d70a8a9.jpg?1783919561,Sorcery,Douglas Shuler
Farmstead,3,2022,15.75,#ffffff,https://cards.scryfall.io/normal/front/0/b/0b4a1194-ce5d-4491-9700-1a1abc6ee8e4.jpg?1783919584,Enchantment — Aura,Mark Poole
Fastbond,1,2022,49.0,#087500,https://cards.scryfall.io/normal/front/3/6/368bcae1-1750-4a1a-9d9e-14eb3ed8e50b.jpg?1783919478,Enchantment,Mark Poole
Forcefield,3,2022,99.99,#8c8d8b,https://cards.scryfall.io/normal/front/1/9/19fdb4a9-16ae-47b5-86b6-ac35f93c1d32.jpg?1783919442,Artifact,Dan Frazier
Fork,2,2022,44.99,#ff1a1a,https://cards.scryfall.io/normal/front/d/0/d08b8bc9-3d4a-4434-b7ad-cd6be0b9daa2.jpg?1783919502,Instant,Amy Weber
Gauntlet of Might,4,2022,143.99,#ff1a1a,https://cards.scryfall.io/normal/front/f/d/fd2c7266-17b9-46c2-9c36-c7049cd31084.jpg?1783919438,Artifact,Christopher Rush
Goblin King,3,2022,22.46,#ff1a1a,https://cards.scryfall.io/normal/front/a/4/a41183c8-1598-4e1c-932f-156fde599097.jpg?1783919502,Creature — Goblin,Jesper Myrfors
Granite Gargoyle,3,2022,21.93,#ff1a1a,https://cards.scryfall.io/normal/front/4/b/4b7a9124-6522-4525-9f4a-0aca166f7d79.jpg?1783919502,Creature — Gargoyle,Christopher Rush
Illusionary Mask,2,2022,48.0,#8c8d8b,https://cards.scryfall.io/normal/front/a/7/a7991a94-036e-440b-aff2-8c4f49dae034.jpg?1783919434,Artifact,Amy Weber
Kudzu,3,2022,16.54,#087500,https://cards.scryfall.io/normal/front/6/f/6f146b0c-4751-437b-b072-f6bd66ddc45e.jpg?1783919468,Enchantment — Aura,Mark Poole
Lich,4,2022,73.25,#000000,https://cards.scryfall.io/normal/front/c/a/ca099308-db32-4aa0-a511-ae9da5712ebb.jpg?1783919528,Enchantment,Daniel Gelon
Lifelace,1,2022,7.14,#087500,https://cards.scryfall.io/normal/front/e/5/e5ddff4a-f56d-40ff-9666-05a05a310dab.jpg?1783919466,Instant,Amy Weber
