name,cmc,release_year,price,color,image,type_line,artist
Aladdin's Ring,8,1995,1.99,#8c8d8b,https://cards.scryfall.io/normal/front/0/4/04ad952c-7e5a-4090-a126-e9f6f357b768.jpg?1557432823,Artifact,Dan Frazier
Animate Wall,1,1995,3.99,#ffffff,https://cards.scryfall.io/normal/front/a/1/a192df4e-06b7-4ec3-8a39-dbd4f72cb285.jpg?1557430772,Enchantment — Aura,Dan Frazier
Ankh of Mishra,2,1995,17.99,#8c8d8b,https://cards.scryfall.io/normal/front/a/f/af74a582-a808-439a-a21f-da67c375d2eb.jpg?1557432838,Artifact,Amy Weber
Armageddon,4,1995,29.99,#ffffff,https://cards.scryfall.io/normal/front/7/1/71dac70d-2b7c-42de-afe4-73839401b238.jpg?1557430778,Sorcery,Jesper Myrfors
Bad Moon,2,1995,15.14,#000000,https://cards.scryfall.io/normal/front/8/2/820809c9-9462-494d-b03f-c36b41432403.jpg?1557431588,Enchantment,Jesper Myrfors
Balance,2,1995,18.77,#ffffff,https://cards.scryfall.io/normal/front/7/e/7ecf2cae-8bb6-48a9-9fb0-2930ce2a540a.jpg?1557430785,Sorcery,Mark Poole
Ball Lightning,3,1995,29.99,#ff1a1a,https://cards.scryfall.io/normal/front/b/2/b2c3e3dc-1ed7-4fbc-8b58-6cd9e689c6a5.jpg?1557431980,Creature — Elemental,Quinton Hoover
Birds of Paradise,1,1995,104.99,#087500,https://cards.scryfall.io/normal/front/3/d/3df4e7f8-1f40-4e97-8737-be5e2ce0d39d.jpg?1557432390,Creature — Bird,Mark Poole
Cockatrice,5,1995,8.78,#087500,https://cards.scryfall.io/normal/front/4/1/410e9c6c-07c0-46b2-aa0a-df788c5e16cc.jpg?1557432418,Creature — Cockatrice,Dan Frazier
Colossus of Sardia,9,1995,4.53,#8c8d8b,https://cards.scryfall.io/normal/front/6/9/692e824a-b708-461a-8be1-45acaeff3f94.jpg?1557432936,Artifact Creature — Golem,Jesper Myrfors
Dancing Scimitar,4,1995,9.99,#8c8d8b,https://cards.scryfall.io/normal/front/d/3/d3146f9b-a71a-4bdc-abc3-3fb1d6c2063c.jpg?1557432971,Artifact Creature — Spirit,Anson Maddocks
Dingus Egg,4,1995,12.0,#8c8d8b,https://cards.scryfall.io/normal/front/e/2/e28c74c4-cbc4-4c7d-86f6-1110677a023d.jpg?1557432988,Artifact,Dan Frazier
Disrupting Scepter,3,1995,15.48,#8c8d8b,https://cards.scryfall.io/normal/front/3/0/30e2a55a-34e7-4ab2-bbf3-214c6cd8381b.jpg?1557432995,Artifact,Dan Frazier
Drain Power,2,1995,6.91,#341aff,https://cards.scryfall.io/normal/front/1/6/169aeebf-59b3-4e50-bcd8-cb83678415a1.jpg?1557431209,Sorcery,Douglas Shuler
Earthquake,1,1995,15.95,#ff1a1a,https://cards.scryfall.io/normal/front/6/8/68f7aa32-822c-4284-8da3-ea58c7330e47.jpg?1557432072,Sorcery,Dan Frazier
Elder Land Wurm,7,1995,19.99,#ffffff,https://cards.scryfall.io/normal/front/f/a/fabf3c77-cbd9-42ac-ace2-791e04b6eaea.jpg?1557430909,Creature — Dragon Wurm,Quinton Hoover
Elvish Archers,2,1995,19.99,#087500,https://cards.scryfall.io/normal/front/e/8/e8ebffe0-28e3-4e6f-8fa2-d9afe08dbbbd.jpg?1557432464,Creature — Elf Archer,Anson Maddocks
Eye for an Eye,2,1995,2.0,#ffffff,https://cards.scryfall.io/normal/front/3/9/39a62f09-115c-49ab-9c8d-09473b721aca.jpg?1557430915,Instant,Mark Poole
Force of Nature,6,1995,19.97,#087500,https://cards.scryfall.io/normal/front/9/5/95982d0e-3dfb-492d-9ded-78d04d37fbdc.jpg?1557432479,Creature — Elemental,Douglas Shuler
