name,cmc,release_year,price,color,image,type_line,artist
Abyssal Horror,6,2001,0.25,#000000,https://cards.scryfall.io/normal/front/c/c/ccb42943-f599-4068-a364-a023e70c4ed2.jpg?1562248139,Creature — Horror,Daren Bader
Adarkar Wastes,0,2001,6.85,#d78f42,https://cards.scryfall.io/normal/front/9/b/9bd991b2-8c18-4c5f-9b70-461012fee61e.jpg?1562244085,Land,John Avon
Aladdin's Ring,8,2001,0.3,#8c8d8b,https://cards.scryfall.io/normal/front/e/d/ed511375-e445-4d81-818d-92a793d7deee.jpg?1562250794,Artifact,Dave Dorman
Ancestral Memories,5,2001,0.23,#341aff,https://cards.scryfall.io/normal/front/1/0/100f0ca8-a66a-452f-be5f-17f631ba0ee0.jpg?1562232799,Sorcery,Rebecca Guay
Ancient Silverback,6,2001,0.26,#087500,https://cards.scryfall.io/normal/front/3/f/3f2f8a99-b01d-4d0a-bf1c-a3cf08fbc469.jpg?1562236006,Creature — Ape,Scott M. Fischer
Archivist,4,2001,0.48,#341aff,https://cards.scryfall.io/normal/front/8/e/8e44374d-b327-4193-ad3b-628191461d05.jpg?1562242674,Creature — Human Wizard,Donato Giancola
Beast of Burden,6,2001,0.47,#8c8d8b,https://cards.scryfall.io/normal/front/6/7/677c3b59-bd04-4376-aec1-a77404c6072d.jpg?1562239498,Artifact Creature — Golem,Chippy
Bedlam,4,2001,3.28,#ff1a1a,https://cards.scryfall.io/normal/front/2/7/2788ec1a-930e-4a19-ad69-ea456c1390fd.jpg?1562234532,Enchantment,Ron Spencer
Bellowing Fiend,5,2001,0.17,#000000,https://cards.scryfall.io/normal/front/2/b/2b0962d7-d797-4f07-bd73-9cd7a11ffad8.jpg?1562234958,Creature — Spirit,Chippy
Benthic Behemoth,8,2001,0.79,#341aff,https://cards.scryfall.io/normal/front/1/9/19577bda-2728-40c8-a262-26051e6c226b.jpg?1562233741,Creature — Serpent,Heather Hudson
Birds of Paradise,1,2001,14.12,#087500,https://cards.scryfall.io/normal/front/a/2/a2985857-fee5-42a6-9b5d-e157ada52a03.jpg?1562244585,Creature — Bird,Edward P. Beard, Jr.
Blessed Reversal,2,2001,0.36,#ffffff,https://cards.scryfall.io/normal/front/0/6/06a1d373-f619-4855-9154-aee6deeacb59.jpg?1562231828,Instant,Christopher Moeller
Bloodshot Cyclops,6,2001,0.36,#ff1a1a,https://cards.scryfall.io/normal/front/3/8/387dd482-c67d-43da-a4d0-582241431ffd.jpg?1562235920,Creature — Cyclops Giant,Daren Bader
Brushland,0,2001,3.88,#d78f42,https://cards.scryfall.io/normal/front/8/b/8b983b45-e8be-49e1-84c1-cec204395264.jpg?1562242249,Land,Scott Bailey
City of Brass,0,2001,13.71,#8c8d8b,https://cards.scryfall.io/normal/front/2/a/2ac29c5c-3c55-4778-9bcd-642d38a0d3f9.jpg?1562234946,Land,Ron Walotsky
Coat of Arms,5,2001,19.56,#8c8d8b,https://cards.scryfall.io/normal/front/9/6/9642852b-8736-4fce-9f91-37594cbc3f71.jpg?1562243581,Artifact,D. Alexander Gregory
Crimson Hellkite,9,2001,0.37,#ff1a1a,https://cards.scryfall.io/normal/front/5/4/5451e44f-8dd2-48c6-ba67-5c62a04819ef.jpg?1562237937,Creature — Dragon,Carl Critchlow
Daring Apprentice,3,2001,0.19,#341aff,https://cards.scryfall.io/normal/front/7/c/7c5f0cbe-aba9-4f20-909e-c4692a5ad899.jpg?1562241443,Creature — Human Wizard,Dany Orizio
Darkest Hour,1,2001,3.5,#000000,https://cards.scryfall.io/normal/front/a/e/aeeb0f91-2084-448a-8226-95d7c87dd6bb.jpg?1562245787,Enchantment,Ciruelo
Deflection,4,2001,0.23,#341aff,https://cards.scryfall.io/normal/front/5/b/5b18ce34-2ff4-4662-aab3-24c10e9657cc.jpg?1562238174,Instant,Jeff Easley
Delusions of Mediocrity,4,2001,0.73,#341aff,https://cards.scryfall.io/normal/front/a/b/ab43fba7-699e-4bb5-ab3e-b5b1c290340c.jpg?1562245351,Enchantment,Terese Nielsen
Dingus Egg,4,2001,0.47,#8c8d8b,https://cards.scryfall.io/normal/front/8/5/8534792b-96a7-45a6-b854-81066a2e5d90.jpg?1562241751,Artifact,Tony Szczudlo
Disrupting Scepter,3,2001,0.33,#8c8d8b,https://cards.scryfall.io/normal/front/f/9/f94d6842-0b35-4493-8800-cf2b2138d656.jpg?1562251766,Artifact,Darrell Riche
Dregs of Sorrow,5,2001,0.26,#000000,https://cards.scryfall.io/normal/front/c/5/c5c4223d-8846-489d-abfc-8330dc58d12b.jpg?1562247668,Sorcery,Massimilano Frezzato
Early Harvest,3,2001,1.77,#087500,https://cards.scryfall.io/normal/front/7/d/7dcbd047-7757-45ea-abe3-1064881ec90b.jpg?1562241469,Instant,Heather Hudson
Earthquake,1,2001,1.39,#ff1a1a,https://cards.scryfall.io/normal/front/8/f/8f04dc5c-2764-42d0-974e-6d902222c138.jpg?1562242701,Sorcery,Franz Vohwinkel
Eastern Paladin,4,2001,0.31,#000000,https://cards.scryfall.io/normal/front/a/a/aa6dbd6e-c51f-427b-91ab-2d0988fb9966.jpg?1562245343,Creature — Phyrexian Zombie Knight,Kev Walker
Elder Druid,4,2001,0.23,#087500,https://cards.scryfall.io/normal/front/a/a/aa88ff5b-44df-40eb-b0bb-37936ae0d854.jpg?1562245345,Creature — Elf Cleric Druid,Alan Pollack
Elite Archers,6,2001,0.24,#ffffff,https://cards.scryfall.io/normal/front/0/3/03dc7a7b-ec69-406f-82c5-9af54ac1e9a3.jpg?1562231424,Creature — Human Soldier Archer,Dan Frazier
Elvish Archers,2,2001,0.44,#087500,https://cards.scryfall.io/normal/front/0/e/0e8411c9-4f6f-4301-ac36-386016a32852.jpg?1562232411,Creature — Elf Archer,Doug Chaffee
Elvish Champion,3,2001,12.18,#087500,https://cards.scryfall.io/normal/front/6/1/61d00f31-d8fd-4272-87ba-6bcb65c609c6.jpg?1687904239,Creature — Elf,Paolo Parente
Elvish Piper,4,2001,7.1,#087500,https://cards.scryfall.io/normal/front/8/9/89476260-19b1-495c-b23e-6f206483e84a.jpg?1562242217,Creature — Elf Shaman,Tristan Elwell
Ensnaring Bridge,3,2001,16.82,#8c8d8b,https://cards.scryfall.io/normal/front/9/7/97d4fb56-7f63-4087-9ab3-a0df66655886.jpg?1562243641,Artifact,Ron Spencer
Equilibrium,3,2001,4.37,#341aff,https://cards.scryfall.io/normal/front/d/f/dfbe8836-88c3-4f5d-88a0-73e54673960e.jpg?1562249425,Enchantment,Don Hazeltine
Evacuation,5,2001,3.86,#341aff,https://cards.scryfall.io/normal/front/1/e/1e1144eb-701d-4716-9051-e8b77480e72d.jpg?1595438077,Instant,Darrell Riche
Fallen Angel,5,2001,0.33,#000000,https://cards.scryfall.io/normal/front/6/1/612ecb2c-e732-40cc-9e92-d18b80a26c4c.jpg?1562238630,Creature — Angel,Arnie Swekel
Feroz's Ban,6,2001,0.24,#8c8d8b,https://cards.scryfall.io/normal/front/1/8/188b3863-fa7d-4fbb-b061-97580d394017.jpg?1562233358,Artifact,Donato Giancola
Fervor,3,2001,6.34,#ff1a1a,https://cards.scryfall.io/normal/front/5/3/53834370-845c-4677-b665-e556eae8f9de.jpg?1562237926,Enchantment,Wayne England
Final Fortune,2,2001,16.95,#ff1a1a,https://cards.scryfall.io/normal/front/f/b/fb80afc3-4887-42a0-afb2-7fa997981fb2.jpg?1562251808,Instant,Greg Hildebrandt & Tim Hildebrandt
Fleeting Image,3,2001,0.21,#341aff,https://cards.scryfall.io/normal/front/3/5/35971a15-7d8f-4b05-918e-605a26a11f4c.jpg?1562235514,Creature — Illusion,Dave Dorman
Flying Carpet,4,2001,0.23,#8c8d8b,https://cards.scryfall.io/normal/front/7/e/7edcc350-ab84-4aff-a9f0-2cc05c7c43bb.jpg?1562241494,Artifact,Scott M. Fischer
Glorious Anthem,3,2001,0.34,#ffffff,https://cards.scryfall.io/normal/front/e/6/e6f18de6-a99b-49ce-812b-bca8b0aaec38.jpg?1687904320,Enchantment,Terese Nielsen
Goblin King,3,2001,5.13,#ff1a1a,https://cards.scryfall.io/normal/front/0/c/0c77029a-7f00-490e-bf8b-dce192d72e2f.jpg?1562232365,Creature — Goblin,Ron Spears
Grafted Skullcap,4,2001,0.4,#8c8d8b,https://cards.scryfall.io/normal/front/3/f/3ff78a37-c321-4f02-bd10-e73823b954cf.jpg?1562236404,Artifact,Bradley Williams
Greed,4,2001,0.53,#000000,https://cards.scryfall.io/normal/front/f/0/f06db06b-0780-41c7-9b6c-a688b0f5fa2c.jpg?1562250882,Enchantment,Peter Bollinger
Howling Mine,2,2001,2.22,#8c8d8b,https://cards.scryfall.io/normal/front/4/d/4dd270d3-da58-4195-80f4-ade6ae32d092.jpg?1562237444,Artifact,Dana Knutson
Hurricane,1,2001,0.25,#087500,https://cards.scryfall.io/normal/front/f/0/f0526077-79b6-40ae-8178-8b97c33a53fb.jpg?1562250875,Sorcery,John Howe
Impatience,3,2001,0.26,#ff1a1a,https://cards.scryfall.io/normal/front/1/1/11443908-358f-4886-a2da-9b98002a3a3a.jpg?1562232834,Enchantment,Kunio Hagio
Infernal Contract,3,2001,0.36,#000000,https://cards.scryfall.io/normal/front/f/4/f451a70f-1f1c-4fd6-ab0c-4b77a043c324.jpg?1687904726,Sorcery,Pete Venters
Inferno,7,2001,0.3,#ff1a1a,https://cards.scryfall.io/normal/front/e/4/e411b7b5-ab91-410a-af6d-b3a21a8e3b70.jpg?1562249896,Instant,Don Hazeltine
Intrepid Hero,3,2001,1.63,#ffffff,https://cards.scryfall.io/normal/front/4/9/49430d37-03af-4088-a92b-9e0ff3defe29.jpg?1562237358,Creature — Human Soldier,Mike Ploog
Jalum Tome,3,2001,0.25,#8c8d8b,https://cards.scryfall.io/normal/front/a/0/a0c76784-c4b2-48c8-9513-dd7196d27360.jpg?1562244547,Artifact,Jerry Tiritilli
Jandor's Saddlebags,2,2001,0.48,#8c8d8b,https://cards.scryfall.io/normal/front/d/4/d4f8d1ec-a55c-409f-be42-ae1c0f8c66e1.jpg?1562248695,Artifact,Brian Despain
Jayemdae Tome,4,2001,0.34,#8c8d8b,https://cards.scryfall.io/normal/front/3/b/3bed9644-5dc1-4d1c-b60d-4bcf305f2d0b.jpg?1562235949,Artifact,Donato Giancola
Karplusan Forest,0,2001,4.39,#d78f42,https://cards.scryfall.io/normal/front/4/c/4c393b6f-2421-4d77-9025-dac9dfaaae36.jpg?1562237392,Land,Scott Bailey
Kjeldoran Royal Guard,5,2001,0.22,#ffffff,https://cards.scryfall.io/normal/front/2/d/2da50eb5-e559-4d67-8568-d5be80ff62de.jpg?1562235011,Creature — Human Soldier,Carl Critchlow
Lord of Atlantis,2,2001,8.54,#341aff,https://cards.scryfall.io/normal/front/f/d/fd279366-8de2-47c5-9ac0-f41f8f81c643.jpg?1562251850,Creature — Merfolk,Greg Staples
Mahamoti Djinn,6,2001,0.25,#341aff,https://cards.scryfall.io/normal/front/5/d/5d464226-5607-4db2-bd43-7855efb92628.jpg?1562238564,Creature — Djinn,Eric Peterson
Mana Clash,1,2001,0.59,#ff1a1a,https://cards.scryfall.io/normal/front/7/4/740b85ff-61a3-4de0-a055-60daad13ac2a.jpg?1562240562,Sorcery,Larry Elmore
Mana Short,3,2001,1.78,#341aff,https://cards.scryfall.io/normal/front/a/0/a0486784-de03-47a7-949d-550fd23492bc.jpg?1562244544,Instant,Greg Staples
Maro,4,2001,0.24,#087500,https://cards.scryfall.io/normal/front/b/4/b4c3853c-8b41-4bce-b4e0-3824fc5888c4.jpg?1562246259,Creature — Elemental,Pete Venters
Master Healer,5,2001,0.18,#ffffff,https://cards.scryfall.io/normal/front/6/c/6cfdc12c-fd1f-4053-8a1a-63f440ef0102.jpg?1562240055,Creature — Human Cleric,Greg Hildebrandt & Tim Hildebrandt
Mawcor,5,2001,0.25,#341aff,https://cards.scryfall.io/normal/front/4/8/48494f33-34b5-4c76-bb24-23a78b856e3c.jpg?1562237337,Creature — Beast,Kev Walker
Meekstone,1,2001,7.89,#8c8d8b,https://cards.scryfall.io/normal/front/0/a/0a691664-9275-4b89-a8e3-b99c88717ffb.jpg?1562231937,Artifact,David Martin
Might of Oaks,4,2001,0.41,#087500,https://cards.scryfall.io/normal/front/b/1/b1bab68d-da36-43b9-9778-d385d81a0bc5.jpg?1562245845,Instant,Greg Staples
Millstone,2,2001,0.3,#8c8d8b,https://cards.scryfall.io/normal/front/1/d/1da21381-38bf-49d0-98d3-81eb9c99ce82.jpg?1562233837,Artifact,John Avon
Nature's Resurgence,4,2001,0.33,#087500,https://cards.scryfall.io/normal/front/2/8/287f9f55-829d-4b29-b1d2-34d20d23b3d5.jpg?1562234559,Sorcery,Gary Ruddell
Nature's Revolt,5,2001,3.12,#087500,https://cards.scryfall.io/normal/front/e/0/e0c9b948-63f9-458d-82ae-69ebe2ac9fe0.jpg?1562249823,Enchantment,Dave Dorman
Nightmare,6,2001,0.29,#000000,https://cards.scryfall.io/normal/front/c/3/c3779fda-5de0-4d80-8af0-95956e87d9e1.jpg?1562247266,Creature — Nightmare Horse,Carl Critchlow
Northern Paladin,4,2001,0.37,#ffffff,https://cards.scryfall.io/normal/front/5/e/5ed1fb50-b7c3-43e9-a0ef-a33135a12300.jpg?1562238577,Creature — Human Knight,Carl Critchlow
Okk,2,2001,0.21,#ff1a1a,https://cards.scryfall.io/normal/front/3/4/342fd427-baec-435f-9dc7-339c93f43f89.jpg?1562235482,Creature — Goblin,Peter Bollinger
Opposition,4,2001,2.65,#341aff,https://cards.scryfall.io/normal/front/8/9/8980e292-1384-4662-aa72-bc4f6ca30d51.jpg?1562242218,Enchantment,Mark Brill
Oppression,3,2001,14.62,#000000,https://cards.scryfall.io/normal/front/a/c/ac327f80-983e-4e28-96e8-91ff5377f5a3.jpg?1562245368,Enchantment,Alex Horley-Orlandelli
Pariah,3,2001,4.6,#ffffff,https://cards.scryfall.io/normal/front/0/7/079b8e9b-74ac-48c0-8c65-82d70911dd9e.jpg?1562231866,Enchantment — Aura,Scott M. Fischer
Persecute,4,2001,0.53,#000000,https://cards.scryfall.io/normal/front/d/e/de21334b-f06c-4525-89e1-dc3f148210ef.jpg?1562249405,Sorcery,Luca Zontini
Phyrexian Colossus,7,2001,0.31,#8c8d8b,https://cards.scryfall.io/normal/front/8/8/887b377f-4080-4cfa-a5a7-bab32b6891f9.jpg?1562242199,Artifact Creature — Phyrexian Golem,Mark Tedin
Purify,5,2001,0.3,#ffffff,https://cards.scryfall.io/normal/front/0/c/0cfb77ea-6776-4bb4-886d-9a60f56e1fa7.jpg?1562232377,Sorcery,Doug Chaffee
Rag Man,4,2001,0.2,#000000,https://cards.scryfall.io/normal/front/8/e/8e3809e6-41ac-47e8-80dc-9e9c8be1ed7a.jpg?1562242672,Creature — Human Minion,Scott M. Fischer
Reckless Embermage,4,2001,0.22,#ff1a1a,https://cards.scryfall.io/normal/front/b/0/b0f75ed4-b96c-444b-ac91-8aaa02f32f2d.jpg?1562245843,Creature — Human Wizard,Bob Petillo
Relentless Assault,4,2001,2.48,#ff1a1a,https://cards.scryfall.io/normal/front/a/0/a0c48308-12e8-4b85-a5ef-1e0643bd814c.jpg?1562244545,Sorcery,Greg Hildebrandt
Reprocess,4,2001,4.05,#000000,https://cards.scryfall.io/normal/front/1/d/1dc8c769-f2d1-4ef3-bbcc-277f39a10dbd.jpg?1562233845,Sorcery,John Howe
Revenant,5,2001,0.42,#000000,https://cards.scryfall.io/normal/front/9/0/90c75244-68b3-463d-aad3-2b22f1eaf717.jpg?1562243106,Creature — Spirit,Andrew Goldhawk
Reverse Damage,3,2001,0.32,#ffffff,https://cards.scryfall.io/normal/front/a/f/af458eaa-ee16-4b2b-9a55-259458357224.jpg?1562245799,Instant,Eric Peterson
Rolling Stones,2,2001,2.03,#ffffff,https://cards.scryfall.io/normal/front/9/9/9993e9c6-2e30-4bf4-838d-751cbd153390.jpg?1562243669,Enchantment,Don Hazeltine
Rowen,4,2001,0.41,#087500,https://cards.scryfall.io/normal/front/b/b/bbc536ff-3e12-4e1b-b96f-b0c32dcb6734.jpg?1562246787,Enchantment,Franz Vohwinkel
Sacred Ground,2,2001,0.31,#ffffff,https://cards.scryfall.io/normal/front/d/4/d43ccab9-c059-4f25-b27c-3f2d506251bd.jpg?1562248676,Enchantment,Gary Ruddell
Seismic Assault,3,2001,0.61,#ff1a1a,https://cards.scryfall.io/normal/front/d/3/d399a9ac-01da-44a4-8f81-084d41dfada8.jpg?1562248664,Enchantment,Greg Staples
Serra Angel,5,2001,1.49,#ffffff,https://cards.scryfall.io/normal/front/b/7/b7b4e357-de48-4461-8109-bbb07fff5171.jpg?1562246319,Creature — Angel,Mark Zug
Shivan Dragon,6,2001,0.65,#ff1a1a,https://cards.scryfall.io/normal/front/7/f/7fec2b71-8fa9-4818-9c4f-5d2dcd2af495.jpg?1562241523,Creature — Dragon,Donato Giancola
Southern Paladin,4,2001,0.35,#ffffff,https://cards.scryfall.io/normal/front/b/2/b2fa1570-3103-494c-8316-8f0bf484f22d.jpg?1562246220,Creature — Human Knight,Greg Staples
Static Orb,3,2001,20.19,#8c8d8b,https://cards.scryfall.io/normal/front/8/6/86bf43b1-8d4e-4759-bb2d-0b2e03ba7012.jpg?1562242171,Artifact,Terese Nielsen
Storm Cauldron,5,2001,2.39,#8c8d8b,https://cards.scryfall.io/normal/front/0/b/0bb5bdd3-6ecd-49cd-bfa2-e7da1ee85d88.jpg?1562232316,Artifact,Doug Chaffee
