name,cmc,release_year,price,color,image,type_line,artist
Abstergo Entertainment,0,2024,3.99,#8c8d8b,https://cards.scryfall.io/normal/front/4/d/4d197866-7633-493c-80dd-ec3a09165934.jpg?1718771293,Legendary Land,Alexander Gering
Achilles Davenport,4,2024,2.95,#d78f42,https://cards.scryfall.io/normal/front/f/8/f8ead24c-dd4a-40cd-839e-de08017a7c29.jpg?1718772206,Legendary Creature — Human Assassin,Josu Solano
Apple of Eden- Isu Relic,4,2024,15.0,#8c8d8b,https://cards.scryfall.io/normal/front/1/7/17dd0b7f-bd26-4a46-a7a1-bc65138d54ed.jpg?1718771607,Legendary Artifact,L J Koh
Assassin's Trophy,2,2024,3.99,#d78f42,https://cards.scryfall.io/normal/front/d/e/def90432-6d13-4d28-aa27-f75dd26456bb.jpg?1718998051,Instant,Erikas Perl
Auditore Ambush,4,2024,6.96,#d78f42,https://cards.scryfall.io/normal/front/7/4/7426f3dc-385b-42ea-85cb-853e6035ca6f.jpg?1718772170,Sorcery,Julia Vasilyeva
Aveline de Grandpré,4,2024,5.99,#d78f42,https://cards.scryfall.io/normal/front/d/b/db3b4f73-e241-4d60-a877-25327092c291.jpg?1718958828,Legendary Creature — Human Assassin,Aurore Folny
Basim Ibn Ishaq,2,2024,3.99,#d78f42,https://cards.scryfall.io/normal/front/f/8/f8aa19c1-4e87-4f42-814c-490e75565f6e.jpg?1718772671,Legendary Creature — Human Assassin,JB Casacop
Caduceus- Staff of Hermes,3,2024,13.57,#ffffff,https://cards.scryfall.io/normal/front/2/b/2b60f18e-4709-4b91-a342-74eb3fca71e1.jpg?1718947419,Legendary Artifact — Equipment,Evan Shipard
Cleopatra- Exiled Pharaoh,4,2024,12.0,#d78f42,https://cards.scryfall.io/normal/front/7/6/769bbbb3-37e9-47ec-9cee-db63672275e6.jpg?1708706822,Legendary Creature — Human Noble,Mandy Jurgens
Conspiracy,5,2024,4.25,#000000,https://cards.scryfall.io/normal/front/f/a/fa3cbcbb-d865-42df-88e1-0c9bd24b5c79.jpg?1717963844,Enchantment,Allen Morris
Cover of Darkness,2,2024,23.0,#000000,https://cards.scryfall.io/normal/front/5/1/512263f7-975a-4107-b58f-6c8ec85e375e.jpg?1708706779,Enchantment,Paulius Daščioras
Crystal Skull- Isu Spyglass,4,2024,7.35,#341aff,https://cards.scryfall.io/normal/front/b/1/b10fa72b-6742-4b65-8654-ac70b6240e38.jpg?1718774349,Legendary Artifact,Thanh Tuấn
Desmond Miles,2,2024,4.5,#000000,https://cards.scryfall.io/normal/front/c/9/c9523cd1-c3cf-4745-af09-77c1a83ac86f.jpg?1718773083,Legendary Creature — Human Assassin,Julia Vasilyeva
Desynchronization,4,2024,5.6,#341aff,https://cards.scryfall.io/normal/front/3/d/3ddd3561-0143-40b7-81bc-640a978b8b15.jpg?1718846212,Instant,Lie Setiawan
Edward Kenway,5,2024,13.0,#d78f42,https://cards.scryfall.io/normal/front/9/4/9472be1e-388c-45fe-a18d-35b2cb12dc5f.jpg?1718769388,Legendary Creature — Human Assassin Pirate,Borja Pindado
Eivor- Wolf-Kissed,6,2024,9.0,#d78f42,https://cards.scryfall.io/normal/front/8/8/88667198-3bec-413c-b41e-de96abc8db7b.jpg?1718770864,Legendary Creature — Human Assassin Warrior,Justyna Dura
Evie Frye,2,2024,3.5,#341aff,https://cards.scryfall.io/normal/front/6/2/62f1ff84-d363-4aa2-b884-e9640cf62537.jpg?1718773018,Legendary Creature — Human Assassin,Lie Setiawan
Excalibur- Sword of Eden,12,2024,12.66,#8c8d8b,https://cards.scryfall.io/normal/front/2/6/26dbf574-3193-413e-a982-4b9d27dafaf5.jpg?1718947456,Legendary Artifact — Equipment,Thanh Tuấn
Ezio Auditore da Firenze,2,2024,26.0,#d78f42,https://cards.scryfall.io/normal/front/d/a/dae9ee75-30b8-4e24-af8b-031c816d3221.jpg?1708706027,Legendary Creature — Human Assassin,Fajareka Setiawan
Fiery Islet,0,2024,11.99,#d78f42,https://cards.scryfall.io/normal/front/3/e/3e73be68-aec6-4033-9cdd-bc473d7db93a.jpg?1719203589,Land,Alexander Gering
Havi- the All-Father,6,2024,5.0,#d78f42,https://cards.scryfall.io/normal/front/7/c/7c44cc99-eb71-4be3-89f2-74473f2717d3.jpg?1719526207,Legendary Creature — God Warrior,Daniel Correia
Haytham Kenway,4,2024,4.32,#d78f42,https://cards.scryfall.io/normal/front/7/3/73468f53-7de5-4a64-8f83-c0376f1d1f3f.jpg?1718894648,Legendary Creature — Human Knight,Vilhelmas Banys
Jacob Frye,3,2024,4.0,#000000,https://cards.scryfall.io/normal/front/2/3/23422e75-e1c7-484b-aa1f-155ef9a998ec.jpg?1718998668,Legendary Creature — Human Assassin,Lie Setiawan
Kassandra- Eagle Bearer,3,2024,9.0,#d78f42,https://cards.scryfall.io/normal/front/e/1/e127a40c-90c8-4c2d-aff4-daab1c56a4c5.jpg?1718400766,Legendary Creature — Human Assassin Warrior,Anna Steinbauer
Leonardo da Vinci,3,2024,13.0,#341aff,https://cards.scryfall.io/normal/front/2/8/283d04a5-3639-42de-b940-ffa7e609e527.jpg?1708705316,Legendary Creature — Human Artificer,Wangjie Li
Mary Read and Anne Bonny,3,2024,4.99,#d78f42,https://cards.scryfall.io/normal/front/1/1/116bf8c6-8488-4eff-b350-b3ea821353b1.jpg?1718773626,Legendary Creature — Human Assassin Pirate,Wangjie Li
Mjölnir- Storm Hammer,4,2024,6.75,#8c8d8b,https://cards.scryfall.io/normal/front/d/f/df09fc8c-e008-427b-b007-ceec9a4aa4ab.jpg?1718775203,Legendary Artifact — Equipment,L J Koh
Nurturing Peatland,0,2024,11.99,#d78f42,https://cards.scryfall.io/normal/front/a/b/ab4b80c5-fe04-4e5e-9637-b745c2c8956b.jpg?1719130237,Land,Alexander Gering
