name,cmc,release_year,price,color,image,type_line,artist
Aethergeode Miner,2,2017,0.13,#ffffff,https://cards.scryfall.io/normal/front/8/0/80bb3abd-ebaf-4dc2-97eb-ed4a2b005177.jpg?1576381279,Creature — Dwarf Scout,Winona Nelson
Aethersphere Harvester,3,2017,0.29,#8c8d8b,https://cards.scryfall.io/normal/front/4/1/4160bb5f-4b49-4535-94f5-776d7abd1d1a.jpg?1576382193,Artifact — Vehicle,Christine Choi
Aethertide Whale,6,2017,0.15,#341aff,https://cards.scryfall.io/normal/front/3/8/38722c25-13a7-47af-a4cd-90722f289499.jpg?1576381449,Creature — Whale,Steven Belledin
Aetherwind Basker,7,2017,0.35,#087500,https://cards.scryfall.io/normal/front/f/a/fa04d5fa-6ba2-4833-8ea0-1941a03bd3e9.jpg?1576381949,Creature — Lizard,Svetlin Velinov
Aid from the Cowl,5,2017,0.21,#087500,https://cards.scryfall.io/normal/front/5/6/565cb7fc-cf90-4020-84fe-05ec7b18709d.jpg?1576381957,Enchantment,Viktor Titov
Ajani's Aid,4,2017,0.16,#d78f42,https://cards.scryfall.io/normal/front/7/0/7026c374-0776-403b-86fd-5092677fd5c9.jpg?1562921390,Enchantment,Terese Nielsen
Ajani Unyielding,6,2017,0.48,#d78f42,https://cards.scryfall.io/normal/front/2/3/23b82ee9-2ac6-4b81-8c64-dd4f47c2d8cb.jpg?1576382099,Legendary Planeswalker — Ajani,Kieran Yanner
Baral- Chief of Compliance,2,2017,3.81,#341aff,https://cards.scryfall.io/normal/front/6/0/60e16d94-1166-4050-8554-686e153a7f80.jpg?1576381454,Legendary Creature — Human Wizard,Wesley Burt
Baral's Expertise,5,2017,0.66,#341aff,https://cards.scryfall.io/normal/front/d/2/d273f5b7-b3a3-485a-acc8-34e10a504646.jpg?1576381459,Sorcery,Todd Lockwood
Battle at the Bridge,1,2017,0.21,#000000,https://cards.scryfall.io/normal/front/7/4/74d8b644-4cca-451e-a46c-5237c13bf373.jpg?1576381615,Sorcery,Chris Rallis
Call for Unity,5,2017,0.22,#ffffff,https://cards.scryfall.io/normal/front/e/e/eeca4557-98aa-433b-a3ee-050e4a3e6d88.jpg?1576381320,Enchantment,John Severin Brassell
Consulate Crackdown,5,2017,0.17,#ffffff,https://cards.scryfall.io/normal/front/0/2/02fb7a26-fbf0-4b91-847b-cfc46e01a342.jpg?1576381336,Enchantment,Jonas De Ro
Dark Intimations,5,2017,0.23,#d78f42,https://cards.scryfall.io/normal/front/d/d/dd8f103c-a688-4f22-ae59-2bce1db9d44a.jpg?1576382106,Sorcery,Chase Stone
Disallow,3,2017,3.69,#341aff,https://cards.scryfall.io/normal/front/2/5/25f05814-a5a5-460f-9d29-0ab03efecf4c.jpg?1576381471,Instant,Min Yum
Exquisite Archangel,7,2017,1.99,#ffffff,https://cards.scryfall.io/normal/front/d/0/d04018c9-510c-4610-9daa-677434628805.jpg?1576381389,Creature — Angel,Brad Rigney
Freejam Regent,6,2017,0.08,#ff1a1a,https://cards.scryfall.io/normal/front/d/6/d6b5147f-b422-47d3-98a0-dcc2d6f4e17a.jpg?1576382131,Creature — Dragon,Volkan Baǵa
Glint-Sleeve Siphoner,2,2017,0.17,#000000,https://cards.scryfall.io/normal/front/3/1/315976db-4cab-4393-8386-ce3b0ae3f490.jpg?1576381673,Creature — Human Rogue,Greg Opalinski
Gonti's Aether Heart,6,2017,5.36,#8c8d8b,https://cards.scryfall.io/normal/front/9/e/9e4fc5ed-e90d-4965-985a-ed126a713506.jpg?1576382256,Legendary Artifact,Vincent Proce
Greenbelt Rampager,1,2017,0.17,#087500,https://cards.scryfall.io/normal/front/f/3/f3f06124-bcc4-48c0-a7a6-a461c7485ecd.jpg?1576381971,Creature — Elephant,Filip Burburan
Greenwheel Liberator,2,2017,0.08,#087500,https://cards.scryfall.io/normal/front/1/a/1ad9bf0f-4271-497f-8d67-3c7bf09342dc.jpg?1576381977,Creature — Elf Warrior,Todd Lockwood
Heart of Kiran,2,2017,0.82,#8c8d8b,https://cards.scryfall.io/normal/front/5/e/5e847c44-1849-4251-9075-88ed5c7792a6.jpg?1576382262,Legendary Artifact — Vehicle,Jaime Jones
Herald of Anguish,7,2017,2.13,#000000,https://cards.scryfall.io/normal/front/3/1/31a69ebe-4229-4067-8414-381b123fe63c.jpg?1576381686,Creature — Demon,Vincent Proce
Heroic Intervention,2,2017,14.14,#087500,https://cards.scryfall.io/normal/front/8/f/8f5a620c-fde7-4b72-bf8a-efc4f14560c5.jpg?1593858780,Instant,James Ryman
Hope of Ghirapur,1,2017,3.05,#8c8d8b,https://cards.scryfall.io/normal/front/6/f/6f4bcadd-7eff-4294-94d5-52482a734d5b.jpg?1576382268,Legendary Artifact Creature — Thopter,Lius Lasahido
Indomitable Creativity,3,2017,16.89,#ff1a1a,https://cards.scryfall.io/normal/front/e/d/edd00e45-2ae1-4cd0-92a1-155c95f8dc72.jpg?1576381816,Sorcery,Deruchenko Alexander
Inspiring Statuary,3,2017,2.91,#8c8d8b,https://cards.scryfall.io/normal/front/4/0/40e2564f-0066-41e0-a767-13ef33a17024.jpg?1576382311,Artifact,Kirsten Zirngibl
Kari Zev's Expertise,3,2017,0.92,#ff1a1a,https://cards.scryfall.io/normal/front/a/b/ab5c7400-6307-4c51-88b8-9c0232110714.jpg?1576381839,Sorcery,Jason Rainville
Kari Zev- Skyship Raider,2,2017,0.32,#ff1a1a,https://cards.scryfall.io/normal/front/7/2/72495879-39ce-449d-ad2f-ef32ea46f3aa.jpg?1576381833,Legendary Creature — Human Pirate,Brad Rigney
Lifecrafter's Bestiary,3,2017,0.49,#087500,https://cards.scryfall.io/normal/front/7/4/7439a855-4041-4d14-8edf-6741a734e55d.jpg?1576382327,Artifact,Izzy
Lightning Runner,5,2017,0.35,#ff1a1a,https://cards.scryfall.io/normal/front/e/5/e5d9c7eb-dca4-4471-a91f-a5aad3a69c2f.jpg?1576381851,Creature — Human Warrior,Raymond Swanland
Mechanized Production,4,2017,11.37,#341aff,https://cards.scryfall.io/normal/front/2/3/235dd8f1-215a-4b0a-9e94-0d0d5a3c730b.jpg?1576381513,Enchantment — Aura,Adam Paquette
Merchant's Dockhand,1,2017,0.08,#341aff,https://cards.scryfall.io/normal/front/9/5/955b4bc9-1ded-4f23-b415-ab968c681eb7.jpg?1576382333,Artifact Creature — Construct,Christine Choi
Metallic Mimic,2,2017,7.19,#8c8d8b,https://cards.scryfall.io/normal/front/1/a/1aa4eba9-9e91-4beb-9296-a18baa73a318.jpg?1576382339,Artifact Creature — Shapeshifter,Zack Stella
Midnight Entourage,4,2017,0.08,#000000,https://cards.scryfall.io/normal/front/2/8/2838c6dd-d816-4363-a861-f2f8052d1430.jpg?1576381699,Creature — Aetherborn Rogue,Lius Lasahido
