name,cmc,release_year,price,color,image,type_line,artist
Acererak the Archlich,3,2021,6.0,#000000,https://cards.scryfall.io/normal/front/d/d/dd52d0bd-3abd-401c-9f56-ee911613da3b.jpg?1627704283,Legendary Creature — Zombie Wizard,Andrey Kuzinskiy
Adult Gold Dragon,5,2021,0.25,#d78f42,https://cards.scryfall.io/normal/front/6/7/67a76010-d932-4727-8b5e-b8e2d14e1362.jpg?1627708716,Creature — Dragon,Chris Rahn
Asmodeus the Archfiend,6,2021,0.21,#000000,https://cards.scryfall.io/normal/front/a/5/a5e6b864-58e7-43b9-9d79-1d0361340960.jpg?1627704325,Legendary Creature — Devil God,Aleksi Briclot
Bard Class,2,2021,0.65,#d78f42,https://cards.scryfall.io/normal/front/3/7/37d6343a-c514-4ca6-a415-62d1a473ae20.jpg?1627708744,Enchantment — Class,Andrew Mar
Cave of the Frost Dragon,0,2021,0.69,#ffffff,https://cards.scryfall.io/normal/front/b/d/bdb41396-5008-4a5f-92ca-54ecac42e926.jpg?1627710109,Land,Johannes Voss
Circle of Dreams Druid,3,2021,4.94,#087500,https://cards.scryfall.io/normal/front/b/e/be6fdec0-a2c4-4da2-ae14-961185eaee66.jpg?1627707261,Creature — Elf Druid,Sam Guay
Dancing Sword,2,2021,0.08,#ffffff,https://cards.scryfall.io/normal/front/9/c/9c3d7824-1297-408c-a11f-0622cab9c4c3.jpg?1627701492,Artifact — Equipment,Wisnu Tan
Delina- Wild Mage,4,2021,3.98,#ff1a1a,https://cards.scryfall.io/normal/front/e/8/e87459aa-af8f-4bd2-a310-151353083a2e.jpg?1665157404,Legendary Creature — Elf Shaman,Wisnu Tan
Demilich,4,2021,0.72,#341aff,https://cards.scryfall.io/normal/front/0/a/0a1351ed-b9df-4a6d-aaa1-ec6db673d265.jpg?1639436596,Creature — Skeleton Wizard,Daniel Zrom
Den of the Bugbear,0,2021,5.72,#ff1a1a,https://cards.scryfall.io/normal/front/f/2/f231caf8-56c0-4719-a90d-5e5efbee3148.jpg?1627710135,Land,Johannes Voss
Dragon Turtle,3,2021,0.25,#341aff,https://cards.scryfall.io/normal/front/d/4/d436ba80-386f-40ad-b0ca-a98cc50de964.jpg?1627703189,Creature — Dragon Turtle,Dan Scott
Drizzt Do'Urden,5,2021,0.39,#d78f42,https://cards.scryfall.io/normal/front/4/6/46e3259e-93c2-48c0-8b96-835cdb883383.jpg?1627708841,Legendary Creature — Elf Ranger,Tyler Jacobson
Dungeon Descent,0,2021,0.18,#8c8d8b,https://cards.scryfall.io/normal/front/f/4/f4cccdbc-f4f4-42b6-9747-6ef703ff949a.jpg?1627710168,Land,Kasia 'Kafis' Zielińska
Ebondeath- Dracolich,4,2021,3.2,#000000,https://cards.scryfall.io/normal/front/e/6/e6b3f460-92ba-4af0-aad9-cf86615d4177.jpg?1627704720,Legendary Creature — Zombie Dragon,Lars Grant-West
Ellywick Tumblestrum,4,2021,0.86,#087500,https://cards.scryfall.io/normal/front/b/a/bab81bc0-0369-469e-9296-6d9681697b21.jpg?1627707422,Legendary Planeswalker — Ellywick,Anna Steinbauer
Eye of Vecna,2,2021,0.38,#8c8d8b,https://cards.scryfall.io/normal/front/b/9/b91e2431-500e-441a-881d-094ebef62283.jpg?1627709761,Legendary Artifact,Irina Nordsol
Fighter Class,2,2021,3.9,#d78f42,https://cards.scryfall.io/normal/front/d/5/d54a8329-b940-42c9-8ace-1d74407d14cb.jpg?1627708909,Enchantment — Class,Volkan Baǵa
Flameskull,3,2021,0.23,#ff1a1a,https://cards.scryfall.io/normal/front/3/2/32d3f766-4098-4023-9a23-e9ff6722b66d.jpg?1627706222,Creature — Skeleton,Xavier Ribeiro
Flumph,2,2021,0.54,#ffffff,https://cards.scryfall.io/normal/front/c/d/cdc86e78-8911-4a0d-ba3a-7802f8d991ef.jpg?1627701697,Creature — Jellyfish,Brian Valeza
Forsworn Paladin,1,2021,0.35,#000000,https://cards.scryfall.io/normal/front/4/a/4acaf396-f950-42da-85ab-149ffb31fee6.jpg?1627704845,Creature — Human Knight,Lorenzo Mastroianni
Froghemoth,5,2021,0.21,#087500,https://cards.scryfall.io/normal/front/7/2/728e9567-2585-4c03-99a5-3e84fd8044d2.jpg?1627707629,Creature — Frog Horror,Brent Hollowell
Gelatinous Cube,4,2021,0.18,#000000,https://cards.scryfall.io/normal/front/1/c/1c472e70-300c-4881-86e7-c5ca690ab9b6.jpg?1627704890,Creature — Ooze,Olivier Bernard
Grand Master of Flowers,4,2021,0.74,#ffffff,https://cards.scryfall.io/normal/front/8/c/8ca4ffff-404e-4e8e-8fd6-4e64d4828fc7.jpg?1627701766,Legendary Planeswalker — Bahamut,Ekaterina Burmak
Grazilaxx- Illithid Scholar,3,2021,1.03,#341aff,https://cards.scryfall.io/normal/front/9/8/98cca453-4611-4f3d-85d8-d74d260c7598.jpg?1627703337,Legendary Creature — Horror,Alexander Mokhov
Guardian of Faith,3,2021,8.86,#ffffff,https://cards.scryfall.io/normal/front/0/8/08e3dda1-a1d3-48c9-8c81-da7eae20ac8a.jpg?1627701793,Creature — Spirit Knight,Brian Valeza
Hall of Storm Giants,0,2021,1.97,#341aff,https://cards.scryfall.io/normal/front/b/f/bf8f052d-8840-4905-a807-9a305f4fd8f7.jpg?1627710259,Land,Johannes Voss
Hand of Vecna,3,2021,0.18,#8c8d8b,https://cards.scryfall.io/normal/front/d/d/ddd0beb7-80dc-4665-bab2-747c795d97db.jpg?1627709846,Legendary Artifact — Equipment,Irina Nordsol
Hive of the Eye Tyrant,0,2021,3.97,#000000,https://cards.scryfall.io/normal/front/9/e/9eb391dc-0378-4793-a5de-899b09792a4b.jpg?1627710306,Land,Johannes Voss
Hobgoblin Bandit Lord,3,2021,1.05,#ff1a1a,https://cards.scryfall.io/normal/front/0/9/09e9dc36-f2d8-4384-98cb-e44c00b02433.jpg?1627706357,Creature — Goblin Rogue,Mark Zug
Icingdeath- Frost Tyrant,4,2021,0.98,#ffffff,https://cards.scryfall.io/normal/front/2/6/26b0e68a-9d4e-42ea-8dac-c47cbed0c6ad.jpg?1630107263,Legendary Creature — Dragon,Matt Stewart
Inferno of the Star Mounts,6,2021,2.81,#ff1a1a,https://cards.scryfall.io/normal/front/c/7/c788c6a6-20d9-4a93-a898-330b085226c4.jpg?1627767538,Legendary Creature — Dragon,Jesper Ejsing
Instrument of the Bards,1,2021,0.25,#087500,https://cards.scryfall.io/normal/front/d/5/d58486dc-3e78-4649-89c7-46f6210ff80f.jpg?1627707828,Legendary Artifact,Randy Gallegos
Iymrith- Desert Doom,5,2021,0.73,#341aff,https://cards.scryfall.io/normal/front/c/3/c3e6025d-d273-4ae4-9929-5e588612f1b3.jpg?1627703415,Legendary Creature — Dragon,Wisnu Tan
Lair of the Hydra,0,2021,2.17,#087500,https://cards.scryfall.io/normal/front/b/6/b670bb0f-680f-4036-bdb6-ac73e866a398.jpg?1627710336,Land,Johannes Voss
Lolth- Spider Queen,5,2021,2.94,#000000,https://cards.scryfall.io/normal/front/4/2/420a5689-d73e-4dda-82fd-8b8897ff5b55.jpg?1628185302,Legendary Planeswalker — Lolth,Tyler Jacobson
