cmc,price,color
5,6.04,#000000
4,4.7,#d78f42
7,0.31,#000000
5,0.66,#ffffff
7,1.24,#d78f42
6,0.4,#d78f42
5,0.3,#ff1a1a
7,0.27,#d78f42
5,0.17,#341aff
4,1.39,#ffffff
4,1.04,#ff1a1a
7,0.52,#d78f42
3,7.98,#000000
3,3.28,#000000
4,12.24,#ffffff
8,2.97,#d78f42
2,3.55,#ffffff
1,0.92,#087500
6,0.51,#ff1a1a
6,0.78,#341aff
3,0.75,#ff1a1a
8,11.15,#d78f42
8,5.65,#d78f42
3,0.37,#ff1a1a
4,0.45,#000000
8,0.47,#ffffff
8,4.65,#341aff
4,1.78,#087500
5,2.72,#ffffff
2,2.34,#ffffff
5,4.2,#d78f42
5,3.47,#8c8d8b
3,0.25,#087500
3,1.35,#341aff
3,1.42,#d78f42
3,2.4,#341aff
4,0.47,#341aff
5,2.34,#8c8d8b
5,3.45,#087500
2,0.35,#087500
6,0.78,#ff1a1a
8,3.74,#d78f42
4,0.3,#d78f42
3,3.91,#8c8d8b
4,8.45,#d78f42
4,2.59,#ffffff
6,0.42,#d78f42
3,0.24,#087500
6,0.49,#000000
4,6.17,#d78f42
5,5.55,#ffffff
3,0.31,#d78f42
6,21.04,#d78f42
6,0.43,#341aff
6,0.76,#d78f42
0,1.04,#8c8d8b
3,0.42,#341aff
5,0.23,#087500
7,3.32,#087500
8,1.99,#d78f42
4,0.96,#d78f42
6,0.25,#000000
5,20.24,#341aff
7,1.63,#d78f42
6,0.25,#d78f42
7,3.94,#ff1a1a
7,0.81,#d78f42
5,0.54,#ff1a1a
