name,cmc,release_year,price,color,image
Ashnod's Cylix,2,1996,2.54,#8c8d8b,https://cards.scryfall.io/normal/front/d/8/d84e6fcf-4745-4dfb-9103-17beec4e45b6.jpg?1562770624
Balduvian Horde,4,1996,1.23,#ff1a1a,https://cards.scryfall.io/normal/front/8/e/8e167a6c-05f8-4d90-9f6b-eb0f1046d54a.jpg?1562769655
Balduvian Trading Post,0,1996,4.28,#ff1a1a,https://cards.scryfall.io/normal/front/a/3/a329ff98-36fd-44c3-b037-dcc6e78ee61e.jpg?1562769687
Chaos Harlequin,4,1996,0.95,#ff1a1a,https://cards.scryfall.io/normal/front/e/c/ec7d7c80-4e3c-454e-b2ed-6f0436df19c9.jpg?1562770655
Diminishing Returns,4,1996,1.39,#341aff,https://cards.scryfall.io/normal/front/a/3/a375ec24-4841-4792-ad58-f29cdf0d1bbb.jpg?1562769689
Dystopia,3,1996,3.92,#000000,https://cards.scryfall.io/normal/front/5/f/5f8bb451-706d-44ff-bbad-9ddc6f9f786a.jpg?1562768724
Exile,3,1996,1.36,#ffffff,https://cards.scryfall.io/normal/front/1/0/108b85ff-ed03-4b3e-872f-1cad1a27b930.jpg?1562767776
Fatal Lore,4,1996,1.18,#000000,https://cards.scryfall.io/normal/front/2/4/24ba0b83-9671-4ee7-996d-57a3616b9c66.jpg?1562768225
Floodwater Dam,3,1996,1.56,#8c8d8b,https://cards.scryfall.io/normal/front/d/2/d272c3cb-0b68-4693-abef-8a5375b2463e.jpg?1562770613
Gargantuan Gorilla,7,1996,1.31,#087500,https://cards.scryfall.io/normal/front/4/9/49f367c2-f47e-43e1-9936-4324be664475.jpg?1562768698
Gustha's Scepter,0,1996,4.74,#8c8d8b,https://cards.scryfall.io/normal/front/7/9/797c84fa-3704-4fec-bd72-468d6415ae70.jpg?1562769202
Heart of Yavimaya,0,1996,3.27,#087500,https://cards.scryfall.io/normal/front/4/0/40c59cb9-559b-4716-9bd7-c818b3f46f1d.jpg?1562768256
Helm of Obedience,4,1996,62.88,#8c8d8b,https://cards.scryfall.io/normal/front/b/1/b17e9216-b1ed-4101-a04e-2bb139ccfa55.jpg?1562770147
Ivory Gargoyle,5,1996,1.5,#ffffff,https://cards.scryfall.io/normal/front/3/6/365820e4-7b43-423b-98ce-f383eb4d2a96.jpg?1562768245
Kaysa,5,1996,7.43,#087500,https://cards.scryfall.io/normal/front/c/d/cd4b6daf-cf37-43c6-9446-3aa0de222ac4.jpg?1562770177
Keeper of Tresserhorn,6,1996,1.07,#000000,https://cards.scryfall.io/normal/front/a/a/aaf8b0ec-f81a-488c-850c-098a8a3119e5.jpg?1562770136
Kjeldoran Outpost,0,1996,15.29,#ffffff,https://cards.scryfall.io/normal/front/e/0/e0769fc7-50b5-4b49-8aff-af04536288fb.jpg?1562770637
Krovikan Horror,4,1996,3.05,#000000,https://cards.scryfall.io/normal/front/e/1/e1f3cb1c-6bde-4b55-b5bc-5b64b56930f2.jpg?1562770642
Lake of the Dead,0,1996,96.31,#000000,https://cards.scryfall.io/normal/front/a/e/aee806ce-effa-4244-9659-43246e944d80.jpg?1562770142
Library of Lat-Nam,5,1996,0.32,#341aff,https://cards.scryfall.io/normal/front/5/f/5f5fa739-e8d4-4e1d-8b6b-c334d1e91bef.jpg?1562768723
Lodestone Bauble,0,1996,4.6,#8c8d8b,https://cards.scryfall.io/normal/front/8/4/84d88a33-3990-4044-a5fe-4123d5781f18.jpg?1562769216
Lord of Tresserhorn,4,1996,6.1,#d78f42,https://cards.scryfall.io/normal/front/5/f/5fc9497a-42bf-4d78-afaf-67645514ade4.jpg?1562768726
Misfortune,4,1996,2.34,#d78f42,https://cards.scryfall.io/normal/front/b/1/b14cc32a-eb4f-4690-aceb-160780743ebe.jpg?1562770145
Nature's Wrath,6,1996,2.48,#087500,https://cards.scryfall.io/normal/front/4/5/450759f0-5d60-4f05-9011-b0b66dbb06a7.jpg?1562768694
Omen of Fire,5,1996,2.97,#ff1a1a,https://cards.scryfall.io/normal/front/9/c/9c724b46-6e17-4bee-9bc6-e9fc5a379dd7.jpg?1562769675
Phantasmal Sphere,2,1996,1.06,#341aff,https://cards.scryfall.io/normal/front/a/8/a84617c7-c70a-497c-b834-3d98346180cf.jpg?1562769695
Phelddagrif,4,1996,15.05,#d78f42,https://cards.scryfall.io/normal/front/d/9/d9631cb2-d53b-4401-b53b-29d27bdefc44.jpg?1562770627
Phyrexian Devourer,6,1996,19.36,#8c8d8b,https://cards.scryfall.io/normal/front/3/1/319430fa-11e4-426e-8297-67df8474c3cc.jpg?1562768237
Phyrexian Portal,3,1996,2.58,#8c8d8b,https://cards.scryfall.io/normal/front/7/4/74f77387-1239-4ad2-b59f-d13e317477ba.jpg?1562769197
Ritual of the Machine,4,1996,10.51,#000000,https://cards.scryfall.io/normal/front/5/3/537b4109-ae7c-451a-8576-97f817a70d75.jpg?1587856913
Rogue Skycaptain,3,1996,1.22,#ff1a1a,https://cards.scryfall.io/normal/front/9/7/97aebf3b-e77d-4d18-b58b-117ae91792e2.jpg?1562769668
Royal Decree,4,1996,3.25,#ffffff,https://cards.scryfall.io/normal/front/d/2/d22231f5-30af-4f46-b2c9-0b71124c6939.jpg?1562770182
Sheltered Valley,0,1996,2.1,#8c8d8b,https://cards.scryfall.io/normal/front/0/4/049d7a08-1605-4ce2-b8c5-634ce2a261e0.jpg?1562767766
Soldevi Digger,2,1996,2.94,#8c8d8b,https://cards.scryfall.io/normal/front/5/a/5a3a0ab4-e8ef-45fd-9a73-86d1ee30cb48.jpg?1562768715
Soldevi Excavations,0,1996,20.06,#341aff,https://cards.scryfall.io/normal/front/8/d/8dbda146-ed0a-4bf6-b99d-dc6d59bd9447.jpg?1624811917
Splintering Wind,4,1996,0.83,#087500,https://cards.scryfall.io/normal/front/0/a/0afa94e5-fef6-4f3a-9196-d7aa6dd841c2.jpg?1562767772
Storm Cauldron,5,1996,3.33,#8c8d8b,https://cards.scryfall.io/normal/front/1/f/1f68b531-a3f2-4830-b170-fb8a1195c149.jpg?1562768220
Sustaining Spirit,2,1996,2.16,#ffffff,https://cards.scryfall.io/normal/front/c/9/c9ecf91a-9ce1-44a1-8859-7163d32cfba6.jpg?1562770171
Sworn Defender,4,1996,1.19,#ffffff,https://cards.scryfall.io/normal/front/3/2/328e6ceb-30f7-415e-93b4-7075af0fed89.jpg?1562768240
Thawing Glaciers,0,1996,23.65,#8c8d8b,https://cards.scryfall.io/normal/front/6/4/6411a8c6-010f-4863-a0fa-bbebe09d5c34.jpg?1562768736
Thought Lash,4,1996,14.14,#341aff,https://cards.scryfall.io/normal/front/d/5/d59bbac1-ca51-4c72-9f1f-5fc6c82a4a27.jpg?1562770616
Tidal Control,3,1996,1.48,#341aff,https://cards.scryfall.io/normal/front/c/b/cb9a7b7d-3d37-4bb6-ab48-1fec2bfb4fdc.jpg?1562770174
Tornado,5,1996,1.89,#087500,https://cards.scryfall.io/normal/front/a/2/a2fd58e4-eb9a-4a12-8914-0a9a8300626c.jpg?1562769686
Varchild's War-Riders,2,1996,5.41,#ff1a1a,https://cards.scryfall.io/normal/front/e/e/ee1d41da-aa72-434b-811f-95d4bae4ba5c.jpg?1562770657
Wandering Mage,3,1996,3.17,#d78f42,https://cards.scryfall.io/normal/front/8/d/8d9b1b6c-1f02-4918-bb5c-2dbcdb0997ec.jpg?1562769223
Winter's Night,3,1996,1.93,#d78f42,https://cards.scryfall.io/normal/front/7/f/7f020ebc-4950-4407-8cb8-7630cad226f6.jpg?1562769210
