cmc,price,color
3,0.73,#d78f42
5,0.33,#d78f42
7,0.28,#d78f42
3,2.86,#d78f42
6,0.83,#d78f42
6,2.01,#d78f42
6,8.97,#d78f42
7,0.38,#d78f42
2,0.6,#d78f42
8,0.34,#d78f42
5,0.67,#d78f42
4,0.91,#d78f42
6,0.43,#d78f42
3,2.78,#d78f42
7,7.99,#d78f42
4,1.05,#d78f42
2,0.32,#d78f42
3,0.3,#d78f42
3,10.73,#d78f42
5,0.78,#d78f42
5,8.64,#d78f42
4,0.38,#d78f42
5,3.94,#d78f42
3,3.31,#d78f42
3,7.91,#d78f42
2,2.27,#d78f42
4,0.27,#d78f42
6,1.22,#d78f42
5,3.5,#d78f42
5,0.3,#d78f42
4,0.35,#d78f42
5,0.27,#d78f42
5,11.11,#d78f42
7,0.28,#d78f42
6,0.6,#d78f42
5,0.43,#d78f42
4,1.25,#d78f42
8,1.39,#d78f42
4,0.24,#d78f42
7,1.45,#d78f42
2,3.49,#d78f42
4,1.17,#d78f42
5,14.35,#d78f42
2,0.31,#d78f42
3,2.16,#d78f42
