cmc,price,color
0,4.38,#d78f42
7,0.51,#ffffff
4,6.05,#ffffff
5,0.36,#341aff
4,0.36,#ff1a1a
8,29.48,#ffffff
1,1.39,#ff1a1a
6,0.77,#d78f42
5,1.12,#ff1a1a
3,0.15,#341aff
5,5.54,#ffffff
0,62.36,#8c8d8b
3,1.81,#087500
5,3.92,#8c8d8b
8,46.9,#087500
3,0.51,#000000
6,8.39,#341aff
5,0.15,#000000
4,0.25,#000000
3,8.5,#087500
5,0.44,#000000
0,0.36,#d78f42
5,2.13,#341aff
1,0.18,#ffffff
5,0.27,#000000
3,1.5,#087500
2,0.62,#ff1a1a
3,1.5,#ffffff
5,32.54,#000000
3,0.18,#8c8d8b
7,16.47,#d78f42
2,0.13,#000000
8,8.51,#000000
6,1.78,#000000
5,2.37,#ffffff
4,0.33,#ff1a1a
6,0.23,#341aff
1,1.77,#000000
5,0.16,#341aff
4,0.15,#341aff
5,4.64,#ff1a1a
4,0.94,#341aff
4,0.76,#8c8d8b
4,0.95,#8c8d8b
10,3.65,#087500
5,11.41,#ff1a1a
4,2.02,#ffffff
6,0.28,#087500
4,0.34,#ffffff
7,0.15,#ff1a1a
5,9.99,#d78f42
3,0.69,#ffffff
0,0.83,#d78f42
3,2.99,#087500
6,1.28,#087500
7,0.12,#341aff
4,0.26,#341aff
5,16.45,#341aff
7,6.78,#341aff
6,1.54,#ffffff
2,1.31,#ff1a1a
2,0.26,#000000
7,0.32,#ff1a1a
1,1.12,#087500
1,3.96,#ff1a1a
3,0.65,#087500
5,0.67,#087500
5,1.44,#ff1a1a
