name,cmc,release_year,price,color,image
Akoum Firebird,4,2015,0.32,#ff1a1a,None
Akoum Hellkite,6,2015,0.25,#ff1a1a,None
Aligned Hedron Network,4,2015,0.12,#8c8d8b,None
Ally Encampment,0,2015,0.19,#8c8d8b,None
Angelic Captain,5,2015,0.07,#d78f42,None
Barrage Tyrant,5,2015,0.14,#ff1a1a,None
Beastcaller Savant,2,2015,0.47,#087500,None
Blight Herder,5,2015,0.2,#8c8d8b,None
Bring to Light,5,2015,0.45,#d78f42,None
Brood Butcher,5,2015,0.14,#d78f42,None
Brutal Expulsion,4,2015,0.11,#d78f42,None
Canopy Vista,0,2015,0.86,#d78f42,None
Cinder Glade,0,2015,0.45,#d78f42,None
Conduit of Ruin,6,2015,2.32,#8c8d8b,None
Defiant Bloodlord,7,2015,0.3,#000000,None
Desolation Twin,10,2015,0.25,#8c8d8b,None
Dragonmaster Outcast,1,2015,1.18,#ff1a1a,None
Drana- Liberator of Malakir,3,2015,1.07,#000000,None
Drowner of Hope,6,2015,0.19,#341aff,None
Dust Stalker,4,2015,0.15,#d78f42,None
Emeria Shepherd,7,2015,1.06,#ffffff,None
Endless One,0,2015,0.68,#8c8d8b,None
Exert Influence,5,2015,0.07,#341aff,None
Fathom Feeder,2,2015,0.23,#d78f42,None
Felidar Sovereign,6,2015,1.87,#ffffff,None
From Beyond,4,2015,0.44,#087500,None
Gideon- Ally of Zendikar,4,2015,3.36,#ffffff,None
Greenwarden of Murasa,6,2015,0.32,#087500,None
Gruesome Slaughter,6,2015,0.25,#8c8d8b,None
Guardian of Tazeem,5,2015,0.16,#341aff,None
Guul Draz Overseer,6,2015,0.14,#000000,None
Hero of Goma Fada,5,2015,0.11,#ffffff,None
Kiora- Master of the Depths,4,2015,2.07,#d78f42,None
Lantern Scout,3,2015,0.15,#ffffff,None
Lumbering Falls,0,2015,0.22,#d78f42,None
March from the Tomb,5,2015,0.12,#d78f42,None
Munda- Ambush Leader,4,2015,0.11,#d78f42,None
Nissa's Renewal,6,2015,0.21,#087500,None
Noyan Dar- Roil Shaper,5,2015,0.12,#d78f42,None
Oblivion Sower,6,2015,2.75,#8c8d8b,None
Ob Nixilis Reignited,5,2015,0.79,#000000,None
Omnath- Locus of Rage,7,2015,2.03,#d78f42,None
Oran-Rief Hydra,6,2015,0.3,#087500,None
Painful Truths,3,2015,0.37,#000000,None
Part the Waterveil,6,2015,2.57,#341aff,None
Planar Outburst,5,2015,0.14,#ffffff,None
Prairie Stream,0,2015,0.26,#d78f42,None
Prism Array,5,2015,0.07,#d78f42,None
Quarantine Field,2,2015,0.32,#ffffff,None
Radiant Flames,3,2015,0.17,#ff1a1a,None
Ruinous Path,3,2015,0.12,#000000,None
Sanctum of Ugin,0,2015,1.83,#8c8d8b,None
Scatter to the Winds,3,2015,0.16,#341aff,None
Serpentine Spike,7,2015,0.11,#ff1a1a,None
Shambling Vent,0,2015,0.43,#d78f42,None
Shrine of the Forsaken Gods,0,2015,0.36,#8c8d8b,None
Sire of Stagnation,6,2015,4.63,#d78f42,None
Smoldering Marsh,0,2015,0.71,#d78f42,None
Smothering Abomination,4,2015,0.67,#000000,None
Sunken Hollow,0,2015,0.48,#d78f42,None
Ugin's Insight,5,2015,0.24,#341aff,None
Ulamog- the Ceaseless Hunger,10,2015,74.94,#8c8d8b,None
Undergrowth Champion,3,2015,1.09,#087500,None
Veteran Warleader,3,2015,0.08,#d78f42,None
Void Winnower,9,2015,9.93,#8c8d8b,None
Wasteland Strangler,3,2015,0.23,#000000,None
Woodland Wanderer,4,2015,0.1,#087500,None
Zada- Hedron Grinder,4,2015,0.39,#ff1a1a,None
