name,cmc,release_year,price,color,image
Arbiter of the Ideal,6,2014,0.19,#341aff,None
Astral Cornucopia,0,2014,2.32,#8c8d8b,None
Brimaz- King of Oreskos,3,2014,12.02,#ffffff,None
Champion of Stray Souls,6,2014,0.29,#000000,None
Chromanticore,5,2014,1.01,#d78f42,None
Courser of Kruphix,3,2014,2.49,#087500,None
Eater of Hope,7,2014,0.12,#000000,None
Eidolon of Countless Battles,3,2014,1.2,#ffffff,None
Ephara- God of the Polis,4,2014,3.54,#d78f42,None
Fated Conflagration,4,2014,0.08,#ff1a1a,None
Fated Infatuation,3,2014,0.44,#341aff,None
Fated Intervention,5,2014,0.1,#087500,None
Fated Retribution,7,2014,0.22,#ffffff,None
Fated Return,7,2014,0.17,#000000,None
Fate Unraveler,4,2014,1.8,#000000,None
Felhide Spiritbinder,4,2014,0.24,#ff1a1a,None
Flame-Wreathed Phoenix,4,2014,0.3,#ff1a1a,None
Forgestoker Dragon,6,2014,0.17,#ff1a1a,None
Gild,4,2014,0.14,#000000,None
Herald of Torment,3,2014,0.17,#000000,None
Heroes' Podium,5,2014,0.48,#8c8d8b,None
Hero of Iroas,2,2014,0.35,#ffffff,None
Hero of Leina Tower,1,2014,0.15,#087500,None
Hunter's Prowess,5,2014,0.25,#087500,None
Karametra- God of Harvests,5,2014,2.51,#d78f42,None
Kiora- the Crashing Wave,4,2014,3.13,#d78f42,None
Mindreaver,2,2014,0.07,#341aff,None
Mogis- God of Slaughter,4,2014,8.03,#d78f42,None
Nessian Wilds Ravager,6,2014,0.17,#087500,None
Oracle of Bones,4,2014,0.16,#ff1a1a,None
Pain Seer,2,2014,0.22,#000000,None
Perplexing Chimera,5,2014,0.58,#341aff,None
Phenax- God of Deception,5,2014,10.41,#d78f42,None
Plea for Guidance,6,2014,0.51,#ffffff,None
Satyr Firedancer,2,2014,0.3,#ff1a1a,None
Scourge of Skola Vale,3,2014,0.31,#087500,None
Silent Sentinel,7,2014,0.13,#ffffff,None
Spirit of the Labyrinth,2,2014,2.68,#ffffff,None
Temple of Enlightenment,0,2014,0.58,#d78f42,None
Temple of Malice,0,2014,1.11,#d78f42,None
Temple of Plenty,0,2014,0.78,#d78f42,None
Tromokratis,7,2014,0.35,#341aff,None
Whelming Wave,4,2014,0.27,#341aff,None
Whims of the Fates,6,2014,0.16,#ff1a1a,None
Xenagos- God of Revels,5,2014,13.04,#d78f42,None
