name,cmc,release_year,price,color
Baku Altar,2,2005,0.38,#8c8d8b
Blazing Shoal,2,2005,2.51,#ff1a1a
Chisei- Heart of Oceans,4,2005,0.73,#341aff
Clash of Realities,4,2005,0.31,#ff1a1a
Day of Destiny,4,2005,5.1,#ffffff
Disrupting Shoal,2,2005,1.17,#341aff
Enshrined Memories,1,2005,0.9,#087500
Final Judgment,6,2005,2.15,#ffffff
Fumiko the Lowblood,4,2005,1.59,#ff1a1a
Genju of the Realm,5,2005,4.95,#d78f42
Goryo's Vengeance,2,2005,4.83,#000000
Heartless Hidetsugu,5,2005,3.32,#ff1a1a
Hero's Demise,2,2005,1.22,#000000
Higure- the Still Wind,5,2005,13.17,#341aff
Hokori- Dust Drinker,4,2005,4.28,#ffffff
Ink-Eyes- Servant of Oni,6,2005,28.16,#000000
In the Web of War,5,2005,2.46,#ff1a1a
Isao- Enlightened Bushi,3,2005,4.23,#087500
Ishi-Ishi- Akki Crackshot,2,2005,0.29,#ff1a1a
Iwamori of the Open Fist,4,2005,0.38,#087500
Kentaro- the Smiling Cat,2,2005,5.39,#ffffff
Kira- Great Glass-Spinner,3,2005,8.11,#341aff
Kodama of the Center Tree,5,2005,0.39,#087500
Kyoki- Sanity's Eclipse,6,2005,0.94,#000000
Lifegift,3,2005,8.36,#087500
Mannichi- the Fevered Dream,3,2005,0.33,#ff1a1a
Mirror Gallery,5,2005,9.85,#8c8d8b
Neko-Te,3,2005,4.68,#8c8d8b
Nourishing Shoal,2,2005,0.66,#087500
Opal-Eye- Konda's Yojimbo,3,2005,6.43,#ffffff
Orb of Dreams,3,2005,4.21,#8c8d8b
Ornate Kanzashi,5,2005,0.45,#8c8d8b
Oyobi- Who Split the Heavens,7,2005,0.62,#ffffff
Patron of the Akki,6,2005,0.35,#ff1a1a
Patron of the Kitsune,6,2005,3.63,#ffffff
Patron of the Moon,7,2005,3.65,#341aff
Patron of the Nezumi,7,2005,0.31,#000000
Patron of the Orochi,8,2005,7.65,#087500
Reduce to Dreams,5,2005,0.35,#341aff
Sakiko- Mother of Summer,6,2005,5.96,#087500
Shining Shoal,2,2005,0.93,#ffffff
Shirei- Shizo's Caretaker,5,2005,1.71,#000000
Shizuko- Caller of Autumn,3,2005,3.25,#087500
Sickening Shoal,2,2005,2.31,#000000
Slumbering Tora,3,2005,0.18,#8c8d8b
Sway of the Stars,10,2005,1.3,#341aff
Tendo Ice Bridge,0,2005,3.45,#8c8d8b
That Which Was Taken,5,2005,5.74,#8c8d8b
Threads of Disloyalty,3,2005,0.27,#341aff
Tomorrow- Azami's Familiar,6,2005,0.74,#341aff
Toshiro Umezawa,3,2005,8.92,#000000
Twist Allegiance,7,2005,0.3,#ff1a1a
Umezawa's Jitte,2,2005,18.61,#8c8d8b
Yomiji- Who Bars the Way,7,2005,2.06,#ffffff
Yukora- the Prisoner,4,2005,0.44,#000000
