name,cmc,release_year,price,color,image,type_line,artist
Arcee- Sharpshooter // Arcee- Acrobatic Coupe,3,2022,0.67,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Artifact Creature — Robot // Legendary Artifact — Vehicle,Volta Creation
Blaster- Combat DJ // Blaster- Morale Booster,5,2022,0.5,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Artifact Creature — Robot // Legendary Artifact,Volta Creation
Blitzwing- Cruel Tormentor // Blitzwing- Adaptive Assailant,6,2022,0.74,#000000,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Artifact Creature — Robot // Legendary Artifact — Vehicle,Volta Creation
Cyclonus- the Saboteur // Cyclonus- Cybertronian Fighter,4,2022,0.5,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Artifact Creature — Robot // Legendary Artifact — Vehicle,Volta Creation
Flamewar- Brash Veteran // Flamewar- Streetwise Operative,3,2022,0.51,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Artifact Creature — Robot // Legendary Artifact — Vehicle,Volta Creation
Goldbug- Humanity's Ally // Goldbug- Scrappy Scout,3,2022,0.92,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Artifact Creature — Robot // Legendary Artifact — Vehicle,Volta Creation
Jetfire- Ingenious Scientist // Jetfire- Air Guardian,5,2022,0.59,#341aff,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Artifact Creature — Robot // Legendary Artifact — Vehicle,Volta Creation
Megatron- Tyrant // Megatron- Destructive Force,6,2022,1.03,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Artifact Creature — Robot // Legendary Artifact — Vehicle,Volta Creation
Optimus Prime- Hero // Optimus Prime- Autobot Leader,6,2022,1.79,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Artifact Creature — Robot // Legendary Artifact — Vehicle,Volta Creation
Prowl- Stoic Strategist // Prowl- Pursuit Vehicle,4,2022,1.06,#ffffff,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Artifact Creature — Robot // Legendary Artifact — Vehicle,Volta Creation
Ratchet- Field Medic // Ratchet- Rescue Racer,3,2022,0.99,#ffffff,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Artifact Creature — Robot // Legendary Artifact — Vehicle,Volta Creation
Slicer- Hired Muscle // Slicer- High-Speed Antagonist,5,2022,5.96,#ff1a1a,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Artifact Creature — Robot // Legendary Artifact — Vehicle,Volta Creation
Soundwave- Sonic Spy // Soundwave- Superior Captain,4,2022,1.16,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Artifact Creature — Robot // Legendary Artifact,Volta Creation
Starscream- Power Hungry // Starscream- Seeker Leader,4,2022,1.55,#000000,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Artifact Creature — Robot // Legendary Artifact — Vehicle,Volta Creation
Ultra Magnus- Tactician // Ultra Magnus- Armored Carrier,7,2022,0.49,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Artifact Creature — Robot // Legendary Artifact — Vehicle,Volta Creation
