name,cmc,release_year,price,color,image,type_line,artist
Act of Authority,3,2013,1.42,#ffffff,https://cards.scryfall.io/normal/front/e/1/e107bd35-eddd-40f7-aea8-3a1eec3363c0.jpg?1562942444,Enchantment,Véronique Meignaud
Aethermage's Touch,4,2013,0.09,#d78f42,https://cards.scryfall.io/normal/front/2/b/2b93eac0-8205-4e52-ad6c-823756f90ab1.jpg?1562904179,Instant,Randy Gallegos
Angel of Finality,4,2013,0.36,#ffffff,https://cards.scryfall.io/normal/front/b/d/bd3c34c9-2072-4ebb-93ef-34173015bfb8.jpg?1562934957,Creature — Angel,Howard Lyon
Arcane Melee,5,2013,0.29,#341aff,https://cards.scryfall.io/normal/front/9/e/9ea8fd24-311a-4745-804e-46b2abbe217a.jpg?1562928493,Enchantment,Jaime Jones
Army of the Damned,8,2013,1.8,#000000,https://cards.scryfall.io/normal/front/1/2/1222d958-7f4b-44fe-91ee-93ef435a5857.jpg?1562898755,Sorcery,Ryan Pancoast
Augury Adept,3,2013,0.27,#d78f42,https://cards.scryfall.io/normal/front/a/9/a9cf106f-f547-4323-b8bf-0340c6308007.jpg?1562930808,Creature — Kithkin Wizard,Steve Prescott
Avenger of Zendikar,7,2013,3.58,#087500,https://cards.scryfall.io/normal/front/e/5/e5ea8759-99a6-4659-8f50-fd71189b8dd4.jpg?1562943507,Creature — Elemental,Zoltan Boros & Gabor Szikszai
Azami- Lady of Scrolls,5,2013,0.79,#341aff,https://cards.scryfall.io/normal/front/c/a/cafda395-840f-4359-9314-e1cbf137cc66.jpg?1562937894,Legendary Creature — Human Wizard,Ittoku
Baleful Force,8,2013,0.42,#000000,https://cards.scryfall.io/normal/front/3/d/3dff363d-7e9f-4764-a9ee-ec2f23239df6.jpg?1562907900,Creature — Elemental,Eytan Zana
Bane of Progress,6,2013,2.92,#087500,https://cards.scryfall.io/normal/front/c/b/cb9b492f-a404-400f-be70-8b4901d2d82b.jpg?1562938026,Creature — Elemental,Lars Grant-West
Blue Sun's Zenith,3,2013,1.23,#341aff,https://cards.scryfall.io/normal/front/1/e/1ed91aab-9009-4cab-9dd8-b595648df011.jpg?1562901452,Instant,Izzy
Brooding Saurian,4,2013,0.18,#087500,https://cards.scryfall.io/normal/front/b/3/b3ec586d-14c7-4d3a-9bb5-f6afdf87657c.jpg?1562932978,Creature — Lizard,rk post
Capricious Efreet,6,2013,0.19,#ff1a1a,https://cards.scryfall.io/normal/front/4/8/48d3c44d-1a2f-4e2a-8d5a-592719cb92f4.jpg?1562910188,Creature — Efreet,Justin Sweet
Charmbreaker Devils,6,2013,0.28,#ff1a1a,https://cards.scryfall.io/normal/front/a/b/abb9f2cb-e5de-45a3-936f-685465cdbb70.jpg?1562931246,Creature — Devil,Dan Scott
Charnelhoard Wurm,7,2013,0.13,#d78f42,https://cards.scryfall.io/normal/front/1/c/1c0ec55e-88df-40f8-b08d-6185cdb4a3cc.jpg?1562900886,Creature — Wurm,Lars Grant-West
Conjurer's Closet,5,2013,7.74,#8c8d8b,https://cards.scryfall.io/normal/front/1/2/12de1008-9c1b-4072-8678-befce9a81cc7.jpg?1562898968,Artifact,Jason Felix
Contested Cliffs,0,2013,0.41,#d78f42,https://cards.scryfall.io/normal/front/5/7/5796e5e4-32a0-4fe3-9912-80684aee489d.jpg?1562913297,Land,Anthony S. Waters
Cradle of Vitality,4,2013,0.38,#ffffff,https://cards.scryfall.io/normal/front/e/1/e15d671d-a48c-4c37-b4d6-eecead82ffb6.jpg?1562942535,Enchantment,Trevor Hairsine
Crater Hellion,6,2013,0.19,#ff1a1a,https://cards.scryfall.io/normal/front/8/8/88e3a05a-d5c7-46d9-9a66-8de4b737e9dd.jpg?1562923902,Creature — Hellion Beast,Daren Bader
Crawlspace,3,2013,3.91,#8c8d8b,https://cards.scryfall.io/normal/front/9/7/97c8e1ed-b3ab-4a08-9336-e513f23d45b3.jpg?1562927147,Artifact,Franz Vohwinkel
Cruel Ultimatum,7,2013,1.01,#d78f42,https://cards.scryfall.io/normal/front/7/3/73430a6c-7196-4f6c-91d6-50fcc8b0eedb.jpg?1562919227,Sorcery,Todd Lockwood
Deathbringer Thoctar,6,2013,0.48,#d78f42,https://cards.scryfall.io/normal/front/f/d/fdffa46e-8802-4479-a669-d33618f75d4f.jpg?1562948807,Creature — Zombie Beast,Karl Kopinski
Death Grasp,2,2013,0.24,#d78f42,https://cards.scryfall.io/normal/front/2/1/21c10db9-f496-467b-b3ce-7ee5d0884ba0.jpg?1562902139,Sorcery,Raymond Swanland
Decree of Pain,8,2013,1.0,#000000,https://cards.scryfall.io/normal/front/8/5/85a24793-2d19-4e29-bdb9-0b8e0ba90fd3.jpg?1562923219,Sorcery,Mathias Kollros
