name,cmc,release_year,price,color,image,type_line,artist
Akron Legionnaire,8,1995,0.24,#ffffff,https://cards.scryfall.io/normal/front/3/5/359e49df-aef4-4bce-abd6-a61f821faedf.jpg?1562905833,Creature — Giant Soldier,Mark Poole
Angelic Voices,4,1995,0.29,#ffffff,https://cards.scryfall.io/normal/front/1/e/1e9a66b2-7392-4030-a3a8-8f3697307a39.jpg?1562901028,Enchantment,Julie Baroh
Arcades Sabboth,8,1995,0.6,#d78f42,https://cards.scryfall.io/normal/front/d/2/d20a0b5a-2a04-4cce-83e4-2d65ef9399df.jpg?1562937212,Legendary Creature — Elder Dragon,Edward P. Beard, Jr.
Arena of the Ancients,3,1995,0.75,#8c8d8b,https://cards.scryfall.io/normal/front/5/2/52bf69ca-b974-4620-8483-b0ba33db26a5.jpg?1562911827,Artifact,Tom Wänerstrand
Axelrod Gunnarson,8,1995,0.3,#d78f42,https://cards.scryfall.io/normal/front/a/9/a9c5dbc6-b0c5-4ae2-8c23-a26524fee543.jpg?1562929199,Legendary Creature — Giant,Scott Kirschner
Ayesha Tanaka,4,1995,0.24,#d78f42,https://cards.scryfall.io/normal/front/8/c/8ce912d9-406b-4eba-97be-3bf1d425ee05.jpg?1562923488,Legendary Creature — Human Artificer,Bryon Wackwitz
Barl's Cage,4,1995,0.26,#8c8d8b,https://cards.scryfall.io/normal/front/9/1/913d734e-8788-42fd-849f-ac46b40ffa10.jpg?1562924303,Artifact,Tom Wänerstrand
Blood Moon,3,1995,11.12,#ff1a1a,https://cards.scryfall.io/normal/front/4/9/49673567-c358-4de8-99eb-1a61b7198d46.jpg?1562909876,Enchantment,Tom Wänerstrand
Book of Rass,6,1995,0.47,#8c8d8b,https://cards.scryfall.io/normal/front/8/2/820a9c79-5e0b-4959-9ff0-0dc6f2f632c5.jpg?1562921266,Artifact,Sandra Everingham
Bronze Horse,7,1995,0.26,#8c8d8b,https://cards.scryfall.io/normal/front/e/5/e52122a1-e204-4299-b889-609df93b36fa.jpg?1562940988,Artifact Creature — Horse,Mark Poole
Chromium,8,1995,0.96,#d78f42,https://cards.scryfall.io/normal/front/e/8/e85e54f3-012b-460f-a6f9-d0242a174adc.jpg?1562941643,Legendary Creature — Elder Dragon,Edward P. Beard, Jr.
City of Brass,0,1995,12.87,#8c8d8b,https://cards.scryfall.io/normal/front/6/1/61e9c770-f05b-40df-a01f-82b734db1733.jpg?1562914816,Land,Mark Tedin
Concordant Crossroads,1,1995,12.96,#087500,https://cards.scryfall.io/normal/front/1/3/13cfca5f-e25a-432e-8679-54704eeeecc8.jpg?1562898962,World Enchantment,Amy Weber
Cyclone,4,1995,0.29,#087500,https://cards.scryfall.io/normal/front/f/f/ff67fbf5-7935-41e2-a196-7e2917a63d09.jpg?1562946596,Enchantment,Mark Tedin
Dakkon Blackblade,6,1995,1.25,#d78f42,https://cards.scryfall.io/normal/front/4/8/4874388e-0227-4b89-a986-d86c14482c81.jpg?1594065427,Legendary Creature — Human Warrior,Richard Kane Ferguson
Dance of Many,2,1995,0.73,#341aff,https://cards.scryfall.io/normal/front/a/b/ab4bf154-a611-49f1-9d1c-f247ab12c52f.jpg?1562929549,Enchantment,Sandra Everingham
Gabriel Angelfire,7,1995,0.29,#d78f42,https://cards.scryfall.io/normal/front/f/2/f2a26496-b4c9-4a29-9a85-26e217deafa2.jpg?1562943762,Legendary Creature — Angel,Daniel Gelon
Gauntlets of Chaos,5,1995,0.26,#8c8d8b,https://cards.scryfall.io/normal/front/6/2/6279176a-3b27-4be7-878c-2745941e12d6.jpg?1562914950,Artifact,Dan Frazier
Hell's Caretaker,4,1995,3.36,#000000,https://cards.scryfall.io/normal/front/c/e/ce4004fe-e8ed-4806-878b-34ee3ed82016.jpg?1562936494,Creature — Horror,Sandra Everingham
Horn of Deafening,4,1995,0.3,#8c8d8b,https://cards.scryfall.io/normal/front/4/1/412848e0-dcbb-4b6e-87cf-64886bd5e456.jpg?1562908072,Artifact,Dan Frazier
Jalum Tome,3,1995,0.3,#8c8d8b,https://cards.scryfall.io/normal/front/6/2/627ecfc9-faea-4d52-b0fb-ec0895001fd4.jpg?1562914956,Artifact,Tom Wänerstrand
Jeweled Bird,1,1995,0.38,#8c8d8b,https://cards.scryfall.io/normal/front/d/7/d78e61e5-9313-4c83-af38-98849aea4e42.jpg?1562938280,Artifact,Amy Weber
Johan,6,1995,0.34,#d78f42,https://cards.scryfall.io/normal/front/2/f/2f2f3b3e-63f3-4cab-aa95-030990157ed5.jpg?1562904625,Legendary Creature — Human Wizard,Mark Tedin
Juxtapose,4,1995,0.32,#341aff,https://cards.scryfall.io/normal/front/f/e/fe9dc8dd-6212-465b-9633-f99cebf492f9.jpg?1562946408,Sorcery,Justin Hampton
Land's Edge,3,1995,0.81,#ff1a1a,https://cards.scryfall.io/normal/front/4/1/41798dd9-8ce8-4642-89c2-7356ea129d4e.jpg?1562908139,World Enchantment,Brian Snõddy
Nebuchadnezzar,5,1995,0.29,#d78f42,https://cards.scryfall.io/normal/front/7/6/76a0b7cc-0889-4980-a23e-6f5088b374f8.jpg?1562918774,Legendary Creature — Human Wizard,Richard Kane Ferguson
Nicol Bolas,8,1995,2.99,#d78f42,https://cards.scryfall.io/normal/front/0/5/05362cde-3b0b-4a8d-9875-675cfac52e4a.jpg?1562895985,Legendary Creature — Elder Dragon,Edward P. Beard, Jr.
Obelisk of Undoing,1,1995,0.18,#8c8d8b,https://cards.scryfall.io/normal/front/7/3/73159a98-4400-4ae8-ba7c-26f534de8b84.jpg?1562918030,Artifact,Tom Wänerstrand
