name,cmc,release_year,price,color,image,type_line,artist
Aegis of the Legion,2,2024,1.12,#d78f42,https://cards.scryfall.io/normal/front/7/6/76cd4e45-30a0-4a24-9612-adeb8fddff23.jpg?1706239616,Artifact — Equipment,Alexandre Honoré
Amzu- Swarm's Hunger,5,2024,9.34,#d78f42,https://cards.scryfall.io/normal/front/6/3/634f6f70-347e-436f-abf9-4a573472e2c8.jpg?1706239624,Legendary Creature — Insect Shaman,Slawomir Maniak
Apothecary White,4,2024,1.73,#ffffff,https://cards.scryfall.io/normal/front/4/f/4fedf84e-55ca-4334-a2c1-6e991112bb68.jpg?1706239557,Legendary Creature — Human Cleric,Anna Steinbauer
Beast Whisperer,4,2024,2.0,#087500,https://cards.scryfall.io/normal/front/d/a/daf4bcd2-3ae4-4803-9ea1-3bcc3de5ca59.jpg?1706240020,Creature — Elf Druid,Matt Stewart
Boros Strike-Captain,3,2024,0.28,#d78f42,https://cards.scryfall.io/normal/front/1/1/11fab2c1-250a-44f7-a187-ee0352b81569.jpg?1706239624,Creature — Minotaur Soldier,Alexander Forssberg
Carnage Interpreter,3,2024,7.25,#d78f42,https://cards.scryfall.io/normal/front/f/6/f6fb576e-a4a4-496b-b553-3f81cc651210.jpg?1706239631,Creature — Devil Detective,Justine Cruz
Clan Defiance,2,2024,0.19,#d78f42,https://cards.scryfall.io/normal/front/c/c/cc1afafd-d57b-4733-80c8-184947b7c5e6.jpg?1706240091,Sorcery,Daarken
Commander Mustard,5,2024,0.97,#d78f42,https://cards.scryfall.io/normal/front/c/1/c1fa8c23-5501-476f-9614-162d7bd95b23.jpg?1706239567,Legendary Creature — Human Soldier,Jake Murray
Conclave Evangelist,5,2024,2.66,#d78f42,https://cards.scryfall.io/normal/front/0/d/0dcccbd8-2135-45e6-8802-8dcaa382a398.jpg?1706239632,Creature — Elephant Cleric,John Tedrick
Corporeal Projection,2,2024,3.99,#d78f42,https://cards.scryfall.io/normal/front/7/9/79611fce-ff17-4de6-8f54-8f3faced9322.jpg?1706239632,Sorcery,Anna Pavleeva
Council's Judgment,3,2024,0.2,#ffffff,https://cards.scryfall.io/normal/front/d/c/dc741a80-a0eb-424c-b9a3-4d5875ccb93b.jpg?1706239719,Sorcery,Kev Walker
Covetous Elegy,6,2024,0.61,#d78f42,https://cards.scryfall.io/normal/front/f/8/f8f1f5e8-c1bf-405f-b8e3-655d5558e18d.jpg?1706239641,Sorcery,Deruchenko Alexander
Deadbridge Chant,6,2024,0.34,#d78f42,https://cards.scryfall.io/normal/front/2/f/2f3c0c5a-7d49-4180-837f-d39c1467143a.jpg?1706240099,Enchantment,Zoltan Boros
Dimir Strandcatcher,4,2024,1.48,#d78f42,https://cards.scryfall.io/normal/front/e/9/e911913a-c4a8-4051-9a43-90cf7ad03b91.jpg?1706239641,Creature — Faerie Rogue,Iris Compiet
Duskmantle Seer,4,2024,0.22,#d78f42,https://cards.scryfall.io/normal/front/4/d/4d6d4280-4a45-4e77-a33e-58955d096adc.jpg?1706240109,Creature — Vampire Wizard,Kev Walker
Emissary Green,5,2024,0.56,#087500,https://cards.scryfall.io/normal/front/3/2/323e9430-b87c-4b02-9ade-c4c65343147b.jpg?1706239566,Legendary Creature — Human Advisor,Heonhwa Choe
Finale of Glory,2,2024,0.47,#ffffff,https://cards.scryfall.io/normal/front/1/e/1e71b0fb-2d36-4b81-bd5b-c3fd083e3e97.jpg?1706239730,Sorcery,Stanton Feng
Firemane Avenger,4,2024,0.17,#d78f42,https://cards.scryfall.io/normal/front/c/0/c04d0f5a-b1e4-490d-b119-95378535ac5d.jpg?1706240115,Creature — Angel,Wayne Reynolds
Frenzied Gorespawn,5,2024,0.68,#d78f42,https://cards.scryfall.io/normal/front/f/b/fb8719b0-69d7-4d43-8d9b-fa268358a9b8.jpg?1706239649,Creature — Horror,Kekai Kotaki
Giant Adephage,7,2024,0.33,#087500,https://cards.scryfall.io/normal/front/9/0/90f5626e-f82f-4fe6-a744-0317467ab535.jpg?1706240037,Creature — Insect,Christine Choi
Headliner Scarlett,4,2024,3.54,#ff1a1a,https://cards.scryfall.io/normal/front/b/e/be77b98a-dd79-477c-8ab2-7ebf5637a89e.jpg?1706239565,Legendary Creature — Human Warlock,Heonhwa Choe
Herald of Ilharg,4,2024,1.84,#d78f42,https://cards.scryfall.io/normal/front/9/0/90d0d1e6-adb1-4d37-94f5-d80aab7e65b8.jpg?1706239652,Creature — Boar Beast,Dan Murayama Scott
Hydroid Krasis,2,2024,0.42,#d78f42,https://cards.scryfall.io/normal/front/a/7/a7ac127e-102e-4e1a-9e69-a09d676ac88e.jpg?1706240133,Creature — Jellyfish Hydra Beast,Jason Felix
Hypersonic Dragon,5,2024,0.13,#d78f42,https://cards.scryfall.io/normal/front/c/6/c64cad22-7532-419d-86de-f77fb2ffb09d.jpg?1706240136,Creature — Dragon,Dan Murayama Scott
Lavinia- Foil to Conspiracy,3,2024,2.53,#d78f42,https://cards.scryfall.io/normal/front/d/5/d5435866-d48b-496a-ba07-438163b71ae8.jpg?1706239659,Legendary Creature — Human Detective,Chris Rahn
Lavinia of the Tenth,5,2024,0.09,#d78f42,https://cards.scryfall.io/normal/front/5/8/58907d3b-9deb-4485-8ae2-c4e97c519212.jpg?1706240145,Legendary Creature — Human Soldier,Willian Murai
Lonis- Genetics Expert,3,2024,6.47,#d78f42,https://cards.scryfall.io/normal/front/5/9/59813845-48c9-4af2-8beb-91d58aac09ee.jpg?1706239661,Legendary Creature — Snake Elf Detective,Kai Carpenter
Master Biomancer,4,2024,0.4,#d78f42,https://cards.scryfall.io/normal/front/6/f/6f4436d1-7c6a-4ad2-8eba-d5949f960650.jpg?1706240146,Creature — Elf Wizard,Willian Murai
Mastermind Plum,3,2024,2.32,#000000,https://cards.scryfall.io/normal/front/d/f/df81568b-c66a-49c6-bd48-7df98ea00117.jpg?1706239558,Legendary Creature — Human Wizard,Bryan Sola
Memory Vampire,6,2024,0.57,#d78f42,https://cards.scryfall.io/normal/front/5/d/5d0704a4-8961-43f5-86ed-3f7b43abcf26.jpg?1706239666,Creature — Vampire Detective,Mila Pesic
Rakdos- the Showstopper,6,2024,1.57,#d78f42,https://cards.scryfall.io/normal/front/2/1/210d07ab-7608-4fda-adb6-562cf194192f.jpg?1706240163,Legendary Creature — Demon,Viktor Titov
Resonance Technician,5,2024,0.11,#d78f42,https://cards.scryfall.io/normal/front/1/e/1e7c9ff3-9db9-41c0-9c8b-067e694973c5.jpg?1706239675,Creature — Weird Detective,Piotr Dura
Senator Peacock,5,2024,0.33,#341aff,https://cards.scryfall.io/normal/front/8/7/8778b33c-efab-4b65-b6e3-f0e3d1d8f937.jpg?1706239557,Legendary Creature — Human Advisor,Aurore Folny
Seraph of the Scales,4,2024,0.22,#d78f42,https://cards.scryfall.io/normal/front/e/1/e1eb4816-2f33-4800-a9f0-11fec4ac4cd0.jpg?1706240172,Creature — Angel,Magali Villeneuve
Sludge Titan,6,2024,5.44,#d78f42,https://cards.scryfall.io/normal/front/f/4/f429617d-7134-4749-af8c-398eee68565d.jpg?1706239679,Creature — Zombie Giant,Warren Mahy
Spawn of Mayhem,4,2024,0.27,#000000,https://cards.scryfall.io/normal/front/c/7/c78aa786-a6ea-429f-a9e1-48f848578af3.jpg?1706239911,Creature — Demon,Victor Adame Minguez
Stampede Surfer,5,2024,0.47,#d78f42,https://cards.scryfall.io/normal/front/7/e/7e782e90-d6e5-4a55-87a8-3bd6dce1b67a.jpg?1706239683,Creature — Human Warrior,Brian Valeza
Stunt Double,4,2024,0.69,#341aff,https://cards.scryfall.io/normal/front/7/a/7afaaea9-300a-46c8-b9ec-a2579f8a4b7f.jpg?1706239846,Creature — Shapeshifter,Joseph Meehan
Suppressor Skyguard,4,2024,8.47,#d78f42,https://cards.scryfall.io/normal/front/f/b/fbdaca43-a5be-43e3-8dd9-3a5f2cd8f0d0.jpg?1706239687,Creature — Human Knight,Valera Lutfullina
Supreme Verdict,4,2024,1.8,#d78f42,https://cards.scryfall.io/normal/front/3/8/3892f1c5-937e-4ef4-b6f9-e0c0ded070d0.jpg?1706240181,Sorcery,Sam Burley
Syndicate Heavy,4,2024,0.42,#d78f42,https://cards.scryfall.io/normal/front/2/5/251e36f1-1bfd-4c04-8c61-1c2bc18beb8a.jpg?1706239691,Creature — Giant Rogue,Edgar Sánchez Hidalgo
Thief of Sanity,3,2024,0.17,#d78f42,https://cards.scryfall.io/normal/front/3/a/3a4b220b-7b65-4c60-87eb-b2da282579ab.jpg?1706240182,Creature — Specter,Igor Kieryluk
Trostani Discordant,5,2024,0.16,#d78f42,https://cards.scryfall.io/normal/front/7/9/79d61bba-4404-4336-8290-51d1576f728d.jpg?1706240188,Legendary Creature — Dryad,Chase Stone
Underrealm Lich,5,2024,2.77,#d78f42,https://cards.scryfall.io/normal/front/3/0/30c94b1b-35be-4c98-b279-80d95b28201e.jpg?1706240191,Creature — Zombie Elf Shaman,Anna Steinbauer
Unruly Krasis,3,2024,0.77,#d78f42,https://cards.scryfall.io/normal/front/a/3/a3b1b58d-b7f1-404f-aec6-b19cef4bebbd.jpg?1706239699,Creature — Shark Octopus Lizard,Billy Christian
Vernal Sovereign,6,2024,0.62,#d78f42,https://cards.scryfall.io/normal/front/8/d/8d4ebe8b-8d2f-4534-994e-e387f23cbe1d.jpg?1706239702,Creature — Elemental Elk,Aaron Miller
