name,cmc,release_year,price,color,image,type_line,artist
Ancient Amphitheater,0,2018,0.37,#d78f42,https://cards.scryfall.io/normal/front/c/6/c68137c5-c2f9-4b0d-ac4b-12c519854166.jpg?1562276010,Land,Rob Alexander
Angel of Serenity,7,2018,0.57,#ffffff,https://cards.scryfall.io/normal/front/8/5/85858fe0-dba3-49f7-9467-0aa68797bac4.jpg?1562274612,Creature — Angel,Aleksi Briclot
Arbiter of Knollridge,7,2018,0.23,#ffffff,https://cards.scryfall.io/normal/front/1/f/1fc2e7c4-5dbe-49f4-8c3f-192e7544df74.jpg?1562272885,Creature — Giant Wizard,Brandon Dorman
Astral Cornucopia,0,2018,2.11,#8c8d8b,https://cards.scryfall.io/normal/front/1/8/182864e2-81ef-41bc-94cd-b0ea67f60bda.jpg?1562272467,Artifact,Aleksi Briclot
Avatar of Woe,8,2018,2.32,#000000,https://cards.scryfall.io/normal/front/7/e/7e8e34de-4b0a-48fe-bb13-c7e181d37e6c.jpg?1562274562,Creature — Avatar,rk post
Bane of the Living,4,2018,0.33,#000000,https://cards.scryfall.io/normal/front/2/f/2f988eb7-ff31-438e-b066-ffa4aa44b4d9.jpg?1562272971,Creature — Insect,Justin Sweet
Bitter Feud,5,2018,0.47,#ff1a1a,https://cards.scryfall.io/normal/front/2/6/26387ab4-74da-49d7-965e-352da48d6a90.jpg?1562272922,Enchantment,Aaron Miller
Blade of Selves,2,2018,3.66,#8c8d8b,https://cards.scryfall.io/normal/front/5/5/55fcf1f3-f823-4017-ac43-4f76d4ad2e2a.jpg?1562273918,Artifact — Equipment,Alan Pollack
Blasphemous Act,9,2018,2.66,#ff1a1a,https://cards.scryfall.io/normal/front/f/c/fc048207-502a-478c-9195-5e20382652af.jpg?1562276571,Sorcery,Daarken
Bogardan Hellkite,8,2018,0.36,#ff1a1a,https://cards.scryfall.io/normal/front/4/1/412814c8-d6ad-429c-a985-fde809268941.jpg?1562273450,Creature — Dragon,Scott M. Fischer
Borderland Behemoth,7,2018,0.27,#ff1a1a,https://cards.scryfall.io/normal/front/e/4/e4cbde6a-fbc8-403a-98ad-769d25aa4732.jpg?1562276469,Creature — Giant Warrior,Jesper Ejsing
Butcher of Malakir,7,2018,0.54,#000000,https://cards.scryfall.io/normal/front/d/c/dce6a712-d638-4d06-b3c6-75e35e4ec46c.jpg?1562276079,Creature — Vampire Warrior,Jason Chan
Caged Sun,6,2018,2.91,#8c8d8b,https://cards.scryfall.io/normal/front/d/f/dfe6f9ec-3b7f-4c11-acd1-440e14217e5d.jpg?1562276087,Artifact,Scott Chou
Cathars' Crusade,5,2018,10.03,#ffffff,https://cards.scryfall.io/normal/front/2/6/264ea67b-c796-4ecd-a71b-85d67b980056.jpg?1562272926,Enchantment,Karl Kopinski
Cauldron of Souls,5,2018,3.92,#8c8d8b,https://cards.scryfall.io/normal/front/c/b/cbd4604e-c21a-42a1-b099-aad7f9263a82.jpg?1562276038,Artifact,Ron Brown
Champion of Lambholt,3,2018,0.78,#087500,https://cards.scryfall.io/normal/front/a/f/af185b08-4511-4720-b029-4ce01056d8d3.jpg?1562275525,Creature — Human Warrior,Christopher Moeller
Chaos Warp,3,2018,1.29,#ff1a1a,https://cards.scryfall.io/normal/front/3/3/33a33b4c-2f3c-4f74-aa5b-ec6eb73ee4e7.jpg?1562273376,Instant,Trevor Claxton
Citadel Siege,4,2018,0.17,#ffffff,https://cards.scryfall.io/normal/front/8/7/871fcb2a-136c-4efe-b5cd-bec102b02e4b.jpg?1562274617,Enchantment,Steven Belledin
Corpsejack Menace,4,2018,1.09,#d78f42,https://cards.scryfall.io/normal/front/2/9/29538ff4-e28f-44d9-af23-6796edd56268.jpg?1562272935,Creature — Fungus,Chris Rahn
Crystalline Crawler,4,2018,10.05,#8c8d8b,https://cards.scryfall.io/normal/front/0/2/02b90a7c-288d-420a-91b2-bd9ced5767e4.jpg?1562272022,Artifact Creature — Construct,Jason Felix
Custodi Soulbinders,4,2018,0.16,#ffffff,https://cards.scryfall.io/normal/front/7/3/731dec63-2aae-4256-9d1f-499f89ff0388.jpg?1562274157,Creature — Human Cleric,Karla Ortiz
Dark Hatchling,6,2018,0.12,#000000,https://cards.scryfall.io/normal/front/b/d/bdf13504-42e3-44f0-958a-47ccb92a1033.jpg?1562275977,Creature — Horror,Mark A. Nelson
Darkwater Catacombs,0,2018,0.23,#d78f42,https://cards.scryfall.io/normal/front/b/3/b3effa52-51d9-479c-b030-3d9afad7764b.jpg?1562275548,Land,Monte Michael Moore
Dawnbreak Reclaimer,6,2018,0.98,#ffffff,https://cards.scryfall.io/normal/front/b/6/b6d097f4-4831-4611-81d9-3a09b7926d1a.jpg?1562275564,Creature — Angel,Tyler Jacobson
Deepglow Skate,5,2018,3.83,#341aff,https://cards.scryfall.io/normal/front/3/2/324ebb83-b7b5-4f91-a8ec-3284d62da4da.jpg?1562273351,Creature — Fish,Jason Kang
Desolation Giant,4,2018,0.38,#d78f42,https://cards.scryfall.io/normal/front/b/7/b74a47b5-100d-424f-8432-7668c50458f8.jpg?1562275568,Creature — Giant,Alan Pollack
Disaster Radius,7,2018,0.18,#ff1a1a,https://cards.scryfall.io/normal/front/b/a/ba63c385-7eb8-4ddb-ae27-2b5921cd0525.jpg?1562275588,Sorcery,James Paick
Dreamborn Muse,4,2018,2.57,#341aff,https://cards.scryfall.io/normal/front/8/3/83ad2ba9-ab54-4abc-805d-dc9fe31bac7f.jpg?1562274594,Creature — Spirit,Kev Walker
