name,cmc,release_year,price,color,image,type_line,artist
Aethermage's Touch,4,2017,0.16,#d78f42,https://cards.scryfall.io/normal/front/8/1/81a67f10-9b7d-47ba-bcd8-d969e631833e.jpg?1592673341,Instant,Randy Gallegos
Akroma- Angel of Fury,8,2017,0.89,#ff1a1a,https://cards.scryfall.io/normal/front/a/2/a290de9b-ee56-42bd-b7b1-e76bc53da7c7.jpg?1592672758,Legendary Creature — Angel,Daren Bader
Akroma's Vengeance,6,2017,0.44,#ffffff,https://cards.scryfall.io/normal/front/d/6/d6c3adf9-d400-4a2d-ba24-90806597a03e.jpg?1592672306,Sorcery,Greg Hildebrandt & Tim Hildebrandt
Angelic Arbiter,7,2017,1.02,#ffffff,https://cards.scryfall.io/normal/front/6/f/6f2833f5-283d-4e86-8caf-f4f97432622e.jpg?1592672318,Creature — Angel,Steve Argyle
Angel of Despair,7,2017,0.98,#d78f42,https://cards.scryfall.io/normal/front/a/4/a42ca3ec-6ebf-4fb1-a393-1616ea013843.jpg?1592673347,Creature — Angel,Todd Lockwood
Angel of Finality,4,2017,0.26,#ffffff,https://cards.scryfall.io/normal/front/b/a/ba8741f5-f512-4c31-b4ba-3f2ef00b0102.jpg?1592672312,Creature — Angel,Howard Lyon
Archangel of Strife,7,2017,0.75,#ffffff,https://cards.scryfall.io/normal/front/b/1/b15514f0-0dd8-4e49-a56e-ed829f4c9623.jpg?1592672324,Creature — Angel,Greg Staples
Avatar of Slaughter,8,2017,1.22,#ff1a1a,https://cards.scryfall.io/normal/front/f/1/f1f459f5-8607-476f-a399-f4a0359f3b10.jpg?1592672770,Creature — Avatar,Jason A. Engle
Azami- Lady of Scrolls,5,2017,1.2,#341aff,https://cards.scryfall.io/normal/front/f/a/fa574ca0-a5a2-4f3d-b95f-5888391d4530.jpg?1592672489,Legendary Creature — Human Wizard,Ittoku
Bane of Progress,6,2017,5.85,#087500,https://cards.scryfall.io/normal/front/6/6/66a23edd-96ad-4870-907f-2c332bc2e53b.jpg?1592672856,Creature — Elemental,Lars Grant-West
Basandra- Battle Seraph,5,2017,1.41,#d78f42,https://cards.scryfall.io/normal/front/6/e/6e5baa27-3f6b-49bb-9927-5afc21b9cc3f.jpg?1592673353,Legendary Creature — Angel,Terese Nielsen
Beastmaster Ascension,3,2017,5.33,#087500,https://cards.scryfall.io/normal/front/7/1/7123ca13-e5b9-4667-a4c8-39da1a121377.jpg?1592672862,Enchantment,Alex Horley-Orlandelli
Bladewing the Risen,7,2017,1.66,#d78f42,https://cards.scryfall.io/normal/front/2/3/23756a9f-033a-4c8f-97ad-2cc2b4414f20.jpg?1592673359,Legendary Creature — Zombie Dragon,Kev Walker
Bloodspore Thrinax,4,2017,0.91,#087500,https://cards.scryfall.io/normal/front/d/5/d5eef7b6-66f8-4b5e-9427-e377c84e92c2.jpg?1592672867,Creature — Lizard,Ralph Horsley
Blue Sun's Zenith,3,2017,2.04,#341aff,https://cards.scryfall.io/normal/front/9/d/9d3f1b57-3353-4b88-abe9-98a3234a25f3.jpg?1592672495,Instant,Izzy
Bonehoard,4,2017,0.17,#8c8d8b,https://cards.scryfall.io/normal/front/3/1/31ed2d63-5eb6-4027-b702-ef9265fda4b6.jpg?1592673573,Artifact — Equipment,Chippy
Butcher of Malakir,7,2017,0.36,#000000,https://cards.scryfall.io/normal/front/7/0/709379fe-208e-465f-8b33-d0ae9b2ba928.jpg?1592672605,Creature — Vampire Warrior,Jason Chan
Centaur Vinecrasher,4,2017,0.26,#087500,https://cards.scryfall.io/normal/front/4/6/468bfb2f-31a4-482a-bfa6-b55e14458dd3.jpg?1592672880,Creature — Plant Centaur,Robbie Trevino
Champion of Stray Souls,6,2017,0.24,#000000,https://cards.scryfall.io/normal/front/e/a/ea04dd17-4ecf-4fd0-ae47-80d4dcfde837.jpg?1592672610,Creature — Skeleton Warrior,Aleksi Briclot
Cloudthresher,6,2017,0.23,#087500,https://cards.scryfall.io/normal/front/4/e/4e18bff6-bf0b-48f8-93e2-09d435247596.jpg?1592672885,Creature — Elemental,Christopher Moeller
Collective Unconscious,6,2017,1.64,#087500,https://cards.scryfall.io/normal/front/3/b/3b64755f-1381-4537-a12d-48da274993e6.jpg?1592672890,Sorcery,Andrew Goldhawk
Comet Storm,2,2017,0.72,#ff1a1a,https://cards.scryfall.io/normal/front/d/7/d7beab89-bf84-4230-a095-e6456868e54d.jpg?1592672781,Instant,Jung Park
Conjurer's Closet,5,2017,8.08,#8c8d8b,https://cards.scryfall.io/normal/front/7/b/7bfc7d30-2c7c-496b-98b0-b8a166c7348a.jpg?1592673590,Artifact,Jason Felix
Creeperhulk,5,2017,0.23,#087500,https://cards.scryfall.io/normal/front/e/4/e450cbd1-1d08-44ab-be87-95674dfc96cf.jpg?1592672896,Creature — Plant Elemental,Ralph Horsley
Djinn of Infinite Deceits,6,2017,0.9,#341aff,https://cards.scryfall.io/normal/front/8/f/8f0f3643-a355-4132-bce8-c306df3cf830.jpg?1592672530,Creature — Djinn,Robbie Trevino
Dread Cacodemon,10,2017,2.31,#000000,https://cards.scryfall.io/normal/front/2/5/25344729-19a5-496f-8e6f-ce7b69afdc68.jpg?1592672634,Creature — Demon,Izzy
Dread Summons,2,2017,0.34,#000000,https://cards.scryfall.io/normal/front/f/4/f4bb62df-5248-46fe-85be-8243fafefca9.jpg?1592672640,Sorcery,Izzy
Dungeon Geists,4,2017,0.19,#341aff,https://cards.scryfall.io/normal/front/0/7/072ca247-85e8-4414-96e5-736261516c20.jpg?1592672536,Creature — Spirit,Nils Hamm
Earthquake,1,2017,1.24,#ff1a1a,https://cards.scryfall.io/normal/front/5/4/54e7e11a-6a2e-40b1-9409-e0797dd87d8e.jpg?1592672798,Sorcery,Adrian Smith
Eater of Hope,7,2017,0.17,#000000,https://cards.scryfall.io/normal/front/2/e/2e53342b-2df4-4a4e-969f-1e71e45e394d.jpg?1592672646,Creature — Demon,Peter Mohrbacher
Eldrazi Monument,5,2017,11.26,#8c8d8b,https://cards.scryfall.io/normal/front/d/5/d5439677-d3db-4083-8dd9-0d654016bd79.jpg?1592673603,Artifact,Mark Tedin
