name,cmc,release_year,price,color,image
Abian- Luvion Usurper,7,2021,1.67,#d78f42,https://cards.scryfall.io/normal/front/a/7/a7f9b11f-1b37-45b1-8e4d-f469b89ab6fb.jpg?1629920214
Aggressive Crag,0,2021,0.84,#d78f42,https://cards.scryfall.io/normal/front/d/2/d24742bc-1214-4fd9-a61c-4283756df098.jpg?1629920614
A Good Thing,6,2021,0.63,#d78f42,https://cards.scryfall.io/normal/front/1/a/1ad27492-be40-4417-a275-a76fe974d350.jpg?1629920196
Animate Spell,1,2021,0.67,#341aff,https://cards.scryfall.io/normal/front/f/d/fd2861c3-bab3-452c-8e71-87475339a850.jpg?1629918962
Banding Sliver,5,2021,3.6,#ffffff,https://cards.scryfall.io/normal/front/c/7/c763192a-cdb6-4f98-bbc2-3bb964cb4b3d.jpg?1629918698
Baneslayer Aspirant,2,2021,0.32,#ffffff,https://cards.scryfall.io/normal/front/0/e/0e0855fe-55b4-4bba-9313-1aac558ccb97.jpg?1629918717
Barry's Land,0,2021,1.33,#8c8d8b,https://cards.scryfall.io/normal/front/c/9/c915c4f2-b8fc-44e1-8632-806fb16664a6.jpg?1629920628
Bear with Set's Mechanic,2,2021,0.79,#087500,https://cards.scryfall.io/normal/front/1/6/16d94065-cb61-40f3-9565-c2545d872f5d.jpg?1629919918
Bind // Liberate,2,2021,0.6,#d78f42,https://cards.scryfall.io/normal/front/0/0/0087fdee-acb4-4449-b4cc-370f0f3c88a9.jpg?1629920229
Biting Remark,4,2021,0.39,#341aff,https://cards.scryfall.io/normal/front/7/b/7b27aef5-ef57-4209-9ff3-511828fbc3d7.jpg?1629918978
Blood Poet,3,2021,0.44,#000000,https://cards.scryfall.io/normal/front/8/4/841c3f47-ee6d-4a87-9c5b-57a911b312fe.jpg?1629919272
Bombardment,1,2021,0.74,#ff1a1a,https://cards.scryfall.io/normal/front/5/0/50407531-5f42-40a2-ad6e-618b85c6a00e.jpg?1629919631
Bone Rattler,5,2021,0.61,#000000,https://cards.scryfall.io/normal/front/0/d/0d3dd851-0f4b-4a2c-b290-4667d0575f14.jpg?1629919288
Bucket List,3,2021,0.29,#d78f42,https://cards.scryfall.io/normal/front/a/f/af0cdce5-02b9-462e-88c5-e35ea69808f4.jpg?1629920243
Buried Ogre,4,2021,0.49,#000000,https://cards.scryfall.io/normal/front/6/5/65a0a783-d8bb-4c51-b2bc-5cfd6a9c29e3.jpg?1629919308
Celestine Cave Witch,4,2021,0.59,#000000,https://cards.scryfall.io/normal/front/4/8/48fafda5-e29c-4006-807d-e591d773847c.jpg?1629919326
Chimney Goyf,5,2021,0.43,#000000,https://cards.scryfall.io/normal/front/e/6/e6c220f2-3e8f-47db-8253-b400347aa259.jpg?1629919345
Chronobot,2,2021,0.38,#8c8d8b,https://cards.scryfall.io/normal/front/8/d/8d4a660d-46c7-4290-9145-6f7ca4d8a991.jpg?1629920496
Command the Chaff,6,2021,0.27,#341aff,https://cards.scryfall.io/normal/front/f/6/f6bc829f-e29d-40b8-8350-fdb68e43da21.jpg?1629918993
Control Win Condition,6,2021,0.49,#341aff,https://cards.scryfall.io/normal/front/3/7/37abc264-94fe-402e-8386-7cb89f54099a.jpg?1629919010
Corrupted Key,1,2021,0.81,#000000,https://cards.scryfall.io/normal/front/2/e/2ef92453-8a3e-456b-b2e7-f05d3807cd9b.jpg?1629919362
Cyclopean Titan,8,2021,0.31,#000000,https://cards.scryfall.io/normal/front/4/2/42940241-a173-4f0a-85ec-be589c9c048b.jpg?1629919380
Domesticated Mammoth,2,2021,0.26,#087500,https://cards.scryfall.io/normal/front/a/c/ac0cf55c-17a0-466f-9008-77e08b1f546e.jpg?1629919939
Domesticated Watercourse,0,2021,0.39,#d78f42,https://cards.scryfall.io/normal/front/3/f/3f07e5c7-02fe-4e11-b923-318ce043567b.jpg?1629920648
Do-Over,2,2021,0.6,#341aff,https://cards.scryfall.io/normal/front/6/6/66d2e948-b41b-4cf6-8604-b04c755dc241.jpg?1629919025
Enchanted Prairie,0,2021,0.86,#d78f42,https://cards.scryfall.io/normal/front/0/8/087deabe-9489-4d68-ac1f-e33c5bf5b774.jpg?1629920663
Enchantmentize,4,2021,0.28,#341aff,https://cards.scryfall.io/normal/front/5/0/50c421c1-742c-4ffe-85e5-dda1cb1e1398.jpg?1629919044
Enroll in the Coalition,4,2021,0.54,#ffffff,https://cards.scryfall.io/normal/front/e/6/e6996aa3-6637-4afc-bd3e-45460eed7082.jpg?1629918734
Everlasting Lich,5,2021,0.44,#000000,https://cards.scryfall.io/normal/front/1/4/148379af-f2d2-4435-a6cb-9ea6dfa2d8ce.jpg?1629919425
Evil Boros Charm,2,2021,0.35,#d78f42,https://cards.scryfall.io/normal/front/8/e/8e49bd49-dd0b-4a68-a794-8103f5444f09.jpg?1629920259
Experiment Five,1,2021,0.41,#087500,https://cards.scryfall.io/normal/front/6/b/6b0751d5-94ce-4b9d-81ff-774c30aa9174.jpg?1629919959
Five Kids in a Trenchcoat,3,2021,0.63,#ffffff,https://cards.scryfall.io/normal/front/4/9/4937ea83-1f06-411c-abcb-e1bb88357b51.jpg?1629918751
Form of the Mulldrifter,5,2021,1.12,#341aff,https://cards.scryfall.io/normal/front/7/7/77c1a141-3955-47f9-bd22-b642728724ab.jpg?1629919063
Frenemy of the Guildpact,2,2021,0.29,#087500,https://cards.scryfall.io/normal/front/0/4/04cb52b3-af5e-4808-98c8-baec5e1aecc8.jpg?1629919976
