name,cmc,release_year,price,color
Apocalypse Hydra,2,2009,1.04,#d78f42
Banefire,1,2009,0.81,#ff1a1a
Bloodhall Ooze,1,2009,0.58,#ff1a1a
Blood Tyrant,7,2009,0.31,#d78f42
Charnelhoard Wurm,7,2009,0.23,#d78f42
Child of Alara,5,2009,6.57,#d78f42
Cliffrunner Behemoth,4,2009,0.29,#087500
Conflux,8,2009,2.58,#d78f42
Cylian Sunsinger,2,2009,0.18,#d78f42
Ethersworn Adjudicator,5,2009,2.9,#d78f42
Exotic Orchard,0,2009,2.13,#8c8d8b
Extractor Demon,6,2009,0.3,#000000
Font of Mythos,4,2009,5.32,#8c8d8b
Giltspire Avenger,3,2009,1.02,#d78f42
Goblin Razerunners,4,2009,0.21,#ff1a1a
Gwafa Hazid- Profiteer,3,2009,0.44,#d78f42
Inkwell Leviathan,9,2009,0.71,#341aff
Kederekt Parasite,1,2009,10.09,#000000
Knight of the Reliquary,3,2009,2.89,#d78f42
Maelstrom Archangel,5,2009,2.71,#d78f42
Magister Sphinx,7,2009,3.92,#d78f42
Malfegor,6,2009,0.7,#d78f42
Mark of Asylum,2,2009,1.91,#ffffff
Martial Coup,2,2009,0.97,#ffffff
Master Transmuter,4,2009,3.17,#341aff
Meglonoth,6,2009,0.7,#d78f42
Mirror-Sigil Sergeant,6,2009,2.37,#ffffff
Nicol Bolas- Planeswalker,8,2009,13.14,#d78f42
Noble Hierarch,1,2009,21.45,#d78f42
Nyxathid,3,2009,0.56,#000000
Obelisk of Alara,6,2009,0.49,#d78f42
Paleoloth,6,2009,0.62,#087500
Progenitus,10,2009,11.4,#d78f42
Rakka Mar,4,2009,1.19,#ff1a1a
Scepter of Dominance,3,2009,0.26,#ffffff
Scepter of Fugue,2,2009,0.58,#000000
Scepter of Insight,3,2009,0.16,#341aff
Sigil of the Empty Throne,5,2009,0.8,#ffffff
Soul's Majesty,5,2009,3.44,#087500
Sphinx Summoner,5,2009,0.47,#d78f42
Telemin Performance,5,2009,1.56,#341aff
Thornling,5,2009,2.39,#087500
Voracious Dragon,5,2009,1.06,#ff1a1a
Wall of Reverence,4,2009,1.49,#ffffff
Worldheart Phoenix,4,2009,0.17,#d78f42
