name,cmc,release_year,price,color,image
Adeline- Resplendent Cathar,3,2022,11.53,#ffffff,https://cards.scryfall.io/normal/front/9/c/9c5743e9-7fae-483a-b591-496afdd905f2.jpg?1637182805
Alchemist's Gambit,3,2022,0.38,#d78f42,https://cards.scryfall.io/normal/front/3/3/33e16ba1-7c04-4b3d-9abf-e4ecaa2f5378.jpg?1637187919
Angelfire Ignition,3,2022,0.41,#d78f42,https://cards.scryfall.io/normal/front/c/e/ced8f1b7-3d77-402c-828e-bd2dfe7581e0.jpg?1637190351
Anje- Maid of Dishonor,4,2022,0.46,#d78f42,https://cards.scryfall.io/normal/front/b/8/b81584cd-0624-4524-9426-35f1a1ef60ea.jpg?1637191277
Arlinn- the Pack's Hope // Arlinn- the Moon's Fury,4,2022,6.33,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458
Ascendant Packleader,1,2022,1.05,#087500,https://cards.scryfall.io/normal/front/0/b/0bec0f63-99ba-4a1b-843b-02230310fbd0.jpg?1637189595
Augur of Autumn,3,2022,3.62,#087500,https://cards.scryfall.io/normal/front/e/b/ebf451c9-3773-4563-9c44-45a1b3e9b31a.jpg?1637188861
Avabruck Caretaker // Hollowhenge Huntmaster,6,2022,8.32,#087500,https://cards.scryfall.io/normal/front/3/2/32af9f41-89e2-4e7a-9fec-fffe79cae077.jpg?1641306082
Bloodline Culling,3,2022,0.23,#000000,https://cards.scryfall.io/normal/front/4/f/4fdb41cc-5b34-4bf0-b8f4-78f4e4afc331.jpg?1637185734
Bloodthirsty Adversary,2,2022,4.72,#ff1a1a,https://cards.scryfall.io/normal/front/8/2/82e54e38-593d-455d-b206-d95dbaabf68f.jpg?1637187244
Bloodvial Purveyor,4,2022,0.23,#000000,https://cards.scryfall.io/normal/front/5/8/58996f26-f751-47bd-be42-8b7e07f31db0.jpg?1637186489
Briarbridge Tracker,3,2022,0.27,#087500,https://cards.scryfall.io/normal/front/4/4/444abc67-ee3a-45ba-a4ce-95a22e139c64.jpg?1637188919
Brutal Cathar // Moonrage Brute,3,2022,3.0,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458
Burn Down the House,5,2022,4.01,#ff1a1a,https://cards.scryfall.io/normal/front/4/b/4b73cbec-3c03-453f-903e-9a948cd40a8b.jpg?1637187291
By Invitation Only,5,2022,0.75,#ffffff,https://cards.scryfall.io/normal/front/e/5/e50c5a3e-e81f-4bad-b015-e67dce4a24cc.jpg?1637183644
Can't Stay Away,2,2022,3.93,#d78f42,https://cards.scryfall.io/normal/front/0/8/0846b94b-913f-47f2-87a0-cdb24e7985fa.jpg?1637190531
