name,cmc,release_year,price,color,image,type_line,artist
Ageless Entity,5,2011,0.29,#087500,https://cards.scryfall.io/normal/front/a/4/a4f9d79a-dff5-46e1-b767-30a451b54942.jpg?1562933953,Creature — Elemental,Jeff Miracola
Blazing Specter,4,2011,0.35,#d78f42,https://cards.scryfall.io/normal/front/a/d/ad22937d-f56a-4a2b-b98e-0214f19d4350.jpg?1562935921,Creature — Specter,Marc Fishman
Cruel Ultimatum,7,2011,0.32,#d78f42,https://cards.scryfall.io/normal/front/8/e/8eace656-3020-49c3-bbb9-8cc312404fba.jpg?1562928626,Sorcery,Ralph Horsley
Dimir Cutpurse,3,2011,0.27,#d78f42,https://cards.scryfall.io/normal/front/b/5/b50f7d5f-8b4d-46d4-86ce-92fbc475c039.jpg?1562937668,Creature — Spirit,Kev Walker
Firemane Angel,6,2011,0.25,#d78f42,https://cards.scryfall.io/normal/front/e/2/e2538e39-1719-4e66-ba67-8d64c0b843a9.jpg?1562948892,Creature — Angel,Matt Cavotta
Loxodon Hierarch,4,2011,0.31,#d78f42,https://cards.scryfall.io/normal/front/8/2/826f4791-d6ca-4620-bc30-6d11d8d22e81.jpg?1562925798,Creature — Elephant Cleric,Kev Walker
Profane Command,2,2011,0.26,#000000,https://cards.scryfall.io/normal/front/1/2/121774cf-3a64-4b5e-8b77-ff683722731c.jpg?1562899347,Sorcery,Wayne England
Searing Meditation,3,2011,0.21,#d78f42,https://cards.scryfall.io/normal/front/6/f/6f5e0200-21c9-4926-b238-3f9b1f5fc6ed.jpg?1562921246,Enchantment,Dave Dorman
Titanic Ultimatum,7,2011,2.48,#d78f42,https://cards.scryfall.io/normal/front/a/9/a9b86d97-3cfa-4510-a3da-1a85cd8d2ba9.jpg?1562935111,Sorcery,Steve Prescott
Undermine,3,2011,1.09,#d78f42,https://cards.scryfall.io/normal/front/a/2/a23735a3-8ec8-48ae-8bd0-3b6b782690c8.jpg?1562933284,Instant,Massimilano Frezzato
