name,cmc,release_year,price,color,image,type_line,artist
Captain of the Mists,3,2016,0.16,#341aff,https://cards.scryfall.io/normal/front/a/a/aa959355-ffac-442c-9c59-b2a654b4b400.jpg?1592762799,Creature — Human Wizard,Allen Williams
Champion of the Parish,1,2016,1.18,#ffffff,https://cards.scryfall.io/normal/front/e/c/ec2120ff-a6d4-4192-96c0-33c139155ddf.jpg?1592762531,Creature — Human Soldier,Svetlin Velinov
Dearly Departed,6,2016,0.07,#ffffff,https://cards.scryfall.io/normal/front/1/6/16e88d15-26b3-4782-a7f9-231f23905fb5.jpg?1592762559,Creature — Spirit,Daniel Ljunggren
Eerie Interlude,3,2016,3.05,#ffffff,https://cards.scryfall.io/normal/front/a/a/aa8e63c6-6bbc-405d-84c0-6958931ad310.jpg?1592762580,Instant,Svetlin Velinov
Gravecrawler,1,2016,2.91,#000000,https://cards.scryfall.io/normal/front/3/c/3c189fe5-a5f9-4057-bb70-0a88ae3169de.jpg?1592763247,Creature — Zombie,Steven Belledin
Harvester of Souls,6,2016,1.16,#000000,https://cards.scryfall.io/normal/front/b/a/ba7827c0-0b31-46d0-8489-e7c14d25035e.jpg?1592763261,Creature — Demon,Slawomir Maniak
Havengul Runebinder,4,2016,0.09,#341aff,https://cards.scryfall.io/normal/front/b/e/beca3e00-2c04-41be-98d1-59bc2b5f05e4.jpg?1592763053,Creature — Human Wizard,Bud Cook
Increasing Devotion,5,2016,0.34,#ffffff,https://cards.scryfall.io/normal/front/b/d/bd7844a2-70a1-4195-b2b7-1653cb882c6a.jpg?1592762671,Sorcery,Daniel Ljunggren
Sever the Bloodline,4,2016,0.11,#000000,https://cards.scryfall.io/normal/front/9/8/9895dbaf-2a5e-472b-a605-d3d8075eb927.jpg?1592763304,Sorcery,Clint Cearley
Unbreathing Horde,3,2016,0.53,#000000,https://cards.scryfall.io/normal/front/d/d/dd119aa8-8414-4942-9a28-3e68a9a52a8e.jpg?1592763342,Creature — Zombie,Dave Kendall
