name,cmc,release_year,price,color,image,type_line,artist
Activated Sleeper,3,2022,1.2,#000000,https://cards.scryfall.io/normal/front/3/4/343d01cf-9806-4c2d-a993-ddc9ed248d7f.jpg?1673304862,Creature — Phyrexian Shapeshifter,Mathias Kollros
Adriana- Captain of the Guard,5,2022,0.17,#d78f42,https://cards.scryfall.io/normal/front/0/1/01c2337d-1c3c-4c5e-8b06-dc8a8c56164e.jpg?1673305427,Legendary Creature — Human Knight,Chris Rallis
Alesha- Who Smiles at Death,3,2022,0.15,#d78f42,https://cards.scryfall.io/normal/front/7/a/7ae9ff8c-1cc8-4b10-9641-2c79648fd6c2.jpg?1733251816,Legendary Creature — Human Warrior,Anastasia Ovchinnikova
Anafenza- Kin-Tree Spirit,2,2022,0.12,#ffffff,https://cards.scryfall.io/normal/front/5/b/5ba5e8b8-ce9d-450c-8804-2f8e2ef51ff0.jpg?1673305044,Legendary Creature — Spirit Soldier,Ryan Yee
Archelos- Lagoon Mystic,4,2022,0.19,#d78f42,https://cards.scryfall.io/normal/front/d/4/d45ec78e-6190-46af-8057-834f5ca41ec8.jpg?1673305435,Legendary Creature — Turtle Shaman,Dan Murayama Scott
Ashling the Pilgrim,2,2022,0.18,#ff1a1a,https://cards.scryfall.io/normal/front/b/6/b60633ed-6428-4672-9497-9a17f823b981.jpg?1673305253,Legendary Creature — Elemental Shaman,Wayne Reynolds
Atla Palani- Nest Tender,4,2022,0.76,#d78f42,https://cards.scryfall.io/normal/front/2/b/2b8414f7-22c3-4e1c-934b-4a0e7acf951d.jpg?1673305450,Legendary Creature — Human Shaman,Ekaterina Burmak
Ayesha Tanaka- Armorer,5,2022,0.1,#d78f42,https://cards.scryfall.io/normal/front/d/a/dab74812-89c9-42e2-8b9d-bf5b35a7cf7e.jpg?1673304898,Legendary Creature — Human Artificer,Aurore Folny
Baleful Strix,2,2022,0.61,#d78f42,https://cards.scryfall.io/normal/front/b/4/b451783a-8824-4eeb-8fd6-c9290ce7ccdb.jpg?1673305459,Artifact Creature — Bird,Nils Hamm
Baru- Wurmspeaker,4,2022,1.44,#087500,https://cards.scryfall.io/normal/front/2/c/2cae4149-d8ef-4772-9db4-cb576bef61b5.jpg?1673304876,Legendary Creature — Human Druid,Andrew Mar
Battlefield Forge,0,2022,0.85,#d78f42,https://cards.scryfall.io/normal/front/5/7/57c43ae5-8427-4c10-b437-c214017637d9.jpg?1673305923,Land,Darrell Riche
Bedevil,3,2022,0.92,#d78f42,https://cards.scryfall.io/normal/front/f/c/fc81669c-af6e-4af4-b1eb-43ff7fdda590.jpg?1673305468,Instant,Seb McKinnon
Bell Borca- Spectral Sergeant,4,2022,0.12,#d78f42,https://cards.scryfall.io/normal/front/4/f/4fdcd559-477f-48cb-a221-23a653b0dde1.jpg?1673305477,Legendary Creature — Spirit Soldier,Mila Pesic
Blackblade Reforged,2,2022,2.19,#8c8d8b,https://cards.scryfall.io/normal/front/2/4/240448cd-c308-49ae-9e4b-0c35adc59fba.jpg?1673305744,Legendary Artifact — Equipment,Chris Rahn
Bladewing- Deathless Tyrant,7,2022,4.22,#d78f42,https://cards.scryfall.io/normal/front/7/d/7dcf3b3e-e986-4add-a3c6-4e92a6f72a12.jpg?1674174856,Legendary Creature — Dragon Skeleton,Antonio José Manzanedo
Cadric- Soul Kindler,4,2022,5.63,#d78f42,https://cards.scryfall.io/normal/front/f/8/f82f8cab-5039-4e3a-a2ba-cbf829db80ed.jpg?1673304745,Legendary Creature — Dwarf Wizard,Joseph Weston
Canopy Vista,0,2022,0.32,#d78f42,https://cards.scryfall.io/normal/front/d/b/db4f2c8c-1c92-4a01-87a8-b774da76189f.jpg?1673305949,Land — Forest Plains,Adam Paquette
Captain Lannery Storm,3,2022,0.16,#ff1a1a,https://cards.scryfall.io/normal/front/9/8/98a2cd4c-f02e-4a5e-a5f5-1aad52132b90.jpg?1673305264,Legendary Creature — Human Pirate,Chris Rallis
Cascading Cataracts,0,2022,1.39,#8c8d8b,https://cards.scryfall.io/normal/front/2/f/2f3fbd9b-91ab-4691-a916-e20db8ebc513.jpg?1673305958,Land,Paul Scott Canavan
Chromanticore,5,2022,0.35,#d78f42,https://cards.scryfall.io/normal/front/f/1/f1182463-348b-45b3-a662-68f06ac53699.jpg?1681728973,Enchantment Creature — Manticore,Min Yum
Cinder Glade,0,2022,0.23,#d78f42,https://cards.scryfall.io/normal/front/3/1/31d57056-9327-401d-8ab1-ca898b4259ad.jpg?1673305967,Land — Mountain Forest,Adam Paquette
Coalition Relic,3,2022,0.27,#8c8d8b,https://cards.scryfall.io/normal/front/e/f/ef44324a-32bd-47e9-8fd9-258ba668de53.jpg?1673305762,Artifact,Donato Giancola
Crystal Quarry,0,2022,1.31,#d78f42,https://cards.scryfall.io/normal/front/5/5/55999d8e-50f8-4c8b-a0c3-f3256af62491.jpg?1673305992,Land,Alan Pollack
Day of Destiny,4,2022,0.21,#ffffff,https://cards.scryfall.io/normal/front/5/6/56b27e0c-bf8e-43d6-b99d-3e25d4954d34.jpg?1673305062,Legendary Enchantment,Daren Bader
Dihada- Binder of Wills,4,2022,13.94,#d78f42,https://cards.scryfall.io/normal/front/d/d/ddeb54d6-a600-42b9-98df-20f8d58caed8.jpg?1685554091,Legendary Planeswalker — Dihada,Néstor Ossandón Leal
Dragonskull Summit,0,2022,1.47,#d78f42,https://cards.scryfall.io/normal/front/8/c/8c5a9cb7-6c97-47fd-acd0-bc6dd11b77b4.jpg?1673306001,Land,Alayna Danner
Drana- Liberator of Malakir,3,2022,2.42,#000000,https://cards.scryfall.io/normal/front/d/b/dbee85f6-a880-49ce-8139-5c439a202821.jpg?1673305172,Legendary Creature — Vampire Ally,Mike Bierek
Duneblast,7,2022,0.18,#d78f42,https://cards.scryfall.io/normal/front/4/a/4a38e37b-d458-402a-8b36-13a0e0a115ce.jpg?1673305503,Sorcery,Ryan Alexander Lee
Emperor Mihail II,3,2022,0.23,#341aff,https://cards.scryfall.io/normal/front/7/1/715284eb-8384-4ad8-910c-8378e954a2b1.jpg?1673304853,Legendary Creature — Merfolk Noble,PINDURSKI
Etali- Primal Storm,6,2022,0.35,#ff1a1a,https://cards.scryfall.io/normal/front/a/0/a03fb3a7-3ef6-4162-aad2-82610492aa72.jpg?1675182771,Legendary Creature — Elder Dinosaur,Raymond Swanland
Exotic Orchard,0,2022,0.19,#8c8d8b,https://cards.scryfall.io/normal/front/a/d/ad281a0a-57ac-4285-aac7-244eb7b18601.jpg?1673306018,Land,Steven Belledin
Faeburrow Elder,3,2022,1.94,#d78f42,https://cards.scryfall.io/normal/front/c/8/c817cf1f-c0fe-49ab-a8e9-1d09b4c15e57.jpg?1673305511,Creature — Treefolk Druid,Raoul Vitale
Fallaji Wayfarer,3,2022,2.09,#087500,https://cards.scryfall.io/normal/front/b/c/bc2378b2-96e2-44ca-8434-9f06c26b183d.jpg?1673304752,Creature — Human Scout,Victor Adame Minguez
Foreboding Ruins,0,2022,0.19,#d78f42,https://cards.scryfall.io/normal/front/b/e/be7a14d1-5846-492e-a41a-d5c2045c3cc7.jpg?1673306035,Land,Adam Paquette
Geier Reach Sanitarium,0,2022,2.7,#8c8d8b,https://cards.scryfall.io/normal/front/0/b/0b9fa570-770d-45a7-9b87-2def6992a22b.jpg?1673306052,Legendary Land,Cliff Childs
Gerrard's Hourglass Pendant,1,2022,1.97,#8c8d8b,https://cards.scryfall.io/normal/front/5/8/580ca958-4df7-4f42-b497-d412d286bd4e.jpg?1673304802,Legendary Artifact,Sam Burley
Glint-Eye Nephilim,4,2022,0.09,#d78f42,https://cards.scryfall.io/normal/front/a/4/a4f00d2b-d616-455a-bf9b-5bd82b690121.jpg?1673305536,Creature — Nephilim,Mark Zug
Greensleeves- Maro-Sorcerer,5,2022,18.54,#087500,https://cards.scryfall.io/normal/front/0/9/0969d7f3-cec5-4118-adb1-ff957eedf6ab.jpg?1673304884,Legendary Creature — Elemental,Tuan Duong Chu
Hazezon- Shaper of Sand,3,2022,0.12,#d78f42,https://cards.scryfall.io/normal/front/2/5/25869cd0-63da-4dfb-8870-221cdba276e2.jpg?1674174875,Legendary Creature — Human Warrior,Bryan Sola
Heroes' Podium,5,2022,0.21,#8c8d8b,https://cards.scryfall.io/normal/front/1/b/1b2bee5c-7ea0-4713-a60b-dccaf89c5d48.jpg?1673305808,Legendary Artifact,Willian Murai
Hero of Precinct One,2,2022,0.23,#ffffff,https://cards.scryfall.io/normal/front/4/5/4564f7b4-4fa3-40a3-88e8-2f1cfd15461c.jpg?1673305079,Creature — Human Warrior,Bram Sels
Historian's Boon,4,2022,3.5,#ffffff,https://cards.scryfall.io/normal/front/0/d/0da48d1e-0dec-461a-9a1d-477408b297e6.jpg?1722161554,Enchantment,Irina Nordsol
Illuna- Apex of Wishes,5,2022,0.32,#d78f42,https://cards.scryfall.io/normal/front/0/d/0dfec692-66c8-4c90-8afa-095654011c3d.jpg?1673305551,Legendary Creature — Beast Elemental Dinosaur,Chris Rahn
Iridian Maelstrom,5,2022,0.34,#d78f42,https://cards.scryfall.io/normal/front/f/e/fe784eab-fd21-4812-8172-42af3eb18fe2.jpg?1673304760,Sorcery,Justyna Dura
Jared Carthalion,5,2022,0.65,#d78f42,https://cards.scryfall.io/normal/front/5/a/5acffa48-9e3f-4ba3-a55f-d459307f46df.jpg?1673304686,Legendary Planeswalker — Jared,Manuel Castañón
Jazal Goldmane,4,2022,0.23,#ffffff,https://cards.scryfall.io/normal/front/9/e/9eec64e1-a9c9-4a84-bf78-1d8bc5255a04.jpg?1673305087,Legendary Creature — Cat Warrior,Aaron Miller
Jedit Ojanen- Mercenary,3,2022,0.32,#d78f42,https://cards.scryfall.io/normal/front/9/1/914a4923-18a6-4aa5-8510-b02e9dc7bb41.jpg?1673304932,Legendary Creature — Cat Mercenary,Ilse Gort
Jenson Carthalion- Druid Exile,2,2022,0.42,#d78f42,https://cards.scryfall.io/normal/front/6/a/6a67f32c-4c9a-4bda-92f4-037b99999777.jpg?1673304694,Legendary Creature — Human Druid,Livia Prima
Josu Vess- Lich Knight,4,2022,0.13,#000000,https://cards.scryfall.io/normal/front/0/b/0beb8de5-e54d-4642-b2e4-0e3ffbaa2435.jpg?1673305191,Legendary Creature — Zombie Knight,Tyler Jacobson
Kari Zev- Skyship Raider,2,2022,0.12,#ff1a1a,https://cards.scryfall.io/normal/front/5/2/52de8af2-d260-42a8-b8c2-b26b392632d1.jpg?1673305296,Legendary Creature — Human Pirate,Brad Rigney
Kaya's Wrath,4,2022,0.37,#d78f42,https://cards.scryfall.io/normal/front/2/0/20adee32-2144-44ad-a70c-ebfbda0900ec.jpg?1673651472,Sorcery,Victor Adame Minguez
Knight of New Alara,4,2022,0.22,#d78f42,https://cards.scryfall.io/normal/front/1/0/10076adb-8bd2-4a65-9ee6-192ecd79cc2b.jpg?1673305560,Creature — Human Knight,Chris Rahn
Kothophed- Soul Hoarder,6,2022,0.16,#000000,https://cards.scryfall.io/normal/front/a/1/a1070dd6-944f-44a0-8834-02eae93dabaa.jpg?1673305201,Legendary Creature — Demon,Jakub Kasper
Krenko- Tin Street Kingpin,3,2022,1.81,#ff1a1a,https://cards.scryfall.io/normal/front/3/4/3425e774-2b71-46be-9f58-9cbc121384cd.jpg?1673305306,Legendary Creature — Goblin,Mark Behm
Lavalanche,3,2022,0.12,#d78f42,https://cards.scryfall.io/normal/front/e/3/e3a3b450-d988-40cb-a1ee-8b00ccdf5071.jpg?1673305568,Sorcery,Steve Argyle
Maelstrom Archangel,5,2022,0.83,#d78f42,https://cards.scryfall.io/normal/front/9/5/95ea2a05-207d-4330-bcbe-bcaacd6657f4.jpg?1673305576,Creature — Angel,Cyril Van Der Haegen
Maelstrom Nexus,5,2022,2.01,#d78f42,https://cards.scryfall.io/normal/front/a/3/a3107767-6c36-4982-8e0d-e100d5fca204.jpg?1673305585,Enchantment,Steven Belledin
Mana Cannons,3,2022,0.26,#ff1a1a,https://cards.scryfall.io/normal/front/5/b/5ba12cfc-36d3-4f9c-950e-3ed8b8f105fd.jpg?1673304729,Enchantment,Sidharth Chaturvedi
Merciless Eviction,6,2022,0.37,#d78f42,https://cards.scryfall.io/normal/front/1/d/1d395707-4e6d-4e2c-b977-d9b8c0c9eb80.jpg?1673305593,Sorcery,Richard Wright
Mikokoro- Center of the Sea,0,2022,6.47,#8c8d8b,https://cards.scryfall.io/normal/front/d/8/d80eb098-5433-4b1e-aad5-0fd31bf598dd.jpg?1673306092,Legendary Land,John Avon
