name,cmc,release_year,price,color,image,type_line,artist
Absorb,3,2023,0.45,#d78f42,https://cards.scryfall.io/normal/front/2/1/21892cbc-1af2-4ea1-8907-cec514b53004.jpg?1675200625,Instant,Andrew Goldhawk
Arboria,4,2023,0.21,#087500,https://cards.scryfall.io/normal/front/b/1/b18f4de2-adfe-4784-bd57-9e2ad9088825.jpg?1675200294,World Enchantment,Uriah Voth
Arcades Sabboth,8,2023,0.1,#d78f42,https://cards.scryfall.io/normal/front/1/7/175695bb-2630-4269-a407-9138c7008e81.jpg?1675200635,Legendary Creature — Elder Dragon,Steven Belledin
Arcanis the Omnipotent,6,2023,0.35,#341aff,https://cards.scryfall.io/normal/front/2/0/2074ed36-fbae-4886-b3ad-360fdfbb69cd.jpg?1675199157,Legendary Creature — Wizard,Justin Sweet
Birds of Paradise,1,2023,7.0,#087500,https://cards.scryfall.io/normal/front/4/9/496849a5-4b24-4eae-8bfb-d46f645d85ea.jpg?1675200313,Creature — Bird,Mark Poole
Body Snatcher,4,2023,0.15,#000000,https://cards.scryfall.io/normal/front/2/d/2d7d83a8-3bad-40cf-991c-fc7f8e399c42.jpg?1675199524,Creature — Phyrexian Minion,Mark Zug
Chainer- Dementia Master,5,2023,0.36,#000000,https://cards.scryfall.io/normal/front/c/2/c294695b-a096-441a-9034-91ca74763903.jpg?1678265461,Legendary Creature — Human Minion,Mark Zug
Clifftop Retreat,0,2023,2.87,#d78f42,https://cards.scryfall.io/normal/front/7/c/7c5f775a-2eb3-4151-b21d-9fe62ae17f54.jpg?1675201153,Land,Christine Choi
Crawlspace,3,2023,2.74,#8c8d8b,https://cards.scryfall.io/normal/front/5/b/5b8e092a-610d-4cea-bb92-65e01954b5c4.jpg?1675200920,Artifact,Zoltan Boros
Cryptic Gateway,5,2023,0.45,#8c8d8b,https://cards.scryfall.io/normal/front/c/8/c872e2b4-3ca9-4649-b863-17c0c4065f63.jpg?1675200934,Artifact,David Martin
Dark Depths,0,2023,6.72,#8c8d8b,https://cards.scryfall.io/normal/front/3/a/3a8b11ad-d077-40b6-988c-0462e118fe3d.jpg?1676452514,Legendary Snow Land,Mathias Kollros
Decimate,4,2023,0.64,#d78f42,https://cards.scryfall.io/normal/front/8/9/8931725a-8034-4ecc-ac44-3f09ded677d7.jpg?1675200645,Sorcery,Kekai Kotaki
Denizen of the Deep,8,2023,0.09,#341aff,https://cards.scryfall.io/normal/front/c/a/ca7959e9-8ae7-49f7-acf9-a0fc2afa219e.jpg?1675199247,Creature — Serpent,Anson Maddocks
Divine Sacrament,3,2023,0.2,#ffffff,https://cards.scryfall.io/normal/front/a/7/a77d4044-f2bd-470a-8468-a319e0a21d8d.jpg?1675198788,Enchantment,Ekaterina Burmak
Enlightened Tutor,1,2023,16.57,#ffffff,https://cards.scryfall.io/normal/front/1/c/1c9675fb-1a89-420f-aea8-50e0642f549c.jpg?1675198797,Instant,Howard Lyon
Entomb,1,2023,6.52,#000000,https://cards.scryfall.io/normal/front/3/c/3caa9c55-5e3b-436b-84a9-b7ccebf63799.jpg?1675199594,Instant,Seb McKinnon
Exploration,1,2023,9.75,#087500,https://cards.scryfall.io/normal/front/5/b/5b372045-a4a0-44c8-96ec-1e201d61ed26.jpg?1675200396,Enchantment,Lindsey Look
Force of Will,5,2023,59.99,#341aff,https://cards.scryfall.io/normal/front/8/9/89f612d6-7c59-4a7b-a87d-45f789e88ba5.jpg?1675199280,Instant,Donato Giancola
Forgotten Ancient,4,2023,0.24,#087500,https://cards.scryfall.io/normal/front/6/d/6d79e492-993e-4305-bff2-b45f6b2536c8.jpg?1675200413,Creature — Elemental,Mark Tedin
Gamble,1,2023,4.98,#ff1a1a,https://cards.scryfall.io/normal/front/8/e/8e37fae5-ddd0-4e16-8581-71579f89d9c5.jpg?1675199986,Sorcery,Andrew Goldhawk
Gauntlet of Power,5,2023,3.18,#8c8d8b,https://cards.scryfall.io/normal/front/d/1/d153663f-f08a-483e-92c9-82b5a9723807.jpg?1675200983,Artifact,Greg Hildebrandt
Gemstone Mine,0,2023,0.91,#8c8d8b,https://cards.scryfall.io/normal/front/e/e/ee152618-761f-43b4-942a-f63b16c182cc.jpg?1675201210,Land,Brom
Glory,5,2023,0.18,#ffffff,https://cards.scryfall.io/normal/front/6/b/6b01ebcf-8451-486e-84f6-8e6e1bb9d6e3.jpg?1675198806,Creature — Incarnation,Donato Giancola
Grim Lavamancer,1,2023,0.16,#ff1a1a,https://cards.scryfall.io/normal/front/1/a/1ab6ffe8-e1ad-4db9-98f7-d6038f271866.jpg?1675200043,Creature — Human Wizard,Michael Sutfin
Helm of Awakening,2,2023,0.84,#8c8d8b,https://cards.scryfall.io/normal/front/e/9/e9e4ff9c-6244-43e1-b569-32a270c4e014.jpg?1675200994,Artifact,Adam Rex
Hinterland Harbor,0,2023,2.69,#d78f42,https://cards.scryfall.io/normal/front/d/a/da629db7-c200-43ed-8de2-a5859b639a6d.jpg?1675201221,Land,Daniel Ljunggren
Hunting Grounds,2,2023,1.8,#d78f42,https://cards.scryfall.io/normal/front/6/e/6e544772-5ab8-47dd-8a6e-686d385a6ee7.jpg?1675200675,Enchantment,Eli Minaya
Isolated Chapel,0,2023,2.94,#d78f42,https://cards.scryfall.io/normal/front/d/3/d359281b-b509-41be-a820-c7ac9f36f27f.jpg?1675201232,Land,Richard Wright
Jester's Cap,4,2023,0.21,#8c8d8b,https://cards.scryfall.io/normal/front/b/3/b364e7e7-83e5-474b-9768-8b70a77e5ffa.jpg?1675201025,Artifact,Jesper Ejsing
Jolrael- Mwonvuli Recluse,2,2023,0.15,#087500,https://cards.scryfall.io/normal/front/6/5/65852aa0-98f4-4b38-89f1-96062677e590.jpg?1675200449,Legendary Creature — Human Druid,Izzy
Kamahl- Fist of Krosa,6,2023,0.59,#087500,https://cards.scryfall.io/normal/front/c/9/c960672d-06ad-4d41-8904-9c007f824756.jpg?1675200457,Legendary Creature — Human Druid,Matthew D. Wilson
Last Chance,2,2023,1.09,#ff1a1a,https://cards.scryfall.io/normal/front/c/0/c0efb595-d407-4389-a99d-d97c4d6bdcd0.jpg?1675200054,Sorcery,Joshua Raphael
Legacy Weapon,7,2023,0.42,#d78f42,https://cards.scryfall.io/normal/front/a/f/afd35d5c-7f28-4842-85e8-692d6c391c3a.jpg?1675201047,Legendary Artifact,Ryan Pancoast
Lieutenant Kirtar,3,2023,0.13,#ffffff,https://cards.scryfall.io/normal/front/4/7/475ba0c3-237e-4349-85e9-c31b016f609b.jpg?1675198864,Legendary Creature — Bird Soldier,Paolo Parente
Lotus Blossom,2,2023,0.22,#8c8d8b,https://cards.scryfall.io/normal/front/c/5/c5b92fd6-e3a7-4d50-b94f-1508a830b799.jpg?1675201056,Artifact,Randy Gallegos
Lyra Dawnbringer,5,2023,2.81,#ffffff,https://cards.scryfall.io/normal/front/a/2/a2e0c8c5-ea0e-4347-b5cb-b7b1801a523b.jpg?1675198875,Legendary Creature — Angel,Chris Rahn
Maze of Ith,0,2023,3.42,#8c8d8b,https://cards.scryfall.io/normal/front/5/8/5889fde1-730d-43d0-aaa4-499784a80530.jpg?1675201242,Land,Yeong-Hao Han
Mindslicer,4,2023,0.3,#000000,https://cards.scryfall.io/normal/front/a/f/afc86134-8af6-4355-b1ad-96917c99ff3c.jpg?1675199696,Creature — Horror,Kev Walker
Mystical Tutor,1,2023,8.25,#341aff,https://cards.scryfall.io/normal/front/3/6/36fa9a0b-b0c9-43ea-ba11-99d7982f974e.jpg?1675199375,Instant,Lindsey Look
Mystic Remora,1,2023,5.33,#341aff,https://cards.scryfall.io/normal/front/4/0/40140991-cffa-4b52-9a25-37e9a8aa9ddd.jpg?1675199366,Enchantment,Jesper Ejsing
Nantuko Shade,2,2023,0.09,#000000,https://cards.scryfall.io/normal/front/f/b/fb4c5dd4-79dc-4bd2-8c18-897924a4a959.jpg?1675199705,Creature — Insect Shade,Brian Snõddy
No Mercy,4,2023,8.63,#000000,https://cards.scryfall.io/normal/front/6/3/63c5e1dd-2fe6-4734-8406-7bcdf17aa60c.jpg?1675199736,Enchantment,Mark Tedin
Nut Collector,6,2023,1.21,#087500,https://cards.scryfall.io/normal/front/3/2/32980fc5-32ef-4f6d-8972-7a9e122c02e2.jpg?1675200498,Creature — Human Druid,Jesper Ejsing
Opposition,4,2023,0.47,#341aff,https://cards.scryfall.io/normal/front/a/e/ae14acde-8a5c-4f0e-8e68-b799a363b9f7.jpg?1675977485,Enchantment,Todd Lockwood
Overmaster,1,2023,0.88,#ff1a1a,https://cards.scryfall.io/normal/front/2/8/28e812a8-66cf-4005-a647-780d49aa74a4.jpg?1675200116,Sorcery,Chris Seaman
Oversold Cemetery,2,2023,0.49,#000000,https://cards.scryfall.io/normal/front/0/6/06b7312a-c775-4fa8-ba62-c84ff38459e8.jpg?1675199746,Enchantment,Jarel Threat
Pashalik Mons,3,2023,0.43,#ff1a1a,https://cards.scryfall.io/normal/front/c/a/ca20a650-65b0-4714-b7ce-0481af3db377.jpg?1675200126,Legendary Creature — Goblin Warrior,Dave Kendall
Phantom Nishoba,7,2023,0.12,#d78f42,https://cards.scryfall.io/normal/front/2/2/2281a21b-fc68-46ad-b340-eb13ca0165ec.jpg?1675200693,Creature — Cat Beast Spirit,Arnie Swekel
Pyre Zombie,3,2023,0.08,#d78f42,https://cards.scryfall.io/normal/front/4/9/49c2db45-0ef7-45c8-ac65-eb785c173bd7.jpg?1675200702,Creature — Zombie,Nelson DeCastro
Rith- the Awakener,6,2023,0.19,#d78f42,https://cards.scryfall.io/normal/front/e/1/e1a75961-39a3-4221-9367-a763cf871d42.jpg?1675200740,Legendary Creature — Dragon,Mathias Kollros
Royal Assassin,3,2023,0.39,#000000,https://cards.scryfall.io/normal/front/6/7/67ef9842-7142-4c63-8aea-fa73f02722a5.jpg?1675199792,Creature — Human Assassin,Mark Zug
Saproling Symbiosis,4,2023,0.25,#087500,https://cards.scryfall.io/normal/front/6/4/64ae774a-c1de-4c9e-a2ec-86d71cb2d1db.jpg?1675200533,Sorcery,Ciruelo
Serra Avatar,7,2023,0.34,#ffffff,https://cards.scryfall.io/normal/front/5/0/5041dcfd-c1af-448c-91f7-75fd1d34e93e.jpg?1675199023,Creature — Avatar,Victor Adame Minguez
Sevinne's Reclamation,3,2023,0.89,#ffffff,https://cards.scryfall.io/normal/front/3/b/3b272b9a-9348-4eaa-8978-2fe549182c84.jpg?1675199033,Sorcery,Zoltan Boros
Shivan Dragon,6,2023,0.09,#ff1a1a,https://cards.scryfall.io/normal/front/7/b/7b78eb49-bd68-47e6-90a3-83ec2eeb4312.jpg?1675200149,Creature — Dragon,Donato Giancola
Siege-Gang Commander,5,2023,0.19,#ff1a1a,https://cards.scryfall.io/normal/front/5/d/5dd6a913-88df-4fbc-964e-a8fec3ad989f.jpg?1675200158,Creature — Goblin,Aaron Miller
Sneak Attack,4,2023,8.68,#ff1a1a,https://cards.scryfall.io/normal/front/a/4/a45b4ca9-4355-4690-84c3-a7d44c367dbf.jpg?1675200189,Enchantment,Jerry Tiritilli
