name,cmc,release_year,price,color,image
Aether Snap,5,2004,0.79,#000000,https://cards.scryfall.io/large/front/d/9/d9422b79-2bc5-4d0a-8f91-157d9fc09641.jpg?1562639912
Ageless Entity,5,2004,0.3,#087500,https://cards.scryfall.io/large/front/f/2/f2d9b77b-d775-4546-91c8-df438a1d8dbe.jpg?1562640438
Arcbound Overseer,8,2004,2.68,#8c8d8b,https://cards.scryfall.io/large/front/8/b/8b64717e-0e7b-4b4c-ba82-48498ee87aad.jpg?1562638021
Arcbound Ravager,2,2004,13.98,#8c8d8b,https://cards.scryfall.io/large/front/7/2/72c1a731-7854-42b1-8719-ac3c2a269c1f.jpg?1562637545
Arcbound Reclaimer,4,2004,4.12,#8c8d8b,https://cards.scryfall.io/large/front/3/e/3e4c5228-1dff-4df0-9d14-f8103364c701.jpg?1562636419
Blinkmoth Nexus,0,2004,3.34,#8c8d8b,https://cards.scryfall.io/large/front/b/f/bf51c665-7823-4d6a-b1da-8c2d93dae10b.jpg?1562639336
Chromescale Drake,9,2004,0.26,#341aff,https://cards.scryfall.io/large/front/d/2/d22aa7ef-da34-49c1-9aac-67d129ffa6fe.jpg?1562639746
Darksteel Colossus,11,2004,12.38,#8c8d8b,https://cards.scryfall.io/large/front/c/b/cbc27b24-f085-48b0-8757-cd11fbf25b91.jpg?1562639596
Darksteel Forge,9,2004,22.41,#8c8d8b,https://cards.scryfall.io/large/front/9/9/99078ecc-f50a-43e0-93c1-63240cd97bf7.jpg?1562638330
Darksteel Reactor,4,2004,9.88,#8c8d8b,https://cards.scryfall.io/large/front/1/b/1b2f1e30-7b30-4853-aeac-3b0933d4ac5e.jpg?1562635655
Death Cloud,3,2004,4.77,#000000,https://cards.scryfall.io/large/front/9/7/97a0bfb9-859b-4fed-a1c4-1f0924715801.jpg?1562638297
Eater of Days,4,2004,3.56,#8c8d8b,https://cards.scryfall.io/large/front/e/f/ef6870db-8aca-4aee-8e4d-c56a7d8dc242.jpg?1562640398
Fangren Firstborn,4,2004,2.81,#087500,https://cards.scryfall.io/large/front/9/7/97d5fc3c-7f6b-42a5-a482-d789a2a421c7.jpg?1562638300
Flamebreak,3,2004,1.52,#ff1a1a,https://cards.scryfall.io/large/front/8/7/87e1f06f-7c87-4da8-b339-e571e391cab1.jpg?1562637920
Furnace Dragon,9,2004,0.48,#ff1a1a,https://cards.scryfall.io/large/front/6/2/62f5c675-b629-45ec-907c-36594f5fe54a.jpg?1562637231
Gemini Engine,6,2004,0.21,#8c8d8b,https://cards.scryfall.io/large/front/2/e/2e03e05b-011b-4695-950b-98dd7643b8a0.jpg?1562636055
Greater Harvester,5,2004,0.41,#000000,https://cards.scryfall.io/large/front/c/0/c0b9c148-5f31-405e-9215-a12bafcac99a.jpg?1562639356
Heartseeker,4,2004,2.99,#8c8d8b,https://cards.scryfall.io/large/front/a/4/a4f33c08-f3c3-4015-970d-ac0530f97c9c.jpg?1562638625
Last Word,4,2004,1.04,#341aff,https://cards.scryfall.io/large/front/1/3/139d2ece-f656-4cac-8d77-b0f083f76c70.jpg?1562635496
Leonin Shikari,2,2004,4.86,#ffffff,https://cards.scryfall.io/large/front/5/6/56b2a0f5-e340-4a85-aa5c-340e7f8231b0.jpg?1562636954
Lich's Tomb,4,2004,1.99,#8c8d8b,https://cards.scryfall.io/large/front/c/a/ca24a105-e32a-4b2c-99bf-cfd85bae6229.jpg?1562639564
Memnarch,7,2004,8.94,#341aff,https://cards.scryfall.io/large/front/5/7/57ae2417-b859-4254-a3a5-6bff159447ca.jpg?1562636993
