name,cmc,release_year,price,color
Anafenza- Kin-Tree Spirit,2,2015,0.85,#ffffff
Arashin Foremost,3,2015,0.23,#ffffff
Arashin Sovereign,7,2015,0.18,#d78f42
Assault Formation,2,2015,0.61,#087500
Atarka's Command,2,2015,1.7,#d78f42
Avatar of the Resolute,2,2015,0.78,#087500
Berserkers' Onslaught,5,2015,2.76,#ff1a1a
Blessed Reincarnation,4,2015,0.16,#341aff
Blood-Chin Fanatic,3,2015,0.15,#000000
Boltwing Marauder,5,2015,0.25,#d78f42
Clone Legion,9,2015,0.99,#341aff
Collected Company,4,2015,16.15,#087500
Commune with Lava,2,2015,0.25,#ff1a1a
Corpseweft,3,2015,0.12,#000000
Crater Elemental,3,2015,0.16,#ff1a1a
Damnable Pact,2,2015,0.25,#000000
Deathbringer Regent,7,2015,0.23,#000000
Deathmist Raptor,3,2015,0.42,#087500
Den Protector,2,2015,0.26,#087500
Descent of the Dragons,6,2015,4.31,#ff1a1a
Dragonlord Atarka,7,2015,9.71,#d78f42
Dragonlord Dromoka,6,2015,8.36,#d78f42
Dragonlord Kolaghan,6,2015,6.63,#d78f42
Dragonlord Ojutai,5,2015,25.71,#d78f42
Dragonlord Silumgar,6,2015,2.92,#d78f42
Dragonlord's Prerogative,6,2015,0.22,#341aff
Dragon Tempest,2,2015,8.46,#ff1a1a
Dragon Whisperer,2,2015,0.67,#ff1a1a
Dromoka's Command,2,2015,0.73,#d78f42
Foe-Razer Regent,7,2015,0.32,#087500
Foul Renewal,4,2015,0.17,#000000
Gleam of Authority,2,2015,0.24,#ffffff
Harbinger of the Hunt,5,2015,0.3,#d78f42
Haven of the Spirit Dragon,0,2015,2.78,#8c8d8b
Hedonist's Trove,7,2015,0.22,#000000
Hidden Dragonslayer,2,2015,0.24,#ffffff
Icefall Regent,5,2015,0.42,#341aff
Illusory Gains,5,2015,0.16,#341aff
Ire Shaman,2,2015,0.11,#ff1a1a
Kolaghan's Command,3,2015,2.71,#d78f42
Living Lore,4,2015,0.11,#341aff
Mirror Mockery,2,2015,0.24,#341aff
Myth Realized,1,2015,0.2,#ffffff
Narset Transcendent,4,2015,7.98,#d78f42
Necromaster Dragon,5,2015,0.29,#d78f42
Obscuring Aether,1,2015,0.25,#087500
Ojutai Exemplars,4,2015,0.5,#ffffff
Ojutai's Command,4,2015,0.29,#d78f42
Pitiless Horde,3,2015,0.13,#000000
Pristine Skywise,6,2015,0.18,#d78f42
Profaner of the Dead,4,2015,0.21,#341aff
Profound Journey,7,2015,0.19,#ffffff
Radiant Purge,2,2015,0.24,#ffffff
Risen Executioner,4,2015,1.74,#000000
Sarkhan Unbroken,5,2015,22.99,#d78f42
Secure the Wastes,1,2015,5.8,#ffffff
Shaman of Forgotten Ways,3,2015,7.35,#087500
Shorecrasher Elemental,3,2015,0.36,#341aff
Sidisi- Undead Vizier,5,2015,7.65,#000000
Silumgar Assassin,2,2015,0.16,#000000
Silumgar's Command,5,2015,0.24,#d78f42
Stratus Dancer,2,2015,0.18,#341aff
Sunbringer's Touch,4,2015,0.15,#087500
Sunscorch Regent,5,2015,0.85,#ffffff
Surrak- the Hunt Caller,4,2015,0.35,#087500
Thunderbreak Regent,4,2015,2.09,#ff1a1a
Volcanic Vision,7,2015,0.24,#ff1a1a
Zurgo Bellstriker,1,2015,0.46,#ff1a1a
