name,cmc,release_year,price,color,image,type_line,artist
Adaptive Automaton,3,2017,1.92,#8c8d8b,https://cards.scryfall.io/normal/front/a/3/a3a74bb9-b850-4d94-81f4-ffe062e91c49.jpg?1783935486,Artifact Creature — Construct,Igor Kieryluk
Aether Gale,5,2017,0.33,#341aff,https://cards.scryfall.io/normal/front/1/3/1352ede2-9eb4-44db-b323-58b7b6409242.jpg?1783935497,Sorcery,Jack Wang
Aggravated Assault,3,2017,30.39,#ff1a1a,https://cards.scryfall.io/normal/front/8/f/8f9fa105-6829-431c-8386-8e3e9deff2db.jpg?1783935493,Enchantment,Greg Staples
Beacon of Immortality,6,2017,15.52,#ffffff,https://cards.scryfall.io/normal/front/1/c/1c35c626-3693-44d8-a308-d3d5dcf77c93.jpg?1783935499,Instant,Rob Alexander
Blatant Thievery,7,2017,3.9,#341aff,https://cards.scryfall.io/normal/front/b/b/bb500b63-a61f-4d62-a666-61c7bca94b18.jpg?1783935497,Sorcery,Victor Adame Minguez
Day of Judgment,4,2017,1.63,#ffffff,https://cards.scryfall.io/normal/front/d/a/da6dbb49-1e70-439e-9866-c755b3236bdd.jpg?1783935498,Sorcery,Vincent Proce
Disaster Radius,7,2017,0.22,#ff1a1a,https://cards.scryfall.io/normal/front/a/7/a7a4ef98-2b74-40e6-90ff-23179fb962da.jpg?1783935493,Sorcery,James Paick
Hunter's Prowess,5,2017,0.49,#087500,https://cards.scryfall.io/normal/front/2/c/2c0e5ac0-48f2-44c2-814e-9bc90ff01760.jpg?1783935490,Sorcery,Greg Staples
Mass Mutiny,5,2017,0.5,#ff1a1a,https://cards.scryfall.io/normal/front/4/6/461aaf42-9b96-4960-b6c8-ba80cf4ef349.jpg?1783935493,Sorcery,Sidharth Chaturvedi
Merfolk Sovereign,3,2017,0.25,#341aff,https://cards.scryfall.io/normal/front/0/b/0b1a55bc-7a62-4d0f-9885-db98e4324ff7.jpg?1783935498,Creature — Merfolk Noble,Slawomir Maniak
Necropolis Regent,6,2017,0.66,#000000,https://cards.scryfall.io/normal/front/6/f/6ff29341-b947-415b-a939-46bfa4800dbe.jpg?1783935494,Creature — Vampire,Winona Nelson
Quicksilver Amulet,4,2017,2.92,#8c8d8b,https://cards.scryfall.io/normal/front/a/b/ab053d73-31a9-4e70-9310-4e250862ad6b.jpg?1783935485,Artifact,Brad Rigney
Shared Animosity,3,2017,2.78,#ff1a1a,https://cards.scryfall.io/normal/front/c/a/ca5feaf7-3ca0-4ad7-b56b-b76d39e4bec7.jpg?1783935493,Enchantment,Chuck Lukacs
Shielded by Faith,3,2017,4.32,#ffffff,https://cards.scryfall.io/normal/front/0/6/066ac822-7417-4dc4-93ba-bfba2252f47b.jpg?1783935498,Enchantment — Aura,David Palumbo
Soul of the Harvest,6,2017,5.12,#087500,https://cards.scryfall.io/normal/front/4/a/4a4ad065-cfab-4aad-b265-211143c1c69d.jpg?1783935489,Creature — Elemental,Eytan Zana
Threads of Disloyalty,3,2017,0.24,#341aff,https://cards.scryfall.io/normal/front/0/c/0c4a061e-45ac-47b5-a955-5744199589b1.jpg?1783935496,Enchantment — Aura,Anthony S. Waters
Time Warp,5,2017,16.41,#341aff,https://cards.scryfall.io/normal/front/8/7/87fe8637-9be1-4b57-832f-38cf92d23482.jpg?1783935496,Sorcery,Jon Foster
