name,cmc,release_year,price,color,image,type_line,artist
Abigale- Eloquent First-Year,2,2026,0.76,#d78f42,https://cards.scryfall.io/normal/front/b/f/bf708169-a307-494b-b8d8-baae53b2e2f2.jpg?1767658678,Legendary Creature — Bird Bard,Mark Zug
Adept Watershaper,3,2026,0.44,#ffffff,https://cards.scryfall.io/normal/front/6/e/6e53f246-8347-4632-9d5b-4aeb12f7b762.jpg?1767951683,Creature — Merfolk Cleric,Pauline Voss
Ajani- Outland Chaperone,3,2026,2.58,#ffffff,https://cards.scryfall.io/normal/front/6/1/6124a691-ae83-4d22-a177-0aee65b47064.jpg?1767951721,Legendary Planeswalker — Ajani,Daren Bader
Ashling- Rekindled // Ashling- Rimebound,2,2026,0.49,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Creature — Elemental Sorcerer // Legendary Creature — Elemental Wizard,Ilse Gort
Ashling's Command,5,2026,0.36,#d78f42,https://cards.scryfall.io/normal/front/f/e/fe3a421d-07b6-4b94-b177-aec44c7fe689.jpg?1759144840,Kindred Instant — Elemental,Iris Compiet
Aurora Awakener,7,2026,2.03,#087500,https://cards.scryfall.io/normal/front/9/1/913977c2-73f9-466b-bd01-827c1736e070.jpg?1767658343,Creature — Giant Druid,Paolo Parente
Bitterbloom Bearer,2,2026,21.42,#000000,https://cards.scryfall.io/normal/front/7/1/7127164d-f2a3-4d79-b6db-93507ff5ab47.jpg?1759144841,Creature — Faerie Rogue,Chris Rahn
Blood Crypt,0,2026,7.78,#d78f42,https://cards.scryfall.io/normal/front/6/d/6da63cc5-4624-4491-abd9-9b600c3fefe2.jpg?1759144844,Land — Swamp Mountain,Adam Paquette
Bloodline Bidding,8,2026,0.7,#000000,https://cards.scryfall.io/normal/front/8/7/877d9b75-ad2f-45a6-94d8-68e80d7db789.jpg?1767732723,Sorcery,Drew Baker
Bloom Tender,2,2026,9.74,#087500,https://cards.scryfall.io/normal/front/b/a/ba86688d-18f0-4b5c-a797-42bf125a6c9f.jpg?1767658349,Creature — Elf Druid,Nils Hamm
Bre of Clan Stoutarm,4,2026,0.28,#d78f42,https://cards.scryfall.io/normal/front/0/1/013cefb7-a059-45c2-81b0-187f35aac4a2.jpg?1767658514,Legendary Creature — Giant Warrior,Jesper Ejsing
Brigid- Clachan's Heart // Brigid- Doun's Mind,3,2026,0.57,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Creature — Kithkin Warrior // Legendary Creature — Kithkin Soldier,Zoltan Boros
Brigid's Command,3,2026,0.25,#d78f42,https://cards.scryfall.io/normal/front/c/f/cf034777-3da7-4d5c-9213-5e9d235c315a.jpg?1767862610,Kindred Sorcery — Kithkin,Sam Guay
Bristlebane Battler,2,2026,0.37,#087500,https://cards.scryfall.io/normal/front/c/8/c857fa32-1b5d-4139-8809-b4d0df44b472.jpg?1767732790,Creature — Kithkin Soldier,Steve Ellis
Catharsis,6,2026,1.96,#d78f42,https://cards.scryfall.io/normal/front/a/f/affb4500-2704-49fc-bbb4-02ed4bfb3b76.jpg?1767952383,Creature — Elemental Incarnation,Alex Horley-Orlandelli
Celestial Reunion,1,2026,2.64,#087500,https://cards.scryfall.io/normal/front/5/8/583b2863-aca1-4dab-9196-ea453b5d9454.jpg?1767863436,Sorcery,Justin Gerard
Champion of the Clachan,4,2026,0.17,#ffffff,https://cards.scryfall.io/normal/front/4/6/46ce3474-381c-433b-acd8-4e628d0048d2.jpg?1767692155,Creature — Kithkin Knight,Edgar Sánchez Hidalgo
Champion of the Path,4,2026,0.25,#ff1a1a,https://cards.scryfall.io/normal/front/e/3/e369cd31-3e22-47eb-bf6a-00d823651710.jpg?1767952132,Creature — Elemental Sorcerer,Tyler Walpole
