name,cmc,release_year,price,color,image,type_line,artist
Arcanis the Omnipotent,6,2016,0.6,#341aff,https://cards.scryfall.io/normal/front/e/4/e49bf47e-ad40-4b3d-9e64-37b311df52e9.jpg?1580013880,Legendary Creature — Wizard,Justin Sweet
Argothian Enchantress,2,2016,38.31,#087500,https://cards.scryfall.io/normal/front/b/9/b99ff81f-08d9-4b4a-a879-de5e5e402802.jpg?1580014727,Creature — Human Druid,Daren Bader
Balance,2,2016,2.03,#ffffff,https://cards.scryfall.io/normal/front/c/e/ce648aa3-098b-4af0-a433-fd290bc85904.jpg?1737999968,Sorcery,Kev Walker
Baleful Strix,2,2016,0.98,#d78f42,https://cards.scryfall.io/normal/front/d/f/df7536fa-a501-4e31-941f-b391a61e358a.jpg?1580015005,Artifact Creature — Bird,Nils Hamm
Brago- King Eternal,4,2016,2.23,#d78f42,https://cards.scryfall.io/normal/front/8/b/8ba873c1-f1ff-49f2-9e0d-bc9d52f94d76.jpg?1580015020,Legendary Creature — Spirit Noble,Karla Ortiz
Braids- Cabal Minion,4,2016,1.7,#000000,https://cards.scryfall.io/normal/front/f/5/f532bca1-a115-4fe7-847e-296677bdd3ee.jpg?1580014192,Legendary Creature — Human Minion,Eric Peterson
Call the Skybreaker,7,2016,0.11,#d78f42,https://cards.scryfall.io/normal/front/9/5/9511172e-f5dc-4356-9a9d-9fd4527069e3.jpg?1580015141,Sorcery,Randy Gallegos
Chrome Mox,0,2016,90.79,#8c8d8b,https://cards.scryfall.io/normal/front/e/5/e59f7138-60e0-444e-aaa3-8769072da916.jpg?1580015180,Artifact,Volkan Baǵa
Control Magic,4,2016,0.99,#341aff,https://cards.scryfall.io/normal/front/c/7/c7e90849-ca7a-4f66-871e-1cb4b59aefcf.jpg?1580013903,Enchantment — Aura,Terese Nielsen
Crater Hellion,6,2016,0.18,#ff1a1a,https://cards.scryfall.io/normal/front/c/e/ce5c02ae-e390-4da6-9904-ec138abbe047.jpg?1580014492,Creature — Hellion Beast,Daren Bader
Dack Fayden,3,2016,6.98,#d78f42,https://cards.scryfall.io/normal/front/1/0/10158a5e-5a03-41ab-85d2-0907ccf32c9b.jpg?1580015027,Legendary Planeswalker — Dack,Eric Deschamps
Deathrite Shaman,1,2016,9.18,#d78f42,https://cards.scryfall.io/normal/front/d/1/d14f9fc8-e48c-473f-ba6b-9cffce94bb53.jpg?1580015151,Creature — Elf Shaman,Steve Argyle
Diminishing Returns,4,2016,4.02,#341aff,https://cards.scryfall.io/normal/front/f/9/f9ed455f-95cd-48ca-8b0d-4db259347bb6.jpg?1580013930,Sorcery,Greg Opalinski
Dualcaster Mage,3,2016,1.3,#ff1a1a,https://cards.scryfall.io/normal/front/a/5/a50607c1-c283-44b7-b69b-79d1ad332b5a.jpg?1580014514,Creature — Human Wizard,Matt Stewart
Duplicant,6,2016,0.33,#8c8d8b,https://cards.scryfall.io/normal/front/8/e/8e357856-99d6-407a-bfa2-3cddbf4affd3.jpg?1580015185,Artifact Creature — Shapeshifter,Marco Nelor
Eight-and-a-Half-Tails,2,2016,1.32,#ffffff,https://cards.scryfall.io/normal/front/f/1/f10a72dc-10ca-4925-b1ea-5377f7867b57.jpg?1580013644,Legendary Creature — Fox Cleric,Daren Bader
Enlightened Tutor,1,2016,30.71,#ffffff,https://cards.scryfall.io/normal/front/0/c/0c9ebec9-3474-4062-9607-2e2a72f78299.jpg?1580013657,Instant,Howard Lyon
Entomb,1,2016,12.76,#000000,https://cards.scryfall.io/normal/front/5/d/5dba0068-c63f-4699-b630-a56b26ad8239.jpg?1580014227,Instant,Seb McKinnon
Force of Will,5,2016,54.59,#341aff,https://cards.scryfall.io/normal/front/e/b/ebc01ab4-d89a-4d25-bf54-6aed33772f4b.jpg?1580013954,Instant,Terese Nielsen
Future Sight,5,2016,0.33,#341aff,https://cards.scryfall.io/normal/front/f/d/fdf3b52f-edcd-429d-9a65-703bbd97cb5e.jpg?1580013961,Enchantment,Dan Murayama Scott
Gamble,1,2016,6.85,#ff1a1a,https://cards.scryfall.io/normal/front/7/6/7602b70b-686f-432b-ac59-1141dd3d0dea.jpg?1580014551,Sorcery,Winona Nelson
Giant Solifuge,4,2016,0.23,#d78f42,https://cards.scryfall.io/normal/front/d/4/d4bb6038-e2e9-4de2-a94e-0798c80a94c6.jpg?1580015158,Creature — Insect,Svetlin Velinov
Glare of Subdual,4,2016,0.49,#d78f42,https://cards.scryfall.io/normal/front/e/1/e1b6e40f-02d6-498f-bb3b-6a9e19ed46f6.jpg?1580015047,Enchantment,Zoltan Boros & Gabor Szikszai
Goblin Charbelcher,4,2016,0.67,#8c8d8b,https://cards.scryfall.io/normal/front/4/5/451f9489-6997-42c2-96c2-021cd8bdd5d3.jpg?1580015198,Artifact,Jesper Ejsing
Goblin Trenches,3,2016,0.44,#d78f42,https://cards.scryfall.io/normal/front/0/6/06625dee-d2e6-4efa-a385-5113d0fe78ac.jpg?1580015054,Enchantment,Filip Burburan
Green Sun's Zenith,1,2016,31.43,#087500,https://cards.scryfall.io/normal/front/0/1/01794178-cf41-454c-ac37-1d8b18e42db2.jpg?1580014798,Sorcery,David Rapoza
Heritage Druid,1,2016,3.06,#087500,https://cards.scryfall.io/normal/front/5/7/57948c65-4324-42bc-97ae-7cc700eb3817.jpg?1580014812,Creature — Elf Druid,Larry MacDougall
Ichorid,4,2016,0.42,#000000,https://cards.scryfall.io/normal/front/c/d/cd5bc1e4-eefb-4613-aa18-2bf2b9bdf415.jpg?1580014271,Creature — Horror,rk post
Imperious Perfect,3,2016,0.56,#087500,https://cards.scryfall.io/normal/front/2/f/2f527ba3-ac8f-4bcc-880a-94ec9623d624.jpg?1580014825,Creature — Elf Warrior,Scott M. Fischer
Inkwell Leviathan,9,2016,0.58,#341aff,https://cards.scryfall.io/normal/front/1/8/1869098e-536f-4381-85d4-7691679a7cc9.jpg?1580014003,Artifact Creature — Leviathan,Anthony Francisco
Isochron Scepter,2,2016,17.42,#8c8d8b,https://cards.scryfall.io/normal/front/4/9/49c0e902-f7ee-4dab-9a07-025a305c9958.jpg?1580015204,Artifact,Chippy
