name,cmc,release_year,price,color,image,type_line,artist
Adagia- Windswept Bastion,0,2025,4.76,#ffffff,https://cards.scryfall.io/normal/front/c/6/c634273a-94b0-4104-9d10-ae522ece1fc7.jpg?1755341328,Land — Planet,Adam Paquette
Alpharael- Stonechosen,5,2025,0.28,#000000,https://cards.scryfall.io/normal/front/3/3/33063d26-37f7-4e35-8da2-5770dfabdc41.jpg?1752946907,Legendary Creature — Human Cleric,Kieran Yanner
Anticausal Vestige,6,2025,1.97,#8c8d8b,https://cards.scryfall.io/normal/front/3/5/35372b69-6086-44e0-9f7c-681e362e5142.jpg?1752946556,Creature — Eldrazi,Chase Stone
Archenemy's Charm,3,2025,0.73,#000000,https://cards.scryfall.io/normal/front/d/c/dcde5f27-e2f0-4d2a-afa3-f300896ec4b1.jpg?1752946908,Instant,Brigitte Roka & Clifton Stommel
Astelli Reclaimer,5,2025,0.25,#ffffff,https://cards.scryfall.io/normal/front/4/f/4fb36405-cd28-432f-b0a4-e74ff8be928d.jpg?1752946568,Creature — Angel Warrior,Carly Milligan
Beyond the Quiet,5,2025,0.33,#ffffff,https://cards.scryfall.io/normal/front/c/e/ce503869-8130-4afe-9691-4e90376b4bc4.jpg?1752946582,Sorcery,Yohann Schepacz
Bioengineered Future,3,2025,0.17,#087500,https://cards.scryfall.io/normal/front/8/0/800ee479-c1dc-4dd0-9b98-436c78997958.jpg?1758204025,Enchantment,Constantin Marin
Biotech Specialist,2,2025,0.21,#d78f42,https://cards.scryfall.io/normal/front/1/2/127c221f-94e7-4a0e-a7a6-79ef399862d3.jpg?1752947432,Creature — Insect Scientist,Alexandre Honoré
Breeding Pool,0,2025,9.16,#d78f42,https://cards.scryfall.io/normal/front/3/c/3c750d5a-f743-41ff-b5ba-02025ca0bec2.jpg?1752947580,Land — Forest Island,Constantin Marin
Chorale of the Void,4,2025,0.16,#000000,https://cards.scryfall.io/normal/front/7/3/7389fe88-f6ff-4497-a037-9ca283fb89e3.jpg?1752946923,Enchantment — Aura,Alix Branwyn
Consult the Star Charts,2,2025,3.69,#341aff,https://cards.scryfall.io/normal/front/a/1/a16a6555-2e3a-4587-aacd-0307d696b26c.jpg?1752946753,Instant,Antonio José Manzanedo
Cosmogoyf,2,2025,0.29,#d78f42,https://cards.scryfall.io/normal/front/5/e/5e07d3c6-60a5-44d1-a926-6414be85bd50.jpg?1752947436,Creature — Elemental Lhurgoyf,Chris Rahn
Cosmogrand Zenith,3,2025,6.49,#ffffff,https://cards.scryfall.io/normal/front/b/3/b3c1e5e3-4e6b-456a-958c-7a75c38f8183.jpg?1752946590,Creature — Human Soldier,Anna Steinbauer
Dawnsire- Sunstar Dreadnought,5,2025,4.8,#8c8d8b,https://cards.scryfall.io/normal/front/6/1/6133355c-3dcf-466a-b771-fe6c44d4fa4d.jpg?1755341284,Legendary Artifact — Spacecraft,Jaime Jones
Devastating Onslaught,1,2025,2.21,#ff1a1a,https://cards.scryfall.io/normal/front/f/c/fc779971-24e2-46a8-86be-16f0b244a3d2.jpg?1752947086,Sorcery,Chris Seaman
Dyadrine- Synthesis Amalgam,2,2025,0.16,#d78f42,https://cards.scryfall.io/normal/front/9/9/994ca692-7138-4dcb-bf46-5da530f86036.jpg?1752947440,Legendary Artifact Creature — Construct,Igor Grechanyi
Elegy Acolyte,4,2025,0.49,#000000,https://cards.scryfall.io/normal/front/c/6/c69ed7c7-1f49-4299-b3e6-75150258ac59.jpg?1752946946,Creature — Human Cleric,Diana Franco
Emissary Escort,2,2025,0.12,#341aff,https://cards.scryfall.io/normal/front/b/5/b52ba87f-3ac7-4f32-901c-d089df979f94.jpg?1752946771,Artifact Creature — Robot Soldier,Igor Grechanyi
Entropic Battlecruiser,4,2025,0.2,#000000,https://cards.scryfall.io/normal/front/c/c/cc59796b-9025-44b6-a188-cf6684ebffb9.jpg?1755552755,Artifact — Spacecraft,Josiah "Jo" Cameron
Evendo- Waking Haven,0,2025,14.7,#087500,https://cards.scryfall.io/normal/front/2/f/2fa09104-acbe-4410-b101-2fe6ac28efde.jpg?1755341333,Land — Planet,Adam Paquette
Exalted Sunborn,5,2025,15.86,#ffffff,https://cards.scryfall.io/normal/front/7/e/7e1fe101-f634-41e5-9aa4-e8d7474535dc.jpg?1752946614,Creature — Angel Wizard,Scott M. Fischer
Extinguisher Battleship,8,2025,0.63,#8c8d8b,https://cards.scryfall.io/normal/front/5/5/5541cdd2-84a6-4667-83eb-fffbe5b3cd3d.jpg?1755341322,Artifact — Spacecraft,Danny Schwartz
Famished Worldsire,8,2025,3.8,#087500,https://cards.scryfall.io/normal/front/2/9/2934c9c8-d23a-462b-83d5-94e88c8663ac.jpg?1752947299,Creature — Leviathan,Kev Walker
Frenzied Baloth,2,2025,2.02,#087500,https://cards.scryfall.io/normal/front/c/7/c72d85e9-a0bc-4f73-8d73-c58843577f4e.jpg?1752947300,Creature — Beast,Diana Franco
Genemorph Imago,2,2025,0.2,#d78f42,https://cards.scryfall.io/normal/front/4/0/40f0ecf7-f49e-46ff-aa5b-9ff5361b72c5.jpg?1752947444,Creature — Insect Druid,Brian Valeza
Godless Shrine,0,2025,7.22,#d78f42,https://cards.scryfall.io/normal/front/8/c/8c542ea4-98c3-4c2d-9066-205ab7aa697a.jpg?1752947593,Land — Plains Swamp,Rob Rey
Haliya- Guided by Light,3,2025,2.72,#ffffff,https://cards.scryfall.io/normal/front/6/f/6f7c63ae-5df3-410f-8643-b8c69133ca9d.jpg?1752946628,Legendary Creature — Human Soldier,Kieran Yanner
Hardlight Containment,1,2025,0.18,#ffffff,https://cards.scryfall.io/normal/front/0/b/0b934241-4d6b-4b9c-99f1-c49cb387cf56.jpg?1752946630,Enchantment — Aura,Dominik Mayer
Icetill Explorer,4,2025,21.58,#087500,https://cards.scryfall.io/normal/front/d/9/d9482aab-6ddf-48e1-84fa-b13d5ff81e69.jpg?1752947338,Creature — Insect Scout,Warren Mahy
Infinite Guideline Station,5,2025,0.23,#d78f42,https://cards.scryfall.io/normal/front/5/6/5688894a-bbec-476b-ae2e-94000be258d0.jpg?1755341280,Legendary Artifact — Spacecraft,Piotr Dura
Kavaron- Memorial World,0,2025,0.53,#ff1a1a,https://cards.scryfall.io/normal/front/6/0/60f3ca25-9dcc-4781-bf7b-ab6736d8db29.jpg?1755341338,Land — Planet,Adam Paquette
