name,cmc,release_year,price,color,image
Altar Golem,7,2008,0.34,#8c8d8b,https://cards.scryfall.io/large/front/f/e/fed81c72-743d-4d2a-97a6-22f5651e15d5.jpg?1562948984
Archon of Justice,5,2008,0.25,#ffffff,https://cards.scryfall.io/large/front/a/b/ab707e7f-8ab5-43f1-9428-6a17c1b672fa.jpg?1562931169
Ashling- the Extinguisher,4,2008,11.88,#000000,https://cards.scryfall.io/large/front/3/5/350580d8-45db-4428-a292-cc4802bf1e4d.jpg?1562906171
Balefire Liege,5,2008,2.34,#d78f42,https://cards.scryfall.io/large/front/0/d/0d302fbd-d43c-47ff-920d-559c5a9028ee.jpg?1562897694
Bloom Tender,2,2008,21.25,#087500,https://cards.scryfall.io/large/front/d/7/d7cc2828-dfe7-410b-9735-10bb7211f0f5.jpg?1562940634
Call the Skybreaker,7,2008,0.26,#d78f42,https://cards.scryfall.io/large/front/7/5/751db106-e9bc-4f16-97c6-f624eb1aa809.jpg?1562919633
Cascade Bluffs,0,2008,6.87,#d78f42,https://cards.scryfall.io/large/front/c/3/c3eede44-270a-481d-850b-b4862b9685ea.jpg?1562936432
Cold-Eyed Selkie,3,2008,1.15,#d78f42,https://cards.scryfall.io/large/front/3/8/38b266c6-20f9-46ae-990d-0017144971e7.jpg?1562906871
Crackleburr,3,2008,1.22,#d78f42,https://cards.scryfall.io/large/front/2/b/2be19f23-5db4-4d50-a9d7-622e247ff0ab.jpg?1562904231
Creakwood Liege,4,2008,8.38,#d78f42,https://cards.scryfall.io/large/front/9/0/906ddeb6-4021-4e16-b0b9-dfe087673944.jpg?1562925430
Deathbringer Liege,5,2008,2.56,#d78f42,https://cards.scryfall.io/large/front/6/c/6c8157e1-72ae-47ea-84ce-fb0b154215aa.jpg?1562917740
Deity of Scars,5,2008,2.01,#d78f42,https://cards.scryfall.io/large/front/7/e/7efc2cc8-2445-4d64-b1c5-26483efbcc30.jpg?1562921764
Divinity of Pride,5,2008,4.03,#d78f42,https://cards.scryfall.io/large/front/c/f/cfb71651-7ede-4348-89a4-b441da72491b.jpg?1562938918
Dominus of Fealty,5,2008,0.94,#d78f42,https://cards.scryfall.io/large/front/4/f/4ff447e1-bbcc-4ada-87c0-04b6b144c2cd.jpg?1562911732
Doomgape,7,2008,0.31,#d78f42,https://cards.scryfall.io/large/front/1/7/173fd1c6-ffd9-424f-ad65-90b193edbe00.jpg?1562899929
Endless Horizons,4,2008,9.82,#ffffff,https://cards.scryfall.io/large/front/3/2/32385604-dcff-41e4-97a5-fcf230033a87.jpg?1562905505
Evershrike,5,2008,0.96,#d78f42,https://cards.scryfall.io/large/front/4/9/499d1789-f7b0-47a1-962e-4c75b23befd5.jpg?1562910363
Fable of Wolf and Owl,6,2008,6.34,#d78f42,https://cards.scryfall.io/large/front/b/e/be364b69-aa59-420c-a613-b1d0b303a4e5.jpg?1562935196
Fetid Heath,0,2008,8.85,#d78f42,https://cards.scryfall.io/large/front/0/f/0fbb9790-3744-4dcb-881a-452573298822.jpg?1562898273
Fiery Bombardment,2,2008,0.15,#ff1a1a,https://cards.scryfall.io/large/front/c/3/c348d137-4774-41d7-8b4d-d383c816ae2a.jpg?1589483408
