name,cmc,release_year,price,color,image
Cataclysm,4,1998,7.24,#ffffff,None
City of Traitors,0,1998,242.59,#8c8d8b,None
Coat of Arms,5,1998,19.37,#8c8d8b,None
Convalescence,2,1998,0.28,#ffffff,None
Dominating Licid,3,1998,4.51,#341aff,None
Entropic Specter,5,1998,0.27,#000000,None
Ephemeron,6,1998,0.27,#341aff,None
Equilibrium,3,1998,5.36,#341aff,None
Erratic Portal,4,1998,2.8,#8c8d8b,None
Ertai- Wizard Adept,3,1998,14.79,#341aff,None
Exalted Dragon,6,1998,2.02,#ffffff,None
Fighting Chance,1,1998,1.76,#ff1a1a,None
Hatred,5,1998,45.46,#000000,None
Limited Resources,1,1998,1.32,#ffffff,None
Manabond,1,1998,19.89,#087500,None
Memory Crystal,3,1998,2.51,#8c8d8b,None
Mindless Automaton,4,1998,0.26,#8c8d8b,None
Mind Over Matter,6,1998,36.76,#341aff,None
Mirri- Cat Warrior,3,1998,5.74,#087500,None
Monstrous Hound,4,1998,0.27,#ff1a1a,None
Null Brooch,4,1998,3.48,#8c8d8b,None
Oath of Druids,2,1998,7.95,#087500,None
Oath of Ghouls,2,1998,5.01,#000000,None
Oath of Lieges,2,1998,6.81,#ffffff,None
Oath of Mages,2,1998,0.29,#ff1a1a,None
Oath of Scholars,4,1998,0.26,#341aff,None
Ogre Shaman,5,1998,0.3,#ff1a1a,None
Paladin en-Vec,3,1998,0.92,#ffffff,None
Pandemonium,4,1998,3.55,#ff1a1a,None
Pit Spawn,7,1998,0.46,#000000,None
Plaguebearer,2,1998,1.48,#000000,None
Ravenous Baboons,4,1998,0.56,#ff1a1a,None
Recurring Nightmare,3,1998,43.31,#000000,None
Seismic Assault,3,1998,1.7,#ff1a1a,None
Skyshroud War Beast,2,1998,0.52,#087500,None
Sphere of Resistance,2,1998,25.02,#8c8d8b,None
Spike Hatcher,7,1998,0.32,#087500,None
Spike Weaver,4,1998,4.89,#087500,None
Survival of the Fittest,2,1998,257.52,#087500,None
Thalakos Drifters,4,1998,0.21,#341aff,None
Thopter Squadron,5,1998,0.46,#8c8d8b,None
Volrath's Dungeon,4,1998,0.36,#000000,None
Wall of Nets,3,1998,4.38,#ffffff,None
Workhorse,6,1998,1.98,#8c8d8b,None
