name,cmc,release_year,price,color,image,type_line,artist
Badlands,0,1994,799.99,#d78f42,https://cards.scryfall.io/normal/front/2/f/2fb67912-3d3d-40d4-8aa0-141a8025b037.jpg?1539996696,Land — Swamp Mountain,Rob Alexander
Balance,2,1994,20.0,#ffffff,https://cards.scryfall.io/normal/front/b/1/b17530a1-7be3-4af3-aa98-9476c69fa766.jpg?1539999312,Sorcery,Mark Poole
Braingeyser,2,1994,42.32,#341aff,https://cards.scryfall.io/normal/front/d/c/dc24fcdd-0f46-45cb-b76b-7d8445a6a5d3.jpg?1539992483,Sorcery,Mark Tedin
Chaoslace,1,1994,3.99,#ff1a1a,https://cards.scryfall.io/normal/front/9/3/93dcb66d-a0dc-47cd-8c13-f308df27da6d.jpg?1539998921,Instant,Dameon Willich
Contract from Below,1,1994,20.0,#000000,https://cards.scryfall.io/normal/front/1/1/115afb20-dc8c-47e7-9704-4ebf33a676cc.jpg?1539991718,Sorcery,Douglas Shuler
Copy Artifact,2,1994,97.5,#341aff,https://cards.scryfall.io/normal/front/b/1/b112cb69-3b6f-42dc-b6ea-6537492adb95.jpg?1539998239,Enchantment,Amy Weber
Deathlace,1,1994,5.99,#000000,https://cards.scryfall.io/normal/front/6/8/687ef373-e59f-4273-942c-01f3f44385ff.jpg?1539991796,Instant,Sandra Everingham
Demonic Hordes,6,1994,2.99,#000000,https://cards.scryfall.io/normal/front/d/b/db29d7e3-b436-4b8c-bcc4-c35a14790e63.jpg?1539997822,Creature — Demon,Jesper Myrfors
Earthquake,1,1994,0.12,#ff1a1a,https://cards.scryfall.io/normal/front/2/9/29ac1abc-7a13-48e4-b939-fbfb7466cd21.jpg?1539998998,Sorcery,Dan Frazier
El-Hajjâj,3,1994,5.0,#000000,https://cards.scryfall.io/normal/front/8/5/8548225a-0f7b-4308-aeb1-900f128f867d.jpg?1539997880,Creature — Human Wizard,Dameon Willich
Elvish Archers,2,1994,15.19,#087500,https://cards.scryfall.io/normal/front/6/4/64146429-6073-47ee-97c7-334dc5573d83.jpg?1539993267,Creature — Elf Archer,Anson Maddocks
Farmstead,3,1994,0.95,#ffffff,https://cards.scryfall.io/normal/front/f/9/f92d03e3-fb35-487b-ac99-f8a7350443c4.jpg?1539994988,Enchantment — Aura,Mark Poole
Fastbond,1,1994,68.0,#087500,https://cards.scryfall.io/normal/front/7/9/79c291b1-bbe1-42f9-8b8d-14afec9c218a.jpg?1539998613,Enchantment,Mark Poole
Flying Carpet,4,1994,4.0,#8c8d8b,https://cards.scryfall.io/normal/front/0/2/02954505-38d6-4d66-8509-8958b723bcf1.jpg?1539996174,Artifact,Mark Tedin
Force of Nature,6,1994,26.5,#087500,https://cards.scryfall.io/normal/front/7/5/75dbdb79-570e-40f4-99a6-d9ac17c30082.jpg?1539993309,Creature — Elemental,Douglas Shuler
Fork,2,1994,110.0,#ff1a1a,https://cards.scryfall.io/normal/front/1/8/188b275f-a17a-4ee5-93eb-e7ed6e6346bc.jpg?1539999040,Instant,Amy Weber
Fungusaur,4,1994,12.5,#087500,https://cards.scryfall.io/normal/front/f/4/f415bb53-1228-4bba-b2b6-c1293f0d678c.jpg?1539993323,Creature — Fungus Dinosaur,Daniel Gelon
Gaea's Liege,6,1994,2.99,#087500,https://cards.scryfall.io/normal/front/a/c/ac600faf-ac84-40b8-99be-8e49291e290c.jpg?1539993338,Creature — Avatar,Dameon Willich
Granite Gargoyle,3,1994,24.99,#ff1a1a,https://cards.scryfall.io/normal/front/d/7/d72487eb-5029-4390-8a54-80ae2ecd690c.jpg?1539994171,Creature — Gargoyle,Christopher Rush
Helm of Chatzuk,1,1994,5.99,#8c8d8b,https://cards.scryfall.io/normal/front/5/c/5ce26c4d-f4b3-4cdf-99ee-ca4ab30917f6.jpg?1539996206,Artifact,Mark Tedin
Howling Mine,2,1994,29.99,#8c8d8b,https://cards.scryfall.io/normal/front/8/1/81dfe0d1-d8b0-4d66-9039-d827f4d23455.jpg?1539999702,Artifact,Mark Poole
Hurkyl's Recall,2,1994,25.49,#341aff,https://cards.scryfall.io/normal/front/5/1/5115baa1-9392-4067-b438-b79dfe32a5b4.jpg?1539998311,Instant,NéNé Thomas
Jade Monolith,4,1994,6.99,#8c8d8b,https://cards.scryfall.io/normal/front/f/f/ff5d5e2c-46ce-4119-935a-5a0a4dd56add.jpg?1539996290,Artifact,Anson Maddocks
Jandor's Ring,6,1994,4.99,#8c8d8b,https://cards.scryfall.io/normal/front/1/b/1ba89ebb-ada5-4940-a38b-96c877355b8b.jpg?1539996305,Artifact,Dan Frazier
Jayemdae Tome,4,1994,41.96,#8c8d8b,https://cards.scryfall.io/normal/front/8/a/8a221bb9-95cd-4552-8ed7-b40a2fe70a3f.jpg?1539996331,Artifact,Mark Tedin
Kormus Bell,4,1994,10.0,#8c8d8b,https://cards.scryfall.io/normal/front/5/9/59fbace3-a975-470f-b41c-94361f0f5b42.jpg?1539996355,Artifact,Christopher Rush
Lifelace,1,1994,2.99,#087500,https://cards.scryfall.io/normal/front/b/1/b1fa9091-e9f5-4642-92c7-447bda78c93c.jpg?1539993486,Instant,Amy Weber
Living Artifact,1,1994,6.78,#087500,https://cards.scryfall.io/normal/front/7/f/7f588af0-e2b8-426e-b4d4-939799c2a0d4.jpg?1539998685,Enchantment — Aura,Anson Maddocks
Lord of the Pit,7,1994,23.78,#000000,https://cards.scryfall.io/normal/front/4/d/4d5aa056-2ff3-4ae4-8d2c-7abb8f1b8db3.jpg?1539997968,Creature — Demon,Mark Tedin
Mana Short,3,1994,1.0,#341aff,https://cards.scryfall.io/normal/front/b/3/b3e13709-6e6e-499e-b861-699d4d98a8a7.jpg?1539998360,Instant,Dameon Willich
Mana Vault,1,1994,229.99,#8c8d8b,https://cards.scryfall.io/normal/front/a/7/a748366b-654a-488b-8431-8f44c7e2e0ec.jpg?1539999746,Artifact,Mark Tedin
Meekstone,1,1994,29.99,#8c8d8b,https://cards.scryfall.io/normal/front/8/8/8817c1c1-cd7c-4168-9ed3-cc33a32182a0.jpg?1539999755,Artifact,Quinton Hoover
Mind Twist,1,1994,66.49,#000000,https://cards.scryfall.io/normal/front/4/e/4eebf042-61e1-4b2a-a90e-fd8de18bfa3a.jpg?1539997980,Sorcery,Julie Baroh
