name,cmc,release_year,price,color,image,type_line,artist
Adeline- Resplendent Cathar,3,2025,3.77,#ffffff,https://cards.scryfall.io/normal/front/0/b/0b9579d8-bc8f-4d74-bfc1-dcdd42568f79.jpg?1748703787,Legendary Creature — Human Knight,Yoshitaka Amano
Akroma's Will,4,2025,29.65,#ffffff,https://cards.scryfall.io/normal/front/f/c/fc9c542d-ff46-4193-9972-68287879a8a0.jpg?1749987785,Instant,Square Enix
Ancient Copper Dragon,6,2025,61.1,#ff1a1a,https://cards.scryfall.io/normal/front/f/6/f6cbc754-8aed-4c32-857c-ea639943b5d2.jpg?1748703830,Creature — Elder Dragon,Yoshitaka Amano
Atraxa- Grand Unifier,7,2025,40.09,#d78f42,https://cards.scryfall.io/normal/front/b/e/be326fe9-4ed8-4f64-934c-9955edea5fdb.jpg?1748703969,Legendary Creature — Phyrexian Angel,Tetsuya Nomura
Azusa- Lost but Seeking,3,2025,8.22,#087500,https://cards.scryfall.io/normal/front/e/a/ea8e1f76-bd26-4037-8556-e348d50bfd95.jpg?1748703841,Legendary Creature — Human Monk,Yoshitaka Amano
Bolas's Citadel,6,2025,13.78,#000000,https://cards.scryfall.io/normal/front/2/4/24b2833e-6c08-4f33-8481-f65f2a063c60.jpg?1748703810,Legendary Artifact,Yoshitaka Amano
Bruse Tarl- Boorish Herder,4,2025,1.79,#d78f42,https://cards.scryfall.io/normal/front/0/7/07889f56-740f-4d17-9b0e-8d8e9e327f31.jpg?1749987885,Legendary Creature — Human Ally,Square Enix
Carpet of Flowers,1,2025,3.03,#087500,https://cards.scryfall.io/normal/front/d/d/dd28c05c-9473-4df8-9bb3-70593f2c5a50.jpg?1749987806,Enchantment,ISAMU KAMIKOKURYO
Chromatic Lantern,3,2025,4.77,#8c8d8b,https://cards.scryfall.io/normal/front/d/1/d170adf6-eb5e-4094-9917-3b68be92e8b9.jpg?1748704014,Artifact,Kiyoshi Arai
Command Beacon,0,2025,4.44,#8c8d8b,https://cards.scryfall.io/normal/front/2/6/2670653e-fcaa-46e3-b3bf-cb8e8b981a9c.jpg?1749987904,Land,Square Enix
Cryptic Command,4,2025,4.38,#341aff,https://cards.scryfall.io/normal/front/7/b/7b182d1f-be0f-4b97-bca3-083483f7713c.jpg?1749987791,Instant,Kazuya Takahashi
Dark Ritual,1,2025,10.8,#000000,https://cards.scryfall.io/normal/front/7/c/7cc0cfe1-7f13-4b1b-9a37-33ef457d3c62.jpg?1748703813,Instant,Yoshitaka Amano
Diabolic Intent,2,2025,7.23,#000000,https://cards.scryfall.io/normal/front/a/2/a2ec8e5e-ada8-4cd7-b43d-157568356a80.jpg?1748703914,Sorcery,Fumio Minagawa
Gix- Yawgmoth Praetor,3,2025,7.82,#000000,https://cards.scryfall.io/normal/front/f/1/f1de9d89-4cbf-453b-ab6d-88090bd7a204.jpg?1748703918,Legendary Creature — Phyrexian Praetor,SUEMI Jun
Godo- Bandit Warlord,6,2025,2.57,#ff1a1a,https://cards.scryfall.io/normal/front/b/2/b24b733e-f98a-4ae1-9e54-eb416dea7cf6.jpg?1749987752,Legendary Creature — Human Barbarian,Yoshitaka Amano
Inalla- Archmage Ritualist,5,2025,1.37,#d78f42,https://cards.scryfall.io/normal/front/7/8/786a3daa-41a6-4cf3-97bc-c59e1c7cd674.jpg?1749987889,Legendary Creature — Human Wizard,Square Enix
Ishai- Ojutai Dragonspeaker,4,2025,2.66,#d78f42,https://cards.scryfall.io/normal/front/9/2/92e0c1a4-e6f3-494d-9238-913af54dbffb.jpg?1748703985,Legendary Creature — Bird Monk,Square Enix
Isshin- Two Heavens as One,3,2025,14.87,#d78f42,https://cards.scryfall.io/normal/front/a/3/a3baaf97-171a-40c0-a1dc-74ae05db0e25.jpg?1748703990,Legendary Creature — Human Samurai,Tetsuya Nomura
Jodah- the Unifier,5,2025,5.51,#d78f42,https://cards.scryfall.io/normal/front/c/0/c02bef17-a293-4f77-8043-104864de4eaa.jpg?1748703849,Legendary Creature — Human Wizard,Yoshitaka Amano
Kenrith- the Returned King,5,2025,7.75,#d78f42,https://cards.scryfall.io/normal/front/d/5/d51b956a-acca-4aee-92ff-bd90a9814988.jpg?1748703872,Legendary Creature — Human Noble,Square Enix
Kinnan- Bonder Prodigy,2,2025,11.81,#d78f42,https://cards.scryfall.io/normal/front/e/1/e141f975-945e-4e2c-ac04-6083b5bdaf16.jpg?1748732768,Legendary Creature — Human Druid,Square Enix
Kraum- Ludevic's Opus,5,2025,3.72,#d78f42,https://cards.scryfall.io/normal/front/b/1/b1a273c4-008a-41a0-84b8-38654303265d.jpg?1749987892,Legendary Creature — Zombie Horror,Square Enix
K'rrik- Son of Yawgmoth,7,2025,2.97,#000000,https://cards.scryfall.io/normal/front/4/5/45393005-78c7-4056-9ce6-310264922af3.jpg?1748703923,Legendary Creature — Phyrexian Horror Minion,Yusuke Mogi
Loran of the Third Path,3,2025,3.08,#ffffff,https://cards.scryfall.io/normal/front/4/5/450ec0a6-839b-4a35-a79b-ae358408a17c.jpg?1748703873,Legendary Creature — Human Artificer,Square Enix
Mangara- the Diplomat,4,2025,1.79,#ffffff,https://cards.scryfall.io/normal/front/2/3/232b5c18-0a0a-425d-89aa-de2db833a22c.jpg?1748703879,Legendary Creature — Human Cleric,Toshitaka Matsuda
Mizzix's Mastery,4,2025,1.66,#ff1a1a,https://cards.scryfall.io/normal/front/8/a/8a139398-4d42-4715-8a5a-c446bf665a2e.jpg?1748703940,Sorcery,Toshitaka Matsuda
Muldrotha- the Gravetide,6,2025,2.52,#d78f42,https://cards.scryfall.io/normal/front/7/5/752e16fc-8ee1-41f7-9495-6ab8029c9353.jpg?1748704000,Legendary Creature — Elemental Avatar,Chikako Nakano
Najeela- the Blade-Blossom,3,2025,28.52,#d78f42,https://cards.scryfall.io/normal/front/c/c/cc30e027-8cb8-4b06-a24a-6ad49d6a2cf3.jpg?1749987803,Legendary Creature — Human Warrior,Tetsuya Nomura
Nyxbloom Ancient,7,2025,22.18,#087500,https://cards.scryfall.io/normal/front/5/f/5f2b2373-9052-4246-a644-1f5b723ea9f1.jpg?1749237307,Enchantment Creature — Elemental,Yoshitaka Amano
Primeval Titan,6,2025,5.48,#087500,https://cards.scryfall.io/normal/front/9/7/972dfe0d-1f8a-4e18-bcd8-c1ff6266c01a.jpg?1748703968,Creature — Giant,Tomohiro Hasegawa
Purphoros- God of the Forge,4,2025,27.78,#ff1a1a,https://cards.scryfall.io/normal/front/f/b/fbd25e79-d29b-4b51-9653-3932c980b931.jpg?1749237389,Legendary Enchantment Creature — God,Yoshitaka Amano
Ragavan- Nimble Pilferer,1,2025,26.47,#ff1a1a,https://cards.scryfall.io/normal/front/a/7/a71d1ec3-2d7a-4749-8936-8bf7a8b83d84.jpg?1748703947,Legendary Creature — Monkey Pirate,Shuko Murase
Ranger-Captain of Eos,3,2025,27.68,#ffffff,https://cards.scryfall.io/normal/front/9/a/9af0b8d6-f41b-4aa3-ae32-1ef2d1d4bade.jpg?1748703788,Creature — Human Soldier Ranger,Yoshitaka Amano
Rhystic Study,3,2025,115.95,#341aff,https://cards.scryfall.io/normal/front/c/d/cd212de7-25f6-4b3b-a35b-df7d87fe205b.jpg?1749237396,Enchantment,Square Enix
Smuggler's Copter,2,2025,1.42,#8c8d8b,https://cards.scryfall.io/normal/front/d/0/d0e53c71-6a58-4ea1-a550-f3cbd749eafd.jpg?1748704018,Artifact — Vehicle,Square Enix
Sram- Senior Edificer,2,2025,7.29,#ffffff,https://cards.scryfall.io/normal/front/0/8/084d7a61-ef18-42e3-8485-76ae9a36ef7b.jpg?1748703796,Legendary Creature — Dwarf Advisor,Yoshitaka Amano
Teferi- Mage of Zhalfir,5,2025,1.51,#341aff,https://cards.scryfall.io/normal/front/9/c/9ca8fdd4-7e62-4475-9aed-c227ab3977f7.jpg?1749987800,Legendary Creature — Human Wizard,Square Enix
Thrasios- Triton Hero,2,2025,18.88,#d78f42,https://cards.scryfall.io/normal/front/5/f/5f13417d-3fe1-4357-b826-cb48dd111247.jpg?1749987895,Legendary Creature — Merfolk Wizard,Square Enix
Traxos- Scourge of Kroog,4,2025,1.23,#8c8d8b,https://cards.scryfall.io/normal/front/3/f/3f0cbff1-4b4e-4d60-b114-20bd3e977b25.jpg?1748703858,Legendary Artifact Creature — Construct,Yoshitaka Amano
Tymna the Weaver,3,2025,11.61,#d78f42,https://cards.scryfall.io/normal/front/8/7/87eff269-c8d7-479e-ade4-383b8622e70d.jpg?1749987760,Legendary Creature — Human Cleric,Yoshitaka Amano
Urza- Lord High Artificer,4,2025,27.36,#341aff,https://cards.scryfall.io/normal/front/9/8/98294441-b5a1-4b59-9325-80d0ff913ebd.jpg?1749987748,Legendary Creature — Human Artificer,Yoshitaka Amano
Varragoth- Bloodsky Sire,3,2025,1.72,#000000,https://cards.scryfall.io/normal/front/e/6/e6628dee-54b1-4e04-90b2-3b327a2de090.jpg?1748703926,Legendary Creature — Demon Rogue,Square Enix
Venser- Shaper Savant,4,2025,1.15,#341aff,https://cards.scryfall.io/normal/front/d/9/d9aa060d-8682-4803-9ab9-052250e3d794.jpg?1748703804,Legendary Creature — Human Wizard,Yoshitaka Amano
Vial Smasher the Fierce,3,2025,12.59,#d78f42,https://cards.scryfall.io/normal/front/9/5/958077e8-a226-4cb5-839f-35557051c953.jpg?1749987898,Legendary Creature — Goblin Berserker,Square Enix
