name,cmc,release_year,price,color,image
Alesha- Who Smiles at Death,3,2015,0.23,#d78f42,https://cards.scryfall.io/normal/front/0/9/09ac9669-d0ee-4df8-af77-12dfccac774f.jpg?1562822284
Arcbond,3,2015,0.41,#ff1a1a,https://cards.scryfall.io/normal/front/9/b/9bc397d1-50a8-46cd-98b2-7104f2241420.jpg?1562828028
Archfiend of Depravity,5,2015,3.67,#000000,https://cards.scryfall.io/normal/front/2/2/22e343b5-37d6-44f6-be24-66313f18c246.jpg?1562823284
Atarka- World Render,7,2015,0.69,#d78f42,https://cards.scryfall.io/normal/front/7/c/7c341df3-177c-49b4-91fe-38f73c64ef88.jpg?1562826840
Brutal Hordechief,4,2015,2.36,#d78f42,https://cards.scryfall.io/normal/front/a/b/ab8ec769-99cd-4542-9b4d-61ee41b622bc.jpg?1562828709
Citadel Siege,4,2015,0.17,#ffffff,https://cards.scryfall.io/normal/front/2/3/239c373a-465c-4cda-9895-624871d8606e.jpg?1648060693
Crucible of the Spirit Dragon,0,2015,0.32,#8c8d8b,https://cards.scryfall.io/normal/front/6/b/6bf563e0-1f42-4768-a667-3e120bdb6534.jpg?1562826221
Crux of Fate,5,2015,2.17,#000000,https://cards.scryfall.io/normal/front/e/1/e1d45374-a41b-4b3f-a7c8-3eb5ca767cf6.jpg?1648060698
Daghatar the Adamant,4,2015,0.17,#d78f42,https://cards.scryfall.io/normal/front/2/b/2b7eed1e-7b28-4900-a6ac-67f167476c11.jpg?1562823671
Dragonscale General,4,2015,0.19,#ffffff,https://cards.scryfall.io/normal/front/d/f/df904cc6-3ee0-4326-a854-818695aa2890.jpg?1562830676
Dromoka- the Eternal,5,2015,0.35,#d78f42,https://cards.scryfall.io/normal/front/1/0/10a10e86-d2cd-4193-85f5-5e4908c30e7f.jpg?1562822547
Flamerush Rider,5,2015,0.19,#ff1a1a,https://cards.scryfall.io/normal/front/3/0/304107d6-d096-43a1-956f-5a3b6ed6dc60.jpg?1562823942
Flamewake Phoenix,3,2015,0.35,#ff1a1a,https://cards.scryfall.io/normal/front/f/e/fefd5848-9fe1-4129-a5d7-e51606bf76ef.jpg?1562831953
Frontier Siege,4,2015,0.5,#087500,https://cards.scryfall.io/normal/front/a/4/a474981a-581a-49c0-a036-87afaaeea7ef.jpg?1648060702
Ghastly Conscription,7,2015,0.24,#000000,https://cards.scryfall.io/normal/front/1/2/120f7d4a-27b3-43e8-a301-c81d4d403a8f.jpg?1562822571
Jeskai Infiltrator,3,2015,0.09,#341aff,https://cards.scryfall.io/normal/front/e/a/ea15d083-551b-4c13-92ad-3fc2d5414ab3.jpg?1562831139
Kolaghan- the Storm's Fury,5,2015,0.58,#d78f42,https://cards.scryfall.io/normal/front/9/6/96376314-2085-4c57-861e-44d25e2d3bc8.jpg?1562827850
Mardu Strike Leader,3,2015,0.31,#000000,https://cards.scryfall.io/normal/front/c/9/c93fd5f0-fb62-42cc-8c7d-c0368e191c4b.jpg?1562829824
Mastery of the Unseen,2,2015,0.15,#ffffff,https://cards.scryfall.io/normal/front/4/b/4b844764-89d4-43a2-8041-3a9a8b4f2912.jpg?1562824938
Mob Rule,6,2015,0.32,#ff1a1a,https://cards.scryfall.io/normal/front/1/d/1d76845f-c827-4cb4-b2d0-3f2cf5ee0e81.jpg?1562823030
