name,cmc,release_year,price,color,image,type_line,artist
Abrupt Decay,2,2018,3.36,#d78f42,https://cards.scryfall.io/normal/front/0/2/02517f12-cd8a-4d62-89cb-523b9b9295d5.jpg?1541002951,Instant,Svetlin Velinov
Advent of the Wurm,4,2018,0.26,#d78f42,https://cards.scryfall.io/normal/front/e/4/e49ceeeb-ebb4-4364-9cfa-367b1d153b9e.jpg?1541002882,Instant,Lucas Graciano
Agrus Kos- Wojek Veteran,5,2018,0.35,#d78f42,https://cards.scryfall.io/normal/front/e/5/e525be2e-26e6-4082-b713-ac74fcbd13d3.jpg?1541002780,Legendary Creature — Human Soldier,Donato Giancola
Armada Wurm,6,2018,0.57,#d78f42,https://cards.scryfall.io/normal/front/2/6/26290f14-f2f4-4c6c-b167-75379d78370d.jpg?1541002886,Creature — Wurm,Volkan Baǵa
Boros Reckoner,3,2018,0.87,#d78f42,https://cards.scryfall.io/normal/front/8/b/8b53a2cd-5e33-46f8-a770-99ca1af5edf6.jpg?1541002788,Creature — Minotaur Wizard,Howard Lyon
Brightflame,4,2018,0.37,#d78f42,https://cards.scryfall.io/normal/front/5/c/5c7cc2c2-f4aa-4367-9f4a-96b9a74d4359.jpg?1541002796,Sorcery,Dave Dorman
Cerebral Vortex,3,2018,0.65,#d78f42,https://cards.scryfall.io/normal/front/b/0/b062722e-e8bb-4f7c-9635-efb7d1e76beb.jpg?1541002850,Instant,Jeremy Jarvis
Char,3,2018,0.24,#ff1a1a,https://cards.scryfall.io/normal/front/5/3/53de6c9a-b7af-45bc-b0f7-41ebd5910cf4.jpg?1541002818,Instant,Adam Rex
Circu- Dimir Lobotomist,4,2018,0.84,#d78f42,https://cards.scryfall.io/normal/front/8/0/80d88d83-d614-4995-ad3e-7ac062f4a93c.jpg?1541002722,Legendary Creature — Human Wizard,Cyril Van Der Haegen
Consuming Aberration,5,2018,0.75,#d78f42,https://cards.scryfall.io/normal/front/4/a/4ad5b777-b678-48fa-a935-0609781066d5.jpg?1541002727,Creature — Horror,Karl Kopinski
Deadbridge Chant,6,2018,0.63,#d78f42,https://cards.scryfall.io/normal/front/e/c/ec89d15b-415e-4c70-abfc-fc97ce9c5c14.jpg?1541002955,Enchantment,Zoltan Boros
Deadbridge Goliath,4,2018,0.24,#087500,https://cards.scryfall.io/normal/front/a/b/ab86c09f-e0ec-4d5d-8370-5ca3b4088116.jpg?1541002941,Creature — Insect,Chase Stone
Deathrite Shaman,1,2018,4.92,#d78f42,https://cards.scryfall.io/normal/front/a/6/a65e485b-03a2-4634-9218-f5bb7c104d41.jpg?1541002960,Creature — Elf Shaman,Steve Argyle
Dimir Doppelganger,3,2018,0.81,#d78f42,https://cards.scryfall.io/normal/front/c/8/c8edd576-7cc8-44d9-a0f8-6aa12e4f79cf.jpg?1541002737,Creature — Shapeshifter,Jim Murray
Djinn Illuminatus,7,2018,0.15,#d78f42,https://cards.scryfall.io/normal/front/c/2/c2974372-5490-4fee-9d7c-37177ee85b58.jpg?1541002855,Creature — Djinn,Carl Critchlow
Firemane Angel,6,2018,0.23,#d78f42,https://cards.scryfall.io/normal/front/a/7/a74cd41b-8718-4b20-94b5-ebd1558469f3.jpg?1541002801,Creature — Angel,Matt Cavotta
Firemane Avenger,4,2018,0.39,#d78f42,https://cards.scryfall.io/normal/front/9/a/9a78e99c-b517-44ff-9291-6c828ac8469f.jpg?1541002805,Creature — Angel,Wayne Reynolds
Gaze of Granite,3,2018,0.21,#d78f42,https://cards.scryfall.io/normal/front/d/3/d3d3ce6d-b8f7-45b3-aebd-33cd6d4d98cd.jpg?1541002969,Sorcery,Nils Hamm
Glare of Subdual,4,2018,0.43,#d78f42,https://cards.scryfall.io/normal/front/0/d/0d192c2a-7a6e-42bd-92e5-6de36c993862.jpg?1541002903,Enchantment,Zoltan Boros & Gabor Szikszai
Glimpse the Unthinkable,2,2018,1.46,#d78f42,https://cards.scryfall.io/normal/front/9/8/986fdbed-b16f-41c5-809f-91080d5c2780.jpg?1541002750,Sorcery,Brandon Kitkouski
Grave-Shell Scarab,5,2018,0.26,#d78f42,https://cards.scryfall.io/normal/front/3/0/302bb2d4-f7a5-4c25-9236-f3eecf3adcd6.jpg?1541002977,Creature — Insect,Pete Venters
Grove of the Guardian,0,2018,0.35,#d78f42,https://cards.scryfall.io/normal/front/0/0/0079326b-ef87-49b8-9772-9134fb5deb3e.jpg?1541002954,Land,Christine Choi
Growing Ranks,4,2018,0.47,#d78f42,https://cards.scryfall.io/normal/front/b/3/b34a80a7-65f1-412e-8f28-2384cd8b006a.jpg?1541002907,Enchantment,Seb McKinnon
Hour of Reckoning,7,2018,0.49,#ffffff,https://cards.scryfall.io/normal/front/3/8/38c1c3ed-d344-440c-bec0-09ad682b2727.jpg?1541002870,Sorcery,Randy Gallegos
Hypersonic Dragon,5,2018,0.28,#d78f42,https://cards.scryfall.io/normal/front/a/2/a2bd77f7-812c-4640-83c1-3ce1fb54cb18.jpg?1541002869,Creature — Dragon,Dan Scott
Invoke the Firemind,3,2018,0.36,#d78f42,https://cards.scryfall.io/normal/front/a/a/aac72d2c-1a5d-4f7a-9f13-c4d5602f0249.jpg?1542852992,Sorcery,Zoltan Boros & Gabor Szikszai
Jarad- Golgari Lich Lord,4,2018,2.25,#d78f42,https://cards.scryfall.io/normal/front/8/e/8e3b1844-6fff-40dc-a357-3394f63ea8dc.jpg?1541002705,Legendary Creature — Zombie Elf,Eric Deschamps
Lazav- Dimir Mastermind,4,2018,0.99,#d78f42,https://cards.scryfall.io/normal/front/0/3/03c79e0a-291e-4822-a6c4-b2d3a8bb2202.jpg?1541002755,Legendary Creature — Shapeshifter,David Rapoza
Legion Loyalist,1,2018,6.96,#ff1a1a,https://cards.scryfall.io/normal/front/f/f/ff93d9e3-3e27-4bd4-955b-076788519694.jpg?1541002776,Creature — Goblin Soldier,Eric Deschamps
Lotleth Troll,2,2018,0.16,#d78f42,https://cards.scryfall.io/normal/front/b/4/b4b0c2ac-154c-4ed7-a981-e6e0b7bfb01c.jpg?1541002712,Creature — Zombie Troll,Vincent Proce
Loxodon Hierarch,4,2018,0.3,#d78f42,https://cards.scryfall.io/normal/front/9/8/98328f9c-3682-4011-b6e9-1d5d2f35fe3d.jpg?1541002911,Creature — Elephant Cleric,Kev Walker
