name,cmc,release_year,price,color,image,type_line,artist
Always Watching,3,2018,1.36,#ffffff,https://cards.scryfall.io/normal/front/c/f/cf65bfa0-9c05-4e9e-b4c7-d705e1a822c1.jpg?1592764645,Enchantment,Chase Stone
Avatar of Growth,6,2018,10.25,#087500,https://cards.scryfall.io/normal/front/f/5/f524a232-7158-4f85-880e-fede2f9d35d1.jpg?1592764622,Creature — Elemental Avatar,Grzegorz Rutkowski
Benalish Marshal,3,2018,0.92,#ffffff,https://cards.scryfall.io/normal/front/f/c/fc395215-a2ec-49e1-9b1b-f8fcfe73e361.jpg?1592764661,Creature — Human Knight,Mark Zug
Captivating Crew,4,2018,0.57,#ff1a1a,https://cards.scryfall.io/normal/front/a/c/ac7c37f3-c719-404d-993d-f5bebff92edf.jpg?1592765047,Creature — Human Pirate,Winona Nelson
Ghalta- Primal Hunger,12,2018,1.49,#087500,https://cards.scryfall.io/normal/front/b/2/b2a93747-720a-4ddf-8325-36db78e0a584.jpg?1592765125,Legendary Creature — Elder Dinosaur,Chase Stone
Goblin Goliath,6,2018,3.13,#ff1a1a,https://cards.scryfall.io/normal/front/5/9/5973744a-72c3-48e6-b99a-8f6d634c06bb.jpg?1592764609,Creature — Goblin Mutant,Slawomir Maniak
Inspired Sphinx,7,2018,0.34,#341aff,https://cards.scryfall.io/normal/front/3/a/3a679564-9bd1-4dec-81ee-d97d0291a040.jpg?1592764582,Creature — Sphinx,Jesper Ejsing
Languish,4,2018,0.5,#000000,https://cards.scryfall.io/normal/front/c/a/ca2a667b-2ca1-4756-9524-5bcd3bca0f41.jpg?1592764963,Sorcery,Jeff Simpson
Liliana's Mastery,5,2018,0.38,#000000,https://cards.scryfall.io/normal/front/4/f/4ff4a2f3-f923-428c-a402-4ff0e602139e.jpg?1592764975,Enchantment,Kieran Yanner
Militant Angel,5,2018,2.13,#ffffff,https://cards.scryfall.io/normal/front/7/6/762fa38f-a760-4e84-bdd5-c14cbc21db72.jpg?1592764567,Creature — Angel,Victor Adame Minguez
Nissa's Revelation,7,2018,0.36,#087500,https://cards.scryfall.io/normal/front/a/2/a229b53f-f34b-44f5-b0b4-94239b85a15b.jpg?1592765160,Sorcery,Izzy
Rot Hulk,7,2018,19.94,#000000,https://cards.scryfall.io/normal/front/c/e/ce9cf26d-f214-4e76-b000-8dd895cce8d9.jpg?1592764595,Creature — Zombie,Grzegorz Rutkowski
Siege-Gang Commander,5,2018,0.23,#ff1a1a,https://cards.scryfall.io/normal/front/5/f/5ffd5cb7-7002-4c9e-b04f-6ee6d168afc3.jpg?1592765099,Creature — Goblin,Aaron Miller
Soulblade Djinn,5,2018,0.4,#341aff,https://cards.scryfall.io/normal/front/7/b/7b891276-1645-4e96-b774-647b82bf0e60.jpg?1592764878,Creature — Djinn,Viktor Titov
Zahid- Djinn of the Lamp,6,2018,0.17,#341aff,https://cards.scryfall.io/normal/front/4/6/469e18c7-d023-4293-85e4-1aaf336f5d8c.jpg?1592764907,Legendary Creature — Djinn,Magali Villeneuve
