name,cmc,release_year,price,color,image
Abyssal Nocturnus,3,2006,1.24,#000000,https://cards.scryfall.io/normal/front/f/e/fe094903-45a6-4b11-b80e-aabe915c4b7c.jpg?1593272142
Angel of Despair,7,2006,1.75,#d78f42,https://cards.scryfall.io/normal/front/9/a/9ae71424-df9c-481c-9305-a0c30adcfda2.jpg?1593272575
Bioplasm,5,2006,0.22,#087500,https://cards.scryfall.io/normal/front/7/1/7170a1db-3502-4caf-a54b-bd0df0d93f2d.jpg?1593272411
Borborygmos,7,2006,0.32,#d78f42,https://cards.scryfall.io/normal/front/7/c/7c4a08e9-06c7-43e9-a855-4f507a35ae8b.jpg?1593272594
Burning-Tree Shaman,3,2006,0.44,#d78f42,https://cards.scryfall.io/normal/front/1/3/133863fc-e820-4be6-a354-a02e7fe25eae.jpg?1593272608
Cerebral Vortex,3,2006,0.72,#d78f42,https://cards.scryfall.io/normal/front/7/7/779cdad3-9d90-4de1-8071-f772fb85142b.jpg?1593272622
Culling Sun,5,2006,0.23,#d78f42,https://cards.scryfall.io/normal/front/5/e/5ec5a956-c846-46b6-91bd-37e4db542280.jpg?1593272635
Debtors' Knell,7,2006,1.85,#d78f42,https://cards.scryfall.io/normal/front/6/3/63a76c61-fd84-458d-9bc0-583768f4275a.jpg?1593272864
Djinn Illuminatus,7,2006,0.23,#d78f42,https://cards.scryfall.io/normal/front/e/a/eafc3bb4-657c-46fa-9ad5-c924fdaefc83.jpg?1593272871
Dune-Brood Nephilim,4,2006,1.51,#d78f42,https://cards.scryfall.io/normal/front/1/5/15b4ee44-28c4-4a39-9c06-aca43787954f.jpg?1593272643
Earth Surge,4,2006,0.29,#087500,https://cards.scryfall.io/normal/front/3/2/325503ee-ea62-459b-a58a-53fb3c1ef027.jpg?1593272432
Ghost Council of Orzhova,4,2006,0.33,#d78f42,https://cards.scryfall.io/normal/front/d/8/d83a5785-a9a9-4a07-82c7-97dc5b9a2475.jpg?1593272668
Ghostway,3,2006,12.0,#ffffff,https://cards.scryfall.io/normal/front/8/b/8b83d750-16d9-41e4-b823-3295c5f6b319.jpg?1593271846
Giant Solifuge,4,2006,0.25,#d78f42,https://cards.scryfall.io/normal/front/8/a/8a83dbc9-802f-4ebf-93de-b2bf4844cc9e.jpg?1593272877
Glint-Eye Nephilim,4,2006,0.26,#d78f42,https://cards.scryfall.io/normal/front/0/8/08fc68fa-d6cf-4f6d-8f44-4d62c9cdd5c3.jpg?1593272675
Godless Shrine,0,2006,21.84,#d78f42,https://cards.scryfall.io/normal/front/b/e/be010c2f-06db-47e3-80bd-df3f2a21ca34.jpg?1593272969
Graven Dominator,6,2006,0.25,#ffffff,https://cards.scryfall.io/normal/front/b/6/b6dc44f8-ff1d-4c5a-971d-c3ce9a65f35d.jpg?1593271853
Gruul War Plow,4,2006,0.37,#d78f42,https://cards.scryfall.io/normal/front/9/2/92efc66e-4112-413b-ae7c-85f270abc4ff.jpg?1593272930
Hatching Plans,2,2006,0.49,#341aff,https://cards.scryfall.io/normal/front/e/f/ef327629-9831-4a0c-bd61-7542b0713ea8.jpg?1593272010
Ink-Treader Nephilim,4,2006,1.44,#d78f42,https://cards.scryfall.io/normal/front/d/2/d29bb432-1ca6-4305-b6d3-d7afe06c6c69.jpg?1593272693
Invoke the Firemind,3,2006,0.31,#d78f42,https://cards.scryfall.io/normal/front/5/8/58d8e41a-5990-4ceb-9d41-76632faa7883.jpg?1593272700
Killer Instinct,6,2006,0.24,#d78f42,https://cards.scryfall.io/normal/front/c/8/c808a8ec-895c-4777-9e11-e83ce34eddef.jpg?1593272714
Leyline of Lifeforce,4,2006,2.8,#087500,https://cards.scryfall.io/normal/front/f/7/f7caffa7-29bd-455c-9770-94a0ad7ef5e3.jpg?1593272476
Leyline of Lightning,4,2006,0.29,#ff1a1a,https://cards.scryfall.io/normal/front/2/3/23d09839-b41e-4aab-8913-40d63052dbf3.jpg?1593272325
Leyline of Singularity,4,2006,3.16,#341aff,https://cards.scryfall.io/normal/front/d/4/d40d7e5c-3b6d-4e42-b495-b3cd7ae0d808.jpg?1593272032
Leyline of the Meek,4,2006,1.96,#ffffff,https://cards.scryfall.io/normal/front/e/f/efc58757-abcc-41c9-b4d2-e70e9f387cbb.jpg?1593271879
Leyline of the Void,4,2006,8.48,#000000,https://cards.scryfall.io/normal/front/3/7/37dfe8b8-b39e-4e70-9e5b-be42c93b4f70.jpg?1593272209
Living Inferno,8,2006,0.23,#ff1a1a,https://cards.scryfall.io/normal/front/1/c/1c4b8143-2742-4262-b18f-2825bf8cea6f.jpg?1593272331
Mimeofacture,4,2006,0.12,#341aff,https://cards.scryfall.io/normal/front/f/4/f4ada33a-5b7c-426a-8416-4ce01bccaa5c.jpg?1593272038
Mizzium Transreliquat,3,2006,0.48,#d78f42,https://cards.scryfall.io/normal/front/d/2/d29c3bf9-d37c-4e0a-ac44-15d47770ed44.jpg?1593272943
Moratorium Stone,1,2006,0.23,#d78f42,https://cards.scryfall.io/normal/front/5/5/5529edfc-22bd-43dc-878b-6ec9fba74795.jpg?1593272950
Niv-Mizzet- the Firemind,6,2006,3.55,#d78f42,https://cards.scryfall.io/normal/front/5/9/5994d98a-090b-4203-b44f-b6517b6a83ea.jpg?1593272736
Orzhov Pontiff,3,2006,0.66,#d78f42,https://cards.scryfall.io/normal/front/f/2/f2b5813b-955b-469a-b287-65325c589b59.jpg?1593272742
Parallectric Feedback,4,2006,0.22,#ff1a1a,https://cards.scryfall.io/normal/front/8/9/891f1d29-377a-4f71-917f-ff10e785caee.jpg?1593272344
Petrified Wood-Kin,7,2006,0.21,#087500,https://cards.scryfall.io/normal/front/a/5/a56fbf32-f08f-4882-b8d4-41ccb60cba63.jpg?1593272482
Quicken,1,2006,1.96,#341aff,https://cards.scryfall.io/normal/front/7/a/7a276b12-4647-4223-b89e-f55d72feb2d0.jpg?1593272048
Rumbling Slum,4,2006,0.25,#d78f42,https://cards.scryfall.io/normal/front/d/8/d891c5c2-55d4-43a9-a56b-a92166fd41b8.jpg?1593272756
Sanguine Praetor,8,2006,0.21,#000000,https://cards.scryfall.io/normal/front/8/2/8291b1a9-2d04-4dd7-b8c5-3b1018aa0d2f.jpg?1593272269
Seize the Soul,4,2006,0.21,#000000,https://cards.scryfall.io/normal/front/2/9/29bf245f-e8e0-4d32-8cd7-06d832609910.jpg?1593272276
Siege of Towers,2,2006,0.15,#ff1a1a,https://cards.scryfall.io/normal/front/4/d/4db24da9-8901-4e2d-9565-39ce1b7639c9.jpg?1593272380
Skarrgan Firebird,6,2006,0.23,#ff1a1a,https://cards.scryfall.io/normal/front/6/1/61c51e46-3236-41ee-913e-f253f218067c.jpg?1593272386
Skeletal Vampire,6,2006,0.32,#000000,https://cards.scryfall.io/normal/front/6/9/69251d44-3038-4b64-ab78-fc87f0406ba2.jpg?1593272283
Sky Swallower,5,2006,0.23,#341aff,https://cards.scryfall.io/normal/front/0/5/05189964-5ad0-48b7-a3af-67c7f46fe89e.jpg?1593272075
Spelltithe Enforcer,5,2006,3.24,#ffffff,https://cards.scryfall.io/normal/front/0/d/0dd5682a-ca93-4b5f-af21-e1ff4439361b.jpg?1593271939
Steam Vents,0,2006,34.31,#d78f42,https://cards.scryfall.io/normal/front/0/5/054f2276-2dd5-43da-bb26-c57c560861fe.jpg?1593273017
Stitch in Time,3,2006,5.6,#d78f42,https://cards.scryfall.io/normal/front/8/0/80ee9c0d-c0ac-4c75-b254-77329dc42366.jpg?1593272800
Stomping Ground,0,2006,23.28,#d78f42,https://cards.scryfall.io/normal/front/a/2/a2773d8f-f906-475d-aaff-b7ca3b01f188.jpg?1593273024
Storm Herd,10,2006,0.8,#ffffff,https://cards.scryfall.io/normal/front/c/8/c8c86398-2cbc-4ad7-a231-6802e3b4d1c0.jpg?1593271949
Sword of the Paruns,4,2006,4.82,#8c8d8b,https://cards.scryfall.io/normal/front/a/2/a2225d05-d85c-4304-8226-b056e7dedad7.jpg?1593272964
Teysa- Orzhov Scion,3,2006,5.4,#d78f42,https://cards.scryfall.io/normal/front/9/e/9eb856e6-8f63-4048-9818-cc3e65748855.jpg?1593272816
Tibor and Lumia,4,2006,0.24,#d78f42,https://cards.scryfall.io/normal/front/1/4/149ce3cc-5df6-4158-b732-5bd2c1b3007f.jpg?1593272822
Ulasht- the Hate Seed,4,2006,1.16,#d78f42,https://cards.scryfall.io/normal/front/a/0/a0ba043a-d508-49dd-9bf3-a7ae8d26ac9b.jpg?1593272829
Witch-Maw Nephilim,4,2006,1.04,#d78f42,https://cards.scryfall.io/normal/front/1/8/185d56ab-b7f2-4eb2-9540-db8f2dc9b436.jpg?1593272845
Wurmweaver Coil,6,2006,0.25,#087500,https://cards.scryfall.io/normal/front/6/6/661580bc-b5e5-48ce-b855-c177f1c61742.jpg?1593272552
