name,cmc,release_year,price,color,image,type_line,artist
Arclight Phoenix,4,2018,1.48,#ff1a1a,https://cards.scryfall.io/normal/front/7/8/787de9ce-02c5-4a17-a88b-d38e83dbeb0b.jpg?1572893092,Creature — Phoenix,Slawomir Maniak
Assassin's Trophy,2,2018,7.26,#d78f42,https://cards.scryfall.io/normal/front/9/0/906b6e99-128f-4c11-8daf-16099d35b0d4.jpg?1572893498,Instant,Seb McKinnon
Assure // Assemble,8,2018,0.13,#d78f42,https://cards.scryfall.io/normal/front/a/d/ad454e7a-06c9-4694-ae68-7b1431e00077.jpg?1572893958,Instant // Instant,Jason A. Engle
Aurelia- Exemplar of Justice,4,2018,1.16,#d78f42,https://cards.scryfall.io/normal/front/a/8/a8e9f4d2-bba5-4061-8ae7-a68b912f2c11.jpg?1572893504,Legendary Creature — Angel,Chris Rahn
Beast Whisperer,4,2018,3.34,#087500,https://cards.scryfall.io/normal/front/9/d/9da6f595-41b2-4e52-b15a-6ad18e4232c7.jpg?1572893306,Creature — Elf Druid,Matt Stewart
Blood Operative,3,2018,0.1,#000000,https://cards.scryfall.io/normal/front/0/0/000ac9e5-3c95-4e87-9424-109e2eea6b45.jpg?1572892902,Creature — Vampire Assassin,Livia Prima
Bounty Agent,2,2018,0.2,#ffffff,https://cards.scryfall.io/normal/front/6/e/6e938121-5917-4b67-9014-74fca106a471.jpg?1572892472,Creature — Human Soldier,Randy Vargas
Bounty of Might,6,2018,0.05,#087500,https://cards.scryfall.io/normal/front/e/9/e9a950d8-e6e2-42d6-83d7-a60c15d2035d.jpg?1572893313,Instant,Even Amundsen
Camaraderie,6,2018,0.28,#d78f42,https://cards.scryfall.io/normal/front/8/9/890a2fa9-1141-4a4c-85af-05723aba5e39.jpg?1572893531,Sorcery,Sidharth Chaturvedi
Chamber Sentry,0,2018,0.1,#d78f42,https://cards.scryfall.io/normal/front/1/5/15dfd5f2-5298-4cf4-80fe-43db9be24f57.jpg?1572894038,Artifact Creature — Construct,Adam Paquette
Chance for Glory,3,2018,1.26,#d78f42,https://cards.scryfall.io/normal/front/8/5/85edf6f9-b863-41e2-bb51-857ea2798090.jpg?1572893545,Instant,Bram Sels
Charnel Troll,3,2018,0.06,#d78f42,https://cards.scryfall.io/normal/front/7/1/71fec229-e22c-4655-8640-02d0ec472be0.jpg?1572893551,Creature — Troll,Daniel Ljunggren
Chromatic Lantern,3,2018,3.49,#8c8d8b,https://cards.scryfall.io/normal/front/e/a/ea123356-3055-4e42-b816-ac3c4e9087d1.jpg?1572894045,Artifact,Jung Park
Citywide Bust,3,2018,0.14,#ffffff,https://cards.scryfall.io/normal/front/a/9/a995200f-1e9d-4ff3-9e04-4a4309e0e09c.jpg?1572892490,Sorcery,Victor Adame Minguez
Connive // Concoct,9,2018,0.3,#d78f42,https://cards.scryfall.io/normal/front/8/9/890ac54c-6fd7-4e46-8ce4-8926c6975f60.jpg?1572893965,Sorcery // Sorcery,Dan Scott
Dawn of Hope,2,2018,0.7,#ffffff,https://cards.scryfall.io/normal/front/c/f/cf2a9e82-8670-4b7f-b5f0-8e10f8aeff1c.jpg?1572892521,Enchantment,Sung Choi
Deafening Clarion,3,2018,0.19,#d78f42,https://cards.scryfall.io/normal/front/1/e/1e115a81-001d-4e17-98af-6a63f2b0967f.jpg?1572893584,Sorcery,Adam Paquette
Divine Visitation,5,2018,6.21,#ffffff,https://cards.scryfall.io/normal/front/d/a/da3789d4-3621-44a1-bb72-8e3bbac8bf72.jpg?1572892535,Enchantment,Victor Adame Minguez
Doom Whisperer,5,2018,4.46,#000000,https://cards.scryfall.io/normal/front/0/a/0a11ee0d-ff8d-4648-8b4e-29440c135c30.jpg?1572892944,Creature — Nightmare Demon,Vincent Proce
Dream Eater,6,2018,0.53,#341aff,https://cards.scryfall.io/normal/front/9/f/9f3a4677-7683-4f63-af31-b76491ec9f9c.jpg?1572892731,Creature — Nightmare Sphinx,Daarken
Drowned Secrets,2,2018,0.34,#341aff,https://cards.scryfall.io/normal/front/b/f/bfc98428-7a0f-445f-9d48-eeb76c3e10d6.jpg?1687687913,Enchantment,Alexander Forssberg
Emmara- Soul of the Accord,2,2018,0.2,#d78f42,https://cards.scryfall.io/normal/front/4/1/41b930ee-e16b-4612-87de-c03ecc6ff6db.jpg?1572893604,Legendary Creature — Elf Cleric,Mark Winters
Erratic Cyclops,4,2018,0.05,#ff1a1a,https://cards.scryfall.io/normal/front/c/3/c310df89-d894-40ab-ae34-7d0bfd19a1af.jpg?1572893141,Creature — Cyclops Shaman,Milivoj Ćeran
Etrata- the Silencer,4,2018,0.31,#d78f42,https://cards.scryfall.io/normal/front/f/a/fa36b142-e67e-49da-9080-c5994e275266.jpg?1572893618,Legendary Creature — Vampire Assassin,Bastien L. Deharme
Expansion // Explosion,6,2018,1.19,#d78f42,https://cards.scryfall.io/normal/front/e/0/e0644c92-4d67-475e-8c8e-0e2c493682fb.jpg?1572893978,Instant // Instant,Deruchenko Alexander
Experimental Frenzy,4,2018,0.18,#ff1a1a,https://cards.scryfall.io/normal/front/4/b/4b8f32e2-5dc8-4f1b-8a69-d3ae06378ed8.jpg?1587844608,Enchantment,Simon Dominic
Find // Finality,8,2018,0.1,#d78f42,https://cards.scryfall.io/normal/front/1/e/1e4e9e35-6cbc-4997-beff-d1a22d87545e.jpg?1572893984,Sorcery // Sorcery,Tomasz Jedruszek
Firemind's Research,2,2018,0.14,#d78f42,https://cards.scryfall.io/normal/front/4/b/4bc926b2-1e54-4c62-8b6c-fce4ef013abc.jpg?1572893624,Enchantment,Grzegorz Rutkowski
