name,cmc,release_year,price,color,image,type_line,artist
Adarkar Wastes,0,1995,24.09,#d78f42,https://cards.scryfall.io/normal/front/0/9/09dd9023-f7ee-4e99-8821-7059deb83730.jpg?1562896899,Land,Mike Raabe
Aegis of the Meek,3,1995,0.67,#8c8d8b,https://cards.scryfall.io/normal/front/5/d/5d272051-f442-4f6e-8c64-df28b398d2e8.jpg?1587856745,Artifact,Allen Williams
Altar of Bone,2,1995,4.84,#d78f42,https://cards.scryfall.io/normal/front/7/5/75d5b014-8675-4d91-a539-ac5c31d44b35.jpg?1562916801,Sorcery,Melissa A. Benson
Amulet of Quoz,6,1995,1.35,#8c8d8b,https://cards.scryfall.io/normal/front/7/6/764ec6a8-a878-446c-b7e4-6026c2a3e9a4.jpg?1562916864,Artifact,Dan Frazier
Balduvian Hydra,2,1995,0.97,#ff1a1a,https://cards.scryfall.io/normal/front/c/3/c3a3b37f-daa6-4502-bb12-c72afe3df035.jpg?1562931565,Creature — Hydra,Melissa A. Benson
Blinking Spirit,4,1995,0.64,#ffffff,https://cards.scryfall.io/normal/front/1/4/14fc0683-9cfa-4439-a533-8773e7747ec4.jpg?1562898971,Creature — Spirit,Allen Williams
Blizzard,2,1995,0.79,#087500,https://cards.scryfall.io/normal/front/c/3/c369e4f9-0f2b-446c-9e2d-d3eefab0586d.jpg?1562931552,Enchantment,Anson Maddocks
Brand of Ill Omen,4,1995,1.59,#ff1a1a,https://cards.scryfall.io/normal/front/c/e/ceeb7bbc-2d41-4709-95be-1ceb952ed1fb.jpg?1587911895,Enchantment — Aura,Rob Alexander
Brushland,0,1995,11.39,#d78f42,https://cards.scryfall.io/normal/front/1/7/170e5ccd-54bf-4c6d-86b4-0359ca8f36e8.jpg?1562899362,Land,Bryon Wackwitz
Call to Arms,2,1995,0.46,#ffffff,https://cards.scryfall.io/normal/front/a/9/a92f0d4a-23d8-47d4-b910-d142e0eefd3d.jpg?1562926624,Enchantment,Randy Gallegos
Caribou Range,4,1995,0.39,#ffffff,https://cards.scryfall.io/normal/front/1/e/1e5f8041-67fc-4e00-b119-d216e5cc5a3a.jpg?1562900629,Enchantment — Aura,Ruth Thompson
Celestial Sword,6,1995,0.32,#8c8d8b,https://cards.scryfall.io/normal/front/2/b/2bc0e8d3-633b-4281-863f-c51c69eed0b6.jpg?1562903079,Artifact,Amy Weber
Chaos Lord,7,1995,0.57,#ff1a1a,https://cards.scryfall.io/normal/front/e/e/ee245922-b380-4b2e-a43f-ab1ba8078943.jpg?1562939685,Creature — Human,Brian Snõddy
Chaos Moon,4,1995,0.94,#ff1a1a,https://cards.scryfall.io/normal/front/a/a/aae0543f-7f8b-4327-b735-ac21244e9936.jpg?1562926911,Enchantment,Drew Tucker
