name,cmc,release_year,price,color,image,type_line,artist
Altered Ego,4,2025,0.24,#d78f42,https://cards.scryfall.io/normal/front/3/b/3b913b54-1a5c-4708-95c6-883c0f285d68.jpg?1736468470,Creature — Shapeshifter,Kev Walker
Angelfire Ignition,3,2025,0.44,#d78f42,https://cards.scryfall.io/normal/front/8/4/84ec79d8-c8de-46be-9d82-5e6bd5de9cad.jpg?1736468471,Sorcery,Yeong-Hao Han
Archangel Avacyn // Avacyn- the Purifier,5,2025,1.51,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Creature — Angel // Legendary Creature — Angel,James Ryman
Arlinn Kord // Arlinn- Embraced by the Moon,4,2025,1.05,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Planeswalker — Arlinn // Legendary Planeswalker — Arlinn,Winona Nelson
Avacyn- Angel of Hope,8,2025,21.61,#ffffff,https://cards.scryfall.io/normal/front/7/4/74e5dcec-ef1d-4461-bb23-61d98ff082dd.jpg?1738103978,Legendary Creature — Angel,Jason Chan
Balefire Dragon,7,2025,11.53,#ff1a1a,https://cards.scryfall.io/normal/front/e/4/e4510ee2-8a2e-4fe5-94af-df420a6a35a0.jpg?1736551691,Creature — Dragon,Eric Deschamps
Bedlam Reveler,8,2025,0.12,#ff1a1a,https://cards.scryfall.io/normal/front/4/7/4780d9d6-b5a2-4646-bd63-48ec58fea6b2.jpg?1736468088,Creature — Devil Horror,Jama Jurabaev
Bloodhall Priest,4,2025,0.1,#d78f42,https://cards.scryfall.io/normal/front/b/4/b4ea5e44-0487-4e72-983a-02d7db26d075.jpg?1736468485,Creature — Vampire Cleric,Mark Winters
Bloodline Keeper // Lord of Lineage,4,2025,6.95,#000000,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Creature — Vampire // Creature — Vampire,Jason Chan
Bruna- the Fading Light,7,2025,2.95,#ffffff,https://cards.scryfall.io/normal/front/6/f/6fccdb60-5fce-4a6e-a709-b986f9a4b653.jpg?1738701160,Legendary Creature — Angel Horror,Clint Cearley
Captivating Vampire,3,2025,1.62,#000000,https://cards.scryfall.io/normal/front/0/f/0f87aadf-7638-4691-b5a5-86f928e98462.jpg?1736467903,Creature — Vampire,Eric Deschamps
Cathars' Crusade,5,2025,3.8,#ffffff,https://cards.scryfall.io/normal/front/5/2/5296e353-2efc-4d72-a877-7957eff630b9.jpg?1736467489,Enchantment,Karl Kopinski
Chandra- Dressed to Kill,3,2025,1.26,#ff1a1a,https://cards.scryfall.io/normal/front/6/4/640b112d-fe82-4294-a632-efbb7f2467f5.jpg?1736468112,Legendary Planeswalker — Chandra,Viktor Titov
Collective Brutality,2,2025,0.18,#000000,https://cards.scryfall.io/normal/front/a/e/ae35b6c5-3bfd-483e-9c85-58629b717d7f.jpg?1736467909,Sorcery,Johann Bodin
Collective Defiance,3,2025,0.18,#ff1a1a,https://cards.scryfall.io/normal/front/1/7/17d512c0-fc02-419f-90f2-a6acc7815bd4.jpg?1736468116,Sorcery,Kieran Yanner
Conjurer's Closet,5,2025,3.45,#8c8d8b,https://cards.scryfall.io/normal/front/a/f/af2115e4-009e-4432-99bb-05e844bc18b6.jpg?1736468593,Artifact,Jason Felix
Craterhoof Behemoth,8,2025,11.16,#087500,https://cards.scryfall.io/normal/front/7/7/777bb4ba-a821-4a83-a9e2-8827e7eff98f.jpg?1736551389,Creature — Beast,Chris Rahn
Cryptolith Rite,2,2025,2.96,#087500,https://cards.scryfall.io/normal/front/0/a/0a4e707f-b760-434d-ba97-a0fe651f3f6a.jpg?1736468293,Enchantment,Zack Stella
Cultivator Colossus,7,2025,4.87,#087500,https://cards.scryfall.io/normal/front/4/2/426ed66e-41b3-4e44-90a2-697aafaa8c5c.jpg?1736468298,Creature — Plant Beast,Antonio José Manzanedo
Deadeye Navigator,6,2025,2.52,#341aff,https://cards.scryfall.io/normal/front/4/f/4f0791b5-fdb4-4378-8fd3-7e7367ffc05c.jpg?1736467700,Creature — Spirit,Lie Setiawan
Deathcap Glade,0,2025,6.36,#d78f42,https://cards.scryfall.io/normal/front/2/f/2f20e738-bab6-4000-afca-9fc9e4261c34.jpg?1736468663,Land,Sam Burley
Decimator of the Provinces,10,2025,0.45,#087500,https://cards.scryfall.io/normal/front/8/0/80fc51aa-64ca-4236-8cdb-670533b75f59.jpg?1736467426,Creature — Eldrazi Boar,Svetlin Velinov
Deserted Beach,0,2025,2.61,#d78f42,https://cards.scryfall.io/normal/front/c/8/c819de09-dac2-407a-98c8-775865e9bdf8.jpg?1736468668,Land,Jonas De Ro
Distended Mindbender,8,2025,0.13,#000000,https://cards.scryfall.io/normal/front/7/c/7c1980d6-1daa-44f0-a6b5-0458d84894db.jpg?1736467428,Creature — Eldrazi Insect,Yohann Schepacz
Docent of Perfection // Final Iteration,5,2025,0.31,#341aff,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Creature — Insect Horror // Creature — Eldrazi Insect,Nils Hamm
Dreamroot Cascade,0,2025,1.23,#d78f42,https://cards.scryfall.io/normal/front/4/d/4d413c29-e7df-4943-8a38-92ad3de4f507.jpg?1736468670,Land,Sam Burley
Edgar Markov,6,2025,24.43,#d78f42,https://cards.scryfall.io/normal/front/a/5/a577ba08-0aa8-45be-aa83-d5078770127c.jpg?1736468492,Legendary Creature — Vampire Knight,Volkan Baǵa
Elder Deep-Fiend,8,2025,0.17,#341aff,https://cards.scryfall.io/normal/front/1/0/10532d06-94e3-47bc-a036-7535be05be98.jpg?1736467432,Creature — Eldrazi Octopus,Jason Felix
Eldritch Evolution,3,2025,1.32,#087500,https://cards.scryfall.io/normal/front/6/0/606caf13-c0d3-4a61-9a1a-32f13b6448ab.jpg?1736468320,Sorcery,Jason Rainville
Emrakul- the Promised End,13,2025,17.71,#8c8d8b,https://cards.scryfall.io/normal/front/7/1/71911392-42b0-4b6d-baf7-918a4bd3b924.jpg?1736467435,Legendary Creature — Eldrazi,Jaime Jones
Falkenrath Gorger,1,2025,0.13,#ff1a1a,https://cards.scryfall.io/normal/front/1/6/16c376f5-f69b-49d4-95f4-92bdd68c564c.jpg?1736468131,Creature — Vampire Berserker,Anna Steinbauer
Galvanic Iteration,2,2025,0.18,#d78f42,https://cards.scryfall.io/normal/front/7/2/72531705-82f4-4254-82b2-c0b6098f4dbe.jpg?1736468499,Instant,Johann Bodin
Garruk Relentless // Garruk- the Veil-Cursed,4,2025,0.87,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Planeswalker — Garruk // Legendary Planeswalker — Garruk,Eric Deschamps
Gisa and Geralf,4,2025,0.39,#d78f42,https://cards.scryfall.io/normal/front/b/c/bce9bf8d-4d22-4967-bd9e-27fe444ef3f6.jpg?1736468506,Legendary Creature — Human Wizard,Karla Ortiz
Gisela- the Broken Blade,4,2025,18.98,#ffffff,https://cards.scryfall.io/normal/front/0/4/04506bad-3856-4184-8dda-941ded60f41a.jpg?1738701214,Legendary Creature — Angel Horror,Clint Cearley
Gravecrawler,1,2025,1.3,#000000,https://cards.scryfall.io/normal/front/6/6/662e18ab-d3cf-4f91-8ecb-c559c5218061.jpg?1736467973,Creature — Zombie,Steven Belledin
Grimgrin- Corpse-Born,5,2025,2.63,#d78f42,https://cards.scryfall.io/normal/front/3/c/3c257fe6-1038-4167-ae78-90309974b925.jpg?1736468513,Legendary Creature — Zombie Warrior,Chris Rallis
Griselbrand,8,2025,3.8,#000000,https://cards.scryfall.io/normal/front/4/0/4069e510-f3f3-4668-9f13-3546fa9bc7c3.jpg?1736467973,Legendary Creature — Demon,Igor Kieryluk
Hanweir Battlements,0,2025,1.48,#ff1a1a,https://cards.scryfall.io/normal/front/8/c/8c0acb91-edfc-43a5-af77-6614327fce43.jpg?1738701417,Land,Vincent Proce
Hanweir Garrison,3,2025,0.97,#ff1a1a,https://cards.scryfall.io/normal/front/1/8/1811b4fa-fed6-46ea-a6de-bb7624a5b1de.jpg?1738701387,Creature — Human Soldier,Vincent Proce
Haunted Ridge,0,2025,4.53,#d78f42,https://cards.scryfall.io/normal/front/3/2/32f1e668-89b8-4f82-afc1-6c3efb1fef3b.jpg?1736468677,Land,Jonas De Ro
Heartless Summoning,2,2025,0.54,#000000,https://cards.scryfall.io/normal/front/c/5/c50fdb09-e06c-463c-87dd-3c46f4db889a.jpg?1736467981,Enchantment,Anthony Palumbo
Helvault,3,2025,0.12,#8c8d8b,https://cards.scryfall.io/normal/front/c/3/c3aae385-4307-4574-9284-c52787dca5fe.jpg?1736468627,Legendary Artifact,Jaime Jones
Hermit Druid,2,2025,6.73,#087500,https://cards.scryfall.io/normal/front/3/9/39c66895-9c2d-49db-8261-e300a69b6cd5.jpg?1736468349,Creature — Human Druid,Bryan Sola
Hopeful Initiate,1,2025,0.25,#ffffff,https://cards.scryfall.io/normal/front/c/6/c655f9e8-ff99-48d0-83a9-ea6a853f17c6.jpg?1736467517,Creature — Human Warlock,Dan Murayama Scott
Hullbreaker Horror,7,2025,2.05,#341aff,https://cards.scryfall.io/normal/front/1/3/137acb70-a1fd-4ea9-a5d9-f4b438eb5e82.jpg?1736467749,Creature — Kraken Horror,Svetlin Velinov
Huntmaster of the Fells // Ravager of the Fells,4,2025,0.28,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Creature — Human Werewolf // Creature — Werewolf,Chris Rahn
Invasion of Innistrad // Deluge of the Dead,4,2025,0.23,#000000,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Battle — Siege // Enchantment,Alexey Kruglov
Jace- Unraveler of Secrets,5,2025,1.24,#341aff,https://cards.scryfall.io/normal/front/3/d/3d9c8217-013d-4e75-bdd1-9c46c8467edb.jpg?1736467756,Legendary Planeswalker — Jace,Tyler Jacobson
Kruin Outlaw // Terror of Kruin Pass,3,2025,0.25,#ff1a1a,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Creature — Human Rogue Werewolf // Creature — Werewolf,David Rapoza
Liesa- Forgotten Archangel,5,2025,1.3,#d78f42,https://cards.scryfall.io/normal/front/1/0/106b6b43-1881-417b-97f5-f5b050eb98fd.jpg?1736468532,Legendary Creature — Angel,Dmitry Burmak
Liliana of the Veil,3,2025,8.72,#000000,https://cards.scryfall.io/normal/front/e/f/efbb7256-9337-4183-8bda-a419f3f2c501.jpg?1736551720,Legendary Planeswalker — Liliana,Steve Argyle
Maelstrom Pulse,3,2025,0.18,#d78f42,https://cards.scryfall.io/normal/front/6/6/66f17263-b916-40f4-b175-fcfd5630103d.jpg?1736468533,Sorcery,Chris Rallis
Mass Hysteria,1,2025,1.7,#ff1a1a,https://cards.scryfall.io/normal/front/3/c/3c1854c9-11df-406d-b751-302b6f3a08fd.jpg?1736468190,Enchantment,Justine Cruz
Mausoleum Wanderer,1,2025,0.19,#341aff,https://cards.scryfall.io/normal/front/f/4/f47bda42-8eb7-49c5-8f3b-e988e377a7f5.jpg?1736467770,Creature — Spirit,Kieran Yanner
Mayor of Avabruck // Howlpack Alpha,2,2025,0.44,#087500,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Creature — Human Advisor Werewolf // Creature — Werewolf,Svetlin Velinov
Memory Deluge,4,2025,0.22,#341aff,https://cards.scryfall.io/normal/front/e/d/edcd3802-ddb3-4eb6-9b6e-a26d76557662.jpg?1736467777,Instant,Lake Hurwitz
Metallic Mimic,2,2025,1.17,#8c8d8b,https://cards.scryfall.io/normal/front/9/a/9ad98263-9fe6-4766-a9fb-4776e570c250.jpg?1736468634,Artifact Creature — Shapeshifter,Maxime Minard
Mirrorwing Dragon,5,2025,0.69,#ff1a1a,https://cards.scryfall.io/normal/front/4/0/409aa60d-ce4f-4019-b5b9-702ab94ed429.jpg?1736468194,Creature — Dragon,Min Yum
Necroduality,4,2025,8.71,#341aff,https://cards.scryfall.io/normal/front/6/3/6385509a-6814-4039-83fb-1fa5a7439696.jpg?1736467797,Enchantment,Billy Christian
Odric- Lunarch Marshal,4,2025,0.56,#ffffff,https://cards.scryfall.io/normal/front/1/d/1db600b2-9b8b-4c21-8d8b-8033ec680a35.jpg?1736467562,Legendary Creature — Human Soldier,Chase Stone
Olivia Voldaren,4,2025,5.04,#d78f42,https://cards.scryfall.io/normal/front/5/6/561d616c-df11-4144-acec-f9fe47efa5c7.jpg?1736468539,Legendary Creature — Vampire,Eric Deschamps
Overcharged Amalgam,4,2025,0.24,#341aff,https://cards.scryfall.io/normal/front/2/f/2fae9b40-a1ee-425d-bbf6-fa4b0861cdc4.jpg?1736467799,Creature — Zombie Horror,Mike Jordana
Overgrown Farmland,0,2025,2.32,#d78f42,https://cards.scryfall.io/normal/front/6/6/66656795-a64d-4656-a9bf-050dd9a7b9bf.jpg?1736468681,Land,Jonas De Ro
Reforge the Soul,5,2025,2.28,#ff1a1a,https://cards.scryfall.io/normal/front/1/c/1c3509c6-2ae7-45be-8ac9-4d14d69db32f.jpg?1736468201,Sorcery,Jaime Jones
Restoration Angel,4,2025,0.23,#ffffff,https://cards.scryfall.io/normal/front/f/1/f17f85d3-58e5-4128-90c5-98b524256af8.jpg?1736467570,Creature — Angel,Johannes Voss
Rockfall Vale,0,2025,1.75,#d78f42,https://cards.scryfall.io/normal/front/d/4/d4ef22f2-7c4f-4198-982b-f0830fd769cc.jpg?1736468683,Land,Muhammad Firdaus
Rooftop Storm,6,2025,1.61,#341aff,https://cards.scryfall.io/normal/front/3/1/31146f03-cb5e-4f33-aad7-ce970b914d90.jpg?1736467814,Enchantment,John Stanko
Second Harvest,4,2025,1.35,#087500,https://cards.scryfall.io/normal/front/a/a/aaecd005-b849-4e75-a8e0-24231bf2a0c9.jpg?1736468402,Instant,Matt Stewart
Shattered Sanctum,0,2025,5.04,#d78f42,https://cards.scryfall.io/normal/front/8/9/89bec47e-811d-4540-9834-8b9670e00c5c.jpg?1736468687,Land,Muhammad Firdaus
Shipwreck Marsh,0,2025,3.49,#d78f42,https://cards.scryfall.io/normal/front/1/5/156df6eb-1ac9-4954-bf93-b1668096b8bd.jpg?1736468690,Land,Jonas De Ro
Sigarda- Host of Herons,5,2025,1.37,#d78f42,https://cards.scryfall.io/normal/front/8/f/8f7a6f6d-dfe3-40d3-90dc-58baa8924baf.jpg?1736468546,Legendary Creature — Angel,Chris Rahn
Skirsdag High Priest,2,2025,0.22,#000000,https://cards.scryfall.io/normal/front/7/a/7a329b20-4e6e-45c9-aee0-51fe81dce543.jpg?1736468045,Creature — Human Cleric,Jason A. Engle
