name,cmc,release_year,price,color,image,type_line,artist
Adeline- Resplendent Cathar,3,2024,3.7,#ffffff,https://cards.scryfall.io/normal/front/2/1/21a0e852-7855-4a6b-8eca-191a8e83023a.jpg?1730485903,Legendary Creature — Human Knight,Susumu Kuroi
Aether Channeler,3,2024,0.21,#341aff,https://cards.scryfall.io/normal/front/d/5/d5859a42-5a82-47db-9f1d-ffe3f2b61a02.jpg?1730486728,Creature — Human Wizard,Caio Monteiro
Ajani- Adversary of Tyrants,4,2024,1.01,#ffffff,https://cards.scryfall.io/normal/front/5/a/5a6facfa-d73c-4f10-a3b7-d2653823423d.jpg?1730486271,Legendary Planeswalker — Ajani,Victor Adame Minguez
Ancient Greenwarden,6,2024,8.06,#087500,https://cards.scryfall.io/normal/front/d/0/d0a63737-8da7-4e92-89d2-742419530fc9.jpg?1730487996,Creature — Elemental,Grzegorz Rutkowski
Anje's Ravager,3,2024,0.26,#ff1a1a,https://cards.scryfall.io/normal/front/8/0/80694558-175c-42b2-935d-ddac16966601.jpg?1730487562,Creature — Vampire Berserker,Antonio José Manzanedo
Aphelia- Viper Whisperer,2,2024,16.96,#d78f42,https://cards.scryfall.io/normal/front/1/a/1a0867be-a861-4fb4-b8ff-cb2966193755.jpg?1730485839,Legendary Creature — Gorgon Assassin,Fuzichoco
Archon of Sun's Grace,4,2024,0.47,#ffffff,https://cards.scryfall.io/normal/front/5/c/5c3f9a15-02ee-4d83-ab4c-6cec9071b841.jpg?1730486307,Creature — Archon,Matt Stewart
Army of the Damned,8,2024,0.68,#000000,https://cards.scryfall.io/normal/front/b/4/b46b0818-cd87-41b4-85d2-c474b995d4c0.jpg?1730487135,Sorcery,Ryan Pancoast
Averna- the Chaos Bloom,3,2024,0.29,#d78f42,https://cards.scryfall.io/normal/front/0/d/0d6094b0-72a1-4f1b-9067-b1c97238d005.jpg?1730485990,Legendary Creature — Elemental Shaman,Ryuichi Sakuma
Basri's Lieutenant,4,2024,0.18,#ffffff,https://cards.scryfall.io/normal/front/d/3/d38f37d7-4aa7-43bf-ad15-9a8a31d42594.jpg?1730486321,Creature — Human Knight,Matt Stewart
Bloodgift Demon,5,2024,0.85,#000000,https://cards.scryfall.io/normal/front/0/4/04151a78-eb5a-4cb2-aa1f-e4835f3124c1.jpg?1730487169,Creature — Demon,Chris Rahn
Briarbridge Tracker,3,2024,0.09,#087500,https://cards.scryfall.io/normal/front/f/a/facfdada-406a-4b7f-8d59-7b740619394d.jpg?1730488042,Creature — Human Scout,Mathias Kollros
Brigone- Soldier of Meletis,2,2024,1.63,#ffffff,https://cards.scryfall.io/normal/front/2/0/20ecadef-8aa3-4bca-8744-adbc809083c3.jpg?1730485800,Legendary Creature — Human Soldier,Daisuke Tatsuma
Brimaz- King of Oreskos,3,2024,7.37,#ffffff,https://cards.scryfall.io/normal/front/f/2/f2fd4bf5-7ed6-4a90-b0ba-ba886342859a.jpg?1730485910,Legendary Creature — Cat Soldier,Moopic
Cackling Counterpart,3,2024,0.19,#341aff,https://cards.scryfall.io/normal/front/f/4/f4e59f89-c537-4c33-a16f-31f414d50367.jpg?1730486762,Instant,David Rapoza
Cavalier of Gales,5,2024,0.39,#341aff,https://cards.scryfall.io/normal/front/2/8/289cc92d-68e7-4b9c-8779-fa2583f3eef1.jpg?1730486771,Creature — Elemental Knight,Viktor Titov
Charmbreaker Devils,6,2024,0.14,#ff1a1a,https://cards.scryfall.io/normal/front/1/7/179eb5aa-3882-4dea-9ddf-beb09f4b7d97.jpg?1730486180,Creature — Devil,Johan Grenier
