name,cmc,release_year,price,color,image
Ajani's Chosen,4,2020,0.41,#ffffff,https://cards.scryfall.io/normal/front/8/e/8ea009c1-505e-4307-b8f3-2d37e36507a6.jpg?1600695778
Allosaurus Shepherd,1,2020,22.8,#087500,https://cards.scryfall.io/normal/front/0/e/0ee4a931-5d61-49ba-affc-f022263938ca.jpg?1609798819
Angelic Arbiter,7,2020,1.29,#ffffff,https://cards.scryfall.io/normal/front/8/6/8637d263-5d7e-45bc-aad3-d97f57e6898e.jpg?1600715393
Angel of the Dire Hour,7,2020,0.81,#ffffff,https://cards.scryfall.io/normal/front/b/7/b7ab81d4-aaf7-4c72-9651-5e1482126928.jpg?1600695858
Archon of Justice,5,2020,0.18,#ffffff,https://cards.scryfall.io/normal/front/0/4/042b0148-5821-4105-9cda-a0e405eb8bee.jpg?1600716696
Archon of Redemption,5,2020,0.12,#ffffff,https://cards.scryfall.io/normal/front/a/9/a9e8eb41-3800-4553-843b-ec27a44e8d55.jpg?1600716710
Assault Formation,2,2020,0.55,#087500,https://cards.scryfall.io/normal/front/6/b/6bf261c8-98e4-491e-9e51-a9058ff2c03a.jpg?1601078969
Ball Lightning,3,2020,0.39,#ff1a1a,https://cards.scryfall.io/normal/front/d/9/d9b53218-804b-4992-9c93-a797dd6b2a04.jpg?1600701851
Black Market,5,2020,2.1,#000000,https://cards.scryfall.io/normal/front/1/f/1f51ced8-9384-4b8d-aa60-efb281ac9439.jpg?1600699469
Blessed Sanctuary,5,2020,0.84,#ffffff,https://cards.scryfall.io/normal/front/f/f/ff80029e-650e-469d-8393-0edf7d9cd695.jpg?1632261678
Bogbrew Witch,4,2020,0.1,#000000,https://cards.scryfall.io/normal/front/6/c/6ce1aa49-fe00-4390-8c4b-d1203cc337cd.jpg?1600714297
Branching Evolution,3,2020,12.59,#087500,https://cards.scryfall.io/normal/front/4/a/4a6971ad-cbb4-4f66-9bc4-b407c5805e85.jpg?1632261893
Bruvac the Grandiloquent,3,2020,25.84,#341aff,https://cards.scryfall.io/normal/front/5/b/5b43bdc7-e49e-4848-9101-6cad2ecab4dc.jpg?1632261753
Cathars' Crusade,5,2020,6.26,#ffffff,https://cards.scryfall.io/normal/front/f/b/fbb70e7b-2a68-436e-96a4-32a88fb87da0.jpg?1600715516
Celestial Mantle,6,2020,1.16,#ffffff,https://cards.scryfall.io/normal/front/1/3/136dfcf5-130a-4d75-9785-a090215a29b1.jpg?1600696200
Chamber Sentry,0,2020,0.1,#d78f42,https://cards.scryfall.io/normal/front/b/3/b3260793-bf43-4862-9e1f-122edfc35ee4.jpg?1601080602
Champion of Lambholt,3,2020,0.63,#087500,https://cards.scryfall.io/normal/front/d/8/d8d851d8-d7d0-4b8a-b520-f3863b78bc66.jpg?1601082292
Charmbreaker Devils,6,2020,0.19,#ff1a1a,https://cards.scryfall.io/normal/front/4/7/47361f61-b717-4468-8050-5f28a8fe6754.jpg?1601077413
Corsair Captain,3,2020,0.42,#341aff,https://cards.scryfall.io/normal/front/a/9/a9b016d4-ddf6-47d6-b934-a0b979b60680.jpg?1632261757
Cradle of Vitality,4,2020,0.3,#ffffff,https://cards.scryfall.io/normal/front/4/c/4caae1f4-dfb0-466f-9fa6-eb014767e3c8.jpg?1600716975
Craterhoof Behemoth,8,2020,27.55,#087500,https://cards.scryfall.io/normal/front/4/4/44afd414-cc69-4888-ba12-7ea87e60b1f7.jpg?1601079153
Drana- Liberator of Malakir,3,2020,0.48,#000000,https://cards.scryfall.io/normal/front/3/1/31d0c37f-ebce-4362-9400-6b9a6e439247.jpg?1600714392
Dualcaster Mage,3,2020,0.24,#ff1a1a,https://cards.scryfall.io/normal/front/3/2/32d294e8-ed96-4584-b4f2-1b03ae6d1314.jpg?1601077569
Duelist's Heritage,3,2020,0.49,#ffffff,https://cards.scryfall.io/normal/front/f/e/fefef556-dd3c-49b9-a6f5-8b86af64416e.jpg?1600696343
Elvish Archdruid,3,2020,0.97,#087500,https://cards.scryfall.io/normal/front/f/f/ffc63793-9bf9-4c69-8f6d-74484bb40fda.jpg?1601079327
Emiel the Blessed,4,2020,2.78,#d78f42,https://cards.scryfall.io/normal/front/f/7/f74dfd07-d17c-4890-82c3-4b12a6029940.jpg?1632261688
Etali- Primal Storm,6,2020,0.23,#ff1a1a,https://cards.scryfall.io/normal/front/9/9/99c40669-87fa-4b1e-885f-2d0a626c3a25.jpg?1601077586
Exquisite Blood,5,2020,22.99,#000000,https://cards.scryfall.io/normal/front/b/1/b1653811-1c2c-4e6c-bf1c-287d1b496d51.jpg?1600700252
Ghalta- Primal Hunger,12,2020,2.71,#087500,https://cards.scryfall.io/normal/front/8/c/8c342309-aef7-4733-ac1c-ff0b704539a7.jpg?1601079606
Ghoulcaller Gisa,5,2020,1.6,#000000,https://cards.scryfall.io/normal/front/0/b/0bcba8d3-725b-49f9-8281-eafac15208c5.jpg?1600700375
Goblin Chieftain,3,2020,2.35,#ff1a1a,https://cards.scryfall.io/normal/front/8/9/89fcc35b-76fa-4408-8620-a1e11b2caf1f.jpg?1601077753
Goblin Goon,4,2020,0.11,#ff1a1a,https://cards.scryfall.io/normal/front/5/b/5b629eb0-0e84-4eaf-bbc3-ec85ae17a8a7.jpg?1601077790
Gonti- Lord of Luxury,4,2020,0.23,#000000,https://cards.scryfall.io/normal/front/2/e/2eb69961-0053-476f-b58e-20b6df0e2649.jpg?1600714511
Gravewaker,6,2020,0.09,#000000,https://cards.scryfall.io/normal/front/d/3/d3c5eb7a-abb2-46bd-8fbd-19af63e70c9c.jpg?1600700481
Grim Lavamancer,1,2020,0.25,#ff1a1a,https://cards.scryfall.io/normal/front/a/3/a359f4a8-3c06-441a-81bd-e3773b122e45.jpg?1601077982
Hamletback Goliath,7,2020,0.13,#ff1a1a,https://cards.scryfall.io/normal/front/3/6/368ee4e3-c9eb-4898-99cd-bbe148936f99.jpg?1601081723
Harvester of Souls,6,2020,1.21,#000000,https://cards.scryfall.io/normal/front/8/7/870ebc0b-b748-4a21-b939-a48811451bba.jpg?1600700538
Hellrider,4,2020,0.59,#ff1a1a,https://cards.scryfall.io/normal/front/7/b/7bbfd905-8c71-4389-9174-6e84bcbcf05c.jpg?1601078085
High Sentinels of Arashin,4,2020,0.08,#ffffff,https://cards.scryfall.io/normal/front/2/0/2002d263-3fe0-481a-b389-84e281b009d7.jpg?1600696520
Immolating Gyre,6,2020,0.65,#ff1a1a,https://cards.scryfall.io/normal/front/b/d/bd0b8aee-fbfb-470f-9ac2-64fce0b4b2fb.jpg?1632261825
Inniaz- the Gale Force,5,2020,0.17,#d78f42,https://cards.scryfall.io/normal/front/b/2/b238485f-ef67-4295-892b-a10235368f74.jpg?1632261762
Isamaru- Hound of Konda,1,2020,0.92,#ffffff,https://cards.scryfall.io/normal/front/6/a/6afead32-3542-44c4-82d6-b6a81beb9f90.jpg?1600713424
Kels- Fight Fixer,4,2020,0.2,#d78f42,https://cards.scryfall.io/normal/front/b/7/b70d445b-d3d6-4f7c-b9ea-bed6a26d4a2a.jpg?1632261776
Kira- Great Glass-Spinner,3,2020,3.47,#341aff,https://cards.scryfall.io/normal/front/4/3/437ded6e-4e53-49fa-a5ca-fd76b9165a47.jpg?1600697941
Kor Spiritdancer,2,2020,2.15,#ffffff,https://cards.scryfall.io/normal/front/5/9/59813c47-e779-404d-8a1c-70ea29bc7023.jpg?1600718299
Krenko- Mob Boss,4,2020,4.76,#ff1a1a,https://cards.scryfall.io/normal/front/c/d/cd9fec9d-23c8-4d35-97c1-9499527198fb.jpg?1601078209
Languish,4,2020,0.46,#000000,https://cards.scryfall.io/normal/front/9/b/9b53ce1b-9353-42ad-89a0-36e907ba576a.jpg?1600714531
Lathliss- Dragon Queen,6,2020,5.66,#ff1a1a,https://cards.scryfall.io/normal/front/9/4/9460e3c6-e745-41d3-8e17-0b92fb126a16.jpg?1601078219
Lena- Selfless Champion,6,2020,0.15,#ffffff,https://cards.scryfall.io/normal/front/d/a/da1fb1a6-7f64-45a6-9fc0-a325b7600afa.jpg?1600696804
Lightning Phoenix,3,2020,0.23,#ff1a1a,https://cards.scryfall.io/normal/front/b/5/b52a3f11-6d55-4492-9a2c-c128c09b3d77.jpg?1632261830
Liliana's Reaver,4,2020,0.27,#000000,https://cards.scryfall.io/normal/front/f/a/fa9396f3-a93c-47ee-91da-78af864c86c3.jpg?1600714598
Linvala- Keeper of Silence,4,2020,12.98,#ffffff,https://cards.scryfall.io/normal/front/d/d/dded98c3-17cb-4a43-a209-289ceb11df39.jpg?1600717849
Lurking Predators,6,2020,6.01,#087500,https://cards.scryfall.io/normal/front/9/9/9952da7c-3cfc-413f-8849-0f10e9c8dceb.jpg?1601079751
Maelstrom Archangel,5,2020,0.51,#d78f42,https://cards.scryfall.io/normal/front/e/d/ed111116-c2cc-4c97-a84c-f9576ea2ada7.jpg?1601083081
Magmaquake,2,2020,0.14,#ff1a1a,https://cards.scryfall.io/normal/front/f/e/feebd1ba-758f-4029-9f5c-19b07146b80d.jpg?1601078351
Mentor of the Meek,3,2020,0.3,#ffffff,https://cards.scryfall.io/normal/front/4/6/46150e35-bcaf-4b53-871d-d1d9091a36ab.jpg?1600717859
Mikaeus- the Lunarch,1,2020,0.37,#ffffff,https://cards.scryfall.io/normal/front/1/b/1b24d60d-bd80-4363-829c-a9d7f8c61fdf.jpg?1600717902
Momentous Fall,4,2020,0.59,#087500,https://cards.scryfall.io/normal/front/9/1/91a6f558-a754-4437-8328-00a6ca47f9b5.jpg?1601079764
Muxus- Goblin Grandee,6,2020,7.39,#ff1a1a,https://cards.scryfall.io/normal/front/2/c/2c716d10-2130-43b7-a939-349d437e1091.jpg?1618519471
Mystic Archaeologist,2,2020,0.07,#341aff,https://cards.scryfall.io/normal/front/d/e/de19d2db-604b-4d5f-8184-9bb0a31c7405.jpg?1600698074
Neyith of the Dire Hunt,4,2020,1.05,#d78f42,https://cards.scryfall.io/normal/front/0/c/0c1eed0f-9692-44c0-b1ad-afa691165d52.jpg?1632261896
Nyxathid,3,2020,0.14,#000000,https://cards.scryfall.io/normal/front/a/9/a9843f26-83ed-4517-8ad6-0e288833d140.jpg?1600700958
Ogre Slumlord,5,2020,0.27,#000000,https://cards.scryfall.io/normal/front/9/3/9342052f-6b6b-40b9-bbc9-7ba3e8365fe1.jpg?1600700987
Oracle of Mul Daya,4,2020,5.87,#087500,https://cards.scryfall.io/normal/front/5/d/5de097e5-e960-4404-a370-defe93ce892f.jpg?1601079841
Ormos- Archive Keeper,6,2020,0.15,#341aff,https://cards.scryfall.io/normal/front/7/1/711412f1-9ab3-48b6-91a4-77232b416a32.jpg?1632261767
