cmc,price,color
5,2.13,#341aff
7,8.35,#341aff
3,0.15,#ff1a1a
1,0.49,#341aff
0,4.26,#d78f42
3,0.13,#d78f42
5,1.49,#087500
5,0.2,#d78f42
3,2.56,#ff1a1a
4,0.09,#087500
0,4.43,#d78f42
6,0.33,#000000
6,3.14,#000000
4,0.27,#ff1a1a
4,1.19,#087500
5,0.21,#000000
3,1.06,#341aff
4,0.2,#341aff
4,1.13,#8c8d8b
4,0.22,#000000
7,0.14,#341aff
0,6.11,#d78f42
5,4.25,#ffffff
2,0.22,#ff1a1a
4,0.55,#000000
2,1.7,#000000
3,0.57,#000000
2,2.87,#087500
4,4.51,#000000
3,13.43,#d78f42
4,0.37,#087500
0,2.06,#8c8d8b
4,0.45,#d78f42
4,0.92,#ffffff
5,22.41,#ff1a1a
5,0.2,#341aff
4,7.39,#ffffff
4,0.18,#d78f42
6,3.83,#000000
0,5.46,#d78f42
12,0.22,#341aff
4,0.33,#d78f42
2,1.82,#087500
3,1.17,#d78f42
5,3.9,#d78f42
3,0.21,#d78f42
4,0.27,#087500
7,13.58,#d78f42
2,0.86,#ff1a1a
4,3.54,#8c8d8b
2,4.88,#341aff
3,1.57,#d78f42
3,0.38,#087500
4,5.84,#341aff
2,1.11,#8c8d8b
5,2.15,#ff1a1a
2,0.35,#ffffff
3,3.0,#087500
4,0.12,#ff1a1a
5,1.05,#341aff
3,1.0,#ffffff
3,1.56,#ffffff
3,2.48,#ffffff
3,1.15,#000000
3,0.21,#ffffff
3,0.37,#d78f42
3,1.02,#ffffff
4,0.64,#d78f42
3,0.21,#ffffff
2,0.46,#000000
4,4.94,#ffffff
7,0.11,#341aff
5,0.2,#ff1a1a
5,6.21,#000000
3,0.13,#d78f42
3,0.11,#d78f42
3,0.26,#d78f42
0,4.53,#d78f42
2,2.31,#ff1a1a
4,4.01,#ff1a1a
4,4.68,#087500
3,0.16,#ff1a1a
0,0.54,#8c8d8b
4,11.02,#d78f42
2,20.97,#d78f42
6,1.69,#ffffff
3,2.9,#000000
6,41.87,#087500
6,0.15,#d78f42
