name,cmc,release_year,price,color,image
Aetherflux Reservoir,4,2016,10.81,#8c8d8b,https://cards.scryfall.io/normal/front/9/6/96b6b2e1-c3e6-464c-8a13-b15deb34e862.jpg?1576382939
Aethersquall Ancient,7,2016,0.11,#341aff,https://cards.scryfall.io/normal/front/5/5/55127a25-dc64-4f26-ae50-ed7247c22ae6.jpg?1576381113
Aetherstorm Roc,4,2016,0.09,#ffffff,https://cards.scryfall.io/normal/front/7/9/79fb7541-7a27-40a5-aabd-fce26df03485.jpg?1576380711
Aetherworks Marvel,4,2016,1.67,#8c8d8b,https://cards.scryfall.io/normal/front/8/8/884f6948-3e03-48c6-8be2-6f2539386c9d.jpg?1576382949
Angel of Invention,5,2016,3.59,#ffffff,https://cards.scryfall.io/normal/front/f/3/f3920f7d-8559-40f8-95be-860c16bf7700.jpg?1576380724
Animation Module,1,2016,0.86,#8c8d8b,https://cards.scryfall.io/normal/front/3/4/34bdc973-db45-46a6-ac48-ce88fb59920a.jpg?1576382961
Architect of the Untamed,3,2016,0.08,#087500,https://cards.scryfall.io/normal/front/7/b/7bc540f5-96a1-44d8-910d-914b9e61b2a5.jpg?1665822386
Authority of the Consuls,1,2016,8.87,#ffffff,https://cards.scryfall.io/normal/front/3/2/324b2f55-1e09-490e-8f7e-bfde85a91ac4.jpg?1576380742
Blooming Marsh,0,2016,7.56,#d78f42,https://cards.scryfall.io/normal/front/9/0/90da33d4-fe9c-42fe-b326-2fe337dc3ecd.jpg?1576383503
Bomat Courier,1,2016,0.26,#ff1a1a,https://cards.scryfall.io/normal/front/4/2/425bff89-ad15-4d22-bce9-a4a07dbafd87.jpg?1576383013
Botanical Sanctum,0,2016,6.14,#d78f42,https://cards.scryfall.io/normal/front/8/7/8744471b-a528-47d9-84d0-4526273f55e9.jpg?1576383517
Bristling Hydra,4,2016,0.14,#087500,https://cards.scryfall.io/normal/front/4/b/4bf38096-05bc-4734-b33c-eb1e8f2986de.jpg?1576382395
Captured by the Consulate,4,2016,0.08,#ffffff,https://cards.scryfall.io/normal/front/e/0/e0c20018-4446-4c2b-bdc5-53fcf1fbc3bf.jpg?1576380783
Cataclysmic Gearhulk,5,2016,0.26,#ffffff,https://cards.scryfall.io/normal/front/7/b/7b10947b-c276-41c4-b72c-efcddd94d13b.jpg?1576380795
Chandra- Torch of Defiance,4,2016,7.35,#ff1a1a,https://cards.scryfall.io/normal/front/f/f/ff8086cd-b868-4f4e-823e-2635ad7ebc07.jpg?1576381994
Combustible Gearhulk,6,2016,2.49,#ff1a1a,https://cards.scryfall.io/normal/front/e/0/e0f43147-4552-48fd-be0a-0629b9a0ad69.jpg?1576382023
Concealed Courtyard,0,2016,0.76,#d78f42,https://cards.scryfall.io/normal/front/c/8/c8769e97-aee8-4466-a9d7-0f4245ae4a97.jpg?1576383529
Confiscation Coup,5,2016,0.07,#341aff,https://cards.scryfall.io/normal/front/6/d/6daf453f-54be-4346-831d-a0434aa086fe.jpg?1576381139
Cultivator of Blades,5,2016,0.19,#087500,https://cards.scryfall.io/normal/front/5/d/5d21d35b-1b4e-43aa-8fb7-0dd7a2fa91a1.jpg?1576382440
Cultivator's Caravan,3,2016,0.35,#8c8d8b,https://cards.scryfall.io/normal/front/b/4/b46b3726-4bc8-4e3a-bc6d-402c81663712.jpg?1576383065
Deadlock Trap,3,2016,0.09,#8c8d8b,https://cards.scryfall.io/normal/front/f/9/f956dedc-2cf4-4039-8302-feab94b78426.jpg?1576383074
Demon of Dark Schemes,6,2016,1.61,#000000,https://cards.scryfall.io/normal/front/9/9/99c99736-5c9c-4d2f-946d-05606fcdd039.jpg?1576381539
Depala- Pilot Exemplar,3,2016,0.21,#d78f42,https://cards.scryfall.io/normal/front/5/9/592f3a92-787e-4180-9d0b-06c973ce8975.jpg?1576382792
Dovin Baan,4,2016,0.77,#d78f42,https://cards.scryfall.io/normal/front/2/3/2344e710-4570-41b6-af84-a3e7d784003a.jpg?1576382804
Dubious Challenge,4,2016,0.1,#087500,https://cards.scryfall.io/normal/front/9/2/92965a78-277d-4a27-8174-fc2564bd1ee3.jpg?1576382453
Dynavolt Tower,3,2016,0.14,#8c8d8b,https://cards.scryfall.io/normal/front/c/4/c45fd2ae-0f91-47ca-99bd-22ddf946df9f.jpg?1576383112
Electrostatic Pummeler,3,2016,0.13,#8c8d8b,https://cards.scryfall.io/normal/front/c/5/c565d11b-a57e-4de4-9d18-2be48a2ef742.jpg?1576383143
Eliminate the Competition,5,2016,0.13,#000000,https://cards.scryfall.io/normal/front/3/b/3bf09460-2e54-4434-ab03-95eef77265dc.jpg?1576381596
Fateful Showdown,4,2016,0.25,#ff1a1a,https://cards.scryfall.io/normal/front/a/1/a19d5bdd-7f45-4ff1-bd1a-ac4e87572bcb.jpg?1576382046
Fleetwheel Cruiser,4,2016,0.15,#8c8d8b,https://cards.scryfall.io/normal/front/5/f/5fdaca1e-5741-456e-ae98-e2c45fd1731b.jpg?1576383193
Fumigate,5,2016,0.92,#ffffff,https://cards.scryfall.io/normal/front/f/0/f00f27a7-9e92-4fbf-baa8-f47a5eee48a6.jpg?1576380863
Ghirapur Orrery,4,2016,0.78,#8c8d8b,https://cards.scryfall.io/normal/front/c/9/c9bff744-873b-4fa1-8088-5f28bbcdc7b8.jpg?1576383215
Gonti- Lord of Luxury,4,2016,0.48,#000000,https://cards.scryfall.io/normal/front/7/7/7735ecda-9bb0-4ef9-86b2-16e5b6592e61.jpg?1576381671
Insidious Will,4,2016,0.39,#341aff,https://cards.scryfall.io/normal/front/8/e/8eafb2bb-58bf-4c6b-ae8f-91bcea12c7d2.jpg?1576381260
Inspiring Vantage,0,2016,7.08,#d78f42,https://cards.scryfall.io/normal/front/1/6/160ac412-005f-48ca-a204-10207307c6c2.jpg?1576383543
Inventors' Fair,0,2016,10.79,#8c8d8b,https://cards.scryfall.io/normal/front/2/7/275471e3-ded1-40ac-91ef-369dce5764d9.jpg?1576383555
Kambal- Consul of Allocation,3,2016,1.62,#d78f42,https://cards.scryfall.io/normal/front/4/9/49d61ddb-2662-427c-a97d-21e41b86130d.jpg?1576382847
Key to the City,2,2016,0.3,#8c8d8b,https://cards.scryfall.io/normal/front/6/6/66154969-5c69-40ce-8bc9-c9bc5e280d4c.jpg?1576383253
Lathnu Hellion,3,2016,0.09,#ff1a1a,https://cards.scryfall.io/normal/front/1/4/14050179-84af-46f6-89be-338f8e7131cc.jpg?1576382117
Liberating Combustion,5,2016,0.11,#ff1a1a,https://cards.scryfall.io/normal/front/c/9/c9d2156e-2d54-440e-b0fd-7bef702afbfc.jpg?1562743003
Lost Legacy,3,2016,0.17,#000000,https://cards.scryfall.io/normal/front/d/5/d5d0e447-d98e-43d5-9b53-166221c34be2.jpg?1576381725
Madcap Experiment,4,2016,0.16,#ff1a1a,https://cards.scryfall.io/normal/front/0/5/05768b87-d2df-42fc-bf63-e471d31b32e3.jpg?1576382125
Marionette Master,6,2016,1.24,#000000,https://cards.scryfall.io/normal/front/3/5/358a87a3-c76e-4c7d-ac84-464894ed9a31.jpg?1576381747
Master Trinketeer,3,2016,0.12,#ffffff,https://cards.scryfall.io/normal/front/c/d/cdb6beb3-1669-4e7b-9c76-65424673eb36.jpg?1576380928
Metallurgic Summonings,5,2016,2.35,#341aff,https://cards.scryfall.io/normal/front/f/0/f0ac06f9-5c9f-4d4f-be57-7c58bd8da568.jpg?1576381317
Metalwork Colossus,11,2016,0.89,#8c8d8b,https://cards.scryfall.io/normal/front/4/7/474480b5-c60b-4c7f-9d3e-751bca43d074.jpg?1576383277
Midnight Oil,4,2016,0.09,#000000,https://cards.scryfall.io/normal/front/1/4/14875840-044d-482f-845e-79240cad66f3.jpg?1576381769
Multiform Wonder,5,2016,0.09,#8c8d8b,https://cards.scryfall.io/normal/front/9/f/9f6956c1-36e2-4c9c-9f69-00b459f094d8.jpg?1576383292
Nissa- Vital Force,5,2016,3.5,#087500,https://cards.scryfall.io/normal/front/b/b/bbaaa98a-ec40-4ff1-8762-a719cf1c475d.jpg?1576382597
Noxious Gearhulk,6,2016,2.07,#000000,https://cards.scryfall.io/normal/front/9/f/9f86e5fe-8723-4494-b4cc-b7ac3a047bd1.jpg?1576381808
Oviya Pashiri- Sage Lifecrafter,1,2016,0.23,#087500,https://cards.scryfall.io/normal/front/2/7/27eb9d40-958b-41b8-b04b-7f45adc0a862.jpg?1576382622
Padeem- Consul of Innovation,4,2016,3.34,#341aff,https://cards.scryfall.io/normal/front/e/3/e31b30a7-13e8-408e-a758-60e6e9290808.jpg?1576381360
Panharmonicon,4,2016,4.36,#8c8d8b,https://cards.scryfall.io/normal/front/1/5/15856326-d943-476a-9d31-898b9f990bb6.jpg?1576383323
Paradoxical Outcome,4,2016,0.49,#341aff,https://cards.scryfall.io/normal/front/1/7/17e50157-bf49-4c5f-9b8a-bf73484e63a5.jpg?1576381375
Pia Nalaar,3,2016,0.09,#ff1a1a,https://cards.scryfall.io/normal/front/6/a/6a2b2954-0734-4219-b6df-c6cc3dcd8d5a.jpg?1576382147
Rashmi- Eternities Crafter,4,2016,0.61,#d78f42,https://cards.scryfall.io/normal/front/3/c/3ce37555-49a2-4112-95b4-f3376b55b45b.jpg?1576382857
Saheeli Rai,3,2016,4.02,#d78f42,https://cards.scryfall.io/normal/front/9/4/94b38464-39cd-4ee6-b9bf-a0bc1e128d9a.jpg?1576382877
Saheeli's Artistry,6,2016,0.17,#341aff,https://cards.scryfall.io/normal/front/4/2/42237c1d-5579-4c15-b97b-bcaaaf0b1ab2.jpg?1576381397
Scrapheap Scrounger,2,2016,0.22,#000000,https://cards.scryfall.io/normal/front/2/1/216a8e4e-ea7b-41c7-a982-b5751025ff25.jpg?1576383385
Skyship Stalker,4,2016,0.1,#ff1a1a,https://cards.scryfall.io/normal/front/7/a/7a35be7b-d693-4433-9b13-8e019adc594e.jpg?1576382210
Skysovereign- Consul Flagship,5,2016,8.9,#8c8d8b,https://cards.scryfall.io/normal/front/1/d/1df70ef3-8919-43ac-9317-23548437a181.jpg?1576383414
Smuggler's Copter,2,2016,0.77,#8c8d8b,https://cards.scryfall.io/normal/front/7/8/7832abb5-5107-4603-904e-491b221bd3e3.jpg?1576383425
Spirebluff Canal,0,2016,14.02,#d78f42,https://cards.scryfall.io/normal/front/4/e/4e587ea7-0632-4789-ba75-3c410da2bb96.jpg?1576383574
Syndicate Trafficker,2,2016,0.15,#000000,https://cards.scryfall.io/normal/front/d/8/d89427f0-08d5-49a1-9684-ebe8769430f6.jpg?1576381873
