name,cmc,release_year,price,color,image,type_line,artist
Ajani Goldmane,4,2010,6.1,#ffffff,https://cards.scryfall.io/normal/front/2/d/2d911053-a026-4b20-ba2d-dbcc367c1413.jpg?1562454645,Legendary Planeswalker — Ajani,Aleksi Briclot
Ancient Hellkite,7,2010,0.23,#ff1a1a,https://cards.scryfall.io/normal/front/9/6/96cede38-0f02-4ce0-b947-ce3d7d7c2882.jpg?1562468553,Creature — Dragon,Jason Chan
Angelic Arbiter,7,2010,1.55,#ffffff,https://cards.scryfall.io/normal/front/7/1/71f05793-9e6f-4815-9a13-f791cb4b6aa0.jpg?1562464158,Creature — Angel,Steve Argyle
Baneslayer Angel,5,2010,2.55,#ffffff,https://cards.scryfall.io/normal/front/f/f/ff70c4ff-a241-4333-bd8f-9f0ed5a0333b.jpg?1562482659,Creature — Angel,Greg Staples
Birds of Paradise,1,2010,5.91,#087500,https://cards.scryfall.io/normal/front/3/1/31c9d029-c568-4728-bf74-9d02b6772f48.jpg?1562455128,Creature — Bird,Marcelo Vignali
Brittle Effigy,1,2010,0.28,#8c8d8b,https://cards.scryfall.io/normal/front/b/1/b1e2a430-339c-46ae-a43f-61e11e018b7b.jpg?1562472082,Artifact,John Avon
Captivating Vampire,3,2010,6.82,#000000,https://cards.scryfall.io/normal/front/f/9/f99b0735-cc3c-48dc-a7ad-b7d9eea45e54.jpg?1562481755,Creature — Vampire,Eric Deschamps
Chandra Nalaar,5,2010,0.78,#ff1a1a,https://cards.scryfall.io/normal/front/a/c/ac44125d-28de-4ecf-a55b-1299daa5539e.jpg?1562471392,Legendary Planeswalker — Chandra,Aleksi Briclot
Clone,4,2010,0.44,#341aff,https://cards.scryfall.io/normal/front/c/f/cf51d88c-f7a4-4f82-ab2b-f2871abd7d5b.jpg?1562476191,Creature — Shapeshifter,Kev Walker
Conundrum Sphinx,4,2010,0.11,#341aff,https://cards.scryfall.io/normal/front/1/a/1aa1afb9-a2e5-44a1-b2f1-9de75efbbe93.jpg?1562452396,Creature — Sphinx,Michael Komarck
Cyclops Gladiator,4,2010,0.12,#ff1a1a,https://cards.scryfall.io/normal/front/b/6/b6f2eddc-b296-40d0-bf59-44899f1570e8.jpg?1562472664,Creature — Cyclops Warrior,Kev Walker
Dark Tutelage,3,2010,0.46,#000000,https://cards.scryfall.io/normal/front/9/e/9ec3dd9f-3969-4fd7-97f7-e9868eb19a64.jpg?1562469514,Enchantment,James Ryman
Day of Judgment,4,2010,1.75,#ffffff,https://cards.scryfall.io/normal/front/0/3/03f6b25f-d11c-483a-a3e9-6b801d333482.jpg?1562449346,Sorcery,Vincent Proce
Demon of Death's Gate,9,2010,3.06,#000000,https://cards.scryfall.io/normal/front/5/7/57fab4fc-c8de-47ef-a717-3adb58c2f5b6.jpg?1562460627,Creature — Demon,Vance Kovacs
Destructive Force,7,2010,0.37,#ff1a1a,https://cards.scryfall.io/normal/front/1/a/1abde258-08e0-4762-8142-38e08a960f9d.jpg?1562452402,Sorcery,Jung Park
Dragonskull Summit,0,2010,2.13,#d78f42,https://cards.scryfall.io/normal/front/1/1/11b5408a-0fde-48d4-bcbf-b949a20b79c0.jpg?1562451039,Land,Jon Foster
Drowned Catacomb,0,2010,3.87,#d78f42,https://cards.scryfall.io/normal/front/d/d/ddb09397-c3cc-4ecc-aef7-bee4dfa6957f.jpg?1562478109,Land,Dave Kendall
Elvish Archdruid,3,2010,1.18,#087500,https://cards.scryfall.io/normal/front/f/c/fcb80b4c-35a1-461b-8bad-2679b1dd2e05.jpg?1562482215,Creature — Elf Druid,Karl Kopinski
Fauna Shaman,2,2010,2.09,#087500,https://cards.scryfall.io/normal/front/c/6/c685e4c3-eb7b-4b9e-9676-395d69d80974.jpg?1562475028,Creature — Elf Shaman,Steve Prescott
Frost Titan,6,2010,0.42,#341aff,https://cards.scryfall.io/normal/front/0/6/065addc8-c235-43cc-a54f-b582826e5df1.jpg?1562449808,Creature — Giant,Mike Bierek
Gaea's Revenge,7,2010,0.43,#087500,https://cards.scryfall.io/normal/front/6/8/68f610a9-73b0-4ef8-b725-f3eee1b78fad.jpg?1562462800,Creature — Elemental,Kekai Kotaki
Garruk Wildspeaker,4,2010,3.92,#087500,https://cards.scryfall.io/normal/front/0/1/0135ada3-e5ae-4382-a717-872839bf1d5a.jpg?1562448828,Legendary Planeswalker — Garruk,Aleksi Briclot
Glacial Fortress,0,2010,3.51,#d78f42,https://cards.scryfall.io/normal/front/b/9/b9d18532-2247-4e33-a760-bc42a727e9f5.jpg?1562473135,Land,Franz Vohwinkel
Goblin Chieftain,3,2010,2.78,#ff1a1a,https://cards.scryfall.io/normal/front/7/8/78563012-b724-4b6e-94e9-8504d3f76d59.jpg?1562464737,Creature — Goblin,Sam Wood
Grave Titan,6,2010,5.47,#000000,https://cards.scryfall.io/normal/front/5/f/5fa6d385-6b8e-45ad-83dc-b477799c05a5.jpg?1562461387,Creature — Giant,Nils Hamm
Haunting Echoes,5,2010,0.17,#000000,https://cards.scryfall.io/normal/front/5/a/5aa96bc7-b92f-4df5-89b5-0793b9e56509.jpg?1562461072,Sorcery,Nils Hamm
Hoarding Dragon,5,2010,0.27,#ff1a1a,https://cards.scryfall.io/normal/front/1/f/1f8b6932-e62d-4d38-bd0e-9ab8d4a56762.jpg?1562452953,Creature — Dragon,Matt Cavotta
Honor of the Pure,2,2010,1.16,#ffffff,https://cards.scryfall.io/normal/front/3/8/3831cb3b-0983-403b-9e0a-4720222817c4.jpg?1562456093,Enchantment,Greg Staples
Inferno Titan,6,2010,1.66,#ff1a1a,https://cards.scryfall.io/normal/front/f/1/f1e4a028-6462-4373-9864-a8adfc78d52b.jpg?1562480719,Creature — Giant,Kev Walker
Jace Beleren,3,2010,2.44,#341aff,https://cards.scryfall.io/normal/front/4/4/441af393-2f70-4765-ae95-730c1e1d864f.jpg?1562457711,Legendary Planeswalker — Jace,Aleksi Briclot
