name,cmc,release_year,price,color,image
Adaptive Automaton,3,2011,4.36,#8c8d8b,https://cards.scryfall.io/normal/front/7/9/79e42ead-df6e-4181-ae2b-a2abfc3f1d7c.jpg?1562648323
Aegis Angel,6,2011,0.42,#ffffff,https://cards.scryfall.io/normal/front/4/c/4cdc19da-21af-45e7-ad1f-fcacd84a8d89.jpg?1562641765
Angelic Destiny,4,2011,4.92,#ffffff,https://cards.scryfall.io/normal/front/a/0/a0cd7438-fde2-4e26-9c34-52c476a971e9.jpg?1562653509
Arachnus Spinner,6,2011,0.2,#087500,https://cards.scryfall.io/normal/front/2/3/23321b80-d7e7-48fd-985d-1e9dc3adcd35.jpg?1562635621
Archon of Justice,5,2011,0.21,#ffffff,https://cards.scryfall.io/normal/front/d/c/dcaee06f-edc1-4c3a-9ecc-97882c1b911e.jpg?1562662698
Birds of Paradise,1,2011,14.32,#087500,https://cards.scryfall.io/normal/front/3/0/307d4236-1e54-43e3-83f1-063d49d16dda.jpg?1562637721
Bloodlord of Vaasgoth,5,2011,0.71,#000000,https://cards.scryfall.io/normal/front/1/2/125c5cff-d4e9-4655-9cc5-3ce21e577569.jpg?1562632963
Call to the Grave,5,2011,1.67,#000000,https://cards.scryfall.io/normal/front/5/e/5e1324b6-dba0-4aff-a403-a45d2b405f5b.jpg?1562644226
Cemetery Reaper,3,2011,0.77,#000000,https://cards.scryfall.io/normal/front/5/6/56494d1e-0d7e-4c29-942c-b376ff07cdf8.jpg?1562643186
Chandra's Phoenix,3,2011,0.33,#ff1a1a,https://cards.scryfall.io/normal/front/e/8/e8371c83-d7c5-4432-8511-cb3c1dc7d59f.jpg?1562663909
Chandra- the Firebrand,4,2011,1.79,#ff1a1a,https://cards.scryfall.io/normal/front/e/f/efb37556-186f-4660-8b75-c52ef16a6d8f.jpg?1562665298
Day of Judgment,4,2011,2.1,#ffffff,https://cards.scryfall.io/normal/front/1/e/1ed43ed8-9490-4433-843f-9020cd3470a1.jpg?1562635091
Djinn of Wishes,5,2011,0.1,#341aff,https://cards.scryfall.io/normal/front/7/4/74c621dd-9c60-4951-beaf-eb6b597c2f0f.jpg?1562647739
Doubling Chant,6,2011,0.29,#087500,https://cards.scryfall.io/normal/front/f/7/f71dc232-9b7e-4c0e-ac05-8e48b4936aa9.jpg?1562666461
Dragonskull Summit,0,2011,4.02,#d78f42,https://cards.scryfall.io/normal/front/f/9/f99375bc-7465-4f20-897c-1bc61f65de61.jpg?1562666564
Drowned Catacomb,0,2011,5.85,#d78f42,https://cards.scryfall.io/normal/front/3/9/39ad4371-6c81-4b4c-98eb-d5c289c8c0e2.jpg?1562639128
Druidic Satchel,3,2011,0.19,#8c8d8b,https://cards.scryfall.io/normal/front/f/d/fddb054f-0617-4afb-8ed1-a067f234f8e7.jpg?1562667920
Dungrove Elder,3,2011,0.88,#087500,https://cards.scryfall.io/normal/front/b/8/b8b4ebbf-1613-42a0-97ff-2f36dc8d984a.jpg?1562657111
Elvish Archdruid,3,2011,1.17,#087500,https://cards.scryfall.io/normal/front/9/9/99f37891-fac7-4868-a20b-0e879f7e0859.jpg?1562652178
Flameblast Dragon,6,2011,0.36,#ff1a1a,https://cards.scryfall.io/normal/front/c/0/c01ab5c8-f9b7-482c-a900-1388b727b89f.jpg?1562658134
Frost Titan,6,2011,0.48,#341aff,https://cards.scryfall.io/normal/front/3/5/358baa9f-390f-4b99-a274-d28f3bd56824.jpg?1562638614
Furyborn Hellkite,7,2011,2.53,#ff1a1a,https://cards.scryfall.io/normal/front/b/5/b5b735e5-da9d-4740-acff-aac9dd24334c.jpg?1562656626
Garruk- Primal Hunter,5,2011,1.69,#087500,https://cards.scryfall.io/normal/front/8/2/82d586bf-bed3-4390-b81d-d101c2ae524c.jpg?1562649477
Garruk's Horde,7,2011,0.22,#087500,https://cards.scryfall.io/normal/front/5/6/563c6959-9131-40a6-97ec-12baf6fb7ca0.jpg?1562643185
Gideon Jura,5,2011,0.49,#ffffff,https://cards.scryfall.io/normal/front/1/c/1c58b63c-e3e5-4575-849c-9a6a00821286.jpg?1562634640
Gideon's Avenger,3,2011,0.4,#ffffff,https://cards.scryfall.io/normal/front/b/b/bb0a0d33-8862-433b-a078-82472e5f9af0.jpg?1562657218
Glacial Fortress,0,2011,3.77,#d78f42,https://cards.scryfall.io/normal/front/8/b/8b3601d4-4091-465e-8c18-0cd717258211.jpg?1562650485
Goblin Chieftain,3,2011,2.14,#ff1a1a,https://cards.scryfall.io/normal/front/2/5/2540ec6b-9ffa-4ab0-bbd3-ddf1efd2db60.jpg?1562636039
Grand Abolisher,2,2011,26.97,#ffffff,https://cards.scryfall.io/normal/front/6/7/67e35a40-37dd-436c-b4ac-b17b04508c1f.jpg?1562645447
Grave Titan,6,2011,9.64,#000000,https://cards.scryfall.io/normal/front/5/c/5c70da33-ce5d-4b8b-9c1d-9a356a7e196f.jpg?1562644164
Grim Lavamancer,1,2011,0.25,#ff1a1a,https://cards.scryfall.io/normal/front/d/9/d9fbe2c9-31d5-4e54-922d-1bc6a865b251.jpg?1562662179
Honor of the Pure,2,2011,1.09,#ffffff,https://cards.scryfall.io/normal/front/6/5/650a6831-c352-4ca7-9f8f-43ea99a1cf33.jpg?1562645338
Inferno Titan,6,2011,1.43,#ff1a1a,https://cards.scryfall.io/normal/front/e/0/e04c24cb-3c3b-4a35-9694-db512bf394fa.jpg?1562662907
Jace- Memory Adept,5,2011,7.69,#341aff,https://cards.scryfall.io/normal/front/f/3/f3f2a5b6-c26c-4355-b760-d87f074a4921.jpg?1611886776
Jace's Archivist,3,2011,3.79,#341aff,https://cards.scryfall.io/normal/front/4/7/47c6b294-3840-4007-a4e3-67309f6581dd.jpg?1562641125
Lord of the Unreal,2,2011,0.94,#341aff,https://cards.scryfall.io/normal/front/b/0/b09140f6-fa75-4bee-9ca0-3a71cd2b5a7b.jpg?1562655677
Manabarbs,4,2011,1.58,#ff1a1a,https://cards.scryfall.io/normal/front/a/d/adf081d5-e644-4f46-8bc8-a754b089acb4.jpg?1562655472
Mesa Enchantress,3,2011,2.21,#ffffff,https://cards.scryfall.io/normal/front/6/9/691dcce5-ac3d-4970-b3ff-3db485f9f5c3.jpg?1562645857
Mind Unbound,6,2011,0.55,#341aff,https://cards.scryfall.io/normal/front/f/d/fd90cf36-9841-4adf-b5cb-0a7bf103eb93.jpg?1562667898
Monomania,5,2011,0.22,#000000,https://cards.scryfall.io/normal/front/6/a/6af53d7f-7f02-4c35-b6f4-7365d121ba54.jpg?1562645943
Pentavus,7,2011,0.13,#8c8d8b,https://cards.scryfall.io/normal/front/e/b/eb10af81-8ff3-4063-a67a-b760fdba95f8.jpg?1562664349
Personal Sanctuary,3,2011,0.23,#ffffff,https://cards.scryfall.io/normal/front/5/6/56f10d57-687d-4ee3-8226-bae525d56e9e.jpg?1562643201
Phantasmal Image,2,2011,3.52,#341aff,https://cards.scryfall.io/normal/front/9/8/98e7bf8f-dba7-4005-8cee-634c9153931d.jpg?1562652141
Primeval Titan,6,2011,5.74,#087500,https://cards.scryfall.io/normal/front/f/d/fd6ddbca-b943-49d6-b341-509bb72dd5a6.jpg?1562667078
Primordial Hydra,2,2011,13.12,#087500,https://cards.scryfall.io/normal/front/3/d/3dcc5521-df8f-4992-b93e-e430d8cc7715.jpg?1562639691
Quicksilver Amulet,4,2011,8.34,#8c8d8b,https://cards.scryfall.io/normal/front/0/4/04c0357a-e98d-4c49-83ad-d7a8ebe7e2d1.jpg?1562630982
Redirect,2,2011,0.23,#341aff,https://cards.scryfall.io/normal/front/e/f/efdb01f8-209d-4f8b-a280-b45e1ab0b880.jpg?1562665309
Reverberate,2,2011,2.89,#ff1a1a,https://cards.scryfall.io/normal/front/7/0/7062e2f3-bf4a-4a9a-962c-b45718a464bc.jpg?1562646882
Rites of Flourishing,3,2011,1.26,#087500,https://cards.scryfall.io/normal/front/0/e/0e3d43ce-8297-47f6-a877-d723b9b43fdb.jpg?1562632419
Rootbound Crag,0,2011,4.27,#d78f42,https://cards.scryfall.io/normal/front/2/7/27c2dd5e-465f-47fd-8f5d-fd65ba133164.jpg?1562636524
Royal Assassin,3,2011,2.43,#000000,https://cards.scryfall.io/normal/front/d/1/d12e8109-8215-46b5-a0af-fe7e4b6b10b0.jpg?1562660714
Rune-Scarred Demon,7,2011,6.92,#000000,https://cards.scryfall.io/normal/front/5/0/509e0f81-0591-4b28-978e-a2f1c46b7427.jpg?1562642309
Scrambleverse,8,2011,0.4,#ff1a1a,https://cards.scryfall.io/normal/front/2/b/2b61fa9d-3f69-4632-be0e-09924ca88501.jpg?1562637075
Skinshifter,2,2011,0.25,#087500,https://cards.scryfall.io/normal/front/d/5/d56c82ad-5eb1-4653-8f02-e9bb1f6f3154.jpg?1612316407
