name,cmc,release_year,price,color,image,type_line,artist
Adarkar Wastes,0,2024,0.49,#d78f42,https://cards.scryfall.io/normal/front/6/b/6be6ebf1-4e4c-4c6f-ace1-3fed55fe5c69.jpg?1717190855,Land,Piotr Dura
Aethergeode Miner,2,2024,0.1,#ffffff,https://cards.scryfall.io/normal/front/d/9/d95db4ba-449f-416d-96cf-a07ec7dbc647.jpg?1717190255,Creature — Dwarf Scout,Winona Nelson
Aether Refinery,6,2024,1.48,#ff1a1a,https://cards.scryfall.io/normal/front/9/4/94553de8-52e8-4209-919a-cdf9289af116.jpg?1718364522,Artifact,Daniel Ljunggren
Aethersphere Harvester,3,2024,0.1,#8c8d8b,https://cards.scryfall.io/normal/front/4/0/40a3e817-0533-43b9-9350-2872e029ec50.jpg?1717190710,Artifact — Vehicle,Christine Choi
Aethersquall Ancient,7,2024,0.06,#341aff,https://cards.scryfall.io/normal/front/8/e/8e1b959f-bc00-422f-b59a-3e9d31ab7c00.jpg?1717190296,Creature — Leviathan,Sam Burley
Aetherstorm Roc,4,2024,0.09,#ffffff,https://cards.scryfall.io/normal/front/c/b/cb39b0ed-75d8-403a-ab0e-3e876ee7a38c.jpg?1717190258,Creature — Bird,Scott Murphy
Aethertide Whale,6,2024,0.08,#341aff,https://cards.scryfall.io/normal/front/b/9/b995e52d-c10b-45fb-81b8-bf0cf4890054.jpg?1717190299,Creature — Whale,Steven Belledin
Aetherworks Marvel,4,2024,0.21,#8c8d8b,https://cards.scryfall.io/normal/front/6/c/6cfdbd5f-24fe-44c3-aa9e-f14445c16d7a.jpg?1717190715,Legendary Artifact,James Paick
Aggressive Biomancy,2,2024,0.34,#d78f42,https://cards.scryfall.io/normal/front/2/4/24cf121b-c6ad-4425-a2fc-7ce185cd30ef.jpg?1717189943,Sorcery,Dominik Mayer
Akroma's Will,4,2024,10.79,#ffffff,https://cards.scryfall.io/normal/front/0/6/0663dcc8-2f72-4439-bfa9-06c4ef06c54d.jpg?1717190262,Instant,Antonio José Manzanedo
All Is Dust,7,2024,4.08,#8c8d8b,https://cards.scryfall.io/normal/front/6/0/600518f5-4598-436d-9513-3d32adfc93f9.jpg?1717190210,Kindred Sorcery — Eldrazi,Jason Felix
Angelic Aberration,6,2024,0.33,#ffffff,https://cards.scryfall.io/normal/front/c/7/c79a5bbe-7b70-4b05-a336-9b2bcb2f2b8f.jpg?1717189811,Creature — Eldrazi Angel,Helge C. Balzer
