name,cmc,release_year,price,color,image,type_line,artist
Abbot of the Sacred Meeple,2,2024,1.92,#ffffff,https://cards.scryfall.io/normal/front/8/2/8290c0d0-a580-4f89-bc93-6a84ca709ddd.jpg?1723262398,Creature — Human Monk,Jair Medina
Abrupt Decay,2,2024,1.23,#d78f42,https://cards.scryfall.io/normal/front/7/4/74379bab-1bf2-4dcd-b055-d2ac0bf2c390.jpg?1723227446,Instant,Svetlin Velinov
A Girl and Her Dogs,5,2024,1.0,#ffffff,https://cards.scryfall.io/normal/front/4/0/40a5e12b-9fe9-40ee-8114-08241668765c.jpg?1723262311,Creature — Human,Sara Pitre-Dorocher
Alberix- the Trade Planet,4,2024,1.28,#341aff,https://cards.scryfall.io/normal/front/8/c/8c134dea-ee5b-4d3a-a2fb-7b0910443790.jpg?1723502923,World Enchantment,Thomas Ricci
All-Star Kicker,2,2024,0.37,#ff1a1a,https://cards.scryfall.io/normal/front/0/8/08b0e80a-7590-4ce3-b0ec-fddafd60b7d7.jpg?1723502916,Creature — Orc Athlete,Marika Lord
Anax and Cymede & Kynaios and Tiro,5,2024,2.53,#d78f42,https://cards.scryfall.io/normal/front/a/0/a04f917d-deee-45ad-a5c4-f5b67c1471fb.jpg?1723502908,Legendary Creature — Human Soldier,Marika Lord
Arcanum Things,2,2024,0.3,#ffffff,https://cards.scryfall.io/normal/front/c/9/c9d23521-8e35-4547-971a-d06416c84a71.jpg?1723502872,Artifact — Equipment,Kevin Soler
Archon of Emeria,3,2024,1.25,#ffffff,https://cards.scryfall.io/normal/front/1/9/192eab08-3fec-46cb-9237-2866e3bd08b8.jpg?1723226200,Creature — Archon,Ryan Pancoast
Arena,0,2024,2.09,#8c8d8b,https://cards.scryfall.io/normal/front/2/a/2a972559-249a-4a35-92e6-71e7e0474c9d.jpg?1723006662,Land,Charles Urbach
Avacyn's Collar- the Symbol of Her Church,2,2024,0.76,#ffffff,https://cards.scryfall.io/normal/front/7/e/7e4c67bd-a87f-4938-8a57-46946263cd44.jpg?1723006770,Artifact — Equipment,Olga Tereshenko
Back to Basics,3,2024,4.97,#341aff,https://cards.scryfall.io/normal/front/e/3/e325bdc8-0fc9-4331-a2a8-acc6c51a5e5c.jpg?1723220980,Enchantment,Andrew Robinson
Ball Lightning,3,2024,1.07,#ff1a1a,https://cards.scryfall.io/normal/front/0/a/0aab429c-0ac5-4829-a1e5-aad379851e20.jpg?1723222701,Creature — Elemental,Dave Dorman
Blurry Visionary,4,2024,1.13,#341aff,https://cards.scryfall.io/normal/front/4/4/44940856-84dd-413f-ab3c-5bf9ebafdddb.jpg?1726175759,Creature — Human Wizard,Sergei Ryzhov
Bolas's Citadel,6,2024,4.28,#000000,https://cards.scryfall.io/normal/front/5/a/5a16665a-2600-460a-a5ad-417930fda62c.jpg?1723226823,Legendary Artifact,Jonas De Ro
Bolshack Dragon,6,2024,1.85,#ff1a1a,https://cards.scryfall.io/normal/front/8/8/88ef7207-30f9-4fd1-95dc-9bf7ae0c9511.jpg?1723297899,Creature — Armored Dragon,Marco Espinosa
Boltfire,1,2024,1.12,#ff1a1a,https://cards.scryfall.io/normal/front/1/a/1ae6e66b-d925-431e-ab81-849e969b595b.jpg?1723262856,Sorcery,Marika Lord
Boulder Jockey,3,2024,0.58,#ff1a1a,https://cards.scryfall.io/normal/front/f/b/fb089ab0-3d40-4d5c-beba-6251d1591ffe.jpg?1723702565,Creature — Goblin,Marika Lord
Brigid- Who's Seen Some Stuff,4,2024,2.0,#ffffff,https://cards.scryfall.io/normal/front/e/8/e838ae3b-c71b-4134-b60a-c467c5f77940.jpg?1723263040,Legendary Creature — Kithkin Archer,Alina Marica
Built Bear,2,2024,1.62,#087500,https://cards.scryfall.io/normal/front/5/7/571ac996-8fbb-4315-820e-5023db0ae972.jpg?1723320270,Creature — Bear,Bogdan Marica
Call from the Grave,3,2024,0.84,#000000,https://cards.scryfall.io/normal/front/1/8/183aca7b-62ce-4891-93d1-f60fc205801a.jpg?1723263165,Sorcery,Alex Tarca
Can't Quite Recall,1,2024,1.99,#341aff,https://cards.scryfall.io/normal/front/e/6/e65a3a97-88ab-4949-9aa5-3dd43204a804.jpg?1723263224,Instant,David Borba
Catch of the Day,6,2024,0.53,#341aff,https://cards.scryfall.io/normal/front/1/a/1a701069-7fdd-4fce-858c-1d9e6fe9410d.jpg?1723263380,Creature — Serpent,Nadezhda Tikhomirova
Cathars' Crusade,5,2024,5.19,#ffffff,https://cards.scryfall.io/normal/front/a/f/af1254a3-dc39-4365-ab53-c18d67cb0edf.jpg?1723226235,Enchantment,Karl Kopinski
Champion of the Hareish,1,2024,0.84,#ffffff,https://cards.scryfall.io/normal/front/f/8/f824505d-9e19-4150-a26d-0cd0db4807a4.jpg?1723263442,Creature — Rabbit Soldier,Sara Pitre-Dorocher
Chatzuk- Mighty Guitarist,3,2024,2.25,#d78f42,https://cards.scryfall.io/normal/front/1/9/193afb87-9695-416a-9b1c-7b362a4a99a1.jpg?1723263501,Legendary Creature — Human Bard,Marco Wulfr
Chea- Friend to Maybe Too Many,4,2024,2.13,#d78f42,https://cards.scryfall.io/normal/front/4/f/4fab6c4b-bb56-4705-89f6-598a0de519fb.jpg?1723296864,Legendary Creature — Human Wizard,Stephanie Bouchard
City of Brass,0,2024,14.55,#8c8d8b,https://cards.scryfall.io/normal/front/1/0/10eb8117-c009-4d50-b3fb-4879081f38be.jpg?1723224895,Land,Ron Walotsky
Cleaver Blow,2,2024,1.2,#000000,https://cards.scryfall.io/normal/front/9/b/9b588e61-ef9b-4603-9f38-b72e9f0edaf5.jpg?1723264013,Instant,Drew Moss
Collected Company,4,2024,3.51,#087500,https://cards.scryfall.io/normal/front/f/4/f41a69ae-a0c4-4053-a795-940d76226e08.jpg?1723223463,Instant,Franz Vohwinkel
Collector Ouphe,2,2024,1.94,#087500,https://cards.scryfall.io/normal/front/1/2/121c4390-eae2-4066-bd27-609ba51e6d05.jpg?1723227281,Creature — Ouphe,Filip Burburan
Comet- Stellar Pup,4,2024,3.96,#d78f42,https://cards.scryfall.io/normal/front/c/3/c3385549-0342-4c51-9bae-888d34cf0087.jpg?1723006879,Legendary Planeswalker — Comet,Jeff Miracola
Common Black Removal,4,2024,0.82,#000000,https://cards.scryfall.io/normal/front/4/4/44ba16ca-bc75-4d7b-9f40-547ff76ac02b.jpg?1723264207,Instant,Michelle Esposito
Containment Priest,2,2024,1.34,#ffffff,https://cards.scryfall.io/normal/front/3/8/384e5164-9012-41e0-998a-dbdad486b4a1.jpg?1723226257,Creature — Human Cleric,John Stanko
Contamination,3,2024,4.17,#000000,https://cards.scryfall.io/normal/front/5/5/55b2a121-e0d8-46d6-b1dc-fd857ea109f4.jpg?1723221637,Enchantment,Stephen Daniele
Crackdown,3,2024,2.43,#ffffff,https://cards.scryfall.io/normal/front/5/d/5dbc1e48-b148-41a5-b0aa-50aaa7d0d5e8.jpg?1723220508,Enchantment,Rebecca Guay
Crashing Footfalls,0,2024,6.91,#087500,https://cards.scryfall.io/normal/front/a/f/af38d0d7-33cf-4976-a145-2ad051353ed1.jpg?1723223476,Sorcery,Dan Murayama Scott
Creepy Crawler,4,2024,0.52,#000000,https://cards.scryfall.io/normal/front/8/c/8cd1bb9e-dde2-4a8e-9676-a69ec2796fca.jpg?1723264236,Creature — Spider,Marika Lord
Cunning Wish,3,2024,1.61,#341aff,https://cards.scryfall.io/normal/front/8/2/826e1acd-776a-4293-a119-8e32487acfb9.jpg?1723221075,Instant,Jim Nelson
Dack Fayden,3,2024,3.38,#d78f42,https://cards.scryfall.io/normal/front/e/0/e056904d-4bd6-41c9-93e9-6cd4860dbfcb.jpg?1723227463,Legendary Planeswalker — Dack,Eric Deschamps
Dairy Cow,1,2024,1.6,#087500,https://cards.scryfall.io/normal/front/9/0/90489370-dac6-4e45-a837-d9cb6c8e66b2.jpg?1723264297,Creature — Cow,Andréa Blouin
Dakmor Sorceress,6,2024,0.84,#000000,https://cards.scryfall.io/normal/front/7/7/776faedb-9709-48f7-a669-cc47321f25f3.jpg?1723221689,Creature — Human Wizard,Matthew D. Wilson
Day of Judgment,4,2024,0.89,#ffffff,https://cards.scryfall.io/normal/front/e/f/ef2e4c6a-fb82-4633-bc59-7c674f85ba34.jpg?1723226279,Sorcery,Vincent Proce
Deathrite Shaman,1,2024,2.5,#d78f42,https://cards.scryfall.io/normal/front/5/5/5514ef3b-8214-43c0-b245-8b7993918858.jpg?1723227486,Creature — Elf Shaman,Steve Argyle
Death's Shadow,1,2024,3.11,#000000,https://cards.scryfall.io/normal/front/1/5/15c706a3-d100-489b-a069-b0b152afa994.jpg?1723221709,Creature — Avatar,Howard Lyon
Defender of the Queue,4,2024,0.44,#ffffff,https://cards.scryfall.io/normal/front/4/3/43ac96ca-c25a-47fe-9194-ff3d2bf07854.jpg?1723386172,Creature — Centaur Soldier,Marika Lord
Displacer Kitten,4,2024,9.73,#341aff,https://cards.scryfall.io/normal/front/9/1/91809c68-94ec-4825-8ed9-bdd77b113ea0.jpg?1723226632,Creature — Cat Beast,Campbell White
Don't Worry About It,3,2024,0.85,#d78f42,https://cards.scryfall.io/normal/front/d/7/d7005db6-21d1-4a3c-acc1-0f7727dfce38.jpg?1723382507,Enchantment — Aura,Jean-Christophe Drolet
Doomsday,3,2024,2.91,#000000,https://cards.scryfall.io/normal/front/9/1/91c977bc-c575-46be-a99a-31e49c7c158b.jpg?1723221944,Sorcery,Adrian Smith
Duelists' Convocation International,3,2024,0.29,#341aff,https://cards.scryfall.io/normal/front/d/a/da56c50e-235c-4e55-92f8-bf6cdf39fe79.jpg?1723374876,Enchantment,Pedro Maia
Dwarven Confluencer,3,2024,0.71,#ff1a1a,https://cards.scryfall.io/normal/front/9/6/96cdc702-a314-4f97-96ab-998eb03cad4d.jpg?1726175773,Creature — Dwarf,Marika Lord
Echo of Eons,6,2024,11.16,#341aff,https://cards.scryfall.io/normal/front/e/a/eabe1af2-d26e-4086-a71d-f818fb41fa25.jpg?1723253688,Sorcery,Victor Adame Minguez
Elvish Reclaimer,1,2024,4.57,#087500,https://cards.scryfall.io/normal/front/3/8/3826a901-7219-46d1-acae-07a981877149.jpg?1723223508,Creature — Elf Warrior,Victor Adame Minguez
Engineered Explosives,0,2024,3.83,#8c8d8b,https://cards.scryfall.io/normal/front/f/e/feaba0f4-de2b-46a5-a728-04c8d699c523.jpg?1723224331,Artifact,Ron Spears
Ensnaring Bridge,3,2024,6.22,#8c8d8b,https://cards.scryfall.io/normal/front/6/7/67a052ea-d717-4c01-87bb-9e4d7f66785e.jpg?1723320031,Artifact,Pete Venters
Equilibrium,3,2024,1.45,#341aff,https://cards.scryfall.io/normal/front/f/d/fd1a9d08-0b43-42c3-947c-16e369d691f8.jpg?1723221230,Enchantment,Don Hazeltine
Erratic Portal,4,2024,0.93,#8c8d8b,https://cards.scryfall.io/normal/front/d/c/dc4755b5-30d0-4c72-ba5b-c7ec430fff2c.jpg?1723224379,Artifact,Ioan Dumitrescu
Ethersworn Canonist,2,2024,2.08,#ffffff,https://cards.scryfall.io/normal/front/a/b/abfbf22d-a5ab-4a36-8711-13b758f96089.jpg?1723226324,Artifact Creature — Human Cleric,Izzy
Fetching Garden,0,2024,3.89,#8c8d8b,https://cards.scryfall.io/normal/front/3/7/372ed92a-76e3-472e-b665-b1abfecdba93.jpg?1723386574,Land — Forest Plains,Sophie Rochon
Final Fortune,2,2024,10.62,#ff1a1a,https://cards.scryfall.io/normal/front/0/b/0be24cbb-233b-4007-b980-5aa77daaa513.jpg?1723222793,Instant,Greg Hildebrandt & Tim Hildebrandt
Flanking Licid,2,2024,0.46,#ff1a1a,https://cards.scryfall.io/normal/front/2/1/21bda5a9-4faf-4f7c-a04b-20934657f8ee.jpg?1723380853,Summon Licid,Nikolai Maslakov
Flavor Disaster,5,2024,0.23,#087500,https://cards.scryfall.io/normal/front/c/a/ca8606d7-0da5-4fb5-b541-a129005e3342.jpg?1723381644,Enchantment Creature — Elemental Pirate,Drew Moss
Fludge- Gunk Guardian,5,2024,0.64,#d78f42,https://cards.scryfall.io/normal/front/4/a/4adfa1f5-5d5f-4d94-827a-4be99bb15dc3.jpg?1723382862,Legendary Creature — Slug Ooze,Sara Leal
Flusterstorm,1,2024,10.43,#341aff,https://cards.scryfall.io/normal/front/3/0/308cab5e-a374-4077-bf82-2e89f5279ba9.jpg?1723221254,Instant,Erica Yang
Friarball,4,2024,0.99,#ffffff,https://cards.scryfall.io/normal/front/4/d/4d97d719-3a1e-4160-b393-71e289e005e0.jpg?1723373748,Sorcery,Marc-André Dupont
Future Sight,5,2024,1.47,#341aff,https://cards.scryfall.io/normal/front/0/8/0856f657-6664-4e33-8615-e005cb211baf.jpg?1723072155,Enchantment,Matt Cavotta
Giver of Runes,1,2024,4.7,#ffffff,https://cards.scryfall.io/normal/front/5/a/5adb3391-06cc-4fd2-9e72-a3500940b450.jpg?1723220528,Creature — Kor Cleric,Seb McKinnon
Glade of the Pump Spells,3,2024,1.0,#087500,https://cards.scryfall.io/normal/front/3/0/303e4892-49bc-4b5e-a769-2661b7797821.jpg?1723381713,Land,Christine Couture
Glimpse- the Unthinkable,4,2024,0.56,#d78f42,https://cards.scryfall.io/normal/front/f/c/fc34e23e-6de5-43ea-8714-a93cc3714069.jpg?1723206196,Legendary Creature — Illusion Rogue,Lena Zykova
Gobland,0,2024,0.96,#ff1a1a,https://cards.scryfall.io/normal/front/0/8/081ec377-30f4-4eb3-8801-78426045d100.jpg?1727910087,Land Creature — Mountain Goblin,Anik Sikder
Goblin Charbelcher,4,2024,2.48,#8c8d8b,https://cards.scryfall.io/normal/front/1/a/1a825f83-0f7b-4ecd-857f-a232f225b274.jpg?1723224386,Artifact,Stephen Tappin
Goblin Guide,1,2024,1.69,#ff1a1a,https://cards.scryfall.io/normal/front/1/a/1aac57a6-29c0-4ccb-b825-b1e04ae0ea3e.jpg?1723009570,Creature — Goblin Scout,Filip Burburan
Goblin King,3,2024,4.22,#ff1a1a,https://cards.scryfall.io/normal/front/6/5/6524a705-d6b0-405d-a10c-d3e46224e8fb.jpg?1723222839,Creature — Goblin,Phil Foglio
Grafdigger's Cage,1,2024,2.12,#8c8d8b,https://cards.scryfall.io/normal/front/1/b/1b9a5015-9066-4150-8fce-79601d6612ca.jpg?1723224399,Artifact,Nils Hamm
Greater Good,4,2024,2.95,#087500,https://cards.scryfall.io/normal/front/6/3/6378a9f5-9fe4-4e41-9bde-4eb4081bfdc4.jpg?1723223575,Enchantment,Douglas Shuler
Halving Season,5,2024,0.41,#000000,https://cards.scryfall.io/normal/front/6/3/63c0e008-58df-4a22-aa09-c33ee6daa923.jpg?1723379657,Enchantment,Drew Moss
Heart of a Duelist,2,2024,2.41,#341aff,https://cards.scryfall.io/normal/front/e/5/e5517a3a-8914-4649-96ed-5db28fcdc59d.jpg?1723374938,Enchantment,Drew Moss
Hish of the Snake Cult,5,2024,0.67,#d78f42,https://cards.scryfall.io/normal/front/2/b/2bbaddee-5d3d-4b86-b3cc-fefb8e0ecd76.jpg?1723382960,Legendary Creature — Snake,Marco Dotti
Hogaak- Arisen Necropolis,7,2024,2.11,#d78f42,https://cards.scryfall.io/normal/front/3/f/3f0c93e1-1057-42b9-8503-10ab757df2e8.jpg?1723224117,Legendary Creature — Avatar,Vincent Proce
Hollow One,5,2024,0.91,#8c8d8b,https://cards.scryfall.io/normal/front/a/f/af323aac-9796-4803-b08b-08f8d72ae074.jpg?1723227738,Artifact Creature — Golem,Anthony Palumbo
Hostage Taker,4,2024,1.92,#d78f42,https://cards.scryfall.io/normal/front/4/6/468f63f2-d783-43e4-9e33-3d9d81dd8642.jpg?1723224154,Creature — Human Pirate,Wayne Reynolds
Hullbreacher,3,2024,3.29,#341aff,https://cards.scryfall.io/normal/front/c/2/c2a0530f-7b72-4a33-8eec-bcd75d9c3045.jpg?1723221298,Creature — Merfolk Pirate,Sidharth Chaturvedi
Ice-Fang Coatl,2,2024,1.68,#d78f42,https://cards.scryfall.io/normal/front/9/3/93e53510-e7fc-432b-9274-a790cf826b02.jpg?1723227499,Snow Creature — Snake,Filip Burburan
Immersturm Battlefield,2,2024,1.07,#ff1a1a,https://cards.scryfall.io/normal/front/0/6/06aea80c-e74a-4376-ac39-add04c803991.jpg?1723381036,Enchantment — Realm,Thomas Ricci
Indicate,0,2024,1.06,#8c8d8b,https://cards.scryfall.io/normal/front/e/3/e328353e-d43f-46f7-ab4e-d3e1f3e57c7e.jpg?1723383483,Sorcery,Drew Moss
Intangible Vibes,2,2024,0.98,#ffffff,https://cards.scryfall.io/normal/front/2/5/2563d76b-0613-42af-96dd-37ead0051f1b.jpg?1723373840,Enchantment,Marisa Oh
