name,cmc,release_year,price,color,image,type_line,artist
Black Sun's Zenith,2,2011,1.17,#000000,https://cards.scryfall.io/normal/front/0/3/03bdcf52-50b8-42c0-9665-931d83f5f314.jpg?1783941385,Sorcery,Daniel Ljunggren
Blightsteel Colossus,12,2011,38.52,#8c8d8b,https://cards.scryfall.io/normal/front/7/9/7928bb14-7631-4830-a756-26d1ea832ba2.jpg?1783941371,Artifact Creature — Phyrexian Golem,Chris Rahn
Blue Sun's Zenith,3,2011,2.08,#341aff,https://cards.scryfall.io/normal/front/a/8/a8150f78-e187-4949-9746-fec64d1675d1.jpg?1783941389,Instant,Izzy
Bonehoard,4,2011,0.34,#8c8d8b,https://cards.scryfall.io/normal/front/e/1/e14613bc-0083-48d6-ac10-b2839657e84b.jpg?1783941370,Artifact — Equipment,Chippy
Consecrated Sphinx,6,2011,30.49,#341aff,https://cards.scryfall.io/normal/front/b/7/b7f6b20c-9871-433c-8557-44493447e914.jpg?1783941389,Creature — Sphinx,Mark Zug
Contested War Zone,0,2011,0.28,#8c8d8b,https://cards.scryfall.io/normal/front/b/e/bee9b696-5203-4235-9bdd-f2a389d69813.jpg?1783941360,Land,Scott Chou
Creeping Corrosion,4,2011,5.47,#087500,https://cards.scryfall.io/normal/front/0/5/05d5a7b3-18b6-4b1d-85cc-2253e605390c.jpg?1783941377,Sorcery,Ryan Pancoast
Cryptoplasm,3,2011,0.6,#341aff,https://cards.scryfall.io/normal/front/1/5/15a31710-c1d6-45e4-9dbe-a75453a74da0.jpg?1783941388,Creature — Shapeshifter,Eric Deschamps
Darksteel Plate,3,2011,7.29,#8c8d8b,https://cards.scryfall.io/normal/front/b/a/ba60731f-ed96-4eba-b2de-94965745f35a.jpg?1783941370,Artifact — Equipment,Daniel Ljunggren
Decimator Web,4,2011,0.51,#8c8d8b,https://cards.scryfall.io/normal/front/f/a/fa1fe29f-cf84-45d3-b8fe-e4de1d2bebbf.jpg?1783941370,Artifact,Daniel Ljunggren
Distant Memories,4,2011,0.3,#341aff,https://cards.scryfall.io/normal/front/1/5/158da0aa-8317-498b-89ed-2f84317fe256.jpg?1783941389,Sorcery,Karl Kopinski
Galvanoth,5,2011,0.34,#ff1a1a,https://cards.scryfall.io/normal/front/f/c/fc1a696b-642a-419f-bd43-09af39a9401b.jpg?1783941380,Creature — Beast,Kev Walker
Glissa- the Traitor,3,2011,3.35,#d78f42,https://cards.scryfall.io/normal/front/7/5/755e0fbf-4f00-4b05-a535-27e78e96d6b6.jpg?1783941371,Legendary Creature — Phyrexian Zombie Elf,Chris Rahn
Green Sun's Zenith,1,2011,27.96,#087500,https://cards.scryfall.io/normal/front/0/2/02335747-54e3-4827-ae19-4e362863da9b.jpg?1783941375,Sorcery,David Rapoza
Hellkite Igniter,7,2011,0.29,#ff1a1a,https://cards.scryfall.io/normal/front/8/3/83715873-9330-4d29-b106-cf1e6a66d1e9.jpg?1783941379,Creature — Dragon,Jason Chan
Hero of Bladehold,4,2011,9.48,#ffffff,https://cards.scryfall.io/normal/front/8/a/8a3853ec-e307-46e0-96d7-0706b5c45c5e.jpg?1783941393,Creature — Human Knight,Austin Hsu
Hero of Oxid Ridge,4,2011,0.57,#ff1a1a,https://cards.scryfall.io/normal/front/1/a/1a516bce-3d2d-4e0f-afc7-27be3d88848c.jpg?1783941379,Creature — Human Knight,Eric Deschamps
Inkmoth Nexus,0,2011,13.78,#8c8d8b,https://cards.scryfall.io/normal/front/e/c/ec50c1c3-885e-47d3-ada7-cc0edbf09df1.jpg?1783941359,Land,Jung Park
Knowledge Pool,6,2011,1.09,#8c8d8b,https://cards.scryfall.io/normal/front/3/9/393454c2-b256-4a6e-9bc2-56a47cab5073.jpg?1783941368,Artifact,Mike Bierek
Magnetic Mine,4,2011,0.31,#8c8d8b,https://cards.scryfall.io/normal/front/5/e/5ed2f7dc-3ada-4490-8c1f-1d03bd4840f5.jpg?1783941368,Artifact,David Rapoza
Massacre Wurm,6,2011,5.38,#000000,https://cards.scryfall.io/normal/front/c/d/cdd32ec2-02a8-41fc-bf45-c9585bb2b3ee.jpg?1783941383,Creature — Phyrexian Wurm,Jason Chan
