name,cmc,release_year,price,color,image
Altar of Dementia,2,2019,7.66,#8c8d8b,https://cards.scryfall.io/normal/front/1/6/169356e0-46dc-4096-8e66-36726454f104.jpg?1562202433
Archmage's Charm,3,2019,8.25,#341aff,https://cards.scryfall.io/normal/front/5/7/57b852b6-4388-4a41-a5c0-bba37a5c1451.jpg?1562201300
Aria of Flame,3,2019,0.45,#ff1a1a,https://cards.scryfall.io/normal/front/9/5/95a96eb1-f87c-4b1d-82c7-f239bcbc62b8.jpg?1562201796
Astral Drift,3,2019,0.1,#ffffff,https://cards.scryfall.io/normal/front/5/b/5be49ed9-a078-4a57-a84a-03cfaf184fef.jpg?1562201063
Ayula- Queen Among Bears,2,2019,0.34,#087500,https://cards.scryfall.io/normal/front/c/0/c046dfb0-9ca3-4219-a6b0-d7503bc2fbd0.jpg?1562202020
Ayula's Influence,3,2019,0.31,#087500,https://cards.scryfall.io/normal/front/1/b/1b9296ca-39a8-4aad-be92-0a56c704e950.jpg?1562202027
Bazaar Trademage,3,2019,0.09,#341aff,https://cards.scryfall.io/normal/front/9/d/9d75faf7-fc27-4fc2-9e80-e35232c42542.jpg?1615473180
Cabal Therapist,1,2019,0.24,#000000,https://cards.scryfall.io/normal/front/e/a/eaa8f485-0f3d-4a0b-bcdf-6c27d1d2bce0.jpg?1562201571
Cloudshredder Sliver,2,2019,2.36,#d78f42,https://cards.scryfall.io/normal/front/2/7/27933191-dad6-43d5-b02e-a94ad8033f2f.jpg?1562202289
Collected Conjuring,4,2019,0.12,#d78f42,https://cards.scryfall.io/normal/front/b/a/ba1d0ac1-e805-4213-a46e-cf124680d082.jpg?1590512059
Collector Ouphe,2,2019,4.93,#087500,https://cards.scryfall.io/normal/front/0/8/085107a2-c1ec-473c-81d8-23e5a7197776.jpg?1562202038
Cordial Vampire,2,2019,1.71,#000000,https://cards.scryfall.io/normal/front/a/9/a90a1c44-ee0f-4c12-bfaf-6f371bcce167.jpg?1562201588
Crashing Footfalls,0,2019,1.58,#087500,https://cards.scryfall.io/normal/front/a/8/a8cca2a2-69e3-4136-936c-7a2774c19351.jpg?1562202050
Dead of Winter,3,2019,0.31,#000000,https://cards.scryfall.io/normal/front/f/4/f480df6d-e227-4ccb-ad6d-a4ad48a360ad.jpg?1562201599
Deep Forest Hermit,5,2019,1.21,#087500,https://cards.scryfall.io/normal/front/3/2/3287775f-7bec-4e8f-bb8d-daf5ce92e4a8.jpg?1562202056
Echo of Eons,6,2019,12.21,#341aff,https://cards.scryfall.io/normal/front/f/f/ff590af2-2d6c-4f16-a9b8-1a6dab6e9ad5.jpg?1562201343
Eladamri's Call,2,2019,7.19,#d78f42,https://cards.scryfall.io/normal/front/e/a/ea751fe2-b64a-4265-8885-a9016b29b5b3.jpg?1562202300
Endling,4,2019,0.22,#000000,https://cards.scryfall.io/normal/front/3/3/337b6047-3f8d-4530-9e45-b5ce397a2829.jpg?1562201628
Fallen Shinobi,5,2019,0.81,#d78f42,https://cards.scryfall.io/normal/front/9/0/900c9dfd-ece1-4b09-a801-0fa05e1994b9.jpg?1562202313
Fiery Islet,0,2019,8.8,#d78f42,https://cards.scryfall.io/normal/front/a/3/a3aab13c-9d9d-4507-ae5d-da979990ae1b.jpg?1562202552
Flusterstorm,1,2019,26.31,#341aff,https://cards.scryfall.io/normal/front/4/6/46a00405-13ad-4531-9bfb-fea0ca57f196.jpg?1562644258
Force of Despair,3,2019,1.87,#000000,https://cards.scryfall.io/normal/front/8/f/8f497b0d-4448-4201-bd55-c147da1a216d.jpg?1562201644
Force of Negation,3,2019,27.77,#341aff,https://cards.scryfall.io/normal/front/e/9/e9be371c-c688-44ad-ab71-bd4c9f242d58.jpg?1562201382
Force of Rage,3,2019,0.13,#ff1a1a,https://cards.scryfall.io/normal/front/0/a/0aaa2d10-3725-4b3a-94fe-3c6648db9a2a.jpg?1562201832
Force of Vigor,4,2019,30.2,#087500,https://cards.scryfall.io/normal/front/0/1/017c415b-d635-43c6-92b8-8c95d1c4ff8d.jpg?1562202072
Force of Virtue,4,2019,0.51,#ffffff,https://cards.scryfall.io/normal/front/9/7/9736d6f4-5ff6-4006-b45d-8e630382d160.jpg?1562201106
Future Sight,5,2019,0.24,#341aff,https://cards.scryfall.io/normal/front/6/3/639cb483-ffe2-4abc-a050-5cdc8aebd5a2.jpg?1587844658
Genesis,5,2019,0.46,#087500,https://cards.scryfall.io/normal/front/9/b/9b741d88-513a-4f47-a4fd-af42c5e44b6d.jpg?1562202086
Giver of Runes,1,2019,7.21,#ffffff,https://cards.scryfall.io/normal/front/4/e/4e117771-5a8b-4812-b487-32ba34b7f724.jpg?1562201124
Goblin Engineer,2,2019,6.28,#ff1a1a,https://cards.scryfall.io/normal/front/a/5/a55c4d47-5252-40af-961d-c08bc688028a.jpg?1562201855
Hall of Heliod's Generosity,0,2019,7.92,#ffffff,https://cards.scryfall.io/normal/front/b/5/b5cbd10a-b9a6-4c00-8280-72bb4add4390.jpg?1562202569
