name,cmc,release_year,price,color,image,type_line,artist
Adeline- Resplendent Cathar,3,2021,9.84,#ffffff,https://cards.scryfall.io/normal/front/1/8/18092f68-b96e-4084-9eba-b240d2195d81.jpg?1634346539,Legendary Creature — Human Knight,Bryan Sola
Angelfire Ignition,3,2021,0.27,#d78f42,https://cards.scryfall.io/normal/front/8/b/8ba4c7a2-6243-43ed-8c1c-e3edee43a583.jpg?1636225070,Sorcery,Yeong-Hao Han
Arlinn- the Pack's Hope // Arlinn- the Moon's Fury,4,2021,2.18,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Planeswalker — Arlinn // Legendary Planeswalker — Arlinn,Anna Steinbauer
Augur of Autumn,3,2021,3.28,#087500,https://cards.scryfall.io/normal/front/6/a/6aa98767-ae27-4cf0-98ea-93e659f160f4.jpg?1636223832,Creature — Human Druid,Billy Christian
Bloodline Culling,3,2021,0.09,#000000,https://cards.scryfall.io/normal/front/f/a/fac827f7-a587-4adf-8408-2d9ccd9c1343.jpg?1634349575,Instant,Liiga Smilshkalne
Bloodthirsty Adversary,2,2021,3.82,#ff1a1a,https://cards.scryfall.io/normal/front/e/d/ed557e51-32bd-476f-99f8-d7b1738495c5.jpg?1634350410,Creature — Vampire,Heonhwa Choe
Briarbridge Tracker,3,2021,0.08,#087500,https://cards.scryfall.io/normal/front/e/2/e215a7bd-112f-4228-a99e-5a8cb4be5cee.jpg?1636223950,Creature — Human Scout,Mathias Kollros
Brutal Cathar // Moonrage Brute,3,2021,4.12,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Creature — Human Soldier Werewolf // Creature — Werewolf,Karl Kopinski
Burn Down the House,5,2021,0.66,#ff1a1a,https://cards.scryfall.io/normal/front/2/0/20ded7af-8086-465e-a980-3099217d324c.jpg?1634350460,Sorcery,Campbell White
Can't Stay Away,2,2021,0.31,#d78f42,https://cards.scryfall.io/normal/front/3/c/3ccfebf1-add1-4f62-bffa-9023dea5b7c4.jpg?1636683827,Sorcery,Milivoj Ćeran
Champion of the Perished,1,2021,2.08,#000000,https://cards.scryfall.io/normal/front/8/d/8d8e6941-ad6e-4d2f-93c0-be79e75bdf06.jpg?1634349628,Creature — Zombie,Kekai Kotaki
Consuming Blob,5,2021,0.33,#087500,https://cards.scryfall.io/normal/front/4/5/4540fa4b-93e8-4749-a839-9a6e816c1145.jpg?1636224089,Creature — Ooze,Simon Dominic
Croaking Counterpart,3,2021,0.31,#d78f42,https://cards.scryfall.io/normal/front/9/8/9847b22f-6660-4654-91a9-e0adb8606bab.jpg?1636683905,Sorcery,Yeong-Hao Han
Curse of Leeches // Leeching Lurker,3,2021,0.14,#000000,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Enchantment — Aura Curse // Creature — Leech Horror,Uriah Voth
Curse of Shaken Faith,2,2021,0.21,#ff1a1a,https://cards.scryfall.io/normal/front/3/7/371b7795-5cfc-4e2b-b26c-2def52c61dbf.jpg?1634350529,Enchantment — Aura Curse,Campbell White
Curse of Silence,1,2021,0.23,#ffffff,https://cards.scryfall.io/normal/front/9/e/9e7819d5-12a9-4719-91b2-8dd1ba6f3800.jpg?1634346769,Enchantment — Aura Curse,Irina Nordsol
Curse of Surveillance,5,2021,0.15,#341aff,https://cards.scryfall.io/normal/front/d/6/d6a5b3b2-4f27-4c97-9d87-d7bdcc06d36a.jpg?1634348722,Enchantment — Aura Curse,Igor Kieryluk
Dennick- Pious Apprentice // Dennick- Pious Apparition,2,2021,0.41,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458,Legendary Creature — Human Soldier // Legendary Creature — Spirit Soldier,Chris Rallis
Deserted Beach,0,2021,6.76,#d78f42,https://cards.scryfall.io/normal/front/3/8/38367ee5-154b-44cb-8974-422038d039df.jpg?1655879794,Land,Jonas De Ro
