name,cmc,release_year,price,color
Abyssal Hunter,4,1996,0.28,#000000
Acidic Dagger,4,1996,1.2,#8c8d8b
Afiya Grove,2,1996,2.18,#087500
Amber Prison,4,1996,0.36,#8c8d8b
Amulet of Unmaking,5,1996,2.48,#8c8d8b
Ancestral Memories,5,1996,0.25,#341aff
Ashen Powder,4,1996,1.06,#000000
Asmira- Holy Avenger,4,1996,3.06,#d78f42
Auspicious Ancestor,4,1996,1.08,#ffffff
Barreling Attack,4,1996,1.15,#ff1a1a
Bazaar of Wonders,5,1996,1.74,#341aff
Benthic Djinn,4,1996,1.22,#d78f42
Bone Mask,4,1996,1.2,#8c8d8b
Brushwagg,3,1996,2.2,#087500
Cadaverous Bloom,5,1996,6.37,#d78f42
Canopy Dragon,6,1996,2.58,#087500
Carrion,3,1996,5.25,#000000
Catacomb Dragon,6,1996,3.53,#000000
Celestial Dawn,3,1996,0.92,#ffffff
Chaosphere,3,1996,6.52,#ff1a1a
Circle of Despair,3,1996,2.69,#d78f42
Crimson Hellkite,9,1996,0.84,#ff1a1a
Cursed Totem,2,1996,4.18,#8c8d8b
Cycle of Life,3,1996,1.09,#087500
Daring Apprentice,3,1996,0.37,#341aff
Discordant Spirit,4,1996,1.11,#d78f42
Divine Retribution,2,1996,2.3,#ffffff
Early Harvest,3,1996,2.12,#087500
Emberwilde Caliph,4,1996,0.98,#d78f42
Emberwilde Djinn,4,1996,1.07,#ff1a1a
Energy Bolt,2,1996,3.55,#d78f42
Energy Vortex,5,1996,1.45,#341aff
Ethereal Champion,5,1996,0.21,#ffffff
Final Fortune,2,1996,17.9,#ff1a1a
Flash,2,1996,1.58,#341aff
Forbidden Crypt,5,1996,0.73,#000000
Forsaken Wastes,3,1996,5.34,#000000
Frenetic Efreet,3,1996,11.19,#d78f42
Grim Feast,3,1996,6.08,#d78f42
Grinning Totem,4,1996,0.54,#8c8d8b
Hakim- Loreweaver,5,1996,1.32,#341aff
Hall of Gemstone,3,1996,15.81,#087500
Hammer of Bogardan,3,1996,3.63,#ff1a1a
Harbinger of Night,4,1996,3.85,#000000
Hivis of the Scale,5,1996,9.17,#ff1a1a
Illicit Auction,5,1996,3.3,#ff1a1a
Infernal Contract,3,1996,0.93,#000000
Jabari's Influence,5,1996,1.85,#ffffff
Jungle Patrol,4,1996,4.11,#d78f42
Kukemssa Pirates,4,1996,3.28,#341aff
Leering Gargoyle,3,1996,0.95,#d78f42
Lion's Eye Diamond,0,1996,487.24,#8c8d8b
Lure of Prey,4,1996,3.93,#087500
Malignant Growth,5,1996,1.03,#d78f42
Mangara's Tome,5,1996,3.89,#8c8d8b
Maro,4,1996,0.39,#087500
Mindbender Spores,3,1996,1.37,#087500
Misers' Cage,3,1996,1.45,#8c8d8b
Mist Dragon,6,1996,3.42,#341aff
Natural Balance,4,1996,3.51,#087500
Null Chamber,4,1996,3.65,#ffffff
Paupers' Cage,3,1996,1.31,#8c8d8b
Pearl Dragon,6,1996,0.5,#ffffff
Phyrexian Dreadnought,1,1996,88.85,#8c8d8b
Phyrexian Purge,4,1996,5.27,#d78f42
Phyrexian Tribute,3,1996,8.63,#000000
Political Trickery,3,1996,4.65,#341aff
Polymorph,4,1996,4.12,#341aff
Preferred Selection,4,1996,1.76,#087500
Prismatic Lace,1,1996,1.31,#341aff
Psychic Transfer,5,1996,0.26,#341aff
Purgatory,4,1996,4.55,#d78f42
Purraj of Urborg,5,1996,1.84,#000000
Rashida Scalebane,5,1996,6.28,#ffffff
Razor Pendulum,4,1996,1.73,#8c8d8b
Reckless Embermage,4,1996,0.23,#ff1a1a
Reflect Damage,5,1996,2.46,#d78f42
Reparations,3,1996,4.59,#d78f42
Rock Basilisk,6,1996,1.38,#d78f42
Sacred Mesa,3,1996,0.38,#ffffff
Sawback Manticore,5,1996,1.36,#d78f42
Seeds of Innocence,3,1996,14.12,#087500
Shallow Grave,2,1996,35.47,#000000
Shauku- Endbringer,7,1996,3.76,#000000
Shimmer,4,1996,3.88,#341aff
Sidar Jabari,4,1996,1.18,#ffffff
Soul Echo,2,1996,3.63,#ffffff
Spectral Guardian,4,1996,3.16,#ffffff
Spirit of the Night,9,1996,8.74,#000000
Subterranean Spirit,5,1996,1.03,#ff1a1a
Sunweb,4,1996,0.35,#ffffff
Tainted Specter,4,1996,1.28,#000000
Taniwha,5,1996,5.35,#341aff
Teeka's Dragon,9,1996,7.03,#8c8d8b
Teferi's Imp,3,1996,1.74,#341aff
Teferi's Isle,0,1996,8.81,#341aff
Telim'Tor,5,1996,1.46,#ff1a1a
Telim'Tor's Edict,1,1996,1.96,#ff1a1a
Tombstone Stairwell,4,1996,16.89,#000000
Torrent of Lava,2,1996,0.93,#ff1a1a
Uktabi Wildcats,5,1996,0.42,#087500
Unfulfilled Desires,3,1996,9.13,#d78f42
Ventifact Bottle,3,1996,3.5,#8c8d8b
Volcanic Dragon,6,1996,0.43,#ff1a1a
Waiting in the Weeds,3,1996,0.75,#087500
Warping Wurm,4,1996,1.13,#d78f42
Wellspring,3,1996,1.66,#d78f42
Yare,3,1996,0.8,#ffffff
Zirilan of the Claw,5,1996,26.75,#ff1a1a
Zuberi- Golden Feather,5,1996,11.24,#ffffff
