name,cmc,release_year,price,color,image,type_line,artist
Academy Manufactor,3,2024,2.46,#8c8d8b,https://cards.scryfall.io/normal/front/6/0/60709d98-c98d-48c0-ac4a-4ff73e7a0c4b.jpg?1706241035,Artifact Creature — Assembly-Worker,Campbell White
Adrix and Nev- Twincasters,4,2024,2.72,#d78f42,https://cards.scryfall.io/normal/front/b/9/b9c11061-bb34-4904-b9f1-ea106b517bbe.jpg?1706240967,Legendary Creature — Merfolk Wizard,Andrew Mar
Aerial Extortionist,5,2024,0.4,#ffffff,https://cards.scryfall.io/normal/front/5/3/5353bcb9-800d-4d74-95fa-42350a0f25de.jpg?1706240549,Creature — Bird Soldier,Deruchenko Alexander
Agitator Ant,3,2024,0.12,#ff1a1a,https://cards.scryfall.io/normal/front/b/c/bc63ff71-ff42-4baf-977b-55f69c8e122f.jpg?1706240814,Creature — Insect,Igor Kieryluk
Akroma- Angel of Fury,8,2024,0.21,#ff1a1a,https://cards.scryfall.io/normal/front/2/a/2a81f0b5-5116-4946-89fc-18479bf85305.jpg?1706240815,Legendary Creature — Angel,Daren Bader
Alandra- Sky Dreamer,4,2024,0.49,#341aff,https://cards.scryfall.io/normal/front/5/4/54bf48d4-e350-4ca7-87da-ce04fefd4610.jpg?1706240667,Legendary Creature — Merfolk Wizard,Caroline Gariba
Amphin Mutineer,4,2024,0.07,#341aff,https://cards.scryfall.io/normal/front/0/f/0f54f429-80c2-4f55-bb99-236f2c697985.jpg?1706240669,Creature — Salamander Pirate,Nicholas Gregory
Ancient Stone Idol,10,2024,0.21,#8c8d8b,https://cards.scryfall.io/normal/front/3/3/333f6334-f027-4bec-95d7-7af80508c4ca.jpg?1706241036,Artifact Creature — Golem,Josh Hass
Angel of the Ruins,7,2024,0.12,#ffffff,https://cards.scryfall.io/normal/front/d/c/dcdddadf-4e1f-4a62-9413-e4426cf5e100.jpg?1706240552,Artifact Creature — Angel,Viko Menezes
Anya- Merciless Angel,5,2024,0.21,#d78f42,https://cards.scryfall.io/normal/front/0/5/0526277f-538b-42d0-8c75-c390f599b94e.jpg?1706240970,Legendary Creature — Angel,Alisa Lee
Armed with Proof,3,2024,0.08,#ffffff,https://cards.scryfall.io/normal/front/6/e/6e75470f-fe57-4b6e-a76b-5daf9d9caf0b.jpg?1706240413,Enchantment,Serena Malyon
Ashcloud Phoenix,4,2024,0.12,#ff1a1a,https://cards.scryfall.io/normal/front/f/6/f628c7de-516b-4907-a3c8-b6361f2bd071.jpg?1706240815,Creature — Phoenix,Howard Lyon
