name,cmc,release_year,price,color,image,type_line,artist
Academy Manufactor,3,2023,10.73,#8c8d8b,https://cards.scryfall.io/normal/front/f/9/f9c55add-d621-4477-95ec-f2b691c0bdae.jpg?1682209923,Artifact Creature — Assembly-Worker,Campbell White
Acclaimed Contender,3,2023,0.13,#ffffff,https://cards.scryfall.io/normal/front/a/5/a508ffbe-aa58-4dae-b366-fea688b60755.jpg?1682208242,Creature — Human Knight,David Gaillet
Adeline- Resplendent Cathar,3,2023,12.97,#ffffff,https://cards.scryfall.io/normal/front/d/d/dd95d377-a61e-4b62-a883-ed491c48da15.jpg?1682208250,Legendary Creature — Human Knight,Bryan Sola
Aid from the Cowl,5,2023,0.13,#087500,https://cards.scryfall.io/normal/front/3/2/327dbb25-833a-4293-b397-ebe7859227a5.jpg?1682209425,Enchantment,Viktor Titov
Ancient Stone Idol,10,2023,0.51,#8c8d8b,https://cards.scryfall.io/normal/front/5/1/51cfea41-9051-4865-8539-c76c70d18523.jpg?1682209932,Artifact Creature — Golem,Josh Hass
Angel of Finality,4,2023,0.18,#ffffff,https://cards.scryfall.io/normal/front/9/0/907d710c-c54a-4e13-b057-71e4cc73f087.jpg?1682208269,Creature — Angel,Howard Lyon
Angel of Salvation,8,2023,0.08,#ffffff,https://cards.scryfall.io/normal/front/9/e/9e71046b-1284-4d7f-93dd-a632c74d9cca.jpg?1682208278,Creature — Angel,D. Alexander Gregory
Angel of the Ruins,7,2023,0.26,#ffffff,https://cards.scryfall.io/normal/front/5/a/5ad8f241-128a-473d-b8ce-994f8f66af72.jpg?1682208288,Artifact Creature — Angel,Viko Menezes
Aryel- Knight of Windgrace,4,2023,0.14,#d78f42,https://cards.scryfall.io/normal/front/c/f/cfa67dd1-8a67-4b63-8a4c-07a5144afa3b.jpg?1682209674,Legendary Creature — Human Knight,Grzegorz Rutkowski
Austere Command,6,2023,0.77,#ffffff,https://cards.scryfall.io/normal/front/b/c/bce78225-9dbf-46c1-b63d-083c1858eb98.jpg?1682208296,Sorcery,Anna Steinbauer
Begin the Invasion,5,2023,0.27,#d78f42,https://cards.scryfall.io/normal/front/b/a/ba74190d-ec90-4689-91b6-ac56cc6b7e5d.jpg?1682207681,Sorcery,Campbell White
Bitterthorn- Nissa's Animus,3,2023,10.17,#8c8d8b,https://cards.scryfall.io/normal/front/f/a/fa7a883f-e180-48ce-b7d4-cded2f74c323.jpg?1682207601,Legendary Artifact — Equipment,Titus Lunter
Blade Splicer,3,2023,0.19,#ffffff,https://cards.scryfall.io/normal/front/3/d/3dac9526-388d-487e-a790-066f83050794.jpg?1682208324,Creature — Phyrexian Human Artificer,Greg Staples
Blight Titan,6,2023,0.13,#000000,https://cards.scryfall.io/normal/front/e/0/e00c55f4-676f-40dc-a7f7-a53f07dd3107.jpg?1682207419,Creature — Phyrexian Giant,Martin de Diego Sádaba
Bloodforged Battle-Axe,1,2023,1.64,#8c8d8b,https://cards.scryfall.io/normal/front/1/4/14f12690-377e-46ae-bbae-f17c27b6acb4.jpg?1682209950,Artifact — Equipment,Alayna Danner
Brass's Bounty,7,2023,0.45,#ff1a1a,https://cards.scryfall.io/normal/front/6/c/6cfe5398-88e1-4106-9223-80bda0cd2e9a.jpg?1682209267,Sorcery,Grzegorz Rutkowski
Bright-Palm- Soul Awakener,4,2023,0.43,#d78f42,https://cards.scryfall.io/normal/front/a/4/a485c2c3-c90b-43b4-bb00-c1b811b4b392.jpg?1682207202,Legendary Creature — Fox Shaman,Mila Pesic
Brimaz- Blight of Oreskos,4,2023,0.26,#d78f42,https://cards.scryfall.io/normal/front/f/0/f0d31ae7-8580-402a-a917-3d626a9e1f49.jpg?1682207211,Legendary Creature — Phyrexian Cat,Uriah Voth
Canopy Vista,0,2023,0.46,#d78f42,https://cards.scryfall.io/normal/front/3/e/3ebce74e-35e8-4e19-9979-01b9e2c100f7.jpg?1682210355,Land — Forest Plains,Adam Paquette
Cataclysmic Gearhulk,5,2023,0.27,#ffffff,https://cards.scryfall.io/normal/front/d/5/d5b8efa8-2d62-45b8-9e48-6be0a4ee944d.jpg?1682208334,Artifact Creature — Construct,Victor Adame Minguez
Champion of Lambholt,3,2023,0.46,#087500,https://cards.scryfall.io/normal/front/4/6/46eff31d-f460-48f2-aab7-8b9b89cd87fe.jpg?1682209453,Creature — Human Warrior,Christopher Moeller
Chaos Warp,3,2023,1.09,#ff1a1a,https://cards.scryfall.io/normal/front/d/9/d9d0cb7f-2c84-4984-b6d6-d6067dd028f5.jpg?1682209276,Instant,Trevor Claxton
Chasm Skulker,3,2023,0.5,#341aff,https://cards.scryfall.io/normal/front/7/9/794e01e7-430c-43cf-ba2b-1028cd088148.jpg?1682208723,Creature — Squid Horror,Jack Wang
Chivalric Alliance,2,2023,5.65,#ffffff,https://cards.scryfall.io/normal/front/f/9/f96d4b03-e3b0-4b24-869d-4270b813b518.jpg?1682207289,Enchantment,Jim Pavelec
Choked Estuary,0,2023,0.2,#d78f42,https://cards.scryfall.io/normal/front/3/0/30be21c4-3580-4460-9a49-bd5ac6441103.jpg?1682210364,Land,Vincent Proce
